goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.019906282424926758,57,AML,Brentford,Chelsea,2,2,2025-09-13,28815,2025,737297,0.04027736932039261,0,1,0,0.019906282424926758,0.060183651745319366,0.019906282424926758
0,1,0.05014733225107193,12,Sub,Chelsea,Fulham,2,0,2025-08-30,28798,2025,734831,0,0,0,0,0.05014733225107193,0.05014733225107193,0
0,0,0,7,Sub,West Ham,Chelsea,1,5,2025-08-22,28788,2025,732917,0,0,0,0,0,0,0
0,2,0.042579080909490585,57,AML,Chelsea,Crystal Palace,0,0,2025-08-17,28784,2025,732229,0.12943996489048004,0,2,0,0.042579080909490585,0.12943996489048004,0.020660916343331337
0,0,0,2,Sub,Borussia Dortmund,Holstein Kiel,3,0,2025-05-17,28040,2024,727768,0,0,0,0,0,0,0
0,0,0,1,Sub,Bayer Leverkusen,Borussia Dortmund,2,4,2025-05-11,28030,2024,726722,0,0,0,0,0,0,0
0,0,0,70,AMC,Borussia Dortmund,Wolfsburg,4,0,2025-05-03,28022,2024,724269,0,0,0,0,0,0.4255309998989105,0.4255309998989105
0,2,0.06938692927360535,72,AMC,Hoffenheim,Borussia Dortmund,2,3,2025-04-26,28016,2024,722578,0.06872531026601791,0,1,0,0.06938692927360535,0.5840588212013245,0.5054718255996704
1,1,0.5402821898460388,16,Sub,Freiburg,Borussia Dortmund,1,4,2025-04-05,27988,2024,716760,0,0,0,1,0.5402821898460388,0.5402821898460388,0
0,0,0,1,Sub,Borussia Dortmund,Mainz 05,3,1,2025-03-30,27979,2024,715572,0,0,0,0,0,0,0
0,5,0.2782559394836426,15,Sub,RasenBallsport Leipzig,Borussia Dortmund,2,0,2025-03-15,27968,2024,713285,0.09571690857410431,0,1,0,0.2782559394836426,0.3739728629589081,0.17013972997665405
0,2,0.10242442786693573,78,AML,Borussia Dortmund,Augsburg,0,1,2025-03-08,27960,2024,711107,0.026954561471939087,0,1,0,0.10242442786693573,0.6300153136253357,0.5585143566131592
