player names,first card,anytime card,red_card,contest
Joao Gomes,15/2,13/8,25/1,Wolves v Newcastle
Yerson Mosquera,17/2,2/1,28/1,Wolves v Newcastle
Andre,17/2,2/1,28/1,Wolves v Newcastle
Ladislav Krejci,9/1,23/10,28/1,Wolves v Newcastle
Matt Doherty,10/1,13/5,33/1,Wolves v Newcastle
Mateus Mane,12/1,16/5,33/1,Wolves v Newcastle
Pedro Lima,12/1,16/5,33/1,Wolves v Newcastle
Santiago Bueno,12/1,7/2,40/1,Wolves v Newcastle
David Moller Wolfe,12/1,7/2,40/1,Wolves v Newcastle
Jackson Tchatchoua,12/1,7/2,40/1,Wolves v Newcastle
Jorgen Strand Larsen,14/1,15/4,40/1,Wolves v Newcastle
Jhon Arias,14/1,15/4,40/1,Wolves v Newcastle
Hwang Hee-chan,14/1,17/4,40/1,Wolves v Newcastle
Fer Lopez,16/1,24/5,40/1,Wolves v Newcastle
Jean-Ricner Bellegarde,16/1,24/5,40/1,Wolves v Newcastle
Tawanda Chirewa,18/1,5/1,50/1,Wolves v Newcastle
Tolu Arokodare,18/1,11/2,50/1,Wolves v Newcastle
Rodrigo Gomes,18/1,11/2,50/1,Wolves v Newcastle
Hugo Bueno,18/1,11/2,50/1,Wolves v Newcastle
Jose Sa,28/1,8/1,66/1,Wolves v Newcastle
Joelinton,10/1,13/5,33/1,Wolves v Newcastle
Anthony Gordon,11/1,29/10,33/1,Wolves v Newcastle
Bruno Guimaraes,11/1,29/10,33/1,Wolves v Newcastle
Yoane Wissa,14/1,15/4,40/1,Wolves v Newcastle
Malick Thiaw,14/1,15/4,40/1,Wolves v Newcastle
Jacob Ramsey,14/1,4/1,40/1,Wolves v Newcastle
Joe Willock,16/1,23/5,40/1,Wolves v Newcastle
Sandro Tonali,14/1,15/4,40/1,Wolves v Newcastle
Lewis Hall,16/1,23/5,40/1,Wolves v Newcastle
Sven Botman,16/1,24/5,40/1,Wolves v Newcastle
Nick Woltemade,16/1,5/1,50/1,Wolves v Newcastle
Lewis Miley,18/1,11/2,50/1,Wolves v Newcastle
Kieran Trippier,18/1,11/2,50/1,Wolves v Newcastle
Tino Livramento,20/1,6/1,50/1,Wolves v Newcastle
Harvey Barnes,20/1,13/2,50/1,Wolves v Newcastle
Jacob Murphy,20/1,13/2,50/1,Wolves v Newcastle
Anthony Elanga,20/1,13/2,50/1,Wolves v Newcastle
Nick Pope,20/1,13/2,50/1,Wolves v Newcastle
Morgan Rogers,12/1,17/5,40/1,Aston Villa v Everton
Boubacar Kamara,12/1,17/5,40/1,Aston Villa v Everton
Ian Maatsen,14/1,15/4,40/1,Aston Villa v Everton
John McGinn,14/1,17/4,40/1,Aston Villa v Everton
Matty Cash,12/1,16/5,40/1,Aston Villa v Everton
Tyrone Mings,14/1,17/4,40/1,Aston Villa v Everton
Ezri Konsa,14/1,23/5,40/1,Aston Villa v Everton
Lamare Bogarde,14/1,23/5,40/1,Aston Villa v Everton
Pau Torres,16/1,5/1,50/1,Aston Villa v Everton
Lucas Digne,16/1,5/1,50/1,Aston Villa v Everton
Youri Tielemans,18/1,11/2,50/1,Aston Villa v Everton
Andres Garcia,18/1,11/2,50/1,Aston Villa v Everton
Victor Lindelof,18/1,11/2,50/1,Aston Villa v Everton
Emiliano Buendia,18/1,6/1,50/1,Aston Villa v Everton
Emiliano Martinez,20/1,7/1,50/1,Aston Villa v Everton
Ollie Watkins,25/1,8/1,50/1,Aston Villa v Everton
Jadon Sancho,25/1,8/1,50/1,Aston Villa v Everton
Tim Iroegbunam,13/2,8/5,22/1,Aston Villa v Everton
Merlin Rohl,9/1,23/10,28/1,Aston Villa v Everton
James Tarkowski,9/1,23/10,28/1,Aston Villa v Everton
James Garner,9/1,23/10,28/1,Aston Villa v Everton
Jack Grealish,10/1,5/2,33/1,Aston Villa v Everton
Elijah Campbell,10/1,5/2,33/1,Aston Villa v Everton
Thierno Barry,11/1,14/5,33/1,Aston Villa v Everton
Adam Aznou,11/1,14/5,33/1,Aston Villa v Everton
Nathan Patterson,11/1,14/5,33/1,Aston Villa v Everton
Vitaliy Mykolenko,11/1,3/1,33/1,Aston Villa v Everton
Harrison Armstrong,10/1,5/2,33/1,Aston Villa v Everton
Reece Welch,12/1,7/2,40/1,Aston Villa v Everton
Jake O'Brien,14/1,15/4,40/1,Aston Villa v Everton
Tyler Dibling,14/1,15/4,40/1,Aston Villa v Everton
Beto,16/1,5/1,50/1,Aston Villa v Everton
Dwight McNeil,16/1,5/1,50/1,Aston Villa v Everton
Jordan Pickford,16/1,5/1,50/1,Aston Villa v Everton
James Milner,12/1,29/10,33/1,Brighton v Bournemouth
Jan Paul van Hecke,12/1,29/10,33/1,Brighton v Bournemouth
Lewis Dunk,12/1,29/10,33/1,Brighton v Bournemouth
Joel Veltman,12/1,29/10,33/1,Brighton v Bournemouth
Diego Coppola,12/1,16/5,33/1,Brighton v Bournemouth
Yankuba Minteh,12/1,16/5,33/1,Brighton v Bournemouth
Diego Gomez,14/1,7/2,40/1,Brighton v Bournemouth
Pascal Gross,14/1,7/2,40/1,Brighton v Bournemouth
Georginio Rutter,16/1,17/4,40/1,Brighton v Bournemouth
Maxime De Cuyper,16/1,17/4,40/1,Brighton v Bournemouth
Jack Hinshelwood,16/1,17/4,40/1,Brighton v Bournemouth
Yasin Ayari,16/1,17/4,40/1,Brighton v Bournemouth
Olivier Boscagli,16/1,17/4,40/1,Brighton v Bournemouth
Danny Welbeck,18/1,24/5,40/1,Brighton v Bournemouth
Brajan Gruda,16/1,17/4,40/1,Brighton v Bournemouth
Ferdi Kadioglu,18/1,24/5,40/1,Brighton v Bournemouth
Bart Verbruggen,18/1,24/5,40/1,Brighton v Bournemouth
Kaoru Mitoma,18/1,11/2,50/1,Brighton v Bournemouth
Charalampos Kostoulas,18/1,24/5,40/1,Brighton v Bournemouth
Tom Watson,18/1,11/2,50/1,Brighton v Bournemouth
Marcos Senesi,15/2,8/5,22/1,Brighton v Bournemouth
Lewis Cook,17/2,9/5,25/1,Brighton v Bournemouth
David Brooks,10/1,12/5,33/1,Brighton v Bournemouth
Alex Scott,10/1,12/5,33/1,Brighton v Bournemouth
Adam Smith,10/1,12/5,33/1,Brighton v Bournemouth
Alejandro Jimenez,11/1,13/5,33/1,Brighton v Bournemouth
Veljko Milosavljevic,11/1,13/5,33/1,Brighton v Bournemouth
Amine Adli,12/1,29/10,33/1,Brighton v Bournemouth
Bafode Diakite,12/1,29/10,33/1,Brighton v Bournemouth
Adrien Truffert,12/1,16/5,40/1,Brighton v Bournemouth
James Hill,12/1,16/5,40/1,Brighton v Bournemouth
Enes Unal,12/1,29/10,33/1,Brighton v Bournemouth
Evanilson,14/1,15/4,40/1,Brighton v Bournemouth
