player names,first score,anytime score,last score,two or more,hatrick,contest
Joao Pedro,18/5,21/20,18/5,11/2,18/1,Chelsea v Sunderland
Marc Guiu,24/5,29/20,24/5,8/1,33/1,Chelsea v Sunderland
Tyrique George,11/2,13/8,11/2,9/1,40/1,Chelsea v Sunderland
Estevao,11/2,9/5,11/2,10/1,40/1,Chelsea v Sunderland
Enzo Fernandez,6/1,9/5,6/1,10/1,40/1,Chelsea v Sunderland
Alejandro Garnacho,13/2,19/10,13/2,11/1,50/1,Chelsea v Sunderland
Facundo Buonanotte,13/2,2/1,13/2,12/1,50/1,Chelsea v Sunderland
Pedro Neto,15/2,23/10,15/2,14/1,50/1,Chelsea v Sunderland
Jamie Gittens,7/1,9/4,7/1,12/1,50/1,Chelsea v Sunderland
Marc Cucurella,16/1,11/2,16/1,40/1,250/1,Chelsea v Sunderland
Trevoh Chalobah,18/1,13/2,18/1,50/1,400/1,Chelsea v Sunderland
Reece James,20/1,8/1,20/1,50/1,500/1,Chelsea v Sunderland
Tosin Adarabioyo,20/1,8/1,20/1,50/1,500/1,Chelsea v Sunderland
Romeo Lavia,22/1,9/1,22/1,66/1,500/1,Chelsea v Sunderland
Moises Caicedo,25/1,10/1,25/1,66/1,500/1,Chelsea v Sunderland
Jorrel Hato,25/1,10/1,25/1,66/1,500/1,Chelsea v Sunderland
Josh Acheampong,28/1,11/1,28/1,80/1,500/1,Chelsea v Sunderland
Wilson Isidor,10/1,16/5,10/1,20/1,80/1,Chelsea v Sunderland
Eliezer Mayenda,10/1,3/1,10/1,18/1,80/1,Chelsea v Sunderland
Brian Brobbey,10/1,16/5,10/1,20/1,80/1,Chelsea v Sunderland
Simon Adingra,14/1,11/2,14/1,40/1,250/1,Chelsea v Sunderland
Bertrand Traore,16/1,6/1,16/1,40/1,300/1,Chelsea v Sunderland
Chemsdine Talbi,16/1,6/1,16/1,40/1,300/1,Chelsea v Sunderland
Enzo Le Fee,14/1,11/2,14/1,40/1,250/1,Chelsea v Sunderland
Chris Rigg,18/1,13/2,18/1,50/1,300/1,Chelsea v Sunderland
Daniel Ballard,28/1,11/1,28/1,80/1,500/1,Chelsea v Sunderland
Granit Xhaka,33/1,12/1,33/1,100/1,500/1,Chelsea v Sunderland
Lutsharel Geertruida,33/1,14/1,33/1,150/1,500/1,Chelsea v Sunderland
Dan Neil,33/1,16/1,33/1,200/1,500/1,Chelsea v Sunderland
Trai Hume,40/1,18/1,40/1,250/1,500/1,Chelsea v Sunderland
Omar Alderete,33/1,16/1,33/1,200/1,500/1,Chelsea v Sunderland
Nordi Mukiele,33/1,16/1,33/1,200/1,500/1,Chelsea v Sunderland
Noah Sadiki,40/1,18/1,40/1,250/1,500/1,Chelsea v Sunderland
Arthur Masuaku,50/1,22/1,50/1,300/1,500/1,Chelsea v Sunderland
Nick Woltemade,17/4,13/10,17/4,15/2,28/1,Newcastle v Fulham
Anthony Gordon,24/5,31/20,24/5,17/2,33/1,Newcastle v Fulham
Harvey Barnes,6/1,19/10,6/1,11/1,40/1,Newcastle v Fulham
William Osula,6/1,19/10,6/1,11/1,40/1,Newcastle v Fulham
Anthony Elanga,17/2,29/10,17/2,16/1,66/1,Newcastle v Fulham
Jacob Murphy,17/2,29/10,17/2,16/1,66/1,Newcastle v Fulham
Jacob Ramsey,17/2,29/10,17/2,16/1,66/1,Newcastle v Fulham
Joe Willock,9/1,17/5,9/1,20/1,80/1,Newcastle v Fulham
Joelinton,11/1,4/1,11/1,28/1,100/1,Newcastle v Fulham
Bruno Guimaraes,14/1,5/1,14/1,33/1,200/1,Newcastle v Fulham
Sandro Tonali,14/1,5/1,14/1,33/1,200/1,Newcastle v Fulham
Fabian Schar,16/1,13/2,16/1,50/1,300/1,Newcastle v Fulham
Lewis Miley,16/1,13/2,16/1,50/1,300/1,Newcastle v Fulham
Sven Botman,22/1,9/1,22/1,66/1,500/1,Newcastle v Fulham
Dan Burn,22/1,9/1,22/1,66/1,500/1,Newcastle v Fulham
Malick Thiaw,28/1,12/1,28/1,100/1,500/1,Newcastle v Fulham
Kieran Trippier,40/1,16/1,40/1,250/1,500/1,Newcastle v Fulham
Raul Jimenez,15/2,5/2,15/2,14/1,50/1,Newcastle v Fulham
Jonah Kusi Asare,10/1,18/5,10/1,22/1,100/1,Newcastle v Fulham
Kevin,12/1,17/4,12/1,28/1,150/1,Newcastle v Fulham
Alex Iwobi,14/1,5/1,14/1,40/1,200/1,Newcastle v Fulham
Emile Smith Rowe,14/1,5/1,14/1,33/1,200/1,Newcastle v Fulham
Harry Wilson,14/1,5/1,14/1,40/1,200/1,Newcastle v Fulham
Samuel Chukwueze,16/1,6/1,16/1,40/1,300/1,Newcastle v Fulham
Joshua King,16/1,6/1,16/1,50/1,300/1,Newcastle v Fulham
Adama Traore,16/1,6/1,16/1,50/1,300/1,Newcastle v Fulham
Ryan Sessegnon,20/1,8/1,20/1,50/1,500/1,Newcastle v Fulham
Tom Cairney,25/1,10/1,25/1,80/1,500/1,Newcastle v Fulham
Sasa Lukic,28/1,12/1,28/1,100/1,500/1,Newcastle v Fulham
Sander Berge,33/1,14/1,33/1,150/1,500/1,Newcastle v Fulham
Harrison Reed,33/1,14/1,33/1,150/1,500/1,Newcastle v Fulham
