AM_namesX10,AM_oddsX10,contest
Cole Palmer Ax10,3.5 - 4,Chelsea v Everton
Alejandro Garnacho Ax10,3.2 - 3.7,Chelsea v Everton
Reece James Ax10,2.6 - 3,Chelsea v Everton
Pedro Neto Ax10,2.3 - 2.7,Chelsea v Everton
Joao Pedro Ax10,2.1 - 2.5,Chelsea v Everton
Jack Grealish Ax10,2 - 2.4,Chelsea v Everton
Kiernan Dewsbury-Hall Ax10,1.9 - 2.3,Chelsea v Everton
Enzo Fernandez Ax10,1.8 - 2.2,Chelsea v Everton
Jake O'Brien Ax10,1.4 - 1.7,Chelsea v Everton
Iliman Ndiaye Ax10,1.2 - 1.5,Chelsea v Everton
Malo Gusto Ax10,1.2 - 1.5,Chelsea v Everton
Marc Cucurella Ax10,1 - 1.3,Chelsea v Everton
James Garner Ax10,0.9 - 1.2,Chelsea v Everton
Thierno Barry Ax10,0.9 - 1.2,Chelsea v Everton
James Tarkowski Ax10,0.6 - 0.8,Chelsea v Everton
Vitaliy Mykolenko Ax10,0.5 - 0.7,Chelsea v Everton
Idrissa Gueye Ax10,0.5 - 0.7,Chelsea v Everton
Dominik Szoboszlai Ax10,3.5 - 4,Liverpool v Brighton
Florian Wirtz Ax10,2.6 - 3,Liverpool v Brighton
Yankuba Minteh Ax10,2.4 - 2.8,Liverpool v Brighton
Hugo Ekitike Ax10,2 - 2.4,Liverpool v Brighton
Georginio Rutter Ax10,1.9 - 2.3,Liverpool v Brighton
Alexis MacAllister Ax10,1.7 - 2.1,Liverpool v Brighton
Curtis Jones Ax10,1.4 - 1.7,Liverpool v Brighton
Ryan Gravenberch Ax10,1.1 - 1.4,Liverpool v Brighton
Diego Gomez Ax10,1.1 - 1.4,Liverpool v Brighton
Milos Kerkez Ax10,1 - 1.3,Liverpool v Brighton
Maxime De Cuyper Ax10,0.75 - 1,Liverpool v Brighton
Danny Welbeck Ax10,0.75 - 1,Liverpool v Brighton
Joel Veltman Ax10,0.6 - 0.8,Liverpool v Brighton
Ferdi Kadioglu Ax10,0.5 - 0.7,Liverpool v Brighton
Jan Paul van Hecke Ax10,0.5 - 0.7,Liverpool v Brighton
Carlos Baleba Ax10,0.5 - 0.7,Liverpool v Brighton
