contest,spread
Brentford v Man Utd, 0.4 - 0.6 
Chelsea v Brighton, 0.5 - 0.7 
Crystal Palace v Liverpool, 0.45 - 0.65 
Leeds v Bournemouth, 0.05 - 0.25 
Man City v Burnley, 2.1 - 2.3 
Nottingham Forest v Sunderland, 0.65 - 0.85 
Tottenham v Wolves, 1.1 - 1.3 
Aston Villa v Fulham, 0.15 - 0.35 
Newcastle v Arsenal, 0.3 - 0.5 
Everton v West Ham, 0.75 - 0.95 
Bournemouth v Fulham, 0.35 - 0.55 
Leeds v Tottenham, 0.1 - 0.3 
Arsenal v West Ham, 1.75 - 1.95 
Man Utd v Sunderland, 1.15 - 1.35 
Chelsea v Liverpool, 0.05 - 0.25 
Aston Villa v Burnley, 0.95 - 1.15 
Everton v Crystal Palace, 0.15 - 0.35 
Newcastle v Nottingham Forest, 0.8 - 1 
Wolves v Brighton, 0.35 - 0.55 
Brentford v Man City, 0.85 - 1.05 
