PGM_names,PGM_odds,SMM_names,SMM_odds,contest
Ollie Watkins PGM,22 - 25,Ollie Watkins SMM,35 - 41,Aston Villa v Nottingham Forest
Morgan Rogers PGM,15 - 18,Morgan Rogers SMM,21 - 26,Aston Villa v Nottingham Forest
Emiliano Buendia PGM,10 - 13,Emiliano Buendia SMM,14 - 18,Aston Villa v Nottingham Forest
John McGinn PGM,8 - 11,John McGinn SMM,12 - 16,Aston Villa v Nottingham Forest
Youri Tielemans PGM,4 - 7,Youri Tielemans SMM,7 - 10,Aston Villa v Nottingham Forest
Matty Cash PGM,3 - 6,Matty Cash SMM,5 - 8,Aston Villa v Nottingham Forest
Ian Maatsen PGM,2 - 4,Ian Maatsen SMM,2.5 - 5,Aston Villa v Nottingham Forest
Ezri Konsa PGM,1 - 3,Ezri Konsa SMM,2 - 4,Aston Villa v Nottingham Forest
Boubacar Kamara PGM,1 - 3,Boubacar Kamara SMM,2 - 4,Aston Villa v Nottingham Forest
Victor Lindelof PGM,1 - 3,Victor Lindelof SMM,2 - 4,Aston Villa v Nottingham Forest
Hotshots,30 - 34,Hotshots (A.V),28 - 32,Aston Villa v Nottingham Forest
Igor Jesus PGM,14 - 17,Igor Jesus SMM,20 - 24,Aston Villa v Nottingham Forest
Morgan Gibbs-White PGM,7 - 10,Morgan Gibbs-White SMM,10 - 14,Aston Villa v Nottingham Forest
Omari Hutchinson PGM,4 - 7,Omari Hutchinson SMM,7 - 10,Aston Villa v Nottingham Forest
Elliot Anderson PGM,4 - 7,Elliot Anderson SMM,6 - 9,Aston Villa v Nottingham Forest
Nikola Milenkovic PGM,2 - 4,Nikola Milenkovic SMM,2.5 - 5,Aston Villa v Nottingham Forest
Nicolas Dominguez PGM,2 - 4,Nicolas Dominguez SMM,2.5 - 5,Aston Villa v Nottingham Forest
Murillo PGM,1 - 3,Murillo SMM,2 - 4,Aston Villa v Nottingham Forest
Neco Williams PGM,1 - 3,Neco Williams SMM,2 - 4,Aston Villa v Nottingham Forest
Dilane Bakwa PGM,5 - 8,Dilane Bakwa SMM,8 - 11,Aston Villa v Nottingham Forest
Ola Aina PGM,1 - 3,Ola Aina SMM,2 - 4,Aston Villa v Nottingham Forest
Hotshots,30 - 34,Hotshots (NFo),16 - 20,Aston Villa v Nottingham Forest
Danny Welbeck PGM,25 - 28,Danny Welbeck SMM,39 - 46,Brighton v Burnley
Georginio Rutter PGM,18 - 21,Georginio Rutter SMM,28 - 33,Brighton v Burnley
Kaoru Mitoma PGM,15 - 18,Kaoru Mitoma SMM,22 - 27,Brighton v Burnley
Diego Gomez PGM,14 - 17,Diego Gomez SMM,20 - 24,Brighton v Burnley
Yankuba Minteh PGM,13 - 16,Yankuba Minteh SMM,19 - 23,Brighton v Burnley
Brajan Gruda PGM,10 - 13,Brajan Gruda SMM,14 - 18,Brighton v Burnley
Maxime De Cuyper PGM,8 - 11,Maxime De Cuyper SMM,12 - 16,Brighton v Burnley
James Milner PGM,8 - 11,James Milner SMM,12 - 16,Brighton v Burnley
Yasin Ayari PGM,6 - 9,Yasin Ayari SMM,9 - 13,Brighton v Burnley
Jack Hinshelwood PGM,5 - 8,Jack Hinshelwood SMM,8 - 11,Brighton v Burnley
Jan Paul van Hecke PGM,4 - 7,Jan Paul van Hecke SMM,6 - 9,Brighton v Burnley
Lewis Dunk PGM,3 - 6,Lewis Dunk SMM,6 - 9,Brighton v Burnley
Ferdi Kadioglu PGM,3 - 6,Ferdi Kadioglu SMM,6 - 9,Brighton v Burnley
Joel Veltman PGM,3 - 6,Joel Veltman SMM,5 - 8,Brighton v Burnley
Olivier Boscagli PGM,3 - 6,Olivier Boscagli SMM,5 - 8,Brighton v Burnley
Diego Coppola PGM,3 - 6,Diego Coppola SMM,5 - 8,Brighton v Burnley
Armando Broja PGM,12 - 15,Armando Broja SMM,18 - 22,Brighton v Burnley
Zian Flemming PGM,11 - 14,Zian Flemming SMM,16 - 20,Brighton v Burnley
Marcus Edwards PGM,6 - 9,Marcus Edwards SMM,9 - 13,Brighton v Burnley
Jaidon Anthony PGM,6 - 9,Jaidon Anthony SMM,9 - 13,Brighton v Burnley
Lesley Ugochukwu PGM,4 - 7,Lesley Ugochukwu SMM,6 - 9,Brighton v Burnley
Loum Tchaouna PGM,4 - 7,Loum Tchaouna SMM,6 - 9,Brighton v Burnley
Jacob Bruun Larsen PGM,4 - 7,Jacob Bruun Larsen SMM,6 - 9,Brighton v Burnley
Josh Laurent PGM,1 - 3,Josh Laurent SMM,2 - 4,Brighton v Burnley
Florentino Luis PGM,1 - 3,Florentino Luis SMM,2 - 4,Brighton v Burnley
Bashir Humphreys PGM,0.5 - 2,Bashir Humphreys SMM,1 - 3,Brighton v Burnley
Hjalmar Ekdal PGM,0.5 - 2,Hjalmar Ekdal SMM,1 - 3,Brighton v Burnley
Lucas Pires PGM,0.5 - 2,Lucas Pires SMM,1 - 3,Brighton v Burnley
Kyle Walker PGM,0.25 - 1.5,Kyle Walker SMM,0.5 - 2,Brighton v Burnley
Jorgen Strand Larsen PGM,18 - 21,Jorgen Strand Larsen SMM,27 - 32,Wolves v West Ham
Tolu Arokodare PGM,13 - 16,Tolu Arokodare SMM,19 - 23,Wolves v West Ham
Hwang Hee-chan PGM,11 - 14,Hwang Hee-chan SMM,17 - 21,Wolves v West Ham
Mateus Mane PGM,8 - 11,Mateus Mane SMM,12 - 16,Wolves v West Ham
Fernando Lopez PGM,7 - 10,Fernando Lopez SMM,9 - 13,Wolves v West Ham
Jhon Arias PGM,5 - 8,Jhon Arias SMM,8 - 11,Wolves v West Ham
Ladislav Krejci PGM,3 - 6,Ladislav Krejci SMM,5 - 8,Wolves v West Ham
Joao Gomes PGM,3 - 6,Joao Gomes SMM,5 - 8,Wolves v West Ham
Yerson Mosquera PGM,2.5 - 5,Yerson Mosquera SMM,4 - 7,Wolves v West Ham
Matt Doherty PGM,2 - 4,Matt Doherty SMM,2.5 - 5,Wolves v West Ham
Jackson Tchatchoua PGM,2 - 4,Jackson Tchatchoua SMM,2.5 - 5,Wolves v West Ham
Hugo Bueno PGM,1 - 3,Hugo Bueno SMM,2 - 4,Wolves v West Ham
Santiago Bueno PGM,1 - 3,Santiago Bueno SMM,2 - 4,Wolves v West Ham
David Moller Wolfe PGM,1 - 3,David Moller Wolfe SMM,2 - 4,Wolves v West Ham
Andre PGM,0.5 - 2,Andre SMM,1 - 3,Wolves v West Ham
Callum Wilson PGM,16 - 19,Callum Wilson SMM,24 - 29,Wolves v West Ham
Jarrod Bowen PGM,12 - 15,Jarrod Bowen SMM,18 - 22,Wolves v West Ham
Lucas Paqueta PGM,9 - 12,Lucas Paqueta SMM,13 - 17,Wolves v West Ham
Crysencio Summerville PGM,7 - 10,Crysencio Summerville SMM,10 - 14,Wolves v West Ham
Tomas Soucek PGM,7 - 10,Tomas Soucek SMM,10 - 14,Wolves v West Ham
Mateus Fernandes PGM,4 - 7,Mateus Fernandes SMM,6 - 9,Wolves v West Ham
Konstantinos Mavropanos PGM,2 - 4,Konstantinos Mavropanos SMM,4 - 7,Wolves v West Ham
Freddie Potts PGM,2 - 4,Freddie Potts SMM,2.5 - 5,Wolves v West Ham
Kyle Walker-Peters PGM,1 - 3,Kyle Walker-Peters SMM,2 - 4,Wolves v West Ham
Max Kilman PGM,1 - 3,Max Kilman SMM,2 - 4,Wolves v West Ham
Oliver Scarles PGM,1 - 3,Oliver Scarles SMM,2 - 4,Wolves v West Ham
Soungoutou Magassa PGM,1 - 3,Soungoutou Magassa SMM,2 - 4,Wolves v West Ham
Jean-Clair Todibo PGM,0.5 - 2,Jean-Clair Todibo SMM,1 - 3,Wolves v West Ham
Igor Julio PGM,0.5 - 2,Igor Julio SMM,1 - 3,Wolves v West Ham
Guido Rodriguez PGM,0.5 - 2,Guido Rodriguez SMM,1 - 3,Wolves v West Ham
Antoine Semenyo PGM,9 - 12,Antoine Semenyo SMM,13 - 17,Bournemouth v Arsenal
Evanilson PGM,8 - 11,Evanilson SMM,12 - 16,Bournemouth v Arsenal
Enes Unal PGM,8 - 11,Enes Unal SMM,12 - 16,Bournemouth v Arsenal
Eli Junior Kroupi PGM,8 - 11,Eli Junior Kroupi SMM,12 - 16,Bournemouth v Arsenal
Justin Kluivert PGM,5 - 8,Justin Kluivert SMM,8 - 11,Bournemouth v Arsenal
David Brooks PGM,5 - 8,David Brooks SMM,7 - 10,Bournemouth v Arsenal
Amine Adli PGM,4 - 7,Amine Adli SMM,7 - 10,Bournemouth v Arsenal
Marcus Tavernier PGM,4 - 7,Marcus Tavernier SMM,6 - 9,Bournemouth v Arsenal
Alex Scott PGM,1 - 3,Alex Scott SMM,2 - 4,Bournemouth v Arsenal
Marcos Senesi PGM,0.5 - 2,Marcos Senesi SMM,1 - 3,Bournemouth v Arsenal
Alex Jimenez PGM,0.5 - 2,Alex Jimenez SMM,1 - 3,Bournemouth v Arsenal
James Hill PGM,0.5 - 2,James Hill SMM,1 - 3,Bournemouth v Arsenal
Adrien Truffert PGM,0.5 - 2,Adrien Truffert SMM,1 - 3,Bournemouth v Arsenal
Bafode Diakite PGM,0.25 - 1.5,Bafode Diakite SMM,0.5 - 2,Bournemouth v Arsenal
Adam Smith PGM,0.1 - 1,Adam Smith SMM,0.25 - 1.5,Bournemouth v Arsenal
Viktor Gyokeres PGM,22 - 25,Viktor Gyokeres SMM,35 - 41,Bournemouth v Arsenal
Bukayo Saka PGM,19 - 22,Bukayo Saka SMM,28 - 34,Bournemouth v Arsenal
Gabriel Jesus PGM,19 - 22,Gabriel Jesus SMM,28 - 34,Bournemouth v Arsenal
Kai Havertz PGM,18 - 21,Kai Havertz SMM,27 - 32,Bournemouth v Arsenal
Leandro Trossard PGM,15 - 18,Leandro Trossard SMM,22 - 27,Bournemouth v Arsenal
Gabriel Martinelli PGM,13 - 16,Gabriel Martinelli SMM,19 - 23,Bournemouth v Arsenal
Noni Madueke PGM,13 - 16,Noni Madueke SMM,19 - 23,Bournemouth v Arsenal
Eberechi Eze PGM,13 - 16,Eberechi Eze SMM,19 - 23,Bournemouth v Arsenal
Mikel Merino PGM,13 - 16,Mikel Merino SMM,19 - 23,Bournemouth v Arsenal
Martin Odegaard PGM,9 - 12,Martin Odegaard SMM,13 - 17,Bournemouth v Arsenal
Declan Rice PGM,7 - 10,Declan Rice SMM,10 - 14,Bournemouth v Arsenal
Gabriel Magalhaes PGM,5 - 8,Gabriel Magalhaes SMM,8 - 11,Bournemouth v Arsenal
