scoreline,scoreline_odds,contest,Outcome
1-0,6/1,Bournemouth v Fulham,Bournemouth Win
2-0,8/1,Bournemouth v Fulham,Bournemouth Win
2-1,13/2,Bournemouth v Fulham,Bournemouth Win
3-0,16/1,Bournemouth v Fulham,Bournemouth Win
3-1,14/1,Bournemouth v Fulham,Bournemouth Win
3-2,22/1,Bournemouth v Fulham,Bournemouth Win
4-0,35/1,Bournemouth v Fulham,Bournemouth Win
4-1,35/1,Bournemouth v Fulham,Bournemouth Win
4-2,55/1,Bournemouth v Fulham,Bournemouth Win
4-3,100/1,Bournemouth v Fulham,Bournemouth Win
5-0,80/1,Bournemouth v Fulham,Bournemouth Win
5-1,80/1,Bournemouth v Fulham,Bournemouth Win
5-2,100/1,Bournemouth v Fulham,Bournemouth Win
6-0,125/1,Bournemouth v Fulham,Bournemouth Win
6-1,125/1,Bournemouth v Fulham,Bournemouth Win
6-2,150/1,Bournemouth v Fulham,Bournemouth Win
7-0,150/1,Bournemouth v Fulham,Bournemouth Win
7-1,150/1,Bournemouth v Fulham,Bournemouth Win
8-0,150/1,Bournemouth v Fulham,Bournemouth Win
9-0,150/1,Bournemouth v Fulham,Bournemouth Win
10-0,150/1,Bournemouth v Fulham,Bournemouth Win
0-0,9/1,Bournemouth v Fulham,Draw
1-1,11/2,Bournemouth v Fulham,Draw
2-2,12/1,Bournemouth v Fulham,Draw
3-3,55/1,Bournemouth v Fulham,Draw
4-4,150/1,Bournemouth v Fulham,Draw
1-0,10/1,Bournemouth v Fulham,Fulham Win
2-0,18/1,Bournemouth v Fulham,Fulham Win
2-1,11/1,Bournemouth v Fulham,Fulham Win
3-0,45/1,Bournemouth v Fulham,Fulham Win
3-1,28/1,Bournemouth v Fulham,Fulham Win
3-2,35/1,Bournemouth v Fulham,Fulham Win
4-0,100/1,Bournemouth v Fulham,Fulham Win
4-1,80/1,Bournemouth v Fulham,Fulham Win
4-2,90/1,Bournemouth v Fulham,Fulham Win
4-3,125/1,Bournemouth v Fulham,Fulham Win
5-0,150/1,Bournemouth v Fulham,Fulham Win
5-1,150/1,Bournemouth v Fulham,Fulham Win
5-2,150/1,Bournemouth v Fulham,Fulham Win
6-0,150/1,Bournemouth v Fulham,Fulham Win
6-1,150/1,Bournemouth v Fulham,Fulham Win
6-2,150/1,Bournemouth v Fulham,Fulham Win
7-0,150/1,Bournemouth v Fulham,Fulham Win
7-1,150/1,Bournemouth v Fulham,Fulham Win
8-0,150/1,Bournemouth v Fulham,Fulham Win
9-0,150/1,Bournemouth v Fulham,Fulham Win
