home_team,away_team,player_name,anytime_odds,two_or_more,hatrick
Man Utd,Everton,Rasmus Hojlund,7/5,15/2,33/1
Man Utd,Everton,Marcus Rashford,8/5,9/1,40/1
Man Utd,Everton,Alejandro Garnacho,21/10,12/1,60/1
Man Utd,Everton,Bruno Fernandes,12/5,14/1,70/1
Man Utd,Everton,Amad Diallo,13/5,16/1,90/1
Man Utd,Everton,Omari Forson,10/3,22/1,150/1
Man Utd,Everton,Antony,10/3,22/1,150/1
Man Utd,Everton,Casemiro,15/4,25/1,200/1
Man Utd,Everton,Scott McTominay,3/1,20/1,125/1
Man Utd,Everton,Kobbie Mainoo,6/1,50/1,300/1
Man Utd,Everton,Christian Eriksen,6/1,50/1,300/1
Man Utd,Everton,Harry Maguire,17/2,90/1,500/1
Man Utd,Everton,Sofyan Amrabat,10/1,125/1,500/1
Man Utd,Everton,Diogo Dalot,11/1,150/1,500/1
Man Utd,Everton,Raphael Varane,12/1,200/1,500/1
Man Utd,Everton,Victor Lindelof,14/1,200/1,500/1
Man Utd,Everton,Toby Collyer,14/1,200/1,500/1
Man Utd,Everton,Willy Kambwala,14/1,200/1,500/1
Man Utd,Everton,Jonny Evans,14/1,200/1,500/1
Man Utd,Everton,Habeeb Ogunneye,18/1,250/1,500/1
Man Utd,Everton,Beto,16/5,20/1,125/1
Man Utd,Everton,Lewis Dobbin,16/5,20/1,125/1
Man Utd,Everton,Dominic Calvert-Lewin,29/10,18/1,100/1
Man Utd,Everton,Youssef Chermiti,17/5,22/1,150/1
Man Utd,Everton,Abdoulaye Doucoure,15/4,25/1,200/1
Man Utd,Everton,Dwight McNeil,11/2,45/1,250/1
Man Utd,Everton,Jack Harrison,5/1,40/1,250/1
Man Utd,Everton,Amadou Onana,7/1,60/1,400/1
Man Utd,Everton,Andre Gomes,7/1,65/1,400/1
Man Utd,Everton,Ashley Young,8/1,70/1,500/1
Man Utd,Everton,James Garner,9/1,90/1,500/1
Man Utd,Everton,James Tarkowski,12/1,150/1,500/1
Man Utd,Everton,Vitaliy Mykolenko,12/1,150/1,500/1
Man Utd,Everton,MacKenzie Hunt,12/1,200/1,500/1
Man Utd,Everton,Michael Keane,12/1,150/1,500/1
Man Utd,Everton,Idrissa Gueye,14/1,200/1,500/1
Man Utd,Everton,Jarrad Branthwaite,14/1,200/1,500/1
Man Utd,Everton,Seamus Coleman,20/1,300/1,500/1
Man Utd,Everton,Ben Godfrey,18/1,250/1,500/1
Man Utd,Everton,Nathan Patterson,18/1,250/1,500/1
Bournemouth,Sheffield Utd,Dominic Solanke,8/11,15/4,14/1
Bournemouth,Sheffield Utd,Enes Unal,11/10,6/1,22/1
Bournemouth,Sheffield Utd,Antoine Semenyo,8/5,17/2,40/1
Bournemouth,Sheffield Utd,Luis Sinisterra,15/8,11/1,50/1
Bournemouth,Sheffield Utd,Romain Faivre,11/5,14/1,60/1
Bournemouth,Sheffield Utd,Philip Billing,12/5,16/1,80/1
Bournemouth,Sheffield Utd,Justin Kluivert,2/1,12/1,55/1
Bournemouth,Sheffield Utd,Marcus Tavernier,14/5,18/1,100/1
Bournemouth,Sheffield Utd,Dominic Sadi,13/5,16/1,90/1
Bournemouth,Sheffield Utd,Dango Ouattara,14/5,18/1,100/1
Bournemouth,Sheffield Utd,Alex Scott,19/5,28/1,200/1
Bournemouth,Sheffield Utd,Ryan Christie,9/2,33/1,200/1
Bournemouth,Sheffield Utd,Tyler Adams,8/1,70/1,500/1
Bournemouth,Sheffield Utd,Milos Kerkez,11/1,125/1,500/1
Bournemouth,Sheffield Utd,Maxwell Kinsey-Wellings,12/1,200/1,500/1
Bournemouth,Sheffield Utd,Lewis Cook,12/1,150/1,500/1
Bournemouth,Sheffield Utd,Chris Mepham,12/1,200/1,500/1
Bournemouth,Sheffield Utd,Illya Zabarnyi,14/1,200/1,500/1
Bournemouth,Sheffield Utd,Lloyd Kelly,14/1,200/1,500/1
Bournemouth,Sheffield Utd,Adam Smith,16/1,200/1,500/1
Bournemouth,Sheffield Utd,James McAtee,9/2,35/1,200/1
Bournemouth,Sheffield Utd,Oli McBurnie,18/5,25/1,200/1
Bournemouth,Sheffield Utd,Ben Brereton Diaz,18/5,25/1,200/1
Bournemouth,Sheffield Utd,Billy Blacker,11/2,45/1,300/1
Bournemouth,Sheffield Utd,William Osula,4/1,28/1,200/1
Bournemouth,Sheffield Utd,Gustavo Hamer,11/2,45/1,300/1
Bournemouth,Sheffield Utd,Sydie Peck,17/2,90/1,500/1
