assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,0,2,0,0.9,212,0.0,0.0,0.0,0.43,100,1,0,0.1,0.2,2022-10-09,13,19,0,0,0,0,10,0,3176,0,1,3,0.0,1,-104,65,169,5.7,False,0,212,,,0,0,0.0,10,Sub,West Ham United,Fulham,3,1,18301,2022,554766,0.0,0,0,0,0.0,0.0,0.0,5596,Fulham,Harry Wilson,Harry Wilson,2,3,10,0.2,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.4444444444444444,1.0,0.551,0.249,0.2
0,0,2,0,3.2,212,0.01,0.09,0.08,0.22,103,0,0,1.1,2.2,2022-10-15,28,3,0,0,0,0,11,0,3883,0,2,2,6.0,1,504,640,136,5.7,True,0,212,,,0,1,0.0275056008249521,26,Sub,Fulham,Bournemouth,2,2,18304,2022,555974,0.0,0,0,0,0.0275056008249521,0.1442160010337829,0.1167109981179237,5596,Fulham,Harry Wilson,Harry Wilson,2,2,11,1.2,MID,0.0,0.0,0.0,0.0,0.43,1.0,0.0,0.1,0.2,0.9,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.14,0.33,0.0,0.03,0.07,0.3,0.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.09,0.2,0.0,0.02,0.04,0.18,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,707.0,0.6494845360824743,1.0,0.511,0.252,0.236
0,0,3,0,0.8,212,0.0,0.0,0.0,0.12,116,0,0,0.1,0.0,2022-10-20,5,2,0,0,0,0,12,0,4623,0,0,3,0.0,1,393,615,222,5.7,True,0,212,,,0,0,0.0,4,Sub,Fulham,Aston Villa,3,0,18316,2022,557746,0.0,0,0,0,0.0,0.0,0.0,5596,Fulham,Harry Wilson,Harry Wilson,2,2,12,0.0,MID,0.0,0.01,0.09,0.08,0.22,0.0,0.0,1.1,2.2,3.2,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.14,0.12,1.2,0.0,0.0,0.03,0.03,0.22,0.33,0.0,0.4,0.8,1.37,2.0,13.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,0.67,0.0,0.33,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.04,0.47,0.0,0.0,0.02,0.02,0.13,0.2,0.0,0.24,0.48,0.82,1.2,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.4,0.0,0.2,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.02,0.28,740.0,0.4695340501792114,1.0,0.329,0.289,0.382
0,0,6,0,1.3,212,0.0,0.08,0.08,1.04,124,1,0,3.2,0.2,2022-10-23,62,11,0,0,0,0,13,0,4703,1,3,2,30.0,2,112,508,396,5.7,False,0,212,,,0,2,0.1414429992437362,65,AMR,Leeds United,Fulham,2,3,18325,2022,558833,0.0,0,0,0,0.1414429992437362,0.5152009725570679,0.3737579882144928,5596,Fulham,Harry Wilson,Harry Wilson,2,2,13,1.0,MID,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.1,0.0,0.8,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.26,0.33,0.0,0.43,0.8,1.63,2.0,15.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.67,1.0,0.0,0.33,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.04,0.47,0.0,0.0,0.02,0.02,0.15,0.2,0.0,0.26,0.48,0.98,1.2,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.6,0.6,0.0,0.2,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.02,0.28,80.0,0.1238938053097345,2.0,0.464,0.272,0.264
0,0,1,0,11.2,212,0.02,0.07,0.05,0.0,136,0,0,1.4,0.0,2022-10-29,23,8,0,0,0,0,14,0,5030,0,0,0,4.0,1,95,596,501,5.7,True,0,212,,,0,1,0.0249135997146368,22,Sub,Fulham,Everton,0,0,18337,2022,560360,0.0923897996544838,0,1,0,0.0249135997146368,0.1173029989004135,0.0,5596,Fulham,Harry Wilson,Harry Wilson,2,2,14,1.0,MID,0.0,0.0,0.08,0.08,1.04,1.0,0.0,3.2,0.2,1.3,30.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,2.0,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.52,0.37,1.0,0.0,0.0,0.06,0.05,0.46,0.33,0.0,1.47,0.8,1.77,12.0,31.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.67,2.33,1.33,0.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.22,0.16,0.73,0.0,0.0,0.03,0.03,0.36,0.4,0.0,0.9,0.52,1.24,7.2,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,2.0,1.0,0.0,0.6,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.13,0.1,0.48,327.0,0.0865998176845943,1.0,0.402,0.28,0.318
1,0,15,0,2.6,212,0.0,0.13,0.13,1.12,145,1,0,0.8,0.0,2022-11-05,75,13,0,0,0,0,15,0,5324,1,1,2,6.0,5,89,770,681,5.7,False,0,212,,,0,1,0.0519757010042667,79,AMR,Manchester City,Fulham,2,1,18346,2022,561902,0.0,0,0,0,0.0519757010042667,0.0519757010042667,0.0,5596,Fulham,Harry Wilson,Harry Wilson,2,5,15,1.0,MID,0.0,0.02,0.07,0.05,0.0,0.0,0.0,1.4,0.0,11.2,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.02,0.09,0.0,0.0,1.0,0.0,0.02,0.12,0.0,1.0,0.0,0.01,0.05,0.04,0.39,0.33,0.0,1.57,0.07,4.43,11.33,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,1.67,1.33,0.0,1.0,0.06,0.03,0.0,0.0,0.33,0.0,0.06,0.21,0.12,0.67,0.0,0.01,0.05,0.04,0.36,0.4,0.0,1.18,0.52,3.48,8.0,26.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,2.0,1.2,0.0,0.8,0.04,0.02,0.0,0.0,0.2,0.0,0.04,0.16,0.1,0.68,294.0,0.0613370089593383,5.0,0.851,0.099,0.05
0,0,2,0,2.5,212,0.02,0.09,0.07,2.08,153,1,0,1.7,5.8,2022-11-13,58,14,0,0,0,0,16,0,5733,1,2,1,9.0,1,145,551,406,5.7,True,0,212,,,0,1,0.0362371988594532,60,AMR,Fulham,Manchester United,1,2,18354,2022,565336,0.0,0,0,0,0.0362371988594532,0.0848879963159561,0.0486508011817932,5596,Fulham,Harry Wilson,Harry Wilson,3,2,16,2.3,MID,0.0,0.0,0.13,0.13,1.12,1.0,0.0,0.8,0.0,2.6,6.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,1.0,0.05,0.0,1.0,0.0,0.0,0.0,0.05,0.05,0.0,1.0,0.0,0.01,0.09,0.09,0.72,0.67,0.0,1.8,0.07,5.03,13.33,53.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,1.33,2.67,0.0,1.33,0.07,0.03,0.33,0.0,0.33,0.0,0.07,0.23,0.12,1.0,0.0,0.01,0.07,0.07,0.5,0.4,0.0,1.32,0.48,3.82,9.2,38.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,1.8,2.0,0.0,1.0,0.05,0.02,0.2,0.0,0.2,0.0,0.05,0.17,0.1,0.84,409.0,0.1515151515151515,1.0,0.25,0.25,0.5
0,0,3,0,11.7,212,0.09,0.17,0.08,0.14,165,0,0,2.2,0.2,2022-12-26,9,7,0,0,0,0,17,0,6528,0,3,0,10.0,1,357,1597,1240,5.7,False,0,212,,,0,1,0.0537323988974094,7,Sub,Crystal Palace,Fulham,0,3,18366,2022,565594,0.095558300614357,0,1,0,0.0537323988974094,0.1492909938097,0.095558300614357,5596,Fulham,Harry Wilson,Harry Wilson,2,2,17,1.0,MID,0.0,0.02,0.09,0.07,2.08,1.0,0.0,1.7,5.8,2.5,9.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.05,2.3,0.0,0.01,0.1,0.08,1.07,0.67,0.0,1.3,1.93,5.43,6.33,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,1.0,2.33,0.0,1.0,0.04,0.03,0.33,0.0,0.33,0.0,0.04,0.08,0.02,1.43,0.0,0.01,0.07,0.07,0.87,0.6,0.0,1.44,1.2,3.68,9.8,44.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,1.6,2.0,0.0,1.0,0.05,0.02,0.2,0.0,0.2,0.0,0.05,0.15,0.08,1.06,795.0,0.1258371519210433,1.0,0.464,0.264,0.272
0,0,0,0,0.8,212,0.0,0.62,0.62,0.37,188,0,0,1.0,5.0,2023-01-03,24,10,0,0,0,0,19,0,6611,0,1,0,4.0,1,47,517,470,5.7,False,0,212,,,0,1,0.5465880036354065,20,Sub,Leicester,Fulham,0,1,18389,2022,567016,0.0,0,0,0,0.5465880036354065,0.5465880036354065,0.0,5596,Fulham,Harry Wilson,Harry Wilson,2,3,19,1.1,MID,0.0,0.09,0.17,0.08,0.14,0.0,0.0,2.2,0.2,11.7,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.05,0.1,0.0,0.0,1.0,0.0,0.05,0.15,0.1,1.0,0.0,0.04,0.13,0.09,1.11,0.67,0.0,1.57,2.0,5.6,8.33,47.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,2.0,1.0,2.33,0.0,1.0,0.05,0.03,0.33,0.0,0.33,0.0,0.05,0.1,0.05,1.43,0.0,0.03,0.11,0.08,0.88,0.6,0.0,1.86,1.24,5.86,11.8,45.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.8,1.0,2.0,0.0,1.2,0.06,0.04,0.2,0.0,0.4,0.0,0.06,0.18,0.1,1.26,83.0,0.0476190476190476,1.0,0.431,0.263,0.306
0,0,4,0,2.2,212,0.01,0.01,0.0,0.09,64,0,0,0.4,1.4,2023-01-12,22,6,0,0,0,0,19,0,6611,0,1,2,0.0,1,47,517,470,5.7,True,0,212,,,0,0,0.0,19,Sub,Fulham,Chelsea,2,1,18262,2022,568541,0.0,0,0,0,0.0,0.0,0.0,5596,Fulham,Harry Wilson,Harry Wilson,3,2,19,1.1,MID,0.0,0.0,0.62,0.62,0.37,0.0,0.0,1.0,5.0,0.8,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.55,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.0,1.1,0.0,0.04,0.29,0.26,0.86,0.33,0.0,1.63,3.67,5.0,7.67,30.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.0,0.33,1.0,0.0,1.0,0.21,0.03,0.0,0.0,0.33,0.0,0.21,0.26,0.05,1.47,0.0,0.03,0.22,0.19,0.74,0.4,0.0,1.42,2.2,5.76,6.6,37.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.4,0.6,1.8,0.0,1.0,0.14,0.04,0.2,0.0,0.4,0.0,0.14,0.19,0.03,1.28,0.0,0.0476190476190476,1.0,0.288,0.271,0.441
