assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
1,2,25,0,78.8,233,0.34,0.34,0.0,1.84,5,1,0,12.4,34.8,2022-08-06,90,20,0,0,0,0,1,0,79451,1,1,2,10.0,6,0,0,0,6.0,True,1,0,0,0.0,90,Leeds,Wolverhampton Wanderers,2,1,18205,2022,539434,0.6699730157852173,1,7,0,0.0,0.4402649998664856,0.0,Leeds,2,2,1,1.7,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,0.423,0.28,0.297
1,0,18,0,52.2,233,0.15,0.15,0.0,1.16,19,2,0,9.0,34.2,2022-08-13,83,17,0,0,0,0,2,0,124577,1,2,2,4.0,4,24966,38427,13461,6.0,False,1,0,0,0.0,88,Southampton,Leeds,2,2,18215,2022,540609,0.530689001083374,1,4,0,0.0,0.7421110272407532,0.22256900370121,Leeds,2,2,2,4.5,MID,0.0,0.34,0.34,0.0,1.84,1.0,0.0,12.4,34.8,78.8,10.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,0.67,1.0,1.0,7.0,0.0,0.0,0.44,0.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45126.0,0.4811517113783534,4.0,0.422,0.271,0.306
1,3,43,1,15.8,233,0.1,0.64,0.54,0.88,25,0,1,13.5,67.4,2022-08-21,82,6,0,0,0,0,3,0,126900,1,0,3,52.0,14,-1117,24168,25285,6.0,True,0,1,2,0.9834870100021362,85,Leeds,Chelsea,3,0,18228,2022,543079,0.0959787964820861,1,1,1,0.9834870100021362,1.5285099744796753,0.5450199842453003,Leeds,3,2,3,7.0,MID,0.0,0.15,0.15,0.0,1.16,2.0,0.0,9.0,34.2,52.2,4.0,83.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.53,1.0,1.0,4.0,0.0,0.0,0.74,0.22,4.5,0.0,0.24,0.24,0.0,1.5,1.5,0.0,10.7,34.5,65.5,7.0,86.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.5,2.0,5.0,0.0,0.0,0.0,0.6,1.0,1.0,5.5,0.0,0.0,0.59,0.11,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2323.0,-0.0225871029057893,11.0,0.166,0.212,0.623
0,0,7,0,11.9,233,0.05,0.09,0.04,2.02,34,1,0,3.8,8.2,2022-08-27,73,5,0,0,0,0,4,0,373863,1,0,1,18.0,2,199491,235964,36473,6.0,False,0,0,1,0.0401332005858421,77,Brighton,Leeds,1,0,18234,2022,544422,0.0701372027397155,0,1,0,0.0401332005858421,0.1102700009942054,0.0701372027397155,Leeds,2,3,4,6.0,MID,1.0,0.1,0.64,0.54,0.88,0.0,1.0,13.5,67.4,15.8,52.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,14.0,1.0,2.0,0.98,0.1,1.0,1.0,1.0,1.0,0.98,1.53,0.55,7.0,0.5,0.12,0.4,0.27,1.02,1.0,0.5,11.25,50.8,34.0,28.0,82.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,2.5,9.0,0.5,1.0,0.49,0.31,1.0,1.0,2.5,0.5,0.49,1.14,0.38,5.75,0.33,0.2,0.38,0.18,1.29,1.0,0.33,11.63,45.47,48.93,22.0,85.0,0.0,0.0,0.0,0.0,0.67,0.0,1.0,1.0,2.33,8.0,0.33,0.67,0.33,0.43,1.0,1.0,4.0,0.33,0.33,0.9,0.26,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246963.0,0.73224635420299,2.0,0.5,0.25,0.25
0,0,-5,0,37.4,233,0.16,0.36,0.2,1.0,45,1,0,7.9,7.6,2022-08-30,90,8,0,0,0,0,5,0,435313,1,1,1,34.0,2,52410,113094,60684,6.1,True,0,0,2,0.0926543027162551,90,Leeds,Everton,1,1,18245,2022,545985,0.099144697189331,0,2,0,0.0926543027162551,0.8444859981536865,0.7518320083618164,Leeds,2,2,5,5.1,MID,0.0,0.05,0.09,0.04,2.02,1.0,0.0,3.8,8.2,11.9,18.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.04,0.07,0.0,0.0,1.0,0.0,0.04,0.11,0.07,6.0,0.5,0.08,0.36,0.29,1.45,0.5,0.5,8.65,37.8,13.85,35.0,77.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,0.5,1.5,0.51,0.08,0.5,0.5,1.0,0.5,0.51,0.82,0.31,6.5,0.33,0.1,0.29,0.19,1.35,1.0,0.33,8.77,36.6,26.63,24.67,79.33,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,2.0,6.67,0.33,1.0,0.34,0.23,0.67,0.67,2.0,0.33,0.34,0.79,0.28,5.83,0.25,0.16,0.3,0.15,1.48,1.0,0.25,9.68,36.15,39.67,21.0,82.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.75,2.0,6.5,0.25,0.75,0.26,0.34,0.75,0.75,3.25,0.25,0.26,0.71,0.21,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61450.0,0.3015916859441356,2.0,0.441,0.271,0.288
0,0,6,0,27.7,233,0.15,0.15,0.0,1.1,52,2,0,3.5,5.4,2022-09-03,45,4,0,0,0,0,6,0,647604,1,2,5,2.0,1,191169,264390,73221,6.1,False,0,0,0,0.0,49,Brentford,Leeds,5,2,18257,2022,547238,0.0757154002785682,0,1,0,0.0,0.1087400019168853,0.0330246016383171,Leeds,2,3,6,4.1,MID,0.0,0.16,0.36,0.2,1.0,1.0,0.0,7.9,7.6,37.4,34.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.09,0.1,0.0,0.0,2.0,0.0,0.09,0.84,0.75,5.1,0.0,0.1,0.22,0.12,1.51,1.0,0.0,5.85,7.9,24.65,26.0,81.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,0.0,1.5,0.07,0.08,0.0,0.0,1.5,0.0,0.07,0.48,0.41,5.55,0.33,0.1,0.36,0.26,1.3,0.67,0.33,8.4,27.73,21.7,34.67,81.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,1.67,6.0,0.33,1.67,0.37,0.09,0.33,0.33,1.33,0.33,0.37,0.83,0.46,6.03,0.25,0.12,0.31,0.2,1.27,1.0,0.25,8.55,29.35,29.33,27.0,82.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.75,1.75,5.5,0.25,1.25,0.28,0.2,0.5,0.5,2.0,0.25,0.28,0.81,0.4,5.65,0.2,0.16,0.32,0.16,1.38,1.0,0.2,9.32,30.44,39.22,23.6,83.6,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.8,1.8,5.6,0.2,1.0,0.22,0.29,0.6,0.6,3.0,0.2,0.22,0.73,0.32,4.86,212291.0,0.5662404364786693,1.0,0.451,0.271,0.279
0,0,3,1,0.7,233,0.03,0.03,0.0,1.91,85,0,0,0.1,0.0,2022-10-02,78,2,0,0,0,0,9,0,485857,1,0,0,2.0,3,-20459,43512,63971,6.2,True,0,0,0,0.0,84,Leeds,Aston Villa,0,0,18286,2022,553298,0.0,0,0,0,0.0,0.0998992025852203,0.0998992025852203,Leeds,2,2,9,3.0,MID,0.0,0.15,0.15,0.0,1.1,2.0,0.0,3.5,5.4,27.7,2.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.08,0.0,0.0,1.0,0.0,0.0,0.11,0.03,4.1,0.0,0.15,0.25,0.1,1.05,1.5,0.0,5.7,6.5,32.55,18.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,3.0,1.5,0.0,1.0,0.05,0.09,0.0,0.0,1.5,0.0,0.05,0.48,0.39,4.6,0.0,0.12,0.2,0.08,1.37,1.33,0.0,5.07,7.07,25.67,18.0,69.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.33,1.67,0.0,1.0,0.04,0.08,0.0,0.0,1.33,0.0,0.04,0.35,0.28,5.07,0.25,0.12,0.31,0.2,1.25,1.0,0.25,7.18,22.15,23.2,26.5,72.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,2.5,4.75,0.25,1.25,0.28,0.09,0.25,0.25,1.25,0.25,0.28,0.65,0.35,5.55,0.2,0.12,0.28,0.16,1.23,1.2,0.2,7.54,24.56,29.0,22.0,74.6,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.0,2.4,4.6,0.2,1.0,0.22,0.17,0.4,0.4,1.8,0.2,0.22,0.67,0.32,5.34,-161747.0,-0.190346380357824,3.0,0.404,0.279,0.317
0,0,7,0,16.0,233,0.19,0.23,0.04,1.08,95,2,0,4.4,14.6,2022-10-09,90,7,0,0,0,0,10,0,407695,1,1,2,13.0,2,-76647,9056,85703,6.1,False,0,0,1,0.0122052002698183,90,Crystal Palace,Leeds,2,1,18296,2022,554732,0.0609247013926506,0,1,0,0.0122052002698183,0.1291850060224533,0.1169790029525756,Leeds,2,2,10,2.5,MID,1.0,0.03,0.03,0.0,1.91,0.0,0.0,0.1,0.0,0.7,2.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,0.5,0.09,0.09,0.0,1.5,1.0,0.0,1.8,2.7,14.2,2.0,61.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.5,2.0,0.0,0.0,0.0,0.04,0.0,0.0,0.5,0.0,0.0,0.1,0.07,3.55,0.33,0.11,0.18,0.07,1.34,1.0,0.0,3.83,4.33,21.93,12.67,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.67,0.03,0.06,0.0,0.0,1.0,0.0,0.03,0.35,0.29,4.07,0.25,0.1,0.16,0.06,1.51,1.0,0.0,3.82,5.3,19.42,14.0,71.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,1.75,2.0,0.0,0.75,0.03,0.06,0.0,0.0,1.0,0.0,0.03,0.29,0.24,4.55,0.4,0.1,0.25,0.16,1.38,0.8,0.2,5.76,17.72,18.7,21.6,73.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,2.0,4.4,0.2,1.0,0.22,0.07,0.2,0.2,1.0,0.2,0.22,0.54,0.3,5.04,-78162.0,-0.8088624827193195,2.0,0.464,0.272,0.264
0,0,11,0,24.9,233,0.24,0.28,0.04,0.48,104,1,0,3.3,4.8,2022-10-16,75,1,0,0,0,0,11,0,357185,1,1,0,3.0,2,-51964,3557,55521,6.1,True,0,0,1,0.0528169982135295,77,Leeds,Arsenal,0,1,18305,2022,556765,0.3109849989414215,0,2,0,0.0528169982135295,0.5234130024909973,0.1596110016107559,Leeds,4,2,11,1.8,MID,0.0,0.19,0.23,0.04,1.08,2.0,0.0,4.4,14.6,16.0,13.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.01,0.06,0.0,0.0,1.0,0.0,0.01,0.13,0.12,2.5,0.5,0.11,0.13,0.02,1.5,1.0,0.0,2.25,7.3,8.35,7.5,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.5,0.0,0.5,0.01,0.03,0.0,0.0,0.5,0.0,0.01,0.11,0.11,2.75,0.33,0.12,0.14,0.01,1.36,1.33,0.0,2.67,6.67,14.8,5.67,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.33,2.0,0.0,0.33,0.0,0.05,0.0,0.0,0.67,0.0,0.0,0.11,0.08,3.2,0.25,0.13,0.19,0.06,1.27,1.25,0.0,3.97,6.9,20.45,12.75,75.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.75,0.03,0.06,0.0,0.0,1.0,0.0,0.03,0.3,0.25,3.68,0.2,0.12,0.17,0.06,1.42,1.2,0.0,3.94,7.16,18.74,13.8,75.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,1.8,2.0,0.0,0.8,0.03,0.06,0.0,0.0,1.0,0.0,0.03,0.26,0.21,4.14,-50510.0,-0.8795829242696097,2.0,0.159,0.227,0.614
0,0,2,0,0.6,233,0.01,0.01,0.0,0.26,117,0,0,0.5,0.6,2022-10-20,25,10,0,0,0,0,12,0,339370,0,0,2,4.0,1,-10235,10391,20626,6.0,False,0,0,0,0.0,23,Leicester,Leeds,2,0,18317,2022,557824,0.0,0,0,0,0.0,0.0,0.0,Leeds,2,3,12,0.0,MID,0.0,0.24,0.28,0.04,0.48,1.0,0.0,3.3,4.8,24.9,3.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.05,0.31,0.0,0.0,2.0,0.0,0.05,0.52,0.16,1.8,0.0,0.22,0.25,0.04,0.78,1.5,0.0,3.85,9.7,20.45,8.0,82.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.03,0.19,0.0,0.0,1.5,0.0,0.03,0.33,0.14,2.15,0.33,0.15,0.18,0.03,1.16,1.0,0.0,2.6,6.47,13.87,6.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,0.67,2.33,0.0,0.67,0.02,0.12,0.0,0.0,1.0,0.0,0.02,0.25,0.13,2.43,0.25,0.15,0.17,0.02,1.14,1.25,0.0,2.82,6.2,17.32,5.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.75,2.0,0.0,0.5,0.02,0.11,0.0,0.0,1.0,0.0,0.02,0.22,0.1,2.85,0.2,0.15,0.21,0.06,1.11,1.2,0.0,3.84,6.48,21.34,10.8,75.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.6,2.0,0.0,0.8,0.03,0.11,0.0,0.0,1.2,0.0,0.03,0.34,0.23,3.3,-17815.0,-0.3299803333655737,1.0,0.421,0.263,0.316
