assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,0,1,0,4.7,274,0.07,0.07,0.0,0.79,4,1,0,1.6,3.2,2022-08-06,31,9,0,0,0,0,1,0,62173,0,2,2,8.0,1,0,0,0,4.5,False,0,0,0,0.0,29,Fulham,Liverpool,2,2,18203,2022,539209,0.0,0,0,0,0.0,0.1166720017790794,0.1166720017790794,Liverpool,4,2,1,2.5,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.086,0.158,0.756
1,0,22,0,26.3,274,0.23,0.27,0.04,0.48,16,1,0,6.1,25.0,2022-08-15,62,7,0,0,0,0,2,0,78404,1,1,1,10.0,5,2515,11062,8547,4.5,True,0,0,1,0.084419697523117,66,Liverpool,Crystal Palace,1,1,18221,2022,541878,0.1132439970970153,1,2,0,0.084419697523117,0.6631190180778503,0.5457749962806702,Liverpool,2,4,2,4.0,MID,0.0,0.07,0.07,0.0,0.79,1.0,0.0,1.6,3.2,4.7,8.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16231.0,0.1282574328114641,5.0,0.801,0.14,0.059
0,0,13,0,12.3,274,0.32,0.53,0.21,1.72,27,2,0,5.2,5.2,2022-08-22,72,14,0,0,0,0,3,0,138748,1,1,2,34.0,2,40295,60877,20582,4.5,False,0,0,2,0.1513520032167434,74,Manchester United,Liverpool,2,1,18231,2022,543837,0.6057789921760559,0,1,0,0.1513520032167434,0.7012460231781006,0.09546659886837,Liverpool,4,4,3,3.2,MID,0.0,0.23,0.27,0.04,0.48,1.0,0.0,6.1,25.0,26.3,10.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,0.08,0.11,1.0,1.0,2.0,0.0,0.08,0.66,0.55,4.0,0.0,0.15,0.17,0.02,0.64,1.0,0.0,3.85,14.1,15.5,9.0,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,1.5,3.0,0.0,0.5,0.04,0.06,0.5,0.5,1.0,0.0,0.04,0.39,0.33,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60344.0,0.4946660283087197,2.0,0.182,0.221,0.597
0,0,4,0,1.2,274,0.02,0.08,0.06,0.0,36,0,0,2.3,4.4,2022-08-27,21,3,0,0,0,0,4,0,137801,0,0,9,17.0,1,-3543,21797,25340,4.5,True,0,0,1,0.0606271997094154,19,Liverpool,Bournemouth,9,0,18236,2022,544471,0.0,0,0,0,0.0606271997094154,0.0606271997094154,0.0,Liverpool,2,4,4,3.7,MID,0.0,0.32,0.53,0.21,1.72,2.0,0.0,5.2,5.2,12.3,34.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.15,0.61,0.0,0.0,1.0,0.0,0.15,0.7,0.1,3.2,0.0,0.28,0.4,0.12,1.1,1.5,0.0,5.65,15.1,19.3,22.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,3.5,0.0,1.5,0.12,0.36,0.5,0.5,1.5,0.0,0.12,0.68,0.32,3.6,0.0,0.21,0.29,0.08,1.0,1.33,0.0,4.3,11.13,14.43,17.33,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,1.67,2.67,0.0,1.0,0.08,0.24,0.33,0.33,1.0,0.0,0.08,0.49,0.25,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-947.0,-0.0751638839977088,1.0,0.868,0.095,0.037
0,0,7,0,19.8,274,0.05,0.05,0.0,0.06,48,0,0,2.9,7.0,2022-08-31,19,15,0,0,0,0,5,0,130525,0,1,2,2.0,1,-10281,11916,22197,4.5,True,0,0,0,0.0,15,Liverpool,Newcastle United,2,1,18250,2022,546445,0.0818768963217735,0,2,0,0.0,0.0,0.0,Liverpool,3,4,5,3.0,MID,0.0,0.02,0.08,0.06,0.0,0.0,0.0,2.3,4.4,1.2,17.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,3.7,0.0,0.17,0.3,0.14,0.86,1.0,0.0,3.75,4.8,6.75,25.5,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,5.5,1.5,0.0,1.5,0.11,0.3,0.0,0.0,0.5,0.0,0.11,0.38,0.05,3.45,0.0,0.19,0.29,0.1,0.73,1.0,0.0,4.53,11.53,13.27,20.33,51.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,4.0,2.67,0.0,1.33,0.1,0.24,0.33,0.33,1.0,0.0,0.1,0.47,0.21,3.63,0.0,0.16,0.24,0.08,0.75,1.0,0.0,3.8,9.45,11.12,17.25,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,3.5,2.25,0.0,1.0,0.07,0.18,0.25,0.25,0.75,0.0,0.07,0.39,0.19,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7276.0,-0.3013807053029637,1.0,0.714,0.181,0.105
0,0,5,0,4.5,274,0.06,0.06,0.0,0.75,55,0,0,1.0,5.0,2022-09-03,31,8,0,0,0,0,6,0,128429,0,0,0,0.0,1,-5638,13253,18891,4.5,False,0,0,0,0.0,29,Everton,Liverpool,0,0,18252,2022,546873,0.0,0,0,0,0.0,0.0795214995741844,0.0795214995741844,Liverpool,4,2,6,3.0,MID,0.0,0.05,0.05,0.0,0.06,0.0,0.0,2.9,7.0,19.8,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.08,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.03,0.06,0.03,0.03,0.0,0.0,2.6,5.7,10.5,9.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.5,1.0,0.0,0.5,0.03,0.04,0.0,0.0,1.0,0.0,0.03,0.03,0.0,3.35,0.0,0.13,0.22,0.09,0.59,0.67,0.0,3.47,5.53,11.1,17.67,37.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,4.33,1.33,0.0,1.0,0.07,0.23,0.0,0.0,1.0,0.0,0.07,0.25,0.03,3.3,0.0,0.16,0.23,0.08,0.56,0.75,0.0,4.12,10.4,14.9,15.75,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,3.5,2.25,0.0,1.0,0.07,0.2,0.25,0.25,1.25,0.0,0.07,0.36,0.16,3.48,0.0,0.14,0.2,0.06,0.61,0.8,0.0,3.62,8.96,12.86,14.2,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,3.2,2.0,0.0,0.8,0.06,0.16,0.2,0.2,1.0,0.0,0.06,0.31,0.15,3.28,-2096.0,-0.1753982080637132,1.0,0.134,0.197,0.669
0,0,2,0,1.2,274,0.0,0.0,0.0,0.52,87,1,0,0.1,0.0,2022-10-01,31,5,0,0,0,0,9,0,112993,0,3,3,0.0,1,-5282,3475,8757,4.5,True,0,0,0,0.0,28,Liverpool,Brighton,3,3,18288,2022,552344,0.0,0,0,0,0.0,0.0393266007304191,0.0393266007304191,Liverpool,3,4,9,2.0,MID,0.0,0.06,0.06,0.0,0.75,0.0,0.0,1.0,5.0,4.5,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,3.0,0.0,0.05,0.06,0.0,0.4,0.0,0.0,1.95,6.0,12.15,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.04,0.0,0.0,1.0,0.0,0.0,0.04,0.04,3.0,0.0,0.04,0.06,0.02,0.27,0.0,0.0,2.07,5.47,8.5,6.33,23.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,3.67,1.0,0.0,0.33,0.02,0.03,0.0,0.0,0.67,0.0,0.02,0.05,0.03,3.23,0.0,0.11,0.18,0.07,0.63,0.5,0.0,2.85,5.4,9.45,13.25,35.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,3.25,1.25,0.0,0.75,0.05,0.17,0.0,0.0,0.75,0.0,0.05,0.21,0.04,3.22,0.0,0.14,0.2,0.06,0.6,0.6,0.0,3.5,9.32,12.82,12.6,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,2.8,2.0,0.0,0.8,0.06,0.16,0.2,0.2,1.0,0.0,0.06,0.3,0.14,3.38,-15436.0,-0.4318181818181818,1.0,0.709,0.18,0.111
0,0,9,1,1.4,274,0.02,0.06,0.04,0.98,106,0,0,2.0,15.0,2022-10-16,90,13,0,0,0,0,11,0,102239,1,0,1,4.0,3,-5717,1680,7397,4.5,True,0,0,1,0.0542775988578796,90,Liverpool,Manchester City,1,0,18307,2022,556877,0.0,0,0,0,0.0542775988578796,0.0,0.0,Liverpool,5,4,11,1.3,MID,0.0,0.0,0.0,0.0,0.52,1.0,0.0,0.1,0.0,1.2,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,2.0,0.0,0.03,0.03,0.0,0.64,0.5,0.0,0.55,2.5,2.85,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,2.5,0.0,0.04,0.04,0.0,0.44,0.33,0.0,1.33,4.0,8.5,0.67,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.67,1.0,0.0,0.0,0.0,0.03,0.0,0.0,0.67,0.0,0.0,0.04,0.04,2.67,0.0,0.03,0.05,0.02,0.33,0.25,0.0,1.58,4.1,6.68,4.75,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,1.0,0.0,0.25,0.02,0.02,0.0,0.0,0.5,0.0,0.02,0.04,0.03,2.92,0.0,0.09,0.14,0.05,0.61,0.6,0.0,2.3,4.32,7.8,10.6,34.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,3.2,1.2,0.0,0.6,0.04,0.14,0.0,0.0,0.6,0.0,0.04,0.18,0.04,2.98,-10754.0,-0.6298336454775807,3.0,0.264,0.237,0.499
0,0,6,0,21.1,274,0.04,0.04,0.0,0.59,118,0,0,3.1,7.4,2022-10-19,9,19,0,0,0,0,12,0,99729,0,0,1,2.0,1,-900,3179,4079,4.4,True,0,0,0,0.0,7,Liverpool,West Ham,1,0,18320,2022,557532,0.1195190027356147,0,2,0,0.0,0.2878789901733398,0.1683599948883056,Liverpool,2,4,12,0.0,MID,1.0,0.02,0.06,0.04,0.98,0.0,0.0,2.0,15.0,1.4,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,1.3,0.5,0.01,0.03,0.02,0.75,0.5,0.0,1.05,7.5,1.3,2.0,60.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,2.0,2.0,0.0,0.5,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.02,1.65,0.33,0.03,0.04,0.01,0.75,0.33,0.0,1.03,6.67,2.37,1.33,50.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,1.33,1.67,0.0,0.33,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.04,2.1,0.25,0.03,0.04,0.01,0.58,0.25,0.0,1.5,6.75,6.72,1.5,42.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1.5,1.5,0.0,0.25,0.01,0.02,0.0,0.0,0.5,0.0,0.01,0.03,0.03,2.33,0.2,0.03,0.05,0.02,0.46,0.2,0.0,1.66,6.28,5.62,4.6,38.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,3.0,1.4,0.0,0.4,0.02,0.02,0.0,0.0,0.4,0.0,0.02,0.04,0.02,2.6,-2510.0,-0.1240011022320198,1.0,0.676,0.189,0.135
0,0,17,0,50.2,274,0.5,0.5,0.0,1.37,126,1,0,7.9,27.2,2022-10-22,61,16,0,0,0,0,13,0,101830,1,0,1,2.0,2,-658,3508,4166,4.4,False,0,0,0,0.0,63,Nottingham Forest,Liverpool,1,0,18327,2022,557970,0.2480220049619674,0,3,0,0.0,0.5070430040359497,0.5070430040359497,Liverpool,4,2,13,2.9,MID,0.0,0.04,0.04,0.0,0.59,0.0,0.0,3.1,7.4,21.1,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.12,0.0,0.0,2.0,0.0,0.0,0.29,0.17,0.0,0.5,0.03,0.05,0.02,0.78,0.0,0.0,2.55,11.2,11.25,3.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,2.0,0.0,0.5,0.03,0.06,0.0,0.0,1.0,0.0,0.03,0.14,0.08,0.65,0.33,0.02,0.03,0.01,0.7,0.33,0.0,1.73,7.47,7.9,2.0,43.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,1.67,1.67,0.0,0.33,0.02,0.04,0.0,0.0,0.67,0.0,0.02,0.11,0.07,1.1,0.25,0.03,0.04,0.01,0.71,0.25,0.0,1.55,6.85,7.05,1.5,40.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,1.25,1.5,0.0,0.25,0.01,0.03,0.0,0.0,0.5,0.0,0.01,0.1,0.07,1.58,0.2,0.03,0.04,0.01,0.58,0.2,0.0,1.82,6.88,9.6,1.6,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1.4,1.4,0.0,0.2,0.01,0.04,0.0,0.0,0.8,0.0,0.01,0.08,0.06,1.86,2101.0,-0.0857440708887151,2.0,0.086,0.158,0.756
