assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,0,7,0,0.8,524,0.0,0.02,0.02,1.21,7,1,0,2.1,12.4,2022-08-06,74,15,0,0,0,0,1,0,4256,1,0,2,8.0,1,0,0,0,5.0,False,1,0,1,0.0164886992424726,77,Newcastle United,Nottingham Forest,2,0,18206,2022,539476,0.0,0,0,0,0.0164886992424726,0.1342159956693649,0.1177269965410232,Nottingham Forest,2,4,1,1.1,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.57,0.249,0.18
0,0,9,1,2.0,524,0.01,0.01,0.0,2.29,18,0,0,1.6,13.8,2022-08-14,90,19,0,0,0,0,2,0,4639,1,0,1,0.0,3,-337,182,519,5.0,True,0,0,0,0.0,90,Nottingham Forest,West Ham,1,0,18219,2022,541259,0.0,0,0,0,0.0,0.2026509940624237,0.2026509940624237,Nottingham Forest,2,2,2,1.5,MID,0.0,0.0,0.02,0.02,1.21,1.0,0.0,2.1,12.4,0.8,8.0,74.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.13,0.12,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.0,-0.4807417974322396,3.0,0.225,0.263,0.512
0,0,4,0,11.4,524,0.05,0.12,0.07,1.51,23,1,0,1.8,2.4,2022-08-20,90,8,0,0,0,0,3,0,6212,1,1,1,4.0,2,831,1602,771,5.0,False,0,0,2,0.051256600767374,90,Everton,Nottingham Forest,1,1,18224,2022,542360,0.0925851985812187,0,1,0,0.051256600767374,0.2371450066566467,0.0933033004403114,Nottingham Forest,2,2,3,1.5,MID,1.0,0.01,0.01,0.0,2.29,0.0,0.0,1.6,13.8,2.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.5,0.5,0.0,0.02,0.01,1.75,0.5,0.0,1.85,13.1,1.4,4.0,82.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.5,2.0,0.0,0.5,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.17,0.16,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1573.0,0.3501896333754741,2.0,0.499,0.264,0.237
0,0,12,0,15.8,524,0.05,0.07,0.02,1.56,38,1,0,3.4,8.8,2022-08-28,74,18,0,0,0,0,4,0,5641,1,2,0,9.0,1,-803,323,1126,5.0,True,1,0,1,0.0156054999679327,76,Nottingham Forest,Tottenham,0,2,18241,2022,545393,0.0179025009274482,0,1,0,0.0156054999679327,0.249097004532814,0.2311950027942657,Nottingham Forest,3,2,4,0.8,MID,0.0,0.05,0.12,0.07,1.51,1.0,0.0,1.8,2.4,11.4,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.05,0.09,0.0,0.0,1.0,0.0,0.05,0.24,0.09,1.5,0.5,0.03,0.06,0.04,1.9,0.5,0.0,1.7,8.1,6.7,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.5,0.0,1.0,0.03,0.05,0.0,0.0,0.5,0.0,0.03,0.22,0.15,1.5,0.33,0.02,0.05,0.03,1.67,0.67,0.0,1.83,9.53,4.73,4.0,84.67,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.33,1.33,2.0,0.0,1.0,0.02,0.03,0.0,0.0,0.33,0.0,0.02,0.19,0.14,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-571.0,-0.5541752933057281,1.0,0.135,0.206,0.658
0,0,12,0,21.3,524,0.03,0.03,0.0,3.32,49,6,0,3.6,15.0,2022-08-31,90,13,0,0,0,0,5,0,5476,1,0,6,0.0,2,-494,245,739,5.0,False,0,0,0,0.0,90,Manchester City,Nottingham Forest,6,0,18246,2022,546334,0.0686174035072326,0,2,0,0.0,0.3269369900226593,0.2830730080604553,Nottingham Forest,2,5,5,0.3,MID,0.0,0.05,0.07,0.02,1.56,1.0,0.0,3.4,8.8,15.8,9.0,74.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.02,0.02,0.0,0.0,1.0,0.0,0.02,0.25,0.23,0.8,0.0,0.05,0.1,0.05,1.54,1.0,0.0,2.6,5.6,13.6,6.5,82.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.5,0.5,1.5,0.0,1.5,0.03,0.06,0.0,0.0,1.0,0.0,0.03,0.24,0.16,1.15,0.33,0.04,0.07,0.03,1.79,0.67,0.0,2.27,8.33,9.73,4.33,84.67,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,0.67,2.0,0.0,1.0,0.02,0.04,0.0,0.0,0.67,0.0,0.02,0.23,0.18,1.27,0.25,0.03,0.06,0.03,1.64,0.75,0.0,2.22,9.35,7.5,5.25,82.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.75,1.0,1.75,0.0,1.0,0.02,0.03,0.0,0.0,0.5,0.0,0.02,0.21,0.16,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-165.0,-0.5020325203252033,2.0,0.894,0.073,0.033
0,0,23,0,0.8,524,0.0,0.16,0.16,0.43,78,0,1,5.8,40.4,2022-09-16,20,9,0,0,0,0,8,0,5663,0,3,2,17.0,6,-127,127,254,4.9,True,0,1,1,0.3017730116844177,19,Nottingham Forest,Fulham,2,3,18273,2022,550252,0.0,0,0,1,0.3017730116844177,0.3205249905586242,0.0187522992491722,Nottingham Forest,2,2,8,1.7,MID,0.0,0.03,0.03,0.0,3.32,6.0,0.0,3.6,15.0,21.3,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.07,0.0,0.0,2.0,0.0,0.0,0.33,0.28,0.3,0.0,0.04,0.05,0.01,2.44,3.5,0.0,3.5,11.9,18.55,4.5,82.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,3.0,1.5,0.0,0.5,0.01,0.04,0.0,0.0,1.5,0.0,0.01,0.29,0.26,0.55,0.0,0.04,0.07,0.03,2.13,2.67,0.0,2.93,8.73,16.17,4.33,84.67,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,2.33,1.67,0.0,1.0,0.02,0.06,0.0,0.0,1.33,0.0,0.02,0.27,0.2,0.87,0.25,0.04,0.06,0.02,2.17,2.0,0.0,2.6,10.0,12.62,3.25,86.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.75,2.0,2.0,0.0,0.75,0.02,0.04,0.0,0.0,1.0,0.0,0.02,0.25,0.2,1.02,0.2,0.03,0.05,0.02,1.98,1.8,0.0,2.5,10.48,10.26,4.2,83.6,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.6,2.0,1.8,0.0,0.8,0.02,0.04,0.0,0.0,0.8,0.0,0.02,0.23,0.19,1.04,187.0,-0.3333333333333333,6.0,0.347,0.289,0.364
0,0,6,0,0.3,524,0.0,0.01,0.01,0.92,86,3,0,1.6,7.2,2022-10-03,45,10,0,0,0,0,9,0,6672,1,0,4,8.0,1,737,1198,461,4.9,False,0,0,1,0.0169079005718231,47,Leicester,Nottingham Forest,4,0,18287,2022,553620,0.0,0,0,0,0.0169079005718231,0.0,0.0,Nottingham Forest,2,3,9,3.0,MID,0.0,0.0,0.16,0.16,0.43,0.0,1.0,5.8,40.4,0.8,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,1.0,0.3,0.32,0.02,1.7,0.0,0.02,0.1,0.08,1.88,3.0,0.5,4.7,27.7,11.05,8.5,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,4.0,4.0,0.5,0.5,0.15,0.03,0.0,0.0,1.0,0.5,0.15,0.32,0.15,1.0,0.0,0.03,0.09,0.06,1.77,2.33,0.33,4.27,21.4,12.63,8.67,61.33,0.0,0.0,0.0,0.0,0.33,0.0,0.67,1.67,2.67,3.0,0.33,0.67,0.11,0.03,0.0,0.0,1.0,0.33,0.11,0.3,0.18,0.93,0.0,0.03,0.1,0.06,1.7,2.0,0.25,3.65,16.65,12.32,7.5,68.5,0.0,0.0,0.0,0.0,0.25,0.0,0.75,1.5,2.25,2.75,0.25,1.0,0.09,0.04,0.0,0.0,1.0,0.25,0.09,0.28,0.16,1.08,0.2,0.03,0.08,0.05,1.82,1.6,0.2,3.24,16.08,10.26,6.0,72.8,0.0,0.0,0.0,0.0,0.2,0.0,0.8,1.2,2.0,2.8,0.2,0.8,0.07,0.04,0.0,0.0,0.8,0.2,0.07,0.27,0.17,1.16,1009.0,0.4442435201928872,1.0,0.543,0.238,0.219
0,0,3,0,0.0,524,0.0,0.0,0.0,0.0,99,0,0,0.0,0.0,2022-10-10,1,2,0,0,0,0,10,0,6234,0,1,1,0.0,1,-446,282,728,4.9,True,0,0,0,0.0,1,Nottingham Forest,Aston Villa,1,1,18300,2022,555425,0.0,0,0,0,0.0,0.0,0.0,Nottingham Forest,2,2,10,2.2,MID,0.0,0.0,0.01,0.01,0.92,3.0,0.0,1.6,7.2,0.3,8.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,3.0,0.0,0.0,0.08,0.08,0.68,1.5,0.5,3.7,23.8,0.55,12.5,32.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,3.0,3.5,0.5,1.0,0.16,0.0,0.0,0.0,0.0,0.5,0.16,0.16,0.01,2.35,0.0,0.01,0.07,0.06,1.56,3.0,0.33,3.67,20.87,7.47,8.33,51.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,4.0,3.0,0.33,0.67,0.11,0.02,0.0,0.0,0.67,0.33,0.11,0.22,0.1,1.67,0.0,0.02,0.07,0.05,1.56,2.5,0.25,3.6,17.85,9.55,8.5,57.25,0.0,0.0,0.0,0.0,0.25,0.0,0.75,1.25,3.0,2.5,0.25,0.75,0.08,0.02,0.0,0.0,0.75,0.25,0.08,0.22,0.13,1.45,0.0,0.03,0.08,0.05,1.55,2.2,0.2,3.24,14.76,9.92,7.6,63.8,0.0,0.0,0.0,0.0,0.2,0.0,0.8,1.2,2.6,2.4,0.2,1.0,0.08,0.04,0.0,0.0,0.8,0.2,0.08,0.23,0.13,1.46,-438.0,-0.4415841584158416,1.0,0.288,0.28,0.432
0,0,3,0,0.1,524,0.0,0.0,0.0,0.22,131,0,0,0.5,5.0,2022-10-30,9,1,0,0,0,0,14,0,4676,0,0,5,0.0,1,-486,13,499,4.9,False,0,0,0,0.0,7,Arsenal,Nottingham Forest,5,0,18332,2022,560775,0.0,0,0,0,0.0,0.0,0.0,Nottingham Forest,2,4,14,-0.4,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.46,1.5,0.0,0.8,3.6,0.15,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.5,1.0,0.0,0.5,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,2.6,0.0,0.0,0.06,0.06,0.45,1.0,0.33,2.47,15.87,0.37,8.33,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.33,2.33,2.67,0.33,0.67,0.11,0.0,0.0,0.0,0.0,0.33,0.11,0.11,0.01,2.3,0.0,0.01,0.05,0.04,1.17,2.25,0.25,2.75,15.65,5.6,6.25,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,3.25,2.5,0.25,0.5,0.08,0.02,0.0,0.0,0.5,0.25,0.08,0.16,0.08,1.8,0.0,0.02,0.05,0.04,1.25,2.0,0.2,2.88,14.28,7.64,6.8,46.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6,1.2,2.6,2.2,0.2,0.6,0.07,0.02,0.0,0.0,0.6,0.2,0.07,0.18,0.11,1.6,-1558.0,-0.94921875,1.0,0.787,0.135,0.079
0,0,2,0,1.8,524,0.04,0.1,0.06,0.47,146,1,0,0.2,0.0,2022-11-05,24,4,0,0,0,0,15,0,4515,0,2,2,1.0,1,-192,28,220,4.9,True,0,0,1,0.0211606007069349,19,Nottingham Forest,Brentford,2,2,18347,2022,561924,0.0,0,0,0,0.0211606007069349,0.3731040060520172,0.3731040060520172,Nottingham Forest,3,2,15,-0.1,MID,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.5,5.0,0.1,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.25,2.5,0.05,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.38,1.0,0.0,0.7,4.07,0.13,2.67,18.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,3.33,1.0,0.0,0.33,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.6,0.0,0.0,0.04,0.04,0.39,0.75,0.25,1.98,13.15,0.3,6.25,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,3.0,2.25,0.25,0.5,0.08,0.0,0.0,0.0,0.0,0.25,0.08,0.08,0.0,1.62,0.0,0.01,0.04,0.03,0.98,1.8,0.2,2.3,13.52,4.5,5.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,3.6,2.2,0.2,0.4,0.06,0.01,0.0,0.0,0.4,0.2,0.06,0.13,0.06,1.36,-161.0,-0.7741935483870968,1.0,0.346,0.288,0.366
