assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,0,0,0,1.0,464,0.0,0.07,0.07,0.92,10,1,0,2.0,2.2,2022-08-07,33,13,0,0,0,0,1,0,185141,0,2,0,17.0,1,0,0,0,6.0,True,0,0,1,0.0238326992839574,29,West Ham United,Manchester City,0,2,18211,2022,540072,0.0,0,0,0,0.0238326992839574,0.0238326992839574,0.0,West Ham United,5,3,1,1.2,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.118,0.189,0.693
0,0,10,0,50.0,464,0.31,0.43,0.12,1.36,18,1,0,9.0,23.6,2022-08-14,90,16,0,0,0,0,2,0,176951,1,0,1,16.0,2,-21526,11870,33396,6.0,False,0,0,3,0.0997804999351501,90,Nottingham Forest,West Ham United,1,0,18219,2022,541275,0.3459089994430542,0,4,0,0.0997804999351501,0.4902220070362091,0.1397799998521804,West Ham United,2,2,2,2.0,MID,0.0,0.0,0.07,0.07,0.92,1.0,0.0,2.0,2.2,1.0,17.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,1.2,0.0,0.0,0.02,0.02,0.31,0.33,0.0,0.67,0.73,0.33,5.67,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.33,0.0,0.33,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.4,0.0,0.0,0.01,0.01,0.18,0.2,0.0,0.4,0.44,0.2,3.4,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,-8190.0,-0.4755445588300269,2.0,0.225,0.263,0.512
0,0,6,0,2.1,464,0.01,0.11,0.1,1.57,30,2,0,2.7,2.0,2022-08-21,74,5,0,0,0,0,3,0,193031,1,2,0,23.0,2,3807,42053,38246,6.0,True,0,0,2,0.0782451033592224,77,West Ham United,Brighton and Hove Albion,0,2,18229,2022,542925,0.0,0,0,0,0.0782451033592224,0.0782451033592224,0.0,West Ham United,3,3,3,1.7,MID,0.0,0.31,0.43,0.12,1.36,1.0,0.0,9.0,23.6,50.0,16.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,0.1,0.35,0.0,0.0,4.0,0.0,0.1,0.49,0.14,2.0,0.0,0.1,0.17,0.06,0.76,0.67,0.0,3.67,8.6,17.0,11.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,0.33,1.0,0.0,1.33,0.04,0.12,0.0,0.0,1.33,0.0,0.04,0.17,0.05,1.07,0.0,0.06,0.1,0.04,0.46,0.4,0.0,2.2,5.16,10.2,6.6,24.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.6,0.0,0.8,0.02,0.07,0.0,0.0,0.8,0.0,0.02,0.1,0.03,0.64,16080.0,0.0474103039888417,2.0,0.413,0.28,0.307
0,0,6,0,18.5,464,0.05,0.11,0.06,0.24,32,0,0,3.1,7.2,2022-08-28,45,2,0,0,0,0,4,0,150695,0,1,0,5.0,1,-45211,6698,51909,5.9,False,0,0,1,0.0278846006840467,43,Aston Villa,West Ham United,0,1,18239,2022,545261,0.0279884003102779,0,1,0,0.0278846006840467,0.0558729991316795,0.0,West Ham United,2,2,4,1.5,MID,0.0,0.01,0.11,0.1,1.57,2.0,0.0,2.7,2.0,2.1,23.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,1.7,0.0,0.11,0.2,0.1,1.28,1.33,0.0,4.57,9.27,17.7,18.67,65.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,0.33,1.67,0.0,2.0,0.07,0.12,0.0,0.0,1.33,0.0,0.07,0.2,0.05,1.63,0.0,0.06,0.12,0.06,0.77,0.8,0.0,2.74,5.56,10.62,11.2,39.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.2,1.0,0.0,1.2,0.04,0.07,0.0,0.0,0.8,0.0,0.04,0.12,0.03,0.98,-42336.0,-0.7714266213933489,1.0,0.413,0.28,0.307
0,0,7,0,32.9,464,0.02,0.09,0.07,0.44,47,1,0,5.7,9.0,2022-08-31,66,18,0,0,0,0,5,0,122118,1,1,1,15.0,2,-31644,3561,35205,5.8,True,0,0,2,0.0608972012996673,73,West Ham United,Tottenham Hotspur,1,1,18249,2022,546414,0.1550299972295761,0,3,0,0.0608972012996673,0.3217149972915649,0.154800996184349,West Ham United,3,3,5,1.1,MID,0.0,0.05,0.11,0.06,0.24,0.0,0.0,3.1,7.2,18.5,5.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.03,0.03,0.0,0.0,1.0,0.0,0.03,0.06,0.0,1.5,0.0,0.12,0.22,0.09,1.06,1.0,0.0,4.93,10.93,23.53,14.67,69.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,0.33,1.67,0.0,2.0,0.07,0.12,0.0,0.0,1.67,0.0,0.07,0.21,0.05,1.73,0.0,0.07,0.14,0.07,0.82,0.8,0.0,3.36,7.0,14.32,12.2,48.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.2,1.2,0.0,1.4,0.05,0.07,0.0,0.0,1.0,0.0,0.05,0.13,0.03,1.28,-28577.0,-0.8162823092400557,2.0,0.264,0.25,0.487
0,0,9,0,14.3,464,0.11,0.11,0.0,0.38,54,2,0,2.0,5.2,2022-09-03,16,6,0,0,0,0,6,0,109678,0,1,2,0.0,1,-15574,4852,20426,5.8,False,0,0,0,0.0,14,Chelsea,West Ham United,2,1,18260,2022,547272,0.3308790028095245,0,1,0,0.0,0.3308790028095245,0.3308790028095245,West Ham United,2,4,6,1.1,MID,0.0,0.02,0.09,0.07,0.44,1.0,0.0,5.7,9.0,32.9,15.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.06,0.16,0.0,0.0,3.0,0.0,0.06,0.32,0.15,1.1,0.0,0.03,0.1,0.08,0.75,1.0,0.0,3.83,6.07,17.83,14.33,61.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,0.33,1.67,0.0,1.67,0.06,0.06,0.0,0.0,1.33,0.0,0.06,0.15,0.05,1.43,0.0,0.08,0.16,0.08,0.91,1.0,0.0,4.5,8.8,20.9,15.2,61.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,0.4,1.6,0.0,1.8,0.06,0.11,0.0,0.0,1.6,0.0,0.06,0.19,0.06,1.5,-12440.0,-0.6161088693725769,1.0,0.615,0.212,0.173
0,0,3,0,1.0,464,0.0,0.03,0.03,0.05,75,0,0,1.1,0.2,2022-09-18,28,8,0,0,0,0,8,0,104935,0,0,1,10.0,1,1359,5813,4454,5.7,False,0,0,1,0.0161297004669904,27,Everton,West Ham United,1,0,18277,2022,551405,0.0,0,0,0,0.0161297004669904,0.0867939963936805,0.0706643983721733,West Ham United,2,2,8,1.2,MID,0.0,0.11,0.11,0.0,0.38,2.0,0.0,2.0,5.2,14.3,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.33,0.0,0.0,1.0,0.0,0.0,0.33,0.33,1.1,0.0,0.06,0.1,0.04,0.35,1.0,0.0,3.6,7.13,21.9,6.67,42.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,1.0,1.33,0.0,1.0,0.03,0.17,0.0,0.0,1.67,0.0,0.03,0.24,0.16,1.23,0.0,0.1,0.17,0.07,0.8,1.2,0.0,4.5,9.4,23.56,11.8,58.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.8,1.6,0.0,1.6,0.05,0.17,0.0,0.0,1.8,0.0,0.05,0.26,0.13,1.48,-4743.0,0.1323658322781727,1.0,0.328,0.292,0.38
1,0,14,0,22.8,464,0.02,0.16,0.14,0.05,108,0,0,7.7,20.2,2022-10-16,31,17,0,0,0,0,11,0,84186,0,1,1,34.0,4,-5639,1431,7070,5.6,False,0,0,3,0.1199790015816688,28,Southampton,West Ham United,1,1,18309,2022,556692,0.0438208989799022,1,2,0,0.1199790015816688,0.1298770010471344,0.026707999408245,West Ham United,2,2,11,1.2,MID,0.0,0.0,0.03,0.03,0.05,0.0,0.0,1.1,0.2,1.0,10.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.07,1.2,0.0,0.04,0.08,0.03,0.29,1.0,0.0,2.93,4.8,16.07,8.33,36.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,1.33,1.33,0.0,1.0,0.03,0.16,0.0,0.0,1.33,0.0,0.03,0.25,0.19,1.13,0.0,0.04,0.09,0.05,0.54,1.0,0.0,2.92,4.72,13.76,10.6,45.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.8,1.4,0.0,1.2,0.04,0.1,0.0,0.0,1.0,0.0,0.04,0.17,0.11,1.32,-20749.0,-0.6633337254440654,4.0,0.327,0.279,0.395
0,0,0,0,1.2,464,0.14,0.24,0.1,0.9,118,0,0,2.5,4.4,2022-10-19,29,12,0,0,0,0,12,0,83174,0,0,1,19.0,1,-1025,1716,2741,5.6,False,0,0,1,0.2986640036106109,27,Liverpool,West Ham United,1,0,18320,2022,557547,0.0,0,0,0,0.2986640036106109,0.882515013217926,0.5838500261306763,West Ham United,2,4,12,0.0,MID,0.0,0.02,0.16,0.14,0.05,0.0,0.0,7.7,20.2,22.8,34.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,3.0,0.12,0.04,1.0,1.0,2.0,0.0,0.12,0.13,0.03,1.2,0.0,0.04,0.1,0.06,0.16,0.67,0.0,3.6,8.53,12.7,14.67,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,2.0,0.0,1.33,0.05,0.12,0.33,0.33,1.0,0.0,0.05,0.18,0.14,1.17,0.0,0.04,0.1,0.06,0.23,0.6,0.0,3.92,8.36,17.9,12.8,37.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1.0,1.8,0.0,1.4,0.04,0.11,0.2,0.2,1.4,0.0,0.04,0.19,0.12,1.22,-1012.0,-0.2299753197217859,1.0,0.676,0.189,0.135
0,0,25,1,16.5,464,0.09,1.2,1.11,0.39,129,0,1,12.3,34.8,2022-10-24,90,3,0,0,0,0,13,0,83745,1,0,2,72.0,8,-392,3162,3554,5.6,True,0,1,8,1.0567699670791626,90,West Ham United,Bournemouth,2,0,18330,2022,559528,0.0167522002011537,0,1,0,0.2955969870090484,0.2904149889945984,0.0460014007985591,West Ham United,2,3,13,3.1,MID,0.0,0.14,0.24,0.1,0.9,0.0,0.0,2.5,4.4,1.2,19.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.88,0.58,0.0,0.0,0.05,0.14,0.09,0.33,0.0,0.0,3.77,8.27,8.33,21.0,29.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,2.0,0.0,1.67,0.14,0.01,0.33,0.33,0.67,0.0,0.14,0.37,0.23,0.8,0.0,0.06,0.13,0.07,0.36,0.6,0.0,3.8,7.8,14.44,15.6,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1.2,1.8,0.0,1.4,0.1,0.11,0.2,0.2,1.2,0.0,0.1,0.35,0.23,0.92,571.0,-0.0583680762358546,8.0,0.608,0.235,0.157
