assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
1,0,15,0,13.5,528,0.16,0.19,0.03,0.06,19,0,0,4.3,22.2,2022-08-13,20,11,0,0,0,0,2,0,7672,0,2,2,7.0,4,-945,504,1449,5.5,True,0,528,,,0,1,0.0135605996474623,16,Sub,Southampton,Leeds United,2,2,18215,2022,540596,0.2787779867649078,1,1,0,0.0135605996474623,0.2923389971256256,0.0,8970,Southampton,Sékou Mara,Sékou Mara,2,2,2,2.5,FWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.4838709677419355,4.0,0.422,0.271,0.306
0,0,1,0,0.8,528,0.01,0.03,0.02,0.29,26,1,0,0.9,2.2,2022-08-20,58,10,0,0,0,0,3,0,12621,1,2,1,6.0,1,2803,4522,1719,5.5,False,0,528,,,0,1,0.0731808990240097,60,FW,Leicester,Southampton,1,2,18226,2022,542392,0.0,0,0,0,0.0731808990240097,0.0731808990240097,0.0,8970,Southampton,Sékou Mara,Sékou Mara,2,3,3,1.7,FWD,0.0,0.16,0.19,0.03,0.06,0.0,0.0,4.3,22.2,13.5,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,0.01,0.28,1.0,1.0,1.0,0.0,0.01,0.29,0.0,2.5,0.0,0.05,0.06,0.01,0.02,0.0,0.0,1.43,7.4,4.5,2.33,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,1.33,0.0,0.33,0.0,0.09,0.33,0.33,0.33,0.0,0.0,0.1,0.0,0.83,0.0,0.03,0.04,0.01,0.01,0.0,0.0,0.86,4.44,2.7,1.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.0,0.2,0.0,0.06,0.2,0.2,0.2,0.0,0.0,0.06,0.0,0.5,4949.0,0.4491267425092132,1.0,0.522,0.239,0.239
0,0,1,0,0.1,528,0.0,0.16,0.16,0.0,39,0,0,2.0,0.0,2022-08-27,13,14,0,0,0,0,4,0,12453,0,1,0,22.0,1,-550,1608,2158,5.5,True,0,528,,,0,2,0.1168690025806427,13,Sub,Southampton,Manchester United,0,1,18232,2022,544165,0.0,0,0,0,0.1168690025806427,0.1274420022964477,0.010572999715805,8970,Southampton,Sékou Mara,Sékou Mara,3,2,4,1.0,FWD,0.0,0.01,0.03,0.02,0.29,1.0,0.0,0.9,2.2,0.8,6.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,1.7,0.0,0.06,0.07,0.02,0.12,0.33,0.0,1.73,8.13,4.77,4.33,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.33,1.0,1.67,0.0,0.67,0.03,0.09,0.33,0.33,0.33,0.0,0.03,0.12,0.0,1.4,0.0,0.03,0.04,0.01,0.07,0.2,0.0,1.04,4.88,2.86,2.6,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.6,1.0,0.0,0.4,0.02,0.06,0.2,0.2,0.2,0.0,0.02,0.07,0.0,0.84,-168.0,-0.1460435475305364,1.0,0.228,0.24,0.532
0,0,1,0,11.5,528,0.03,0.09,0.06,0.0,60,0,0,3.5,0.0,2022-09-03,7,20,0,0,0,0,6,0,10638,0,0,1,24.0,1,-1874,762,2636,5.5,False,0,528,,,0,2,0.0957598015666008,5,Sub,Wolverhampton Wanderers,Southampton,1,0,18256,2022,547208,0.0526872985064983,0,1,0,0.0957598015666008,0.1484470069408416,0.0,8970,Southampton,Sékou Mara,Sékou Mara,2,2,6,1.4,FWD,0.0,0.0,0.16,0.16,0.0,0.0,0.0,2.0,0.0,0.1,22.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.01,1.0,0.0,0.06,0.13,0.07,0.12,0.33,0.0,2.4,8.13,4.8,11.67,30.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.67,1.0,2.0,0.0,1.33,0.07,0.09,0.33,0.33,0.33,0.0,0.07,0.16,0.0,1.73,0.0,0.03,0.08,0.04,0.07,0.2,0.0,1.44,4.88,2.88,7.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.6,1.2,0.0,0.8,0.04,0.06,0.2,0.2,0.2,0.0,0.04,0.1,0.0,1.04,-1815.0,-0.5515008828722778,1.0,0.43,0.278,0.291
0,0,3,0,0.2,528,0.0,0.02,0.02,0.63,71,0,0,2.2,5.0,2022-09-16,19,2,0,0,0,0,8,0,9937,0,0,1,17.0,1,-240,503,743,5.4,False,0,528,,,0,1,0.0255642998963594,16,Sub,Aston Villa,Southampton,1,0,18272,2022,550359,0.0,0,0,0,0.0255642998963594,0.0255642998963594,0.0,8970,Southampton,Sékou Mara,Sékou Mara,2,2,8,0.8,FWD,0.0,0.03,0.09,0.06,0.0,0.0,0.0,3.5,0.0,11.5,24.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.1,0.05,0.0,0.0,1.0,0.0,0.1,0.15,0.0,1.4,0.0,0.01,0.09,0.08,0.1,0.33,0.0,2.13,0.73,4.13,17.33,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,0.67,1.0,0.0,1.67,0.1,0.02,0.0,0.0,0.33,0.0,0.1,0.12,0.0,1.37,0.0,0.04,0.09,0.05,0.07,0.2,0.0,2.14,4.88,5.18,11.8,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.8,1.4,0.0,1.2,0.06,0.07,0.2,0.2,0.4,0.0,0.06,0.13,0.0,1.32,-701.0,-0.1926163723916533,1.0,0.455,0.273,0.273
0,0,6,0,10.6,528,0.01,0.37,0.36,1.46,89,2,0,3.6,0.6,2022-10-01,59,8,0,0,0,0,9,0,9932,1,2,1,25.0,1,-238,766,1004,5.4,True,0,528,,,0,2,0.1828400045633316,60,FW,Southampton,Everton,1,2,18290,2022,552309,0.24201400578022,0,1,0,0.1828400045633316,0.4248540103435516,0.0,8970,Southampton,Sékou Mara,Sékou Mara,2,2,9,1.0,FWD,0.0,0.0,0.02,0.02,0.63,0.0,0.0,2.2,5.0,0.2,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.8,0.0,0.01,0.09,0.08,0.21,0.0,0.0,2.57,1.67,3.93,21.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,1.0,0.0,1.67,0.08,0.02,0.0,0.0,0.33,0.0,0.08,0.1,0.0,1.07,0.0,0.04,0.1,0.06,0.2,0.2,0.0,2.58,5.88,5.22,15.2,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.0,1.6,0.0,1.4,0.06,0.07,0.2,0.2,0.4,0.0,0.06,0.13,0.0,1.48,-5.0,-0.1344632768361582,1.0,0.442,0.279,0.279
0,0,2,0,0.0,528,0.0,0.0,0.0,0.08,97,0,0,0.0,0.0,2022-10-08,11,13,0,0,0,0,10,0,11656,0,0,4,0.0,1,1439,2668,1229,5.4,False,0,528,,,0,0,0.0,9,Sub,Manchester City,Southampton,4,0,18298,2022,554145,0.0,0,0,0,0.0,0.0,0.0,8970,Southampton,Sékou Mara,Sékou Mara,2,5,10,0.0,FWD,0.0,0.01,0.37,0.36,1.46,2.0,0.0,3.6,0.6,10.6,25.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.18,0.24,0.0,0.0,1.0,0.0,0.18,0.42,0.0,1.0,0.0,0.01,0.16,0.15,0.7,0.67,0.0,3.1,1.87,7.43,22.0,28.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,1.0,1.0,0.0,1.67,0.1,0.1,0.0,0.0,0.67,0.0,0.1,0.2,0.0,1.07,0.0,0.01,0.13,0.12,0.48,0.6,0.0,2.44,1.56,4.64,18.8,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.8,1.0,0.0,1.6,0.1,0.06,0.0,0.0,0.4,0.0,0.1,0.16,0.0,1.18,1724.0,0.3692584039004362,1.0,0.85,0.094,0.056
0,0,2,0,10.3,528,0.0,0.0,0.0,0.47,108,0,0,1.4,3.2,2022-10-16,16,19,0,0,0,0,11,0,10206,0,1,1,0.0,1,-1440,447,1887,5.4,True,0,528,,,0,0,0.0,13,Sub,Southampton,West Ham United,1,1,18309,2022,556678,0.019760699942708,0,1,0,0.0,0.019760699942708,0.0,8970,Southampton,Sékou Mara,Sékou Mara,2,2,11,1.0,FWD,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.72,0.67,0.0,1.93,1.87,3.6,14.0,29.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,2.0,1.0,0.0,1.0,0.07,0.08,0.0,0.0,0.33,0.0,0.07,0.15,0.0,0.6,0.0,0.01,0.13,0.12,0.43,0.4,0.0,2.26,1.12,4.48,17.6,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1.4,1.0,0.0,1.4,0.08,0.06,0.0,0.0,0.4,0.0,0.08,0.15,0.0,0.84,-1450.0,-0.6169665809768637,1.0,0.327,0.279,0.395
0,0,0,0,0.3,528,0.0,0.04,0.04,0.0,135,0,0,0.3,0.0,2022-10-29,4,7,0,0,0,0,14,0,9094,0,0,1,4.0,1,-479,207,686,5.3,False,0,528,,,0,1,0.0240419991314411,2,Sub,Crystal Palace,Southampton,1,0,18336,2022,560036,0.0,0,0,0,0.0240419991314411,0.0240419991314411,0.0240419991314411,8970,Southampton,Sékou Mara,Sékou Mara,2,2,14,0.7,FWD,0.0,0.0,0.0,0.0,0.47,0.0,0.0,1.4,3.2,10.3,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.12,0.12,0.67,0.67,0.0,1.67,1.27,6.97,8.33,28.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,2.0,1.0,0.0,0.67,0.06,0.09,0.0,0.0,0.67,0.0,0.06,0.15,0.0,0.67,0.0,0.01,0.1,0.09,0.53,0.4,0.0,2.14,1.76,6.52,13.2,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1.6,1.0,0.0,1.0,0.06,0.06,0.0,0.0,0.6,0.0,0.06,0.12,0.0,0.84,-1112.0,-0.5363941769316909,1.0,0.499,0.264,0.237
0,0,4,0,0.3,528,0.0,0.02,0.02,0.0,170,0,0,0.2,1.0,2022-12-26,12,5,0,0,0,0,17,0,9294,0,3,1,1.0,1,-265,973,1238,5.3,True,0,528,,,0,1,0.0138736004009842,12,Sub,Southampton,Brighton and Hove Albion,1,3,18371,2022,565484,0.0,0,0,0,0.0138736004009842,0.0138736004009842,0.0,8970,Southampton,Sékou Mara,Sékou Mara,3,2,17,1.0,FWD,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.3,0.0,0.3,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.7,0.0,0.0,0.01,0.01,0.18,0.0,0.0,0.57,1.07,3.53,1.33,10.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.0,1.0,0.0,0.33,0.01,0.01,0.0,0.0,0.33,0.0,0.01,0.01,0.01,0.57,0.0,0.0,0.09,0.08,0.53,0.4,0.0,1.5,1.76,4.28,9.2,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,1.6,1.0,0.0,0.8,0.05,0.05,0.0,0.0,0.4,0.0,0.05,0.1,0.0,0.7,200.0,-0.1198552691090004,1.0,0.288,0.271,0.441
