assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5
0,0,3,0,0.0,149,0.0,0.0,0.0,0.0,53,0,0,0.1,1.0,2022-09-04,1,10,0,0,0,0,6,0,68852,0,2,5,0.0,1,6792,13350,6558,4.4,True,0,0,0,0.0,1,Brighton,Leicester,5,2,18259,2022,547888,0.0,0,0,0,0.0,0.0,0.0,Brighton,3,3,6,0.2,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,3,0,0.5,149,0.0,0.0,0.0,0.0,93,0,0,0.1,0.8,2022-10-08,1,18,0,0,0,0,10,0,64938,0,1,0,0.0,1,-3152,2349,5501,4.4,True,0,0,0,0.0,1,Brighton,Tottenham,0,1,18294,2022,554383,0.0,0,0,0,0.0,0.0,0.0,Brighton,3,3,10,0.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,2,0,0.4,149,0.0,0.0,0.0,0.0,125,0,0,0.1,1.0,2022-10-22,3,13,0,0,0,0,13,0,58291,0,1,3,0.0,1,-1778,813,2591,4.4,False,0,0,0,0.0,1,Manchester City,Brighton,3,1,18326,2022,558261,0.0,0,0,0,0.0,0.0,0.0,Brighton,3,5,13,-0.6,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,3,0,1.4,149,0.0,0.0,0.0,0.12,150,0,0,0.2,0.4,2022-11-05,8,20,0,0,0,0,15,0,52930,0,3,2,0.0,1,-3098,871,3969,4.3,False,0,0,0,0.0,1,Wolverhampton Wanderers,Brighton,2,3,18351,2022,561970,0.0,0,0,0,0.0,0.2506879866123199,0.2506879866123199,Brighton,3,2,15,0.4,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.45,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.93,0.3,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,2.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,3,0,0.3,149,0.0,0.0,0.0,0.0,170,0,0,0.1,0.2,2022-12-26,1,17,0,0,0,0,17,0,46856,0,3,1,0.0,1,-4543,2164,6707,4.3,False,0,0,0,0.0,1,Southampton,Brighton,1,3,18371,2022,565503,0.0,0,0,0,0.0,0.0,0.0,Brighton,3,2,17,1.0,MID,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.2,0.4,1.4,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.4,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.15,0.7,0.9,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,-0.1,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.13,0.73,0.77,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,1.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,-0.07,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.12,0.8,0.57,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,6,0,4.9,149,0.33,0.33,0.0,2.88,172,4,0,1.5,7.6,2022-12-31,90,1,0,0,0,0,18,0,46423,1,4,2,2.0,1,-544,633,1177,4.3,True,1,0,0,0.0,90,Brighton,Arsenal,2,4,18373,2022,566569,0.0,0,0,0,0.0,0.5408040285110474,0.5408040285110474,Brighton,4,3,18,0.5,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.15,0.3,0.85,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.7,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.13,0.53,0.7,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.27,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.12,0.6,0.65,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.2,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.12,0.68,0.52,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.2
0,0,7,0,12.4,149,0.03,0.23,0.2,0.33,213,0,0,2.4,3.0,2023-02-04,56,3,0,0,0,0,22,0,42393,1,0,1,9.0,1,-1427,303,1730,4.3,True,0,0,2,0.1344829946756363,60,Brighton,Bournemouth,1,0,18414,2022,573314,0.0671143978834152,0,1,0,0.1344829946756363,0.2214960008859634,0.0198986008763313,Brighton,2,3,22,0.3,MID,0.0,0.33,0.33,0.0,2.88,4.0,0.0,1.5,7.6,4.9,2.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.54,0.5,0.0,0.16,0.16,0.0,1.44,2.0,0.0,0.8,3.9,2.6,1.0,45.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,3.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.75,0.0,0.11,0.11,0.0,1.0,1.33,0.0,0.6,2.73,2.2,0.67,33.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,3.33,1.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.63,0.0,0.08,0.08,0.0,0.75,1.0,0.0,0.48,2.3,1.75,0.5,25.5,0.0,0.0,0.0,0.0,0.25,0.0,0.25,2.75,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.32,0.0,0.07,0.07,0.0,0.6,0.8,0.0,0.4,2.0,1.5,0.4,20.6,0.0,0.0,0.0,0.0,0.2,0.0,0.2,2.4,1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.26
0,0,13,1,8.2,149,0.17,0.24,0.07,0.7,334,0,0,1.1,2.2,2023-04-29,90,20,0,0,0,0,34,0,38849,1,0,6,1.0,3,30,329,299,4.2,True,0,0,1,0.0784349516034126,90,Brighton,Wolverhampton Wanderers,6,0,18535,2022,592360,0.0,0,0,0,0.0784349516034126,1.787274956703186,1.708840012550354,Brighton,2,3,34,2.4,MID,0.0,0.03,0.23,0.2,0.33,0.0,0.0,2.4,3.0,12.4,9.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.13,0.07,0.0,0.0,1.0,0.0,0.13,0.22,0.02,0.3,0.0,0.18,0.28,0.1,1.6,2.0,0.0,1.95,5.3,8.65,5.5,73.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,2.0,1.5,1.0,0.0,1.0,0.07,0.03,0.0,0.0,0.5,0.0,0.07,0.38,0.28,0.4,0.0,0.12,0.19,0.07,1.07,1.33,0.0,1.33,3.6,5.87,3.67,49.0,0.0,0.0,0.0,0.0,0.33,0.0,0.67,2.33,1.33,1.0,0.0,0.67,0.04,0.02,0.0,0.0,0.33,0.0,0.04,0.25,0.19,0.6,0.0,0.09,0.14,0.05,0.83,1.0,0.0,1.05,2.8,4.75,2.75,38.75,0.0,0.0,0.0,0.0,0.25,0.0,0.5,2.5,1.5,1.0,0.0,0.5,0.03,0.02,0.0,0.0,0.25,0.0,0.03,0.25,0.2,0.55,0.0,0.07,0.11,0.04,0.67,0.8,0.0,0.86,2.44,3.88,2.2,31.6,0.0,0.0,0.0,0.0,0.2,0.0,0.4,2.2,1.8,1.0,0.0,0.4,0.03,0.01,0.0,0.0,0.2,0.0,0.03,0.2,0.16,0.32
0,0,13,1,3.2,149,0.02,0.02,0.0,1.31,274,0,0,1.4,10.4,2023-05-04,74,14,0,0,0,0,34,0,38849,1,0,1,0.0,3,30,329,299,4.2,True,0,0,0,0.0,79,Brighton,Manchester United,1,0,18475,2022,594339,0.0,0,0,0,0.0,0.0968082547187805,0.0968082547187805,Brighton,3,3,34,2.4,MID,1.0,0.17,0.24,0.07,0.7,0.0,0.0,1.1,2.2,8.2,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,0.0,1.0,0.08,0.0,0.0,0.0,0.0,0.0,0.08,1.79,1.71,2.4,0.5,0.1,0.24,0.14,0.52,0.0,0.0,1.75,2.6,10.3,5.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.5,2.0,0.0,1.5,0.11,0.03,0.0,0.0,0.5,0.0,0.11,1.0,0.86,1.35,0.33,0.18,0.27,0.09,1.3,1.33,0.0,1.67,4.27,8.5,4.0,78.67,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.33,3.0,1.67,0.0,1.0,0.07,0.02,0.0,0.0,0.33,0.0,0.07,0.85,0.76,1.07,0.25,0.13,0.2,0.07,0.98,1.0,0.0,1.27,3.25,6.45,3.0,59.25,0.0,0.0,0.0,0.0,0.25,0.0,0.75,1.75,2.5,1.5,0.0,0.75,0.05,0.02,0.0,0.0,0.25,0.0,0.05,0.64,0.57,1.05,0.2,0.11,0.16,0.05,0.81,0.8,0.0,1.06,2.68,5.44,2.4,49.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6,2.0,2.4,1.4,0.0,0.6,0.04,0.01,0.0,0.0,0.2,0.0,0.04,0.56,0.5,0.92
0,0,7,0,3.7,149,0.05,0.15,0.1,0.09,342,1,0,1.1,3.2,2023-05-08,12,8,0,0,0,0,35,0,40764,0,5,1,4.0,1,1833,2187,354,4.2,True,0,0,2,0.0714607536792755,9,Brighton,Everton,1,5,18543,2022,595797,0.0,0,0,0,0.0714607536792755,0.569552481174469,0.5378737449645996,Brighton,2,3,35,1.4,MID,1.0,0.02,0.02,0.0,1.31,0.0,0.0,1.4,10.4,3.2,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.4,1.0,0.1,0.13,0.04,1.0,0.0,0.0,1.25,6.3,5.7,0.5,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.5,3.0,0.0,0.5,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.94,0.9,2.4,0.67,0.07,0.16,0.09,0.78,0.0,0.0,1.63,5.2,7.93,3.33,73.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.67,2.33,0.0,1.0,0.07,0.02,0.0,0.0,0.33,0.0,0.07,0.7,0.61,1.7,0.5,0.14,0.2,0.07,1.3,1.0,0.0,1.6,5.8,7.18,3.0,77.5,0.0,0.0,0.0,0.0,0.25,0.0,1.0,1.0,2.5,2.0,0.0,0.75,0.05,0.02,0.0,0.0,0.25,0.0,0.05,0.66,0.59,1.4,0.4,0.11,0.16,0.05,1.04,0.8,0.0,1.3,4.68,5.8,2.4,62.2,0.0,0.0,0.0,0.0,0.2,0.0,0.8,1.4,2.2,1.8,0.0,0.6,0.04,0.01,0.0,0.0,0.2,0.0,0.04,0.53,0.47,1.32
