assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5
1,0,13,0,30.5,262,0.05,0.08,0.03,0.86,11,1,0,5.8,19.2,2022-08-13,20,1,0,0,0,0,2,0,71410,0,2,4,8.0,4,-19281,4237,23518,6.4,False,0,0,1,0.0404197983443737,16,Arsenal,Leicester,4,2,18217,2022,540671,0.2090210020542144,1,3,0,0.0404197983443737,0.1699070036411285,0.0,Leicester,3,4,2,1.5,FWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1,0,0.3,262,0.0,0.0,0.0,0.48,26,1,0,0.0,0.0,2022-08-20,14,17,0,0,0,0,3,0,74296,0,2,1,0.0,1,-3746,9199,12945,6.4,True,0,0,0,0.0,13,Leicester,Southampton,1,2,18226,2022,542380,0.0,0,0,0,0.0,0.0,0.0,Leicester,2,3,3,1.7,FWD,0.0,0.05,0.08,0.03,0.86,1.0,0.0,5.8,19.2,30.5,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,1.0,0.04,0.21,1.0,1.0,3.0,0.0,0.04,0.17,0.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,12.0,262,0.02,0.27,0.25,0.85,35,1,0,2.8,0.0,2022-08-27,35,6,0,0,0,0,4,0,63291,0,1,2,17.0,1,-13274,2422,15696,6.3,False,0,0,3,0.1004280000925064,32,Chelsea,Leicester,2,1,18235,2022,544516,0.0260359998792409,0,1,0,0.1004280000925064,0.1264639943838119,0.0173659995198249,Leicester,3,4,4,1.0,FWD,0.0,0.0,0.0,0.0,0.48,1.0,0.0,0.0,0.0,0.3,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.02,0.04,0.02,0.67,1.0,0.0,2.9,9.6,15.4,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.5,2.5,0.0,0.5,0.02,0.1,0.5,0.5,1.5,0.0,0.02,0.08,0.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,2,0,0.8,262,0.0,0.04,0.04,0.32,46,0,0,0.1,0.0,2022-09-01,14,14,0,0,0,0,5,0,57306,0,1,0,1.0,1,-8034,1988,10022,6.3,True,0,0,1,0.0208694990724325,13,Leicester,Manchester United,0,1,18251,2022,546681,0.0,0,0,0,0.0208694990724325,0.0417072996497154,0.0208378005772829,Leicester,3,3,5,0.9,FWD,0.0,0.02,0.27,0.25,0.85,1.0,0.0,2.8,0.0,12.0,17.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,0.1,0.03,0.0,0.0,1.0,0.0,0.1,0.13,0.02,1.0,0.0,0.01,0.14,0.12,0.66,1.0,0.0,1.4,0.0,6.15,8.5,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.0,0.0,1.5,0.05,0.01,0.0,0.0,0.5,0.0,0.05,0.06,0.01,1.35,0.0,0.02,0.12,0.09,0.73,1.0,0.0,2.87,6.4,14.27,8.33,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,2.33,2.0,0.0,1.33,0.05,0.08,0.33,0.33,1.33,0.0,0.05,0.1,0.01,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,27,0,1.8,262,0.01,0.93,0.92,2.41,53,4,1,7.6,37.4,2022-09-04,71,5,0,0,0,0,6,0,50885,1,2,5,37.0,6,-7893,2148,10041,6.2,False,0,1,2,0.6101189851760864,75,Brighton,Leicester,5,2,18259,2022,547898,0.0,0,0,1,0.6101189851760864,0.6874399781227112,0.0773214995861053,Leicester,3,3,6,2.6,FWD,0.0,0.0,0.04,0.04,0.32,0.0,0.0,0.1,0.0,0.8,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.02,0.9,0.0,0.01,0.16,0.14,0.58,0.5,0.0,1.45,0.0,6.4,9.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.06,0.01,0.0,0.0,0.5,0.0,0.06,0.08,0.02,0.95,0.0,0.01,0.1,0.1,0.55,0.67,0.0,0.97,0.0,4.37,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.0,1.0,0.0,1.33,0.04,0.01,0.0,0.0,0.33,0.0,0.04,0.06,0.01,1.2,0.0,0.02,0.1,0.08,0.63,0.75,0.0,2.17,4.8,10.9,6.5,20.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.75,1.75,0.0,1.25,0.04,0.06,0.25,0.25,1.0,0.0,0.04,0.08,0.01,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,5,0,23.5,262,0.01,0.01,0.0,0.88,79,2,0,3.0,4.4,2022-09-17,16,18,0,0,0,0,8,0,50308,0,2,6,2.0,1,-1427,829,2256,6.2,False,0,0,0,0.0,14,Tottenham,Leicester,6,2,18278,2022,550914,0.04913330078125,0,2,0,0.0,0.0797296017408371,0.0797296017408371,Leicester,3,4,8,1.7,FWD,0.0,0.01,0.93,0.92,2.41,4.0,1.0,7.6,37.4,1.8,37.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,6.0,1.0,2.0,0.61,0.0,0.0,0.0,0.0,1.0,0.61,0.69,0.08,2.6,0.0,0.0,0.48,0.48,1.36,2.0,0.5,3.85,18.7,1.3,19.0,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,2.5,3.5,0.5,1.5,0.32,0.0,0.0,0.0,0.0,0.5,0.32,0.36,0.05,1.75,0.0,0.01,0.41,0.4,1.19,1.67,0.33,3.5,12.47,4.87,18.33,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.33,2.33,2.67,0.33,2.0,0.24,0.01,0.0,0.0,0.33,0.33,0.24,0.29,0.04,1.5,0.0,0.01,0.31,0.3,1.02,1.5,0.25,2.62,9.35,3.72,13.75,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.5,2.0,2.25,0.25,1.5,0.18,0.01,0.0,0.0,0.25,0.25,0.18,0.21,0.03,1.55,0.0,0.02,0.26,0.25,0.98,1.4,0.2,3.26,11.32,9.08,12.6,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.6,2.4,2.6,0.2,1.4,0.15,0.05,0.2,0.2,0.8,0.2,0.15,0.21,0.02,1.54
0,0,3,0,0.5,262,0.0,0.0,0.0,0.0,92,0,0,0.3,0.2,2022-10-08,11,3,0,0,0,0,10,0,51224,0,1,2,2.0,1,-1369,4414,5783,6.2,False,0,0,0,0.0,9,Bournemouth,Leicester,2,1,18293,2022,554083,0.0,0,0,0,0.0,0.0,0.0,Leicester,3,2,10,1.2,FWD,0.0,0.01,0.01,0.0,0.88,2.0,0.0,3.0,4.4,23.5,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,2.0,0.0,0.0,0.08,0.08,1.7,0.0,0.01,0.47,0.46,1.64,3.0,0.5,5.3,20.9,12.65,19.5,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,5.5,3.5,0.5,1.0,0.31,0.02,0.0,0.0,1.0,0.5,0.31,0.38,0.08,2.15,0.0,0.01,0.33,0.32,1.2,2.0,0.33,3.57,13.93,8.7,13.33,33.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.67,3.67,2.67,0.33,1.0,0.21,0.02,0.0,0.0,0.67,0.33,0.21,0.27,0.06,1.73,0.0,0.01,0.31,0.3,1.12,1.75,0.25,3.38,10.45,9.52,14.25,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.5,3.25,2.25,0.25,1.5,0.18,0.02,0.0,0.0,0.75,0.25,0.18,0.23,0.05,1.55,0.0,0.01,0.25,0.24,0.99,1.6,0.2,2.7,8.36,7.68,11.4,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.6,2.8,2.0,0.2,1.2,0.15,0.02,0.0,0.0,0.6,0.2,0.15,0.19,0.04,1.58
0,0,3,0,11.0,262,0.04,0.07,0.03,0.0,105,0,0,3.5,5.2,2022-10-15,5,7,0,0,0,0,11,0,49393,0,0,0,19.0,1,-2373,1733,4106,6.2,True,0,0,1,0.0273723006248474,3,Leicester,Crystal Palace,0,0,18306,2022,555699,0.0497805997729301,0,1,0,0.0273723006248474,0.0497805997729301,0.0,Leicester,2,3,11,0.8,FWD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.5,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.44,1.0,0.0,1.65,2.3,12.0,2.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4.0,1.0,0.0,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.04,0.04,1.45,0.0,0.01,0.31,0.31,1.1,2.0,0.33,3.63,14.0,8.6,13.67,32.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.67,4.33,2.67,0.33,0.67,0.2,0.02,0.0,0.0,0.67,0.33,0.2,0.26,0.05,1.83,0.0,0.0,0.25,0.24,0.9,1.5,0.25,2.75,10.5,6.65,10.5,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.5,3.25,2.25,0.25,0.75,0.16,0.01,0.0,0.0,0.5,0.25,0.16,0.2,0.04,1.6,0.0,0.01,0.25,0.24,0.89,1.4,0.2,2.76,8.4,7.72,11.8,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.4,3.0,2.0,0.2,1.2,0.15,0.02,0.0,0.0,0.6,0.2,0.15,0.19,0.04,1.48
0,0,2,0,0.0,262,0.0,0.0,0.0,0.04,117,0,0,0.0,0.0,2022-10-20,5,11,0,0,0,0,12,0,48479,0,0,2,0.0,1,-1458,973,2431,6.1,True,0,0,0,0.0,3,Leicester,Leeds,2,0,18317,2022,557807,0.0,0,0,0,0.0,0.0,0.0,Leicester,2,3,12,0.0,FWD,0.0,0.04,0.07,0.03,0.0,0.0,0.0,3.5,5.2,11.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.03,0.05,0.0,0.0,1.0,0.0,0.03,0.05,0.0,0.8,0.0,0.02,0.04,0.02,0.0,0.0,0.0,1.9,2.7,5.75,10.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.5,0.01,0.02,0.0,0.0,0.5,0.0,0.01,0.02,0.0,1.0,0.0,0.02,0.03,0.01,0.29,0.67,0.0,2.27,3.27,11.67,7.67,10.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.67,1.0,0.0,0.33,0.01,0.03,0.0,0.0,1.0,0.0,0.01,0.04,0.03,1.23,0.0,0.02,0.25,0.24,0.82,1.5,0.25,3.6,11.8,9.2,15.0,25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.25,3.25,2.25,0.25,0.75,0.16,0.02,0.0,0.0,0.75,0.25,0.16,0.2,0.04,1.58,0.0,0.01,0.21,0.2,0.72,1.2,0.2,2.9,9.44,7.52,12.2,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,2.6,2.0,0.2,0.8,0.13,0.02,0.0,0.0,0.6,0.2,0.13,0.17,0.04,1.44
0,0,6,0,10.8,262,0.06,0.29,0.23,0.02,137,0,0,3.5,3.4,2022-10-29,19,13,0,0,0,0,14,0,45421,0,1,0,21.0,1,-1912,779,2691,6.1,True,0,0,2,0.0993791967630386,18,Leicester,Manchester City,0,1,18338,2022,559776,0.1441230028867721,0,1,0,0.0993791967630386,0.2764610052108764,0.032958298921585,Leicester,5,3,14,-0.3,FWD,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.02,0.02,0.0,0.0,1.75,2.6,5.5,9.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.01,0.02,0.0,0.0,0.5,0.0,0.01,0.02,0.0,0.4,0.0,0.01,0.02,0.01,0.01,0.0,0.0,1.27,1.8,3.83,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.33,1.0,0.0,0.33,0.01,0.02,0.0,0.0,0.33,0.0,0.01,0.02,0.0,0.67,0.0,0.01,0.02,0.01,0.23,0.5,0.0,1.7,2.45,8.75,5.75,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.5,1.0,0.0,0.25,0.01,0.02,0.0,0.0,0.75,0.0,0.01,0.03,0.02,0.92,0.0,0.01,0.2,0.19,0.67,1.2,0.2,2.88,9.44,7.36,12.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,3.0,2.0,0.2,0.6,0.13,0.02,0.0,0.0,0.6,0.2,0.13,0.16,0.03,1.26
