assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5
0,0,8,0,0.2,461,0.0,0.0,0.0,2.23,10,2,0,1.5,13.0,2022-08-07,90,13,0,0,0,0,1,0,110499,1,2,0,2.0,1,0,0,0,4.5,True,0,461,,,0,0,0.0,90,DC,West Ham,Manchester City,0,2,18211,2022,540063,0.0,0,0,0,0.0,0.0,0.0,935,West Ham,Kurt Zouma,Kurt Zouma,5,3,1,0.9,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,10,0,0.1,461,0.01,0.19,0.18,1.36,18,1,0,2.8,11.8,2022-08-14,90,16,0,0,0,0,2,0,140835,1,0,1,16.0,2,3785,14864,11079,4.5,False,0,461,,,0,1,0.063774399459362,90,DC,Nottingham Forest,West Ham,1,0,18219,2022,541269,0.0,0,0,0,0.063774399459362,0.0321577005088329,0.0321577005088329,935,West Ham,Kurt Zouma,Kurt Zouma,2,2,2,2.0,DEF,0.0,0.0,0.0,0.0,2.23,2.0,0.0,1.5,13.0,0.2,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.74,0.67,0.0,0.5,4.33,0.07,0.67,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.45,0.4,0.0,0.3,2.6,0.04,0.4,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
0,0,12,0,0.9,461,0.03,0.22,0.19,1.71,30,2,0,3.9,14.0,2022-08-21,90,5,0,0,0,0,3,0,141072,1,2,0,24.0,1,-6854,9189,16043,4.5,True,0,461,,,0,2,0.1321099996566772,90,DC,West Ham,Brighton,0,2,18229,2022,542918,0.0,0,0,0,0.1321099996566772,0.0657484009861946,0.0657484009861946,935,West Ham,Kurt Zouma,Kurt Zouma,3,3,3,1.3,DEF,0.0,0.01,0.19,0.18,1.36,1.0,0.0,2.8,11.8,0.1,16.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.03,2.0,0.0,0.0,0.06,0.06,1.2,1.0,0.0,1.43,8.27,0.1,6.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.33,1.0,0.0,0.33,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.97,0.0,0.0,0.04,0.04,0.72,0.6,0.0,0.86,4.96,0.06,3.6,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,0.0,0.2,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.58
0,3,30,1,0.2,461,0.0,0.0,0.0,0.49,32,0,0,3.0,29.8,2022-08-28,90,2,0,0,0,0,4,0,130609,1,1,0,0.0,9,-14526,3586,18112,4.5,False,0,461,,,0,0,0.0,90,DC,Aston Villa,West Ham,0,1,18239,2022,545251,0.0,0,0,0,0.0,0.0604538992047309,0.0604538992047309,935,West Ham,Kurt Zouma,Kurt Zouma,2,2,4,3.2,DEF,0.0,0.03,0.22,0.19,1.71,2.0,0.0,3.9,14.0,0.9,24.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.07,0.07,1.3,0.0,0.01,0.14,0.12,1.77,1.67,0.0,2.73,12.93,0.4,14.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,0.33,1.33,0.0,1.0,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.03,1.4,0.0,0.01,0.08,0.07,1.06,1.0,0.0,1.64,7.76,0.24,8.4,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.2,0.8,0.0,0.6,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.02,0.84
0,0,10,0,0.3,461,0.0,0.11,0.11,0.63,47,1,0,1.5,10.4,2022-08-31,90,18,0,0,0,0,5,0,132250,1,1,1,4.0,2,-2981,6032,9013,4.5,True,0,461,,,0,1,0.0509319007396698,90,DC,West Ham,Tottenham,1,1,18249,2022,546408,0.0,0,0,0,0.0509319007396698,0.1484050005674362,0.1484050005674362,935,West Ham,Kurt Zouma,Kurt Zouma,3,3,5,2.5,DEF,1.0,0.0,0.0,0.0,0.49,0.0,0.0,3.0,29.8,0.2,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,3.2,0.33,0.01,0.14,0.12,1.19,1.0,0.0,3.23,18.53,0.4,13.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.33,4.0,0.0,1.0,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.05,2.17,0.2,0.01,0.08,0.07,1.16,1.0,0.0,2.24,13.72,0.28,8.4,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.2,2.6,0.0,0.6,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.03,1.48
0,0,15,0,0.3,461,0.0,0.0,0.0,0.87,54,2,0,2.2,21.4,2022-09-03,90,6,0,0,0,0,6,0,133938,1,1,2,0.0,1,-2657,7402,10059,4.5,False,0,461,,,0,0,0.0,90,DC,Chelsea,West Ham,2,1,18260,2022,547263,0.0,0,0,0,0.0,0.0,0.0,935,West Ham,Kurt Zouma,Kurt Zouma,2,4,6,2.5,DEF,0.0,0.0,0.11,0.11,0.63,1.0,0.0,1.5,10.4,0.3,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.15,2.5,0.33,0.01,0.11,0.1,0.94,1.0,0.0,2.8,18.07,0.47,9.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,0.33,4.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.09,0.09,2.33,0.2,0.01,0.1,0.1,1.28,1.2,0.0,2.54,15.8,0.34,9.2,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,0.4,3.0,0.0,0.8,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.06,1.98
0,0,12,0,0.5,461,0.01,0.15,0.14,0.36,75,1,0,5.4,16.0,2022-09-18,90,8,0,0,0,0,8,0,164483,1,0,1,37.0,2,20170,30190,10020,4.5,False,0,461,,,0,2,0.0953475013375282,90,DC,Everton,West Ham,1,0,18277,2022,551396,0.0,0,0,0,0.0953475013375282,0.062723197042942,0.062723197042942,935,West Ham,Kurt Zouma,Kurt Zouma,2,2,8,3.5,DEF,0.0,0.0,0.0,0.0,0.87,2.0,0.0,2.2,21.4,0.3,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.33,0.0,0.04,0.04,0.66,1.0,0.0,2.23,20.53,0.27,1.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.33,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.07,2.73,0.2,0.01,0.1,0.1,1.01,1.2,0.0,2.68,17.48,0.36,8.8,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,3.0,0.0,0.8,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.06,2.3
0,0,21,1,0.1,461,0.0,0.0,0.0,0.74,90,0,0,1.9,18.8,2022-10-01,90,20,0,0,0,0,9,0,188205,1,0,2,0.0,6,27403,40587,13184,4.5,True,0,461,,,0,0,0.0,90,DC,West Ham,Wolverhampton Wanderers,2,0,18291,2022,552610,0.0,0,0,0,0.0,0.068604402244091,0.068604402244091,935,West Ham,Kurt Zouma,Kurt Zouma,2,3,9,4.0,DEF,0.0,0.01,0.15,0.14,0.36,1.0,0.0,5.4,16.0,0.5,37.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.06,3.5,0.0,0.0,0.09,0.08,0.62,1.33,0.0,3.03,15.93,0.37,13.67,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,1.33,1.67,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.07,2.83,0.2,0.01,0.1,0.09,0.81,1.2,0.0,3.2,18.32,0.44,13.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,3.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.07,2.6
0,0,15,0,0.3,461,0.0,0.0,0.0,0.7,100,1,0,1.3,13.0,2022-10-09,90,9,0,0,0,0,10,0,223136,1,1,3,0.0,2,32295,41227,8932,4.5,True,0,461,,,0,0,0.0,90,DC,West Ham,Fulham,3,1,18301,2022,554740,0.0,0,0,0,0.0,0.0482835993170738,0.0482835993170738,935,West Ham,Kurt Zouma,Kurt Zouma,2,3,10,3.3,DEF,1.0,0.0,0.0,0.0,0.74,0.0,0.0,1.9,18.8,0.1,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,4.0,0.33,0.0,0.05,0.05,0.66,1.0,0.0,3.17,18.73,0.3,12.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,1.67,3.0,0.0,0.67,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.04,3.33,0.4,0.0,0.05,0.05,0.62,0.8,0.0,2.8,19.28,0.28,8.2,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,1.2,4.0,0.0,0.6,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.07,3.14
0,0,13,0,0.3,461,0.01,0.01,0.0,1.73,118,1,0,1.5,14.2,2022-10-19,90,12,0,0,0,0,12,0,168447,1,0,1,0.0,2,-32852,290,33142,4.5,False,0,461,,,0,0,0.0,90,DC,Liverpool,West Ham,1,0,18320,2022,557538,0.0,0,0,0,0.0,0.5838500261306763,0.5838500261306763,935,West Ham,Kurt Zouma,Kurt Zouma,2,4,12,0.0,DEF,0.0,0.0,0.0,0.0,0.7,1.0,0.0,1.3,13.0,0.3,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,3.3,0.33,0.0,0.05,0.05,0.6,0.67,0.0,2.87,15.93,0.3,12.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,2.0,3.33,0.0,0.67,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.06,3.6,0.2,0.0,0.05,0.05,0.66,1.0,0.0,2.46,15.92,0.3,8.2,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,1.8,2.6,0.0,0.6,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.07,3.16
