assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5
0,0,5,0,1.5,89,0.01,0.15,0.14,0.52,6,2,0,0.6,0.0,2022-08-07,83,10,0,0,0,0,1,0,16404,1,2,2,5.0,2,0,0,0,5.5,False,0,0,2,0.0647957995533943,85,Leicester,Brentford,2,2,18210,2022,539845,0.0,0,0,0,0.0647957995533943,0.5073699951171875,0.442573994398117,Brentford,3,3,1,2.0,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,-1,0,0.5,89,0.0,0.04,0.04,0.18,13,0,0,2.0,2.2,2022-08-13,17,14,0,0,0,0,2,0,17446,0,0,4,17.0,1,-801,1754,2555,5.5,True,0,0,1,0.0289804991334676,13,Brentford,Manchester United,4,0,18218,2022,540804,0.0,0,0,0,0.0289804991334676,0.0,0.0,Brentford,3,3,2,1.0,MID,0.0,0.01,0.15,0.14,0.52,2.0,0.0,0.6,0.0,1.5,5.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.51,0.44,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,15,0,16.4,89,0.03,0.13,0.1,2.21,24,2,0,5.7,21.8,2022-08-20,82,9,0,0,0,0,3,0,15148,1,2,3,19.0,5,-3154,1486,4640,5.4,False,0,0,1,0.2786380052566528,85,Fulham,Brentford,3,2,18225,2022,542420,0.6088230013847351,1,1,0,0.2786380052566528,0.970212996006012,0.6915749907493591,Brentford,3,2,3,3.2,MID,0.0,0.0,0.04,0.04,0.18,0.0,0.0,2.0,2.2,0.5,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.0,0.0,0.0,0.1,0.09,0.35,1.0,0.0,1.3,1.1,1.0,11.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,3.0,1.5,0.0,1.5,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.25,0.22,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,-4,0,0.1,89,0.0,0.37,0.37,0.81,33,1,0,0.4,0.0,2022-08-27,68,8,0,0,0,0,4,0,17022,1,1,1,8.0,1,883,3468,2585,5.4,True,1,0,1,0.4908480048179626,71,Brentford,Everton,1,1,18233,2022,544529,0.0,0,0,0,0.4908480048179626,0.4908480048179626,0.0,Brentford,2,3,4,2.2,MID,0.0,0.03,0.13,0.1,2.21,2.0,0.0,5.7,21.8,16.4,19.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,0.0,1.0,0.28,0.61,1.0,1.0,1.0,0.0,0.28,0.97,0.69,3.2,0.0,0.02,0.08,0.07,1.19,1.0,0.0,3.85,12.0,8.45,18.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,3.5,3.0,0.0,1.0,0.15,0.3,0.5,0.5,0.5,0.0,0.15,0.49,0.35,2.1,0.0,0.01,0.11,0.09,0.97,1.33,0.0,2.77,8.0,6.13,13.67,60.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,3.0,2.67,0.0,1.33,0.12,0.2,0.33,0.33,0.33,0.0,0.12,0.49,0.38,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,21,0,0.8,89,0.01,0.27,0.26,0.03,43,0,1,5.2,33.8,2022-08-30,11,7,0,0,0,0,5,0,14925,0,1,1,17.0,7,-2395,993,3388,5.4,False,0,1,1,0.3000049889087677,10,Crystal Palace,Brentford,1,1,18243,2022,545878,0.0,0,0,1,0.3000049889087677,0.6166520118713379,0.3166469931602478,Brentford,3,2,5,3.2,MID,0.0,0.0,0.37,0.37,0.81,1.0,0.0,0.4,0.0,0.1,8.0,68.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.49,0.0,0.0,0.0,0.0,0.0,0.49,0.49,0.0,2.2,0.0,0.02,0.25,0.24,1.51,1.5,0.0,3.05,10.9,8.25,13.5,75.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.5,2.0,3.0,0.0,1.0,0.38,0.3,0.5,0.5,0.5,0.0,0.38,0.73,0.35,2.7,0.0,0.01,0.18,0.17,1.07,1.0,0.0,2.7,8.0,5.67,14.67,55.67,0.0,0.0,0.0,0.0,0.33,0.0,0.67,1.0,2.67,2.33,0.0,1.0,0.27,0.2,0.33,0.33,0.33,0.0,0.27,0.49,0.23,2.13,0.0,0.01,0.17,0.16,0.93,1.25,0.0,2.17,6.0,4.62,12.25,62.5,0.0,0.0,0.0,0.0,0.25,0.0,0.75,1.25,2.5,2.25,0.0,1.25,0.22,0.15,0.25,0.25,0.25,0.0,0.22,0.49,0.28,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,21,0,0.3,89,0.02,0.75,0.73,0.18,52,0,1,5.6,32.0,2022-09-03,7,11,0,0,0,0,6,0,20782,0,2,5,24.0,6,4520,6761,2241,5.4,True,0,1,2,0.5363209843635559,4,Brentford,Leeds,5,2,18257,2022,547224,0.0,0,0,1,0.5363209843635559,0.8199269771575928,0.283605009317398,Brentford,2,3,6,4.5,MID,0.0,0.01,0.27,0.26,0.03,0.0,1.0,5.2,33.8,0.8,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,1.0,0.3,0.0,0.0,0.0,0.0,1.0,0.3,0.62,0.32,3.2,0.0,0.0,0.32,0.32,0.42,0.5,0.5,2.8,16.9,0.45,12.5,39.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,1.0,4.0,0.5,1.0,0.4,0.0,0.0,0.0,0.0,0.5,0.4,0.55,0.16,2.7,0.0,0.01,0.26,0.24,1.02,1.0,0.33,3.77,18.53,5.77,14.67,53.67,0.0,0.0,0.0,0.0,0.33,0.0,0.67,1.33,1.67,4.33,0.33,1.0,0.36,0.2,0.33,0.33,0.33,0.33,0.36,0.69,0.34,2.87,0.0,0.01,0.2,0.19,0.81,0.75,0.25,3.32,14.45,4.45,15.25,44.5,0.0,0.0,0.0,0.0,0.25,0.0,0.5,1.0,2.25,3.5,0.25,1.0,0.27,0.15,0.25,0.25,0.25,0.25,0.27,0.52,0.25,2.4,0.0,0.01,0.19,0.18,0.75,1.0,0.2,2.78,11.56,3.86,13.2,52.2,0.0,0.0,0.0,0.0,0.2,0.0,0.6,1.2,2.2,3.2,0.2,1.2,0.23,0.12,0.2,0.2,0.2,0.2,0.23,0.52,0.29,2.32
0,0,0,0,0.0,89,0.0,0.0,0.0,0.17,72,0,0,0.2,2.0,2022-09-18,14,1,0,0,0,0,8,0,44245,0,3,0,0.0,1,8780,12738,3958,5.4,True,0,0,0,0.0,12,Brentford,Arsenal,0,3,18280,2022,551048,0.0,0,0,0,0.0,0.0,0.0,Brentford,4,3,8,3.3,MID,0.0,0.02,0.75,0.73,0.18,0.0,1.0,5.6,32.0,0.3,24.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,1.0,2.0,0.54,0.0,0.0,0.0,0.0,1.0,0.54,0.82,0.28,4.5,0.0,0.02,0.51,0.5,0.1,0.0,1.0,5.4,32.9,0.55,20.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,6.5,1.0,1.5,0.42,0.0,0.0,0.0,0.0,1.0,0.42,0.72,0.3,3.85,0.0,0.01,0.46,0.45,0.34,0.33,0.67,3.73,21.93,0.4,16.33,28.67,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.33,2.33,4.67,0.67,1.33,0.44,0.0,0.0,0.0,0.0,0.67,0.44,0.64,0.2,3.3,0.0,0.02,0.38,0.36,0.81,0.75,0.5,4.22,21.9,4.4,17.0,42.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,1.5,2.5,4.75,0.5,1.25,0.4,0.15,0.25,0.25,0.25,0.5,0.4,0.72,0.32,3.28,0.0,0.01,0.31,0.3,0.68,0.6,0.4,3.78,17.96,3.62,17.0,37.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,1.2,2.8,4.0,0.4,1.2,0.33,0.12,0.2,0.2,0.2,0.4,0.33,0.58,0.26,2.82
0,0,3,0,1.3,89,0.0,0.04,0.04,0.12,82,0,0,1.9,0.0,2022-10-01,29,3,0,0,0,0,9,0,38607,0,0,0,18.0,1,671,7206,6535,5.4,False,0,0,1,0.0605209991335868,25,Bournemouth,Brentford,0,0,18283,2022,552414,0.0,0,0,0,0.0605209991335868,0.1379979997873306,0.0774774998426437,Brentford,3,2,9,1.5,MID,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.2,2.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.01,0.38,0.36,0.17,0.0,0.5,2.9,17.0,0.15,12.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,3.5,0.5,1.0,0.27,0.0,0.0,0.0,0.0,0.5,0.27,0.41,0.14,3.9,0.0,0.01,0.34,0.33,0.13,0.0,0.67,3.67,22.6,0.37,13.67,10.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.67,0.67,1.0,0.28,0.0,0.0,0.0,0.0,0.67,0.28,0.48,0.2,3.67,0.0,0.01,0.35,0.34,0.3,0.25,0.5,2.85,16.95,0.3,12.25,25.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,1.75,1.75,3.75,0.5,1.0,0.33,0.0,0.0,0.0,0.0,0.5,0.33,0.48,0.15,3.3,0.0,0.01,0.3,0.29,0.68,0.6,0.4,3.42,17.92,3.52,13.6,36.4,0.0,0.0,0.0,0.0,0.2,0.0,0.4,1.8,2.0,4.0,0.4,1.0,0.32,0.12,0.2,0.2,0.2,0.4,0.32,0.58,0.26,3.28
0,0,1,0,0.8,89,0.02,0.23,0.21,0.79,98,2,0,1.1,0.0,2022-10-08,28,15,0,0,0,0,10,0,30197,0,1,5,11.0,1,-8082,981,9063,5.4,False,0,0,1,0.1191139966249466,26,Newcastle United,Brentford,5,1,18299,2022,554113,0.0,0,0,0,0.1191139966249466,0.1191139966249466,0.0,Brentford,3,4,10,1.0,MID,0.0,0.0,0.04,0.04,0.12,0.0,0.0,1.9,0.0,1.3,18.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.14,0.08,1.5,0.0,0.0,0.02,0.02,0.14,0.0,0.0,1.05,1.0,0.65,9.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.0,0.0,0.5,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.04,2.4,0.0,0.01,0.26,0.26,0.16,0.0,0.33,2.57,11.33,0.53,14.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,1.67,2.67,0.33,1.0,0.2,0.0,0.0,0.0,0.0,0.33,0.2,0.32,0.12,3.1,0.0,0.01,0.26,0.26,0.12,0.0,0.5,3.22,16.95,0.6,14.75,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,3.75,0.5,1.0,0.22,0.0,0.0,0.0,0.0,0.5,0.22,0.39,0.17,3.12,0.0,0.01,0.29,0.28,0.26,0.2,0.4,2.66,13.56,0.5,13.4,25.8,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1.4,1.4,3.2,0.4,1.0,0.28,0.0,0.0,0.0,0.0,0.4,0.28,0.41,0.14,2.94
0,0,5,1,0.9,89,0.0,0.02,0.02,1.54,102,0,0,0.4,1.8,2022-10-14,70,5,0,0,0,0,11,0,26568,1,0,2,1.0,3,-3926,571,4497,5.4,True,0,0,1,0.0138983000069856,73,Brentford,Brighton,2,0,18303,2022,555544,0.0,0,0,0,0.0138983000069856,0.0138983000069856,0.0,Brentford,3,3,11,1.5,MID,0.0,0.02,0.23,0.21,0.79,2.0,0.0,1.1,0.0,0.8,11.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,1.0,0.0,0.01,0.14,0.12,0.45,1.0,0.0,1.5,0.0,1.05,14.5,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.5,1.0,0.0,1.0,0.09,0.0,0.0,0.0,0.0,0.0,0.09,0.13,0.04,1.25,0.0,0.01,0.09,0.08,0.36,0.67,0.0,1.07,0.67,0.7,9.67,23.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.67,1.0,0.0,0.67,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.09,0.03,1.93,0.0,0.01,0.26,0.24,0.32,0.5,0.25,2.2,8.5,0.6,13.25,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.5,2.25,0.25,1.0,0.18,0.0,0.0,0.0,0.0,0.25,0.18,0.27,0.09,2.58,0.0,0.01,0.26,0.25,0.26,0.4,0.4,2.8,13.56,0.64,14.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.2,3.2,0.4,1.0,0.2,0.0,0.0,0.0,0.0,0.4,0.2,0.34,0.14,2.7
