assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3
0,0,6,0,3.1,331,0.01,0.04,0.03,1.45,9,2,0,0.5,1.0,2022-08-07,52,5,0,0,0,0,1,0,83919,1,2,1,1.0,1,0,0,0,5.5,True,0,0,1,0.0186694990843534,55,Manchester United,Brighton,1,2,18209,2022,539797,0.0,0,0,0,0.0186694990843534,0.0892430990934372,0.0705735981464386,Manchester United,3,4,1,2.5,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,10,0,4.2,331,0.03,0.03,0.0,1.32,13,4,0,1.2,3.8,2022-08-13,45,4,0,0,0,0,2,0,82724,1,0,4,4.0,1,-15682,5771,21453,5.5,False,0,0,0,0.0,50,Brentford,Manchester United,4,0,18218,2022,540814,0.0,0,0,0,0.0,0.105784997344017,0.105784997344017,Manchester United,3,3,2,1.5,MID,0.0,0.01,0.04,0.03,1.45,2.0,0.0,0.5,1.0,3.1,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.02,0.09,0.07,2.5,83919.0
0,0,7,0,0.1,331,0.0,0.0,0.0,0.32,27,1,0,0.7,6.8,2022-08-22,19,12,0,0,0,0,3,0,65145,0,1,2,0.0,1,-20961,2951,23912,5.4,True,0,0,0,0.0,18,Manchester United,Liverpool,2,1,18231,2022,543827,0.0,0,0,0,0.0,0.0,0.0,Manchester United,4,4,3,0.5,MID,0.0,0.04,0.07,0.03,2.77,6.0,0.0,1.7,4.8,7.3,5.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,2.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.02,0.2,0.18,4.0,166643.0
0,0,-2,0,0.0,331,0.0,0.0,0.0,0.25,39,0,0,0.0,0.0,2022-08-27,1,17,0,0,0,0,4,0,57783,0,1,0,0.0,0,-10603,2659,13262,5.3,False,1,0,0,0.0,1,Southampton,Manchester United,0,1,18232,2022,544180,0.0,0,0,0,0.0,0.0,0.0,Manchester United,3,2,4,1.3,MID,0.0,0.04,0.07,0.03,3.09,7.0,0.0,2.4,11.6,7.4,5.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,3.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.02,0.2,0.18,4.5,231788.0
0,0,4,0,0.0,331,0.0,0.0,0.0,0.24,46,0,0,0.1,1.0,2022-09-01,3,10,0,0,0,0,5,0,51985,0,1,0,0.0,1,-7632,1831,9463,5.3,False,0,0,0,0.0,2,Leicester,Manchester United,0,1,18251,2022,546694,0.0,0,0,0,0.0,0.0,0.0,Manchester United,3,3,5,1.3,MID,0.0,0.03,0.03,0.0,1.89,5.0,0.0,1.9,10.6,4.3,4.0,65.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,3.3,205652.0
0,0,7,0,14.9,331,0.03,0.03,0.0,0.23,56,0,0,2.2,4.6,2022-09-04,23,1,0,0,0,0,6,0,49461,0,1,3,2.0,1,-4234,2504,6738,5.2,True,0,0,0,0.0,20,Manchester United,Arsenal,3,1,18261,2022,548100,0.3560410141944885,0,1,0,0.0,0.3560410141944885,0.0,Manchester United,4,4,6,0.8,MID,0.0,0.0,0.0,0.0,0.81,1.0,0.0,0.8,7.8,0.1,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,174913.0
1,0,14,0,20.8,331,0.01,0.11,0.1,0.35,88,1,0,4.7,9.6,2022-10-02,20,13,0,0,0,0,9,0,46149,0,3,6,17.0,4,-1365,889,2254,5.2,False,0,0,1,0.088919997215271,18,Manchester City,Manchester United,6,3,18289,2022,552942,0.0250957999378442,0,2,0,0.088919997215271,0.1793590039014816,0.0807043015956878,Manchester United,3,5,9,1.5,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,5,1,29.1,331,0.07,0.24,0.17,0.91,107,0,0,7.0,5.6,2022-10-16,90,15,0,0,0,0,11,0,45199,1,0,0,35.0,3,-1328,770,2098,5.1,True,0,0,4,0.4654690027236938,90,Manchester United,Newcastle United,0,0,18308,2022,556583,0.0320277996361255,0,2,0,0.4654690027236938,1.1325600147247314,0.6496530175209045,Manchester United,3,4,11,2.3,MID,0.0,0.01,0.11,0.1,0.35,1.0,0.0,4.7,9.6,20.8,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,4.0,0.0,1.0,0.09,0.03,0.0,2.0,0.0,0.09,0.18,0.08,1.5,46149.0
0,2,38,1,44.2,331,0.34,0.69,0.35,0.61,119,0,1,15.9,51.8,2022-10-19,90,18,0,0,0,0,12,0,45520,1,0,2,63.0,10,-144,793,937,5.1,True,0,1,6,0.3191109895706177,90,Manchester United,Tottenham,2,0,18321,2022,557646,0.4356490075588226,0,3,1,0.3191109895706177,1.1234899759292605,0.7360789775848389,Manchester United,3,4,12,0.0,MID,1.0,0.08,0.35,0.27,1.26,1.0,0.0,11.7,15.2,49.9,52.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,7.0,0.0,5.0,0.55,0.06,0.0,4.0,0.0,0.55,1.31,0.73,3.8,91348.0
0,0,-1,0,11.4,331,0.01,0.05,0.04,0.92,122,1,0,1.6,0.2,2022-10-22,38,6,0,0,0,0,13,0,52573,0,1,1,4.0,0,6223,7441,1218,5.1,False,1,0,1,0.0301846992224454,37,Chelsea,Manchester United,1,1,18323,2022,558441,0.0169358998537063,0,1,0,0.0301846992224454,0.1130170002579689,0.0658965036273002,Manchester United,3,4,13,2.9,MID,2.0,0.41,0.93,0.52,1.52,0.0,1.0,22.9,57.4,73.3,98.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,13.0,1.0,10.0,0.78,0.47,0.0,5.0,1.0,0.78,2.26,1.39,2.3,90719.0
0,0,-1,0,0.1,331,0.0,0.13,0.13,0.67,139,0,0,0.2,0.0,2022-10-30,11,19,0,0,0,0,14,0,51481,0,0,1,4.0,1,-1486,2743,4229,5.1,True,0,0,1,0.2933470010757446,10,Manchester United,West Ham,1,0,18340,2022,561005,0.0,0,0,0,0.2933470010757446,0.2933470010757446,0.0,Manchester United,2,4,14,3.0,MID,2.0,0.42,0.98,0.56,2.44,1.0,1.0,24.5,57.6,84.7,102.0,218.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,13.0,1.0,11.0,0.81,0.48,0.0,6.0,1.0,0.81,2.37,1.45,5.2,143292.0
0,0,23,0,21.3,331,0.06,0.52,0.46,0.13,169,0,1,7.9,39.0,2022-12-27,13,16,0,0,0,0,17,0,48078,0,0,3,19.0,6,-1387,2217,3604,5.1,True,0,1,1,0.4445590078830719,10,Manchester United,Nottingham Forest,3,0,18370,2022,565695,0.1651100069284439,0,2,1,0.4445590078830719,0.609669029712677,0.0,Manchester United,2,4,17,6.5,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,5.1,331,0.01,0.01,0.0,0.28,180,0,0,0.9,4.0,2022-12-31,29,20,0,0,0,0,18,0,49252,0,1,0,0.0,0,779,1675,896,5.1,False,1,0,0,0.0,28,Wolverhampton Wanderers,Manchester United,0,1,18381,2022,566345,0.0,0,0,0,0.0,0.3404160141944885,0.3404160141944885,Manchester United,3,2,18,3.0,MID,0.0,0.06,0.52,0.46,0.13,0.0,1.0,7.9,39.0,21.3,19.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,1.0,0.44,0.17,0.0,2.0,1.0,0.44,0.61,0.0,6.5,48078.0
0,0,6,0,22.2,331,0.03,0.03,0.0,0.13,189,0,0,2.9,6.8,2023-01-03,22,3,0,0,0,0,19,0,48807,0,0,3,0.0,1,-601,691,1292,5.1,True,0,0,0,0.0,19,Manchester United,Bournemouth,3,0,18390,2022,567088,0.1745350062847137,0,2,0,0.0,1.0676599740982056,0.9834190011024476,Manchester United,2,4,19,2.3,MID,0.0,0.07,0.53,0.46,0.41,0.0,1.0,8.8,43.0,26.4,19.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,6.0,1.0,1.0,0.44,0.17,0.0,2.0,1.0,0.44,0.95,0.34,9.5,97330.0
0,0,11,0,12.2,331,0.01,0.01,0.0,0.65,196,1,0,2.6,12.0,2023-01-14,90,13,0,0,0,0,20,0,48553,1,1,2,2.0,1,-548,1073,1621,5.1,True,1,0,0,0.0,90,Manchester United,Manchester City,2,1,18397,2022,568659,0.0196307990700006,0,1,0,0.0,0.4163529872894287,0.3967219889163971,Manchester United,5,4,20,2.6,MID,0.0,0.1,0.56,0.46,0.54,0.0,1.0,11.7,49.8,48.6,19.0,64.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,7.0,1.0,1.0,0.44,0.34,0.0,4.0,1.0,0.44,2.02,1.32,11.8,146137.0
0,0,8,0,0.7,331,0.0,0.0,0.0,0.06,63,1,0,0.6,5.6,2023-01-18,7,7,0,0,0,0,20,0,48553,0,1,1,0.0,1,-548,1073,1621,5.1,False,0,0,0,0.0,4,Crystal Palace,Manchester United,1,1,18270,2022,569812,0.0,0,0,0,0.0,0.0,0.0,Manchester United,3,2,20,2.6,MID,0.0,0.1,0.56,0.46,0.54,0.0,1.0,11.7,49.8,48.6,19.0,64.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,7.0,1.0,1.0,0.44,0.34,0.0,4.0,1.0,0.44,2.02,1.32,11.8,146137.0
