assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5
0,0,13,0,15.8,95,0.1,0.28,0.18,0.62,6,2,0,5.1,11.8,2022-08-07,90,10,0,0,0,0,1,0,219038,1,2,2,23.0,2,0,0,0,6.0,False,0,0,2,0.136815994977951,90,Leicester,Brentford,2,2,18210,2022,539843,0.1856849938631057,0,1,0,0.136815994977951,0.3224999904632568,0.0,Brentford,3,3,1,1.8,FWD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,27,1,2.8,95,0.01,0.56,0.55,0.74,13,0,1,6.2,32.2,2022-08-13,72,14,0,0,0,0,2,0,205130,1,0,4,27.0,6,-20808,11603,32411,6.0,True,0,1,2,0.3354479968547821,77,Brentford,Manchester United,4,0,18218,2022,540802,0.0,0,0,1,0.3354479968547821,0.3354479968547821,0.0,Brentford,3,3,2,3.5,FWD,0.0,0.1,0.28,0.18,0.62,2.0,0.0,5.1,11.8,15.8,23.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.14,0.19,0.0,1.0,0.0,0.14,0.32,0.0,1.8,219038.0,0.0,0.1,0.28,0.18,0.62,2.0,0.0,5.1,11.8,15.8,23.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.14,0.19,0.0,1.0,0.0,0.14,0.32,0.0,1.8,219038.0
0,0,16,0,42.4,95,0.34,0.49,0.15,2.54,24,3,0,9.6,13.4,2022-08-20,90,9,0,0,0,0,3,0,290227,1,2,3,40.0,2,66071,104377,38306,6.0,False,0,0,3,0.1067570000886917,90,Fulham,Brentford,3,2,18225,2022,542418,0.4154410064220428,0,3,0,0.1067570000886917,1.045809984207153,0.6604130268096924,Brentford,3,2,3,3.8,FWD,1.0,0.11,0.84,0.73,1.36,2.0,1.0,11.3,44.0,18.6,50.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,8.0,1.0,4.0,0.47,0.19,0.0,1.0,1.0,0.47,0.66,0.0,5.3,424168.0,1.0,0.11,0.84,0.73,1.36,2.0,1.0,11.3,44.0,18.6,50.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,8.0,1.0,4.0,0.47,0.19,0.0,1.0,1.0,0.47,0.66,0.0,5.3,424168.0
0,0,4,0,18.0,95,0.03,0.32,0.29,1.02,33,1,0,6.1,1.2,2022-08-27,77,8,0,0,0,0,4,0,288733,1,1,1,42.0,2,-5885,44519,50404,6.0,True,0,0,4,0.2481169998645782,80,Brentford,Everton,1,1,18233,2022,544527,0.0378207005560398,0,1,0,0.2481169998645782,0.3043879866600036,0.0562705993652343,Brentford,2,3,4,3.0,FWD,1.0,0.45,1.33,0.88,3.9,5.0,1.0,20.9,57.4,61.0,90.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,9.0,10.0,1.0,7.0,0.58,0.6,0.0,4.0,1.0,0.58,1.7,0.66,9.1,714395.0,1.0,0.45,1.33,0.88,3.9,5.0,1.0,20.9,57.4,61.0,90.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,9.0,10.0,1.0,7.0,0.58,0.6,0.0,4.0,1.0,0.58,1.7,0.66,9.1,714395.0
0,0,6,0,3.2,95,0.03,0.03,0.0,0.87,43,1,0,0.8,0.0,2022-08-30,67,7,0,0,0,0,5,0,255242,1,1,1,6.0,2,-36622,21365,57987,6.0,False,0,0,0,0.0,69,Crystal Palace,Brentford,1,1,18243,2022,545875,0.1355119943618774,0,1,0,0.0,0.0,0.0,Brentford,3,2,5,2.8,FWD,1.0,0.38,1.37,0.99,4.3,4.0,1.0,21.9,46.8,63.2,109.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,8.0,10.0,1.0,9.0,0.69,0.45,0.0,4.0,1.0,0.69,1.69,0.72,10.3,784090.0,1.0,0.48,1.65,1.17,4.92,6.0,1.0,27.0,58.6,79.0,132.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,10.0,12.0,1.0,11.0,0.83,0.64,0.0,5.0,1.0,0.83,2.01,0.72,12.1,1003128.0
0,2,36,0,26.0,95,0.1,0.33,0.23,1.73,52,2,1,9.0,43.0,2022-09-03,82,11,0,0,0,0,6,0,207155,1,2,5,21.0,8,-50722,12976,63698,6.0,True,0,1,1,0.4111959934234619,86,Brentford,Leeds,5,2,18257,2022,547221,0.4070520102977752,0,2,1,0.4111959934234619,0.8182479739189148,0.0,Brentford,2,3,6,4.5,FWD,0.0,0.4,0.84,0.44,4.43,5.0,0.0,16.5,14.6,63.6,88.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,6.0,0.0,7.0,0.35,0.59,0.0,5.0,0.0,0.35,1.35,0.72,9.6,834202.0,1.0,0.51,1.68,1.17,5.79,7.0,1.0,27.8,58.6,82.2,138.0,396.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,11.0,14.0,1.0,11.0,0.83,0.77,0.0,6.0,1.0,0.83,2.01,0.72,14.9,1258370.0
0,0,3,0,1.2,95,0.0,0.09,0.09,1.35,72,3,0,3.7,0.0,2022-09-18,75,1,0,0,0,0,8,0,188306,1,3,0,37.0,2,-12869,7519,20388,6.0,True,0,0,2,0.0896857976913452,78,Brentford,Arsenal,0,3,18280,2022,551046,0.0,0,0,0,0.0896857976913452,0.3999710083007812,0.3102850019931793,Brentford,4,3,8,3.0,FWD,0.0,0.13,0.36,0.23,2.6,3.0,1.0,9.8,43.0,29.2,27.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,10.0,1.0,1.0,0.41,0.54,0.0,3.0,1.0,0.41,0.82,0.0,7.3,462397.0,0.0,0.5,1.17,0.67,6.16,7.0,1.0,25.5,57.6,89.6,109.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,14.0,1.0,8.0,0.77,1.0,0.0,7.0,1.0,0.77,2.17,0.72,14.1,1041357.0
0,0,3,1,8.0,95,0.02,0.07,0.05,0.26,82,0,0,1.1,0.2,2022-10-01,60,3,0,0,0,0,9,0,199412,1,0,0,3.0,2,2556,26793,24237,5.9,False,0,0,1,0.0176812000572681,65,Bournemouth,Brentford,0,0,18283,2022,552411,0.0,0,0,0,0.0176812000572681,0.0176812000572681,0.0,Brentford,3,2,9,2.5,FWD,0.0,0.1,0.42,0.32,3.08,5.0,1.0,12.7,43.0,27.2,58.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,10.0,1.0,3.0,0.5,0.41,0.0,2.0,1.0,0.5,1.22,0.31,7.5,395461.0,0.0,0.16,0.77,0.61,4.97,7.0,1.0,19.6,44.2,48.4,106.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,14.0,1.0,7.0,0.75,0.58,0.0,4.0,1.0,0.75,1.52,0.37,13.3,939436.0
0,0,4,0,1.3,95,0.01,0.07,0.06,0.74,98,3,0,3.2,3.2,2022-10-08,61,15,0,0,0,0,10,0,193021,1,1,5,27.0,2,-6898,21864,28762,5.9,False,0,0,2,0.1155930012464523,64,Newcastle United,Brentford,5,1,18299,2022,554111,0.0,0,0,0,0.1155930012464523,0.0662833973765373,0.0,Brentford,3,4,10,2.0,FWD,1.0,0.02,0.16,0.14,1.61,3.0,0.0,4.8,0.2,9.2,40.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,0.11,0.0,0.0,0.0,0.0,0.11,0.42,0.31,5.5,387718.0,1.0,0.15,0.52,0.37,4.21,6.0,1.0,14.6,43.2,38.4,67.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,14.0,1.0,4.0,0.52,0.54,0.0,3.0,1.0,0.52,1.24,0.31,12.8,850115.0
0,0,3,1,16.1,95,0.17,0.22,0.05,1.56,102,0,0,2.8,1.8,2022-10-14,79,5,0,0,0,0,11,0,184259,1,0,2,10.0,2,-9593,9619,19212,5.9,True,0,0,1,0.0546494014561176,82,Brentford,Brighton,2,0,18303,2022,555542,0.0646784976124763,0,1,0,0.0546494014561176,0.6441029906272888,0.5894529819488525,Brentford,3,3,11,2.0,FWD,1.0,0.03,0.23,0.2,2.35,6.0,0.0,8.0,3.4,10.5,67.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,6.0,0.0,5.0,0.22,0.0,0.0,0.0,0.0,0.22,0.48,0.31,7.5,580739.0,1.0,0.13,0.56,0.43,4.08,8.0,1.0,17.0,46.4,36.5,88.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,14.0,1.0,6.0,0.63,0.41,0.0,2.0,1.0,0.63,1.3,0.31,12.0,787894.0
