assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,ownership_change,percenatge_net_transfers
0,0,6,1,17.7,368,0.24,0.59,0.35,0.28,7,0,0,10.6,6.8,2022-08-06,89,16,0,0,0,0,1,0,596955,1,0,2,81.0,3,0,0,0,6.5,True,0,0,4,0.3583970069885254,90,Newcastle United,Nottingham Forest,2,0,18206,2022,539462,0.0222724992781877,0,1,0,0.3583970069885254,1.1585400104522705,0.9281280040740968,Newcastle United,2,4,1,2.8,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,5,1,13.1,368,0.02,0.02,0.0,0.84,14,0,0,2.7,5.4,2022-08-13,74,5,0,0,0,0,2,0,656140,1,0,0,8.0,2,-19553,46678,66231,6.5,False,1,0,0,0.0,77,Brighton,Newcastle United,0,0,18213,2022,540697,0.0414848998188972,0,1,0,0.0,0.0414848998188972,0.0,Newcastle United,3,3,2,2.5,MID,1.0,0.24,0.59,0.35,0.28,0.0,0.0,10.6,6.8,17.7,81.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,4.0,0.36,0.02,0.0,1.0,0.0,0.36,1.16,0.93,2.8,596955.0,1.0,0.24,0.59,0.35,0.28,0.0,0.0,10.6,6.8,17.7,81.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,4.0,0.36,0.02,0.0,1.0,0.0,0.36,1.16,0.93,2.8,596955.0,59185.0,-0.17317485762870985
3,2,43,0,50.6,368,0.68,0.91,0.23,2.11,28,3,0,13.5,49.6,2022-08-21,90,13,0,0,0,0,3,0,550959,1,3,3,35.0,13,-125887,33343,159230,6.4,True,0,0,3,0.2188100069761276,90,Newcastle United,Manchester City,3,3,18230,2022,543271,1.1276400089263916,2,4,0,0.2188100069761276,1.409209966659546,0.0627605020999908,Newcastle United,5,4,3,5.0,MID,2.0,0.26,0.61,0.35,1.12,0.0,0.0,13.3,12.2,30.8,89.0,163.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,5.0,0.0,4.0,0.36,0.06,0.0,2.0,0.0,0.36,1.2,0.93,5.3,1253095.0,2.0,0.26,0.61,0.35,1.12,0.0,0.0,13.3,12.2,30.8,89.0,163.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,5.0,0.0,4.0,0.36,0.06,0.0,2.0,0.0,0.36,1.2,0.93,5.3,1253095.0,-105181.0,-0.6537105409377223
0,2,22,0,14.3,368,0.07,0.32,0.25,0.71,40,1,1,11.2,44.8,2022-08-28,90,20,0,0,0,0,4,0,897280,1,1,1,53.0,9,252902,313410,60508,6.5,False,0,1,5,0.2091190069913864,90,Wolverhampton Wanderers,Newcastle United,1,1,18240,2022,545102,0.077469602227211,0,1,1,0.2091190069913864,0.5549079775810242,0.2683199942111969,Newcastle United,3,2,4,6.8,MID,2.0,0.94,1.52,0.58,3.23,3.0,0.0,26.8,61.8,81.4,124.0,253.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,5.0,18.0,0.0,7.0,0.58,1.19,2.0,6.0,0.0,0.58,2.61,0.99,10.3,1804054.0,2.0,0.94,1.52,0.58,3.23,3.0,0.0,26.8,61.8,81.4,124.0,253.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,5.0,18.0,0.0,7.0,0.58,1.19,2.0,6.0,0.0,0.58,2.61,0.99,10.3,1804054.0,346321.0,0.6763568482929412
0,0,5,0,0.1,368,0.0,0.0,0.0,0.02,98,0,0,0.2,1.4,2022-10-08,12,4,0,0,0,0,10,0,516207,0,1,5,0.0,1,-81173,11206,92379,6.4,True,0,0,0,0.0,10,Newcastle United,Brentford,5,1,18299,2022,554098,0.0,0,0,0,0.0,0.0,0.0,Newcastle United,3,4,10,0.2,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-381073.0,-0.7836366269247478
0,0,2,0,0.3,368,0.0,0.0,0.0,0.0,140,0,0,0.0,0.0,2022-10-29,4,2,0,0,0,0,14,0,367658,0,0,4,0.0,1,-43065,926,43991,6.2,True,0,0,0,0.0,1,Newcastle United,Aston Villa,4,0,18341,2022,560081,0.0,0,0,0,0.0,0.0,0.0,Newcastle United,2,4,14,0.2,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.2,1.4,0.1,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,516207.0,-148549.0,-0.95876839503974
1,0,9,0,10.5,368,0.0,0.0,0.0,0.6,147,1,0,2.9,18.6,2022-11-06,17,17,0,0,0,0,15,0,380002,0,4,1,0.0,4,9380,21353,11973,6.2,False,0,0,0,0.0,12,Southampton,Newcastle United,1,4,18348,2022,562649,0.0191038995981216,1,1,0,0.0,0.0191038995981216,0.0,Newcastle United,3,2,15,1.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,367658.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.2,1.4,0.4,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,883865.0,12344.0,0.281461921622757
0,0,2,0,0.4,368,0.01,0.01,0.0,0.1,168,0,0,0.1,0.4,2022-12-26,7,10,0,0,0,0,17,0,394730,0,3,0,0.0,1,8048,43907,35859,6.2,False,0,0,0,0.0,4,Leicester,Newcastle United,0,3,18369,2022,565530,0.0,0,0,0,0.0,0.0,0.0,Newcastle United,3,3,17,1.0,MID,0.0,0.0,0.0,0.0,0.6,1.0,0.0,2.9,18.6,10.8,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,0.0,0.0,0.0,0.02,1.0,1.0,0.0,0.0,0.02,0.0,1.2,747660.0,0.0,0.0,0.0,0.0,0.6,1.0,0.0,2.9,18.6,10.8,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,0.0,0.0,0.0,0.02,1.0,1.0,0.0,0.0,0.02,0.0,1.2,747660.0,14728.0,0.10089511822079583
0,0,4,0,12.0,368,0.04,0.04,0.0,0.05,176,0,0,1.9,5.0,2022-12-31,26,11,0,0,0,0,18,0,382328,0,0,0,2.0,1,-13314,4580,17894,6.2,True,0,0,0,0.0,24,Newcastle United,Leeds,0,0,18377,2022,566393,0.0837031006813049,0,1,0,0.0,0.0837031006813049,0.0,Newcastle United,2,4,18,1.0,MID,0.0,0.01,0.01,0.0,0.7,1.0,0.0,3.0,19.0,10.9,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,5.0,0.0,0.0,0.0,0.02,1.0,1.0,0.0,0.0,0.02,0.0,2.0,774732.0,0.0,0.01,0.01,0.0,0.7,1.0,0.0,3.0,19.0,11.2,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,6.0,0.0,0.0,0.0,0.02,1.0,1.0,0.0,0.0,0.02,0.0,2.2,1142390.0,-12402.0,-0.5924179051348225
0,0,5,0,0.0,368,0.0,0.0,0.0,0.13,181,0,0,0.2,2.0,2023-01-03,3,1,0,0,0,0,19,0,372044,0,0,0,0.0,1,-10818,1947,12765,6.2,False,0,0,0,0.0,1,Arsenal,Newcastle United,0,0,18382,2022,567040,0.0,0,0,0,0.0,0.0,0.0,Newcastle United,3,4,19,0.5,MID,0.0,0.05,0.05,0.0,0.15,0.0,0.0,2.0,5.4,12.4,2.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.08,0.0,1.0,0.0,0.0,0.08,0.0,2.0,777058.0,0.0,0.05,0.05,0.0,0.75,1.0,0.0,4.9,24.0,23.2,2.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,7.0,0.0,0.0,0.0,0.1,1.0,2.0,0.0,0.0,0.1,0.0,3.2,1524718.0,-10284.0,-0.7353181076672104
