assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,ownership_change,percenatge_net_transfers
0,0,20,0,15.9,534,0.05,0.05,0.0,1.43,3,1,0,3.3,14.6,2022-08-06,60,6,0,0,0,0,1,0,33086,1,1,0,2.0,2,0,0,0,5.5,True,0,0,0,0.0,70,Everton,Chelsea,0,1,18208,2022,539616,0.0263577997684478,0,1,0,0.0,0.1253910064697265,0.1253910064697265,Everton,3,2,1,1.5,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,5,0,19.5,534,0.1,0.19,0.09,0.43,12,1,0,4.6,4.0,2022-08-13,63,2,0,0,0,0,2,0,34015,1,1,2,22.0,2,-2026,2303,4329,5.5,False,0,0,2,0.1428900063037872,67,Aston Villa,Everton,2,1,18212,2022,540362,0.0420809015631675,0,1,0,0.1428900063037872,0.053813200443983,0.0,Everton,2,2,2,2.0,MID,0.0,0.05,0.05,0.0,1.43,1.0,0.0,3.3,14.6,15.9,2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.03,0.0,1.0,0.0,0.0,0.13,0.13,1.5,33086.0,0.0,0.05,0.05,0.0,1.43,1.0,0.0,3.3,14.6,15.9,2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.03,0.0,1.0,0.0,0.0,0.13,0.13,1.5,33086.0,929.0,-0.3054885404101327
0,0,4,0,2.9,534,0.01,0.09,0.08,0.63,23,1,0,2.4,0.6,2022-08-20,33,16,0,0,0,0,3,0,29498,0,1,1,20.0,1,-5419,2318,7737,5.5,True,0,0,1,0.0730620995163917,32,Everton,Nottingham Forest,1,1,18224,2022,542353,0.0,0,0,0,0.0730620995163917,0.2045059949159622,0.1314440071582794,Everton,2,2,3,2.2,MID,0.0,0.15,0.24,0.09,1.86,2.0,0.0,7.9,18.6,35.4,24.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,2.0,0.14,0.07,0.0,2.0,0.0,0.14,0.18,0.13,3.5,67101.0,0.0,0.15,0.24,0.09,1.86,2.0,0.0,7.9,18.6,35.4,24.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,2.0,0.14,0.07,0.0,2.0,0.0,0.14,0.18,0.13,3.5,67101.0,-4517.0,-0.5389358528095475
0,0,9,0,16.0,534,0.05,0.13,0.08,2.05,33,1,0,3.8,7.8,2022-08-27,85,4,0,0,0,0,4,0,21573,1,1,1,14.0,2,-8267,399,8666,5.4,False,0,0,1,0.0533559992909431,88,Brentford,Everton,1,1,18233,2022,544544,0.0377434007823467,0,1,0,0.0533559992909431,0.4437530040740967,0.3526540100574493,Everton,2,3,4,1.8,MID,0.0,0.16,0.33,0.17,2.49,3.0,0.0,10.3,19.2,38.3,44.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,5.0,0.0,3.0,0.22,0.07,0.0,2.0,0.0,0.22,0.38,0.26,5.7,96599.0,0.0,0.16,0.33,0.17,2.49,3.0,0.0,10.3,19.2,38.3,44.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,5.0,0.0,3.0,0.22,0.07,0.0,2.0,0.0,0.22,0.38,0.26,5.7,96599.0,-7925.0,-0.911969111969112
0,0,9,0,4.8,534,0.12,0.18,0.06,1.01,45,1,0,2.8,22.6,2022-08-30,90,11,0,0,0,0,5,0,18581,1,1,1,1.0,2,-3426,440,3866,5.3,False,0,0,1,0.0240548998117446,90,Leeds,Everton,1,1,18245,2022,545999,0.0,0,0,0,0.0240548998117446,0.0240548998117446,0.0,Everton,2,2,5,2.3,MID,0.0,0.16,0.41,0.25,3.11,3.0,0.0,10.8,12.4,38.4,56.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,5.0,0.0,4.0,0.27,0.08,0.0,2.0,0.0,0.27,0.7,0.48,6.0,85086.0,0.0,0.21,0.46,0.25,4.54,4.0,0.0,14.1,27.0,54.3,58.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,7.0,0.0,4.0,0.27,0.11,0.0,3.0,0.0,0.27,0.83,0.61,7.5,118172.0,-2992.0,-0.7956339990710636
0,0,5,0,11.0,534,0.02,0.08,0.06,0.92,55,0,0,3.4,4.6,2022-09-03,8,12,0,0,0,0,6,0,16425,0,0,0,18.0,1,-2459,604,3063,5.3,True,0,0,1,0.0584020018577575,6,Everton,Liverpool,0,0,18252,2022,546858,0.0199509002268314,0,1,0,0.0584020018577575,0.0783528983592987,0.0584020018577575,Everton,4,2,6,0.6,MID,0.0,0.18,0.4,0.22,3.69,3.0,0.0,9.0,31.0,23.7,35.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,5.0,0.0,3.0,0.15,0.04,0.0,1.0,0.0,0.15,0.67,0.48,6.3,69652.0,0.0,0.33,0.64,0.31,5.55,5.0,0.0,16.9,49.6,59.1,59.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,9.0,0.0,5.0,0.29,0.11,0.0,3.0,0.0,0.29,0.85,0.61,9.8,136753.0,-2156.0,-0.6705754022361603
0,0,-4,0,0.3,534,0.0,0.0,0.0,0.33,75,0,0,0.0,0.0,2022-09-18,15,19,0,0,0,0,8,0,15457,0,0,1,0.0,0,-324,415,739,5.2,True,1,0,0,0.0,14,Everton,West Ham,1,0,18277,2022,551393,0.0,0,0,0,0.0,0.0627280995249748,0.0627280995249748,Everton,2,2,8,1.2,MID,0.0,0.14,0.26,0.12,1.93,1.0,0.0,6.2,27.2,15.8,19.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,2.0,0.08,0.02,0.0,1.0,0.0,0.08,0.1,0.06,2.9,35006.0,0.0,0.2,0.48,0.28,4.61,3.0,0.0,12.4,35.6,34.7,53.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,6.0,0.0,4.0,0.21,0.06,0.0,2.0,0.0,0.21,0.75,0.54,6.9,86077.0,-968.0,-0.2807625649913345
0,3,37,0,34.6,534,0.53,0.67,0.14,1.41,89,1,1,11.1,45.8,2022-10-01,73,17,0,0,0,0,9,0,14077,1,2,1,31.0,10,-1331,274,1605,5.2,False,0,1,2,0.0413940995931625,74,Southampton,Everton,1,2,18290,2022,552323,1.1693300008773804,0,2,1,0.0413940995931625,1.006469964981079,0.4157389998435974,Everton,2,2,9,5.0,MID,0.0,0.02,0.08,0.06,1.25,0.0,0.0,3.4,4.6,11.3,18.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.06,0.02,0.0,1.0,0.0,0.06,0.14,0.12,1.8,31882.0,0.0,0.19,0.39,0.2,4.31,2.0,0.0,10.0,35.0,32.1,33.0,198.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,5.0,0.0,3.0,0.14,0.06,0.0,2.0,0.0,0.14,0.61,0.47,5.9,72036.0,-1380.0,-0.7083555082490687
0,0,4,0,15.2,534,0.08,0.08,0.0,0.16,96,0,0,2.1,3.6,2022-10-09,23,14,0,0,0,0,10,0,16731,0,2,1,2.0,1,2122,3043,921,5.2,True,0,0,0,0.0,21,Everton,Manchester United,1,2,18297,2022,555243,0.0536856018006801,0,1,0,0.0,0.0485332012176513,0.0485332012176513,Everton,3,2,10,3.7,MID,0.0,0.53,0.67,0.14,1.74,1.0,1.0,11.1,45.8,34.9,31.0,88.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,10.0,1.0,2.0,0.04,1.17,0.0,2.0,1.0,0.04,1.07,0.48,6.2,29534.0,0.0,0.67,0.93,0.26,3.67,2.0,1.0,17.3,73.0,50.7,50.0,186.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,13.0,1.0,4.0,0.12,1.19,0.0,3.0,1.0,0.12,1.17,0.54,9.1,64540.0,2654.0,0.5353178607467205
0,0,7,0,15.3,534,0.05,0.05,0.0,2.27,109,2,0,3.4,18.2,2022-10-15,90,18,0,0,0,0,11,0,15822,1,0,2,0.0,1,-850,445,1295,5.2,False,1,0,0,0.0,90,Tottenham,Everton,2,0,18310,2022,556193,0.0771847963333129,0,1,0,0.0,0.0,0.0,Everton,2,4,11,2.5,MID,0.0,0.61,0.75,0.14,1.9,1.0,1.0,13.2,49.4,50.1,33.0,111.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,11.0,1.0,2.0,0.04,1.22,0.0,3.0,1.0,0.04,1.12,0.53,9.9,46265.0,0.0,0.63,0.83,0.2,2.82,1.0,1.0,16.6,54.0,61.1,51.0,119.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,12.0,1.0,3.0,0.1,1.24,0.0,4.0,1.0,0.1,1.2,0.59,10.5,62690.0,-909.0,-0.4885057471264368
