assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,ownership_change,percenatge_net_transfers
0,0,7,0,8.1,169,0.06,0.55,0.49,0.92,1,2,0,3.6,6.8,2022-08-05,85,1,0,0,0,0,1,0,74770,1,2,0,21.0,2,0,0,0,5.5,True,0,0,1,0.3831239938735962,87,Crystal Palace,Arsenal,0,2,18202,2022,539130,0.0,0,0,0,0.3831239938735962,0.5650619864463806,0.1819379925727844,Crystal Palace,4,2,1,1.5,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,24,0,16.9,169,0.14,0.14,0.0,1.92,16,1,0,4.4,25.2,2022-08-15,78,12,0,0,0,0,2,0,87761,1,1,1,2.0,6,-1275,9764,11039,5.5,False,0,0,0,0.0,82,Liverpool,Crystal Palace,1,1,18221,2022,541896,0.4335339963436126,1,1,0,0.0,0.7489669919013977,0.315432995557785,Crystal Palace,2,4,2,3.0,MID,0.0,0.06,0.55,0.49,0.92,2.0,0.0,3.6,6.8,8.1,21.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.38,0.0,0.0,0.0,0.0,0.38,0.57,0.18,1.5,74770.0,0.0,0.06,0.55,0.49,0.92,2.0,0.0,3.6,6.8,8.1,21.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.38,0.0,0.0,0.0,0.0,0.38,0.57,0.18,1.5,74770.0,12991.0,-0.0612892371292602
0,1,29,0,45.7,169,0.15,0.35,0.2,0.78,22,1,0,8.8,15.8,2022-08-20,90,2,0,0,0,0,3,0,155641,1,1,3,26.0,3,52839,69311,16472,5.5,True,0,0,3,0.2485219985246658,90,Crystal Palace,Aston Villa,3,1,18223,2022,542432,0.5006459951400757,0,3,0,0.2485219985246658,1.0945500135421753,0.8837990164756775,Crystal Palace,2,2,3,3.7,MID,0.0,0.2,0.69,0.49,2.84,3.0,0.0,8.0,32.0,25.0,23.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,8.0,0.0,1.0,0.38,0.43,1.0,1.0,0.0,0.38,1.31,0.5,4.5,162531.0,0.0,0.2,0.69,0.49,2.84,3.0,0.0,8.0,32.0,25.0,23.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,8.0,0.0,1.0,0.38,0.43,1.0,1.0,0.0,0.38,1.31,0.5,4.5,162531.0,67880.0,0.615961204434445
1,0,18,0,28.5,169,0.04,0.04,0.0,2.42,37,4,0,5.1,20.4,2022-08-27,90,13,0,0,0,0,4,0,147681,1,2,4,2.0,5,-11884,21976,33860,5.5,False,0,0,0,0.0,90,Manchester City,Crystal Palace,4,2,18237,2022,544452,0.0919760018587112,1,2,0,0.0,0.0161131992936134,0.0161131992936134,Crystal Palace,2,5,4,3.0,MID,0.0,0.35,1.04,0.69,3.62,4.0,0.0,16.8,47.8,70.7,49.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,11.0,0.0,4.0,0.63,0.93,1.0,4.0,0.0,0.63,2.41,1.38,8.2,318172.0,0.0,0.35,1.04,0.69,3.62,4.0,0.0,16.8,47.8,70.7,49.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,11.0,0.0,4.0,0.63,0.93,1.0,4.0,0.0,0.63,2.41,1.38,8.2,318172.0,-7960.0,-0.21283759581631922
0,0,11,1,28.3,169,0.07,0.11,0.04,0.63,43,0,0,4.4,10.6,2022-08-30,75,4,0,0,0,0,5,0,244804,1,1,1,5.0,3,82175,100993,18818,5.5,True,0,0,1,0.0162888001650571,77,Crystal Palace,Brentford,1,1,18243,2022,545860,0.093350701034069,0,2,0,0.0162888001650571,0.0594924986362457,0.0204425994306802,Crystal Palace,3,2,5,3.8,MID,0.0,0.33,0.53,0.2,5.12,6.0,0.0,18.3,61.4,91.1,30.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,8.0,14.0,0.0,3.0,0.25,1.03,2.0,6.0,0.0,0.25,1.86,1.22,9.7,391083.0,0.0,0.39,1.08,0.69,6.04,8.0,0.0,21.9,68.2,99.2,51.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,8.0,16.0,0.0,4.0,0.63,1.03,2.0,6.0,0.0,0.63,2.42,1.4,11.2,465853.0,97123.0,0.6858719149326856
0,0,7,1,15.8,169,0.02,0.1,0.08,1.69,57,0,0,3.0,7.6,2022-09-03,61,15,0,0,0,0,6,0,266606,1,0,0,7.0,3,17484,56094,38610,5.5,False,0,0,1,0.0722327008843422,64,Newcastle United,Crystal Palace,0,0,18253,2022,547297,0.0630393028259277,0,1,0,0.0722327008843422,0.0722327008843422,0.0,Crystal Palace,2,4,6,4.0,MID,1.0,0.26,0.5,0.24,3.83,5.0,0.0,18.3,46.8,102.5,33.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,8.0,11.0,0.0,4.0,0.26,0.69,1.0,7.0,0.0,0.26,1.17,0.92,10.5,548126.0,1.0,0.46,1.19,0.73,6.67,8.0,0.0,26.3,78.8,127.5,56.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,9.0,19.0,0.0,5.0,0.65,1.12,2.0,8.0,0.0,0.65,2.48,1.42,15.0,710657.0,21802.0,0.18461733400912317
0,0,10,0,2.5,169,0.07,0.18,0.11,0.95,83,1,0,1.9,1.0,2022-10-01,73,6,0,0,0,0,9,0,223264,1,2,1,15.0,2,-8155,16757,24912,5.5,True,0,0,4,0.141976997256279,80,Crystal Palace,Chelsea,1,2,18284,2022,552276,0.0,0,0,0,0.141976997256279,0.1714860051870346,0.0797381997108459,Crystal Palace,3,2,9,1.5,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.13,0.25,0.12,4.74,4.0,0.0,12.5,38.6,72.6,14.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,11.0,0.0,2.0,0.09,0.25,1.0,5.0,0.0,0.09,0.15,0.04,10.8,659091.0,-43342.0,-0.19570904029374356
0,3,39,0,28.0,169,0.22,0.41,0.19,0.97,95,1,1,9.9,42.0,2022-10-09,90,11,0,0,0,0,10,0,224922,1,1,2,29.0,10,-138,24527,24665,5.5,True,0,1,3,0.3970760107040405,90,Crystal Palace,Leeds,2,1,18296,2022,554714,0.6264500021934509,0,2,1,0.3970760107040405,0.6270809769630432,0.2936060130596161,Crystal Palace,2,2,10,6.0,MID,0.0,0.07,0.18,0.11,0.95,1.0,0.0,1.9,1.0,2.5,15.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,4.0,0.14,0.0,0.0,0.0,0.0,0.14,0.17,0.08,1.5,223264.0,2.0,0.16,0.39,0.23,3.27,1.0,0.0,9.3,19.2,46.6,27.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,8.0,0.0,6.0,0.23,0.16,0.0,3.0,0.0,0.23,0.3,0.1,9.3,734674.0,1658.0,-0.002805334200683038
0,0,14,1,29.2,169,0.1,0.15,0.05,1.03,105,0,0,3.9,7.8,2022-10-15,90,10,0,0,0,0,11,0,280851,1,0,0,2.0,3,51917,63982,12065,5.5,False,0,0,2,0.0514753982424736,90,Leicester,Crystal Palace,0,0,18306,2022,555709,0.1533920019865036,0,2,0,0.0514753982424736,0.1064160019159317,0.0549407005310058,Crystal Palace,2,3,11,5.0,MID,0.0,0.29,0.59,0.3,1.92,2.0,1.0,11.8,43.0,30.5,44.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,12.0,1.0,7.0,0.54,0.63,0.0,2.0,1.0,0.54,0.8,0.37,7.5,448186.0,1.0,0.31,0.69,0.38,3.61,2.0,1.0,14.8,50.6,46.3,51.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,15.0,1.0,8.0,0.61,0.69,0.0,3.0,1.0,0.61,0.87,0.37,11.5,714792.0,55929.0,0.6826962273330967
0,3,32,0,36.3,169,0.15,0.39,0.24,0.84,115,1,1,11.3,42.8,2022-10-18,89,20,0,0,0,0,12,0,344181,1,1,2,34.0,10,44272,59600,15328,5.6,True,0,1,2,0.3083550035953522,90,Crystal Palace,Wolverhampton Wanderers,2,1,18318,2022,557375,0.1046790033578872,0,3,1,0.3083550035953522,0.7493709921836853,0.4116280078887939,Crystal Palace,2,2,12,0.0,MID,1.0,0.39,0.74,0.35,2.95,2.0,1.0,15.7,50.8,59.7,46.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,15.0,1.0,9.0,0.59,0.78,0.0,4.0,1.0,0.59,0.9,0.43,12.5,729037.0,1.0,0.39,0.74,0.35,2.95,2.0,1.0,15.7,50.8,59.7,46.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,15.0,1.0,9.0,0.59,0.78,0.0,4.0,1.0,0.59,0.9,0.43,12.5,729037.0,63330.0,0.5908605594704249
