assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,ownership_change,percenatge_net_transfers
0,0,7,1,13.3,701,0.01,0.12,0.11,0.33,63,0,0,2.8,8.2,2023-01-18,68,7,0,0,0,0,20,0,0,1,1,1,6.0,2,0,0,0,6.0,False,0,0,1,0.0733143016695976,72,Crystal Palace,Manchester United,1,1,18270,2022,569810,0.0185282006859779,0,1,0,0.0733143016695976,0.1958300024271011,0.1039870008826255,Manchester United,3,2,20,3.0,FWD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,0,2.5,701,0.0,0.0,0.0,2.93,201,3,0,1.3,6.0,2023-01-22,90,1,0,0,0,0,21,0,40973,1,2,3,4.0,2,39734,43206,3472,6.0,False,0,0,0,0.0,90,Arsenal,Manchester United,3,2,18402,2022,570744,0.0,0,0,0,0.0,0.0370679013431072,0.0370679013431072,Manchester United,3,4,21,0.8,FWD,1.0,0.01,0.12,0.11,0.33,0.0,0.0,2.8,8.2,13.3,6.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.07,0.02,0.0,1.0,0.0,0.07,0.2,0.1,3.0,0.0,1.0,0.01,0.12,0.11,0.33,0.0,0.0,2.8,8.2,13.3,6.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.07,0.02,0.0,1.0,0.0,0.07,0.2,0.1,3.0,0.0,40973.0,0.8512361283688247
0,0,5,0,30.8,701,0.47,0.58,0.11,0.57,216,0,0,6.2,8.0,2023-02-04,58,7,0,0,0,0,22,0,142311,1,1,2,23.0,1,98158,114783,16625,6.0,True,0,0,1,0.0560960993170738,61,Manchester United,Crystal Palace,2,1,18417,2022,573287,0.3254680037498474,0,3,0,0.0560960993170738,0.1413110047578811,0.0,Manchester United,2,4,22,2.4,FWD,1.0,0.01,0.12,0.11,3.26,3.0,0.0,4.1,14.2,15.8,10.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,0.0,1.0,0.07,0.02,0.0,1.0,0.0,0.07,0.23,0.14,3.8,40973.0,1.0,0.01,0.12,0.11,3.26,3.0,0.0,4.1,14.2,15.8,10.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,0.0,1.0,0.07,0.02,0.0,1.0,0.0,0.07,0.23,0.14,3.8,40973.0,101338.0,0.7469712650675758
0,0,3,0,13.2,701,0.01,0.01,0.0,0.54,76,2,0,1.9,3.4,2023-02-08,58,11,0,0,0,0,22,0,142311,1,2,2,2.0,1,98158,114783,16625,6.0,True,0,0,0,0.0,67,Manchester United,Leeds,2,2,18279,2022,574395,0.0091216703876852,0,1,0,0.0,0.6390770077705383,0.629954993724823,Manchester United,2,4,22,2.4,FWD,1.0,0.01,0.12,0.11,3.26,3.0,0.0,4.1,14.2,15.8,10.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,0.0,1.0,0.07,0.02,0.0,1.0,0.0,0.07,0.23,0.14,3.8,40973.0,1.0,0.01,0.12,0.11,3.26,3.0,0.0,4.1,14.2,15.8,10.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,0.0,1.0,0.07,0.02,0.0,1.0,0.0,0.07,0.23,0.14,3.8,40973.0,0.0,0.7469712650675758
1,0,20,1,22.9,701,0.02,0.02,0.0,1.83,225,0,0,5.4,28.6,2023-02-12,90,11,0,0,0,0,23,0,100587,1,2,0,2.0,5,-39852,6409,46261,6.0,False,0,0,0,0.0,90,Leeds,Manchester United,0,2,18426,2022,575419,0.2518590092658996,1,2,0,0.0,0.5628899931907654,0.3110310137271881,Manchester United,3,2,23,2.2,FWD,1.0,0.02,0.13,0.11,3.8,5.0,0.0,6.0,17.6,29.0,12.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,5.0,0.0,1.0,0.07,0.03,0.0,2.0,0.0,0.07,0.87,0.77,6.2,183284.0,1.0,0.02,0.13,0.11,3.8,5.0,0.0,6.0,17.6,29.0,12.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,5.0,0.0,1.0,0.07,0.03,0.0,2.0,0.0,0.07,0.87,0.77,6.2,183284.0,-41724.0,-0.756635655971141
0,0,0,1,17.6,701,0.33,1.29,0.96,1.42,236,0,0,6.8,11.4,2023-02-19,90,10,0,0,0,0,24,0,88626,1,0,3,39.0,2,-13138,7962,21100,5.9,True,0,0,6,0.8198279738426208,90,Manchester United,Leicester,3,0,18437,2022,576942,0.1549409925937652,0,1,0,0.8198279738426208,1.5587600469589231,0.6675620079040527,Manchester United,3,4,24,2.2,FWD,1.0,0.03,0.03,0.0,5.3,5.0,0.0,8.6,38.0,38.6,8.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,8.0,0.0,0.0,0.0,0.26,1.0,3.0,0.0,0.0,1.24,0.98,5.4,283871.0,2.0,0.04,0.15,0.11,5.63,5.0,0.0,11.4,46.2,51.9,14.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,6.0,10.0,0.0,1.0,0.07,0.28,1.0,4.0,0.0,0.07,1.43,1.08,8.4,283871.0,-11961.0,-0.45206799256761404
0,0,2,0,3.8,701,0.01,0.01,0.0,1.67,256,3,0,0.4,0.6,2023-03-05,57,12,0,0,0,0,26,0,63243,1,0,7,0.0,1,-1975,9092,11067,5.8,False,0,0,0,0.0,59,Liverpool,Manchester United,7,0,18457,2022,580387,0.0,0,0,0,0.0,0.0454038009047508,0.0454038009047508,Manchester United,3,4,26,1.7,FWD,2.0,0.35,1.31,0.96,3.25,0.0,0.0,12.2,40.0,40.5,41.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,7.0,0.0,6.0,0.82,0.41,1.0,3.0,0.0,0.82,2.12,0.98,4.4,189213.0,2.0,0.36,1.32,0.96,6.72,5.0,0.0,15.4,49.4,56.2,47.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,8.0,10.0,0.0,6.0,0.82,0.42,1.0,4.0,0.0,0.82,2.8,1.65,7.6,372497.0,-25383.0,-0.0979711295203135
0,0,1,0,0.3,701,0.0,0.09,0.09,0.41,267,0,0,2.1,3.4,2023-03-12,43,17,0,0,0,0,27,0,60757,1,0,0,17.0,1,-3060,9302,12362,5.7,True,0,0,1,0.0648361966013908,43,Manchester United,Southampton,0,0,18468,2022,581786,0.0,0,0,0,0.0648361966013908,0.0648361966013908,0.0,Manchester United,2,4,27,1.8,FWD,1.0,0.34,1.3,0.96,3.09,3.0,0.0,7.2,12.0,21.4,39.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,3.0,0.0,6.0,0.82,0.15,0.0,1.0,0.0,0.82,1.6,0.71,3.9,151869.0,2.0,0.37,1.33,0.96,5.46,5.0,0.0,14.5,44.0,57.5,43.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,12.0,9.0,0.0,6.0,0.82,0.42,1.0,4.0,0.0,0.82,2.81,1.65,8.5,394767.0,-2486.0,-0.14124815361890694
0,0,4,1,2.6,701,0.0,0.07,0.07,1.81,288,0,0,0.6,0.0,2023-04-02,61,15,0,0,0,0,29,0,58315,1,0,2,6.0,2,5283,10783,5500,5.6,False,0,0,1,0.0748853981494903,63,Newcastle United,Manchester United,2,0,18489,2022,585627,0.0,0,0,0,0.0748853981494903,0.0748853981494903,0.0,Manchester United,3,4,29,1.5,FWD,0.0,0.01,0.1,0.09,2.08,3.0,0.0,2.5,4.0,4.1,17.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,2.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,0.06,0.11,0.05,3.5,124000.0,1.0,0.34,1.39,1.05,3.5,3.0,0.0,9.3,15.4,21.7,56.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,4.0,0.0,7.0,0.88,0.15,0.0,1.0,0.0,0.88,1.67,0.71,5.7,212626.0,-2442.0,0.32444881164404593
0,0,5,0,20.6,701,0.01,0.01,0.0,0.0,297,0,0,2.7,4.0,2023-04-08,9,8,0,0,0,0,30,0,51497,0,0,2,2.0,1,-6650,2459,9109,5.6,True,0,0,0,0.0,8,Manchester United,Everton,2,0,18498,2022,586389,0.0947822034358978,0,2,0,0.0,0.0947822034358978,0.0,Manchester United,2,4,30,1.0,FWD,1.0,0.0,0.16,0.16,2.22,0.0,0.0,2.7,3.4,2.9,23.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,2.0,0.14,0.0,0.0,0.0,0.0,0.14,0.14,0.0,3.3,119072.0,1.0,0.01,0.17,0.16,3.89,3.0,0.0,3.1,4.0,6.7,23.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,4.0,0.0,2.0,0.14,0.0,0.0,0.0,0.0,0.14,0.19,0.05,5.0,182315.0,-6818.0,-0.5748616874135546
