assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
1,0,24,1,43.0,301,0.31,0.47,0.16,0.49,10,0,0,8.7,24.4,2022-08-07,87,19,0,0,0,0,1,0,1151254,1,2,0,20.0,6,0,0,0,12.0,False,0,301,,,0,2,0.0828095972537994,90,MC,West Ham,Manchester City,0,2,18211,2022,540082,0.4830670058727264,1,3,0,0.0828095972537994,1.135259985923767,0.9580919742584229,447,Manchester City,Kevin De Bruyne,Kevin De Bruyne,5,3,1,4.7,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
1,3,46,1,78.5,301,0.59,0.79,0.2,0.13,17,0,1,19.2,68.6,2022-08-13,90,3,0,0,0,0,2,0,1463650,1,0,4,45.0,14,64431,132311,67880,12.0,True,0,301,,,1,4,0.2198459953069687,90,MC,Manchester City,Bournemouth,4,0,18214,2022,540559,0.6080989837646484,1,5,1,0.2198459953069687,0.8841800093650818,0.1593160033226013,447,Manchester City,Kevin De Bruyne,Kevin De Bruyne,2,5,2,11.5,MID,1.0,0.31,0.47,0.16,0.49,0.0,0.0,8.7,24.4,43.0,20.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,2.0,0.08,0.48,1.0,1.0,3.0,0.0,0.08,1.14,0.96,4.7,0.33,0.1,0.16,0.05,0.16,0.0,0.0,2.9,8.13,14.33,6.67,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,0.0,2.0,0.0,0.67,0.03,0.16,0.33,0.33,1.0,0.0,0.03,0.38,0.32,1.57,0.2,0.06,0.09,0.03,0.1,0.0,0.0,1.74,4.88,8.6,4.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,1.2,0.0,0.4,0.02,0.1,0.2,0.2,0.6,0.0,0.02,0.23,0.19,0.94,312396.0,0.32184763550808976
1,0,25,0,70.4,301,0.74,1.05,0.31,1.81,28,3,0,13.6,38.2,2022-08-21,90,15,0,0,0,0,3,0,2104831,1,3,3,27.0,5,407691,481367,73676,12.1,False,0,301,,,0,3,0.3668889999389648,90,MC,Newcastle United,Manchester City,3,3,18230,2022,543281,1.2543100118637085,1,4,0,0.3668889999389648,0.7501829862594604,0.1053700000047683,447,Manchester City,Kevin De Bruyne,Kevin De Bruyne,5,4,3,9.3,MID,1.0,0.59,0.79,0.2,0.13,0.0,1.0,19.2,68.6,78.5,45.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,14.0,1.0,4.0,0.22,0.61,1.0,1.0,5.0,1.0,0.22,0.88,0.16,11.5,0.67,0.3,0.42,0.12,0.21,0.0,0.33,9.3,31.0,40.5,21.67,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,1.33,6.67,0.33,2.0,0.1,0.36,0.67,0.67,2.67,0.33,0.1,0.67,0.37,5.4,0.4,0.18,0.25,0.07,0.12,0.0,0.2,5.58,18.6,24.3,13.0,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,4.0,0.2,1.2,0.06,0.22,0.4,0.4,1.6,0.2,0.06,0.4,0.22,3.24,641181.0,0.7345214695077679
0,0,12,0,43.5,301,0.25,0.38,0.13,0.12,37,2,0,8.9,15.8,2022-08-27,88,7,0,0,0,0,4,0,2522376,1,2,4,30.0,2,276871,361418,84547,12.2,True,0,301,,,0,3,0.0571910999715328,90,MC,Manchester City,Crystal Palace,4,2,18237,2022,544433,0.0931648015975952,0,2,0,0.0571910999715328,0.800894021987915,0.6638680100440979,447,Manchester City,Kevin De Bruyne,Kevin De Bruyne,2,5,4,7.8,MID,0.0,0.74,1.05,0.31,1.81,3.0,0.0,13.6,38.2,70.4,27.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,5.0,0.0,3.0,0.37,1.25,1.0,1.0,4.0,0.0,0.37,0.75,0.11,9.3,0.67,0.55,0.77,0.22,0.81,1.0,0.33,13.83,43.73,63.97,30.67,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,2.33,8.33,0.33,3.0,0.22,0.78,1.0,1.0,4.0,0.33,0.22,0.92,0.41,8.5,0.4,0.33,0.46,0.13,0.49,0.6,0.2,8.3,26.24,38.38,18.4,53.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.4,5.0,0.2,1.8,0.13,0.47,0.6,0.6,2.4,0.2,0.13,0.55,0.24,5.1,417545.0,0.6208357158072942
0,0,2,0,13.8,301,0.02,0.27,0.25,0.29,49,0,0,4.5,14.2,2022-08-31,21,16,0,0,0,0,5,0,2650570,0,0,6,17.0,1,56993,244366,187373,12.2,True,0,301,,,0,1,0.4143509864807129,20,Sub,Manchester City,Nottingham Forest,6,0,18246,2022,546322,0.1023790016770362,0,1,0,0.4143509864807129,0.516730010509491,0.0,447,Manchester City,Kevin De Bruyne,Kevin De Bruyne,2,5,5,7.1,MID,0.0,0.25,0.38,0.13,0.12,2.0,0.0,8.9,15.8,43.5,30.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,0.0,3.0,0.06,0.09,0.0,0.0,2.0,0.0,0.06,0.8,0.66,7.8,0.33,0.53,0.74,0.21,0.69,1.67,0.33,13.9,40.87,64.13,34.0,89.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,3.67,7.0,0.33,3.33,0.21,0.65,0.67,0.67,3.67,0.33,0.21,0.81,0.31,9.53,0.4,0.38,0.54,0.16,0.51,1.0,0.2,10.08,29.4,47.08,24.4,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.4,2.2,5.4,0.2,2.4,0.15,0.49,0.6,0.6,2.8,0.2,0.15,0.71,0.38,6.66,128194.0,0.13200799557139847
1,2,23,0,65.2,301,0.55,1.16,0.61,0.34,51,1,0,11.0,25.2,2022-09-03,90,2,0,0,0,0,6,0,2412531,1,1,1,20.0,7,-280828,89672,370500,12.2,False,0,301,,,0,4,0.6081439852714539,90,MC,Aston Villa,Manchester City,1,1,18258,2022,547444,0.7839999794960022,1,6,0,0.6081439852714539,1.4729700088500977,0.8511480093002319,447,Manchester City,Kevin De Bruyne,Kevin De Bruyne,5,2,6,6.8,MID,0.0,0.02,0.27,0.25,0.29,0.0,0.0,4.5,14.2,13.8,17.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.41,0.1,0.0,0.0,1.0,0.0,0.41,0.52,0.0,7.1,0.0,0.34,0.57,0.23,0.74,1.67,0.0,9.0,22.73,42.57,24.67,66.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.67,4.33,2.67,0.0,2.33,0.28,0.48,0.33,0.33,2.33,0.0,0.28,0.69,0.26,8.07,0.4,0.38,0.59,0.21,0.57,1.0,0.2,10.98,32.24,49.84,27.8,75.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.4,3.4,5.6,0.2,2.6,0.23,0.51,0.6,0.6,3.0,0.2,0.23,0.82,0.38,8.08,-238039.0,-0.6102674652086612
2,1,34,1,51.4,301,0.66,0.71,0.05,0.41,80,0,0,10.4,41.2,2022-09-17,71,20,0,0,0,0,8,0,3557645,1,3,0,11.0,10,660980,740791,79811,12.2,False,0,301,,,0,2,0.0566941983997821,75,MC,Wolverhampton Wanderers,Manchester City,0,3,18274,2022,550447,0.7708399891853333,2,4,0,0.0566941983997821,0.8816499710083008,0.8270350098609924,447,Manchester City,Kevin De Bruyne,Kevin De Bruyne,5,2,8,6.0,MID,0.0,0.55,1.16,0.61,0.34,1.0,0.0,11.0,25.2,65.2,20.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,4.0,0.61,0.78,1.0,1.0,6.0,0.0,0.61,1.47,0.85,6.8,0.0,0.27,0.6,0.33,0.25,1.0,0.0,8.13,18.4,40.83,22.33,66.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,3.67,3.33,0.0,2.67,0.36,0.33,0.33,0.33,3.0,0.0,0.36,0.93,0.51,7.23,0.2,0.43,0.73,0.3,0.54,1.2,0.2,11.44,32.4,54.28,27.8,75.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,3.6,5.8,0.2,3.0,0.33,0.57,0.6,0.6,3.6,0.2,0.33,0.88,0.36,8.5,1145114.0,0.8054818291936895
2,0,33,0,31.4,301,0.57,0.85,0.28,0.19,88,1,0,10.2,41.6,2022-10-02,74,14,0,0,0,0,9,0,3387273,1,3,6,29.0,8,45430,243917,198487,12.3,True,0,301,,,0,3,0.1766030043363571,77,MC,Manchester City,Manchester United,6,3,18289,2022,552920,0.6230990290641785,2,2,0,0.1766030043363571,2.083739995956421,1.3932600021362305,447,Manchester City,Kevin De Bruyne,Kevin De Bruyne,3,5,9,10.0,MID,1.0,0.66,0.71,0.05,0.41,0.0,0.0,10.4,41.2,51.4,11.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,10.0,0.0,2.0,0.06,0.77,2.0,2.0,4.0,0.0,0.06,0.88,0.83,6.0,0.33,0.41,0.71,0.3,0.35,0.33,0.0,8.63,26.87,43.47,16.0,60.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,2.33,6.0,0.0,2.33,0.36,0.55,1.0,1.0,3.67,0.0,0.36,0.96,0.56,6.63,0.2,0.44,0.71,0.27,0.59,1.2,0.0,9.68,26.92,48.86,21.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.8,2.8,5.0,0.0,2.6,0.3,0.6,0.8,0.8,3.4,0.0,0.3,0.88,0.49,7.4,-170372.0,0.10268894494624822
1,0,28,1,26.8,301,0.25,0.25,0.0,0.05,97,0,0,6.0,20.8,2022-10-08,69,17,0,0,0,0,10,0,3810220,1,0,4,12.0,6,374026,463177,89151,12.4,True,0,301,,,0,0,0.0,72,MC,Manchester City,Southampton,4,0,18298,2022,554123,0.4399189949035644,1,3,0,0.0,1.0170700550079346,0.5771530270576477,447,Manchester City,Kevin De Bruyne,Kevin De Bruyne,2,5,10,9.0,MID,0.0,0.57,0.85,0.28,0.19,1.0,0.0,10.2,41.6,31.4,29.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,8.0,0.0,3.0,0.18,0.62,2.0,2.0,2.0,0.0,0.18,2.08,1.39,10.0,0.33,0.59,0.91,0.31,0.31,0.67,0.0,10.53,36.0,49.33,20.0,78.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.33,2.33,8.33,0.0,3.0,0.28,0.73,1.67,1.67,4.0,0.0,0.28,1.48,1.02,7.6,0.2,0.41,0.67,0.26,0.27,0.8,0.0,9.0,27.6,41.06,21.4,68.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.8,3.4,5.6,0.0,2.6,0.26,0.47,1.0,1.0,3.0,0.0,0.26,1.15,0.75,7.54,422947.0,0.6771809504497328
0,0,16,0,37.1,301,0.57,0.6,0.03,2.07,106,1,0,6.7,14.0,2022-10-16,90,12,0,0,0,0,11,0,3749684,1,0,1,16.0,2,-66797,131945,198742,12.4,False,0,301,,,0,1,0.0259134992957115,90,MC,Liverpool,Manchester City,1,0,18307,2022,556897,0.3964869976043701,0,3,0,0.0259134992957115,0.5495280027389526,0.127127006649971,447,Manchester City,Kevin De Bruyne,Kevin De Bruyne,5,4,11,6.5,MID,1.0,0.25,0.25,0.0,0.05,0.0,0.0,6.0,20.8,26.8,12.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,0.0,0.0,0.0,0.44,1.0,1.0,3.0,0.0,0.0,1.02,0.58,9.0,0.67,0.49,0.6,0.11,0.22,0.33,0.0,8.87,34.53,36.53,17.33,71.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.33,8.0,0.0,1.67,0.08,0.61,1.67,1.67,3.0,0.0,0.08,1.33,0.93,8.33,0.4,0.41,0.65,0.24,0.26,0.4,0.0,8.42,28.6,37.72,17.8,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.4,3.4,6.4,0.0,2.0,0.25,0.54,1.2,1.2,3.2,0.0,0.25,1.19,0.73,7.78,-60536.0,-0.20199463541052415
