assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
0,0,1,0,0.3,458,0.01,0.18,0.17,1.31,10,1,0,2.0,0.0,2022-08-07,56,13,0,0,0,0,1,0,393620,1,2,0,22.0,1,0,0,0,7.5,True,0,0,2,0.1107779964804649,61,West Ham,Manchester City,0,2,18211,2022,540071,0.0,0,0,0,0.1107779964804649,0.0,0.0,West Ham,5,3,1,1.4,FWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0,0,7,0,20.6,458,0.01,0.15,0.14,1.36,18,1,0,4.3,4.4,2022-08-14,68,16,0,0,0,0,2,0,374287,1,0,1,18.0,2,-58785,29672,88457,7.5,False,0,0,2,0.2250919938087463,72,Nottingham Forest,West Ham,1,0,18219,2022,541277,0.0359509997069835,0,2,0,0.2250919938087463,0.2610430121421814,0.0,West Ham,2,2,2,1.5,FWD,0.0,0.01,0.18,0.17,1.31,1.0,0.0,2.0,0.0,0.3,22.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.11,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19333.0,-0.4976339425543262
0,0,4,0,11.1,458,0.01,0.01,0.0,1.57,30,2,0,1.9,1.6,2022-08-21,74,5,0,0,0,0,3,0,314428,1,2,0,6.0,2,-71167,23797,94964,7.4,True,0,0,0,0.0,77,West Ham,Brighton,0,2,18229,2022,542926,0.0444854013621807,0,1,0,0.0,0.0444854013621807,0.0,West Ham,3,3,3,1.7,FWD,0.0,0.01,0.15,0.14,1.36,1.0,0.0,4.3,4.4,20.6,18.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.23,0.04,0.0,0.0,2.0,0.0,0.23,0.26,0.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-59859.0,-0.5992455435707008
0,0,2,0,1.2,458,0.05,0.05,0.0,0.13,32,0,0,0.5,1.6,2022-08-28,25,2,0,0,0,0,4,0,270009,0,1,0,2.0,1,-54087,11583,65670,7.3,False,0,0,0,0.0,24,Aston Villa,West Ham,0,1,18239,2022,545263,0.0,0,0,0,0.0,0.0,0.0,West Ham,2,2,4,1.5,FWD,0.0,0.01,0.01,0.0,1.57,2.0,0.0,1.9,1.6,11.1,6.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.04,0.0,0.0,1.0,0.0,0.0,0.04,0.0,1.7,0.0,0.01,0.11,0.1,1.41,1.33,0.0,2.73,2.0,10.67,15.33,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,0.33,1.67,0.0,1.33,0.11,0.03,0.0,0.0,1.0,0.0,0.11,0.1,0.0,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-44419.0,-0.7001281503630927
1,0,16,0,12.6,458,0.07,0.12,0.05,0.63,47,1,0,3.7,18.2,2022-08-31,90,18,0,0,0,0,5,0,225863,1,1,1,6.0,5,-48079,4496,52575,7.3,True,0,0,1,0.0490127988159656,90,West Ham,Tottenham,1,1,18249,2022,546416,0.4329499900341034,1,1,0,0.0490127988159656,0.5007820129394531,0.01881879940629,West Ham,3,3,5,1.7,FWD,0.0,0.05,0.05,0.0,0.13,0.0,0.0,0.5,1.6,1.2,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.02,0.07,0.05,1.02,1.0,0.0,2.23,2.53,10.97,8.67,55.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,0.33,1.67,0.0,0.67,0.08,0.03,0.0,0.0,1.0,0.0,0.08,0.1,0.0,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-44146.0,-0.8424418706523453
0,0,18,1,0.3,458,0.01,0.86,0.85,0.49,54,0,1,7.4,35.0,2022-09-03,73,6,0,0,0,0,6,0,200611,1,1,2,39.0,5,-29346,8307,37653,7.2,False,1,1,1,0.94378399848938,76,Chelsea,West Ham,2,1,18260,2022,547271,0.0,0,0,1,0.94378399848938,0.0,0.0,West Ham,2,4,6,2.5,FWD,0.0,0.07,0.12,0.05,0.63,1.0,0.0,3.7,18.2,12.6,6.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,0.05,0.43,1.0,1.0,1.0,0.0,0.05,0.5,0.02,1.7,0.0,0.04,0.06,0.02,0.78,1.0,0.0,2.03,7.13,8.3,4.67,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,0.33,2.67,0.0,0.33,0.02,0.16,0.33,0.33,0.67,0.0,0.02,0.18,0.01,1.63,0.0,0.03,0.1,0.07,1.0,1.0,0.0,2.48,5.16,9.16,10.8,62.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,0.4,2.2,0.0,1.0,0.08,0.1,0.2,0.2,0.8,0.0,0.08,0.16,0.0,1.56,-25252.0,-0.6385117493472585
0,0,7,0,14.6,458,0.02,0.18,0.16,0.31,75,1,0,5.6,6.4,2022-09-18,69,8,0,0,0,0,8,0,197740,1,0,1,35.0,2,96,8369,8273,7.2,False,0,0,2,0.0967791005969047,71,Everton,West Ham,1,0,18277,2022,551404,0.0676949024200439,0,1,0,0.0967791005969047,0.1644739955663681,0.0676949024200439,West Ham,2,2,8,3.2,FWD,1.0,0.01,0.86,0.85,0.49,0.0,1.0,7.4,35.0,0.3,39.0,73.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,5.0,1.0,1.0,0.94,0.0,0.0,0.0,0.0,1.0,0.94,0.0,0.0,2.5,0.33,0.04,0.34,0.3,0.42,0.33,0.33,3.87,18.27,4.7,15.67,62.67,0.0,0.0,0.0,0.0,0.33,0.0,0.67,1.0,1.0,3.67,0.33,0.67,0.33,0.14,0.33,0.33,0.33,0.33,0.33,0.17,0.01,1.9,0.2,0.03,0.24,0.21,0.84,0.8,0.2,3.56,12.16,9.16,14.2,66.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,1.0,0.8,3.0,0.2,0.8,0.24,0.1,0.2,0.2,0.8,0.2,0.24,0.16,0.0,1.78,-2871.0,0.005768537435404398
0,0,0,0,1.0,458,0.0,0.23,0.23,0.25,90,0,0,5.9,3.4,2022-10-01,24,20,0,0,0,0,9,0,196671,0,0,2,55.0,1,-2174,13365,15539,7.2,True,0,0,3,0.2677569985389709,20,West Ham,Wolverhampton Wanderers,2,0,18291,2022,552620,0.0,0,0,0,0.2677569985389709,0.3390139937400818,0.0712570026516914,West Ham,2,3,9,1.5,FWD,0.0,0.02,0.18,0.16,0.31,1.0,0.0,5.6,6.4,14.6,35.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.1,0.07,0.0,0.0,1.0,0.0,0.1,0.16,0.07,3.2,0.33,0.03,0.39,0.35,0.48,0.67,0.33,5.57,19.87,9.17,26.67,77.33,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,1.33,4.0,0.33,1.33,0.36,0.17,0.33,0.33,0.67,0.33,0.36,0.22,0.03,2.47,0.2,0.03,0.24,0.21,0.63,0.8,0.2,3.82,12.56,7.96,17.6,66.2,0.0,0.0,0.0,0.0,0.2,0.0,0.8,1.0,0.8,3.0,0.2,0.8,0.22,0.11,0.2,0.2,0.6,0.2,0.22,0.14,0.02,2.12,-1069.0,-0.07521450318295046
0,3,24,0,0.0,458,0.0,0.43,0.43,0.07,100,0,1,6.8,38.2,2022-10-09,10,9,0,0,0,0,10,0,186998,0,1,3,30.0,8,-10216,10892,21108,7.1,True,0,1,2,0.5033890008926392,7,West Ham,Fulham,3,1,18301,2022,554750,0.0,0,0,1,0.5033890008926392,0.5033890008926392,0.0,West Ham,2,3,10,3.7,FWD,0.0,0.0,0.23,0.23,0.25,0.0,0.0,5.9,3.4,1.0,55.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.27,0.0,0.0,0.0,0.0,0.0,0.27,0.34,0.07,1.5,0.33,0.01,0.42,0.41,0.35,0.33,0.33,6.3,14.93,5.3,43.0,55.33,0.0,0.0,0.0,0.0,0.33,0.0,0.67,0.33,1.67,2.67,0.33,2.0,0.44,0.02,0.0,0.0,0.33,0.33,0.44,0.17,0.05,2.4,0.2,0.03,0.29,0.26,0.36,0.4,0.2,4.62,12.92,5.94,27.4,56.2,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.6,1.2,2.8,0.2,1.4,0.27,0.1,0.2,0.2,0.4,0.2,0.27,0.2,0.03,2.08,-9673.0,-0.31925
0,0,3,0,0.0,458,0.0,0.0,0.0,0.0,108,0,0,0.0,0.0,2022-10-16,3,17,0,0,0,0,11,0,182809,0,1,1,0.0,1,-5535,9659,15194,7.1,False,0,0,0,0.0,1,Southampton,West Ham,1,1,18309,2022,556694,0.0,0,0,0,0.0,0.0,0.0,West Ham,2,2,11,2.2,FWD,0.0,0.0,0.43,0.43,0.07,0.0,1.0,6.8,38.2,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,3.7,0.0,0.01,0.28,0.27,0.21,0.33,0.33,6.1,16.0,5.2,40.0,34.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,2.0,3.67,0.33,2.33,0.29,0.02,0.0,0.0,0.33,0.33,0.29,0.34,0.05,2.8,0.2,0.02,0.36,0.34,0.35,0.4,0.4,5.88,20.24,5.7,33.0,53.2,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.6,1.8,4.2,0.4,1.8,0.37,0.1,0.2,0.2,0.4,0.4,0.37,0.3,0.03,2.52,-4189.0,-0.22270953204844485
