assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
0,0,10,0,0.3,507,0.0,0.0,0.0,1.51,7,2,0,1.7,16.8,2022-08-06,82,15,0,0,0,0,1,0,12386,1,0,2,0.0,1,0,0,0,4.5,False,0,0,0,0.0,85,Newcastle United,Nottingham Forest,2,0,18206,2022,539470,0.0,0,0,0,0.0,0.0,0.0,Nottingham Forest,2,4,1,1.4,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0,0,16,1,0.7,507,0.0,0.26,0.26,1.9,18,0,0,5.2,19.2,2022-08-14,78,19,0,0,0,0,2,0,13526,1,0,1,32.0,6,-1228,498,1726,4.5,True,0,0,3,0.4707889854907989,82,Nottingham Forest,West Ham,1,0,18219,2022,541254,0.0,0,0,0,0.4707889854907989,0.1272210031747818,0.1272210031747818,Nottingham Forest,2,2,2,3.0,DEF,0.0,0.0,0.0,0.0,1.51,2.0,0.0,1.7,16.8,0.3,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.5,0.67,0.0,0.57,5.6,0.1,0.0,27.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.3,0.4,0.0,0.34,3.36,0.06,0.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,1140.0,-0.552158273381295
0,0,5,0,0.3,507,0.01,0.01,0.0,2.42,278,2,0,0.2,1.2,2023-03-17,90,15,0,0,0,0,28,0,4736,1,2,1,0.0,1,41,57,16,4.3,True,0,0,0,0.0,90,Nottingham Forest,Newcastle United,1,2,18479,2022,582672,0.0,0,0,0,0.0,0.0,0.0,Nottingham Forest,3,2,28,-0.3,DEF,1.0,0.0,0.26,0.26,1.9,0.0,0.0,5.2,19.2,0.7,32.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,3.0,0.47,0.0,0.0,0.0,0.0,0.0,0.47,0.13,0.13,3.0,0.33,0.0,0.09,0.09,1.14,0.67,0.0,2.3,12.0,0.33,10.67,53.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,1.0,2.33,0.0,1.0,0.16,0.0,0.0,0.0,0.0,0.0,0.16,0.04,0.04,1.47,0.2,0.0,0.05,0.05,0.68,0.4,0.0,1.38,7.2,0.2,6.4,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,1.4,0.0,0.6,0.09,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.03,0.88,-8790.0,0.5616438356164384
0,0,8,0,10.3,507,0.01,0.01,0.0,0.47,289,1,0,2.2,9.4,2023-04-01,90,20,0,0,0,0,29,0,4857,1,1,1,2.0,2,80,125,45,4.3,True,0,0,0,0.0,90,Nottingham Forest,Wolverhampton Wanderers,1,1,18490,2022,584676,0.0697230026125907,0,1,0,0.0,0.2354010045528412,0.2354010045528412,Nottingham Forest,2,2,29,2.0,DEF,0.0,0.01,0.01,0.0,2.42,2.0,0.0,0.2,1.2,0.3,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.33,0.0,0.09,0.09,1.94,1.33,0.0,2.37,12.4,0.43,10.67,83.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,1.33,2.67,0.0,1.0,0.16,0.0,0.0,0.0,0.0,0.0,0.16,0.04,0.04,1.37,0.2,0.0,0.05,0.05,1.17,0.8,0.0,1.42,7.44,0.26,6.4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.8,1.6,0.0,0.6,0.09,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.03,0.82,121.0,0.47058823529411764
0,0,9,0,0.3,507,0.01,0.01,0.0,1.94,65,2,0,1.4,14.0,2023-04-04,90,11,0,0,0,0,29,0,4857,1,1,2,0.0,1,80,125,45,4.3,False,0,0,0,0.0,90,Leeds,Nottingham Forest,2,1,18271,2022,586050,0.0,0,0,0,0.0,0.082006499171257,0.082006499171257,Nottingham Forest,2,2,29,2.0,DEF,0.0,0.01,0.01,0.0,0.47,1.0,0.0,2.2,9.4,10.3,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.07,0.0,0.0,1.0,0.0,0.0,0.24,0.24,2.0,0.33,0.01,0.09,0.09,1.6,1.0,0.0,2.53,9.93,3.77,11.33,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.16,0.02,0.0,0.0,0.33,0.0,0.16,0.12,0.12,1.57,0.2,0.0,0.06,0.05,1.26,1.0,0.0,1.86,9.32,2.32,6.8,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,1.0,2.0,0.0,0.6,0.09,0.01,0.0,0.0,0.2,0.0,0.09,0.07,0.07,1.22,0.0,0.47058823529411764
0,0,8,0,0.3,507,0.01,0.01,0.0,1.01,291,2,0,1.0,9.4,2023-04-08,90,2,0,0,0,0,30,0,5122,1,0,2,0.0,1,249,302,53,4.3,False,0,0,0,0.0,90,Aston Villa,Nottingham Forest,2,0,18492,2022,586762,0.0,0,0,0,0.0,0.0545420013368129,0.0545420013368129,Nottingham Forest,2,2,30,1.2,DEF,0.0,0.01,0.01,0.0,1.94,2.0,0.0,1.4,14.0,0.3,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,2.0,0.0,0.01,0.01,0.0,1.61,1.67,0.0,1.27,8.2,3.63,0.67,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,1.33,1.33,0.0,0.0,0.0,0.02,0.0,0.0,0.33,0.0,0.0,0.11,0.11,1.23,0.2,0.01,0.06,0.05,1.65,1.4,0.0,2.14,12.12,2.38,6.8,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,1.4,2.2,0.0,0.6,0.09,0.01,0.0,0.0,0.2,0.0,0.09,0.09,0.09,1.62,265.0,0.7014084507042253
0,0,8,0,0.2,507,0.01,0.03,0.02,3.49,306,2,0,1.0,9.0,2023-04-16,90,14,0,0,0,0,31,0,4879,1,2,0,1.0,1,-244,11,255,4.3,True,0,0,1,0.0089461402967572,90,Nottingham Forest,Manchester United,0,2,18507,2022,589285,0.0,0,0,0,0.0089461402967572,0.0,0.0,Nottingham Forest,3,2,31,0.3,DEF,0.0,0.01,0.01,0.0,1.01,2.0,0.0,1.0,9.4,0.3,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,1.2,0.0,0.01,0.01,0.0,1.14,1.67,0.0,1.53,10.93,3.63,0.67,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,1.67,1.33,0.0,0.0,0.0,0.02,0.0,0.0,0.33,0.0,0.0,0.12,0.12,1.73,0.2,0.01,0.06,0.05,1.55,1.4,0.0,2.0,10.64,2.38,6.8,87.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,1.4,2.2,0.0,0.6,0.09,0.01,0.0,0.0,0.2,0.0,0.09,0.1,0.1,1.58,-243.0,-0.9172932330827067
0,0,11,0,0.0,507,0.01,0.01,0.0,2.87,318,3,0,2.6,26.4,2023-04-22,90,12,0,0,0,0,32,0,4944,1,2,3,0.0,1,33,81,48,4.3,False,0,0,0,0.0,90,Liverpool,Nottingham Forest,3,2,18519,2022,590125,0.0,0,0,0,0.0,0.0891202837228775,0.0891202837228775,Nottingham Forest,2,4,32,0.7,DEF,0.0,0.01,0.03,0.02,3.49,2.0,0.0,1.0,9.0,0.2,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.3,0.0,0.01,0.02,0.01,2.15,2.0,0.0,1.13,10.8,0.27,0.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.33,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,1.17,0.0,0.01,0.01,0.0,1.87,1.8,0.0,1.16,8.6,2.28,0.6,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,1.2,1.2,0.0,0.2,0.0,0.01,0.0,0.0,0.2,0.0,0.0,0.07,0.07,1.04,65.0,0.2558139534883721
0,0,3,0,0.0,507,0.0,0.0,0.0,0.02,324,0,0,0.1,0.6,2023-04-26,13,5,0,0,0,0,33,0,5288,1,1,3,0.0,1,335,384,49,4.3,True,0,0,0,0.0,13,Nottingham Forest,Brighton,3,1,18524,2022,591591,0.0,0,0,0,0.0,0.0,0.0,Nottingham Forest,3,2,33,1.2,DEF,0.0,0.01,0.01,0.0,2.87,3.0,0.0,2.6,26.4,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.7,0.0,0.01,0.02,0.01,2.46,2.33,0.0,1.53,14.93,0.17,0.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,1.67,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.73,0.0,0.01,0.01,0.0,1.96,2.0,0.0,1.64,13.64,2.22,0.6,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,1.6,1.2,0.0,0.2,0.0,0.01,0.0,0.0,0.2,0.0,0.0,0.09,0.09,1.24,344.0,0.7736720554272517
0,0,14,0,0.5,507,0.03,0.08,0.05,1.63,333,2,0,5.0,32.8,2023-04-29,90,4,0,0,0,0,34,0,5072,1,1,2,17.0,1,-215,52,267,4.3,False,0,0,1,0.0770172774791717,90,Brentford,Nottingham Forest,2,1,18534,2022,592404,0.0,0,0,0,0.0770172774791717,0.0,0.0,Nottingham Forest,2,3,34,0.5,DEF,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.1,0.6,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.01,0.01,0.01,2.13,1.67,0.0,1.23,12.0,0.07,0.33,64.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,2.0,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.73,0.0,0.01,0.01,0.0,1.87,1.8,0.0,1.22,11.88,0.16,0.2,74.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,2.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,1.08,-216.0,-0.6739811912225705
