assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,position,team_h_difficulty,team_a_difficulty,event
0,0,0,0,11.0,672,0.1,0.31,0.21,0.45,25,0,0,1.6,0.0,2023-08-27,17,6,0,0,0,0,3,0,1317,0,3,1,6.0,1,880,1006,126,55,False,0,672,,,Nicolò Zaniolo,0,2,0.166565790772438,14,Sub,Burnley,Aston Villa,1,3,22302,2023,607467,0.0593684911727905,0,1,0,0.166565790772438,0.297154426574707,0.1305886209011078,22302,Aston Villa,Nicolò Zaniolo,Nicolo Zaniolo,MID,3,2,3
0,0,4,0,10.7,672,0.01,0.01,0.0,0.19,37,0,0,2.3,9.8,2023-09-03,25,11,0,0,0,0,4,0,2716,0,0,3,2.0,1,774,1168,394,55,False,0,672,,,Nicolò Zaniolo,0,0,0.0,21,Sub,Liverpool,Aston Villa,3,0,21933,2023,609394,0.024238683283329,0,1,0,0.0,0.024238683283329,0.0,21933,Aston Villa,Nicolò Zaniolo,Nicolo Zaniolo,MID,3,5,4
0,0,-3,0,33.1,672,0.27,0.3,0.03,0.37,41,1,0,6.6,5.8,2023-09-16,56,8,0,0,0,0,5,0,3886,1,1,3,27.0,0,418,1030,612,55,True,1,672,,,Nicolò Zaniolo,0,1,0.0551605559885501,62,AML,Aston Villa,Crystal Palace,3,1,21938,2023,610471,0.2195102125406265,0,3,0,0.0551605559885501,0.3599617779254913,0.0852910205721855,21938,Aston Villa,Nicolò Zaniolo,Nicolo Zaniolo,MID,2,4,5
0,0,4,1,0.9,672,0.02,0.22,0.2,0.99,55,0,0,4.2,8.8,2023-09-24,74,7,0,0,0,0,6,0,4031,1,1,0,32.0,3,-156,507,663,55,False,0,672,,,Nicolò Zaniolo,0,2,0.1534928828477859,77,AML,Chelsea,Aston Villa,0,1,21947,2023,612758,0.0,0,0,0,0.1534928828477859,0.0939699187874794,0.0241869520395994,21947,Aston Villa,Nicolò Zaniolo,Nicolo Zaniolo,MID,3,3,6
0,0,-6,0,0.3,672,0.0,0.05,0.05,1.33,61,1,0,2.5,0.2,2023-09-30,56,5,0,0,0,0,7,0,5553,1,1,6,24.0,1,1123,1753,630,55,True,0,672,,,Nicolò Zaniolo,0,2,0.0980321541428566,62,AML,Aston Villa,Brighton,6,1,21955,2023,614297,0.0,0,0,0,0.0980321541428566,0.1692795306444168,0.0712473765015602,21955,Aston Villa,Nicolò Zaniolo,Nicolo Zaniolo,MID,2,4,7
0,0,0,0,0.2,672,0.0,0.14,0.14,0.77,80,0,0,0.6,0.0,2023-10-08,28,20,0,0,0,0,8,0,7880,0,1,1,9.0,1,1843,3241,1398,55,False,0,672,,,Nicolò Zaniolo,0,1,0.1183751747012138,24,Sub,Wolverhampton Wanderers,Aston Villa,1,1,21974,2023,617003,0.0,0,0,0,0.1183751747012138,0.0,0.0,21974,Aston Villa,Nicolò Zaniolo,Nicolo Zaniolo,MID,3,2,8
0,0,6,0,2.9,672,0.04,0.06,0.02,0.91,81,1,0,1.1,5.4,2023-10-22,75,19,0,0,0,0,9,0,7134,1,1,4,3.0,2,-907,665,1572,55,True,0,672,,,Nicolò Zaniolo,0,1,0.0165926609188318,78,ML,Aston Villa,West Ham,4,1,21976,2023,618973,0.0,0,0,0,0.0165926609188318,0.0689281225204467,0.0523354597389698,21976,Aston Villa,Nicolò Zaniolo,Nicolo Zaniolo,MID,2,4,9
0,0,-9,0,11.0,672,0.08,0.68,0.6,0.0,92,0,0,7.7,0.4,2023-10-29,45,12,0,0,0,0,10,0,6804,1,1,3,66.0,0,-515,662,1177,55,True,1,672,,,Nicolò Zaniolo,0,6,0.9315837621688844,47,ML,Aston Villa,Luton,3,1,21987,2023,620448,0.0888141840696334,0,1,0,0.9315837621688844,0.9126526713371276,0.0192141607403755,21987,Aston Villa,Nicolò Zaniolo,Nicolo Zaniolo,MID,2,4,10
0,0,-6,0,0.9,672,0.01,0.23,0.22,0.3,108,1,0,2.8,0.0,2023-11-05,45,16,0,0,0,0,11,0,6421,1,0,2,27.0,1,-548,509,1057,55,False,0,672,,,Nicolò Zaniolo,0,2,0.3975326418876648,50,ML,Nottingham Forest,Aston Villa,2,0,22002,2023,622091,0.0,0,0,0,0.3975326418876648,0.4942404925823211,0.0967078506946563,22002,Aston Villa,Nicolò Zaniolo,Nicolo Zaniolo,MID,3,2,11
0,0,-7,0,0.3,672,0.0,0.03,0.03,1.07,132,1,0,0.3,0.0,2023-12-03,45,3,0,0,0,0,14,0,5403,1,2,2,5.0,0,-423,103,526,54,False,1,672,,,Nicolò Zaniolo,0,1,0.0265255961567163,55,FW,Bournemouth,Aston Villa,2,2,22025,2023,627168,0.0,0,0,0,0.0265255961567163,0.1085460186004638,0.0820204243063926,22025,Aston Villa,Nicolò Zaniolo,Nicolo Zaniolo,MID,3,2,14
0,0,4,0,0.2,672,0.0,0.0,0.0,0.0,163,0,0,0.4,3.4,2023-12-17,9,4,0,0,0,0,17,0,5182,0,2,1,0.0,1,-101,161,262,54,False,0,672,,,Nicolò Zaniolo,0,0,0.0,6,Sub,Brentford,Aston Villa,1,2,22057,2023,630849,0.0,0,0,0,0.0,0.03118846565485,0.03118846565485,22057,Aston Villa,Nicolò Zaniolo,Nicolo Zaniolo,MID,3,2,17
0,0,16,0,0.6,672,0.0,0.18,0.18,0.54,171,1,1,5.2,34.0,2023-12-22,9,17,0,0,0,0,18,0,5218,0,1,1,17.0,5,-21,147,168,54,True,1,672,,,Nicolò Zaniolo,1,1,0.3707157671451568,7,Sub,Aston Villa,Sheffield United,1,1,22065,2023,632469,0.0,0,0,1,0.3707157671451568,0.5956417918205261,0.224926009774208,22065,Aston Villa,Nicolò Zaniolo,Nicolo Zaniolo,MID,2,4,18
