assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,3,37,0,46.2,19,0.17,0.36,0.19,1.18,2,1,1,13.9,53.8,2023-08-12,90,16,0,0,0,0,1,0,4878155,1,1,2,39.0,10,0,0,0,8.5,True,0,1,3,0.2352909296751022,90,Arsenal,Nottingham Forest,2,1,22276,2023,603704,0.1494306772947311,0,3,1,0.2352909296751022,0.5473158359527588,0.3188550472259521,Arsenal,2,5,1,3.4,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.79,0.136,0.074
0,0,15,1,30.3,19,0.11,0.27,0.16,0.8,12,0,0,7.1,10.6,2023-08-21,88,8,0,0,0,0,2,0,5980568,1,1,0,30.0,3,446931,473575,26644,8.6,False,0,0,3,0.2426857203245163,90,Crystal Palace,Arsenal,0,1,22294,2023,606390,0.3519904315471649,0,2,0,0.2426857203245163,1.1072299480438232,0.5384305119514465,Arsenal,5,2,2,7.0,MID,0.0,0.17,0.36,0.19,1.18,1.0,1.0,13.9,53.8,46.2,39.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,10.0,1.0,3.0,0.24,0.15,0.0,3.0,1.0,0.24,0.55,0.32,3.4,4878155.0,0.0,0.17,0.36,0.19,1.18,1.0,1.0,13.9,53.8,46.2,39.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,10.0,1.0,3.0,0.24,0.15,0.0,3.0,1.0,0.24,0.55,0.32,3.4,4878155.0,1102413.0,0.8934706598509853,3.0,0.161,0.226,0.613
0,1,26,0,63.2,19,1.08,2.44,1.36,0.53,21,2,1,17.9,51.0,2023-08-26,90,10,0,0,0,0,3,0,6259148,1,2,2,65.0,8,123264,208193,84929,8.6,True,0,1,3,1.3447612524032593,90,Arsenal,Fulham,2,2,22297,2023,606925,0.2331103682518005,0,4,0,0.5835924744606018,0.8741596937179565,0.3121629655361175,Arsenal,2,5,3,7.5,MID,1.0,0.28,0.63,0.35,1.98,1.0,1.0,21.0,64.4,76.5,69.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,13.0,1.0,6.0,0.48,0.5,0.0,5.0,1.0,0.48,1.65,0.86,10.4,10858723.0,1.0,0.28,0.63,0.35,1.98,1.0,1.0,21.0,64.4,76.5,69.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,13.0,1.0,6.0,0.48,0.5,0.0,5.0,1.0,0.48,1.65,0.86,10.4,10858723.0,278580.0,0.4205211481908557,7.0,0.771,0.148,0.081
1,0,22,0,68.2,19,0.24,0.69,0.45,0.96,31,1,0,13.5,35.0,2023-09-03,90,14,0,0,0,0,4,0,6352382,1,1,3,32.0,4,7970,144180,136210,8.7,True,1,0,3,0.5184111595153809,90,Arsenal,Manchester United,3,1,21934,2023,609652,0.2586778998374939,1,5,0,0.5184111595153809,0.5872179269790649,0.0544815510511398,Arsenal,3,5,4,6.2,MID,1.0,1.36,3.07,1.71,2.51,3.0,2.0,38.9,115.4,139.7,134.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,21.0,2.0,9.0,1.82,0.73,0.0,9.0,1.0,1.06,2.53,1.17,17.9,17117871.0,1.0,1.36,3.07,1.71,2.51,3.0,2.0,38.9,115.4,139.7,134.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,21.0,2.0,9.0,1.82,0.73,0.0,9.0,1.0,1.06,2.53,1.17,17.9,17117871.0,93234.0,0.0284246941759691,4.0,0.532,0.24,0.228
1,0,20,1,26.2,19,0.14,0.14,0.0,0.3,43,0,0,5.4,24.0,2023-09-17,90,9,0,0,0,0,5,0,6390390,1,1,0,4.0,6,-71021,111675,182696,8.7,False,0,0,0,0.0,90,Everton,Arsenal,0,1,21941,2023,611293,0.0478419959545135,1,1,0,0.0,0.187421828508377,0.187421828508377,Arsenal,5,2,5,5.7,MID,1.0,1.43,3.4,1.97,2.29,3.0,1.0,38.5,96.6,161.7,127.0,268.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,5.0,15.0,1.0,9.0,2.11,0.84,1.0,11.0,0.0,1.34,2.57,0.91,20.7,18592098.0,1.0,1.6,3.76,2.16,3.47,4.0,2.0,52.4,150.4,207.9,166.0,358.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,7.0,25.0,2.0,12.0,2.34,0.99,1.0,14.0,1.0,1.58,3.12,1.22,24.1,23470253.0,38008.0,-0.241263575556016,6.0,0.153,0.212,0.635
1,3,46,0,56.3,19,0.27,1.13,0.86,1.41,51,2,1,15.3,55.0,2023-09-24,90,18,0,0,0,0,6,0,6446869,1,2,2,42.0,13,22447,126776,104329,8.7,True,0,1,3,0.8240894079208374,90,Arsenal,Tottenham,2,2,21952,2023,612773,0.6429338455200195,0,3,0,0.0629205629229545,0.1493540108203888,0.0337860770523548,Arsenal,3,5,6,8.3,MID,1.0,1.46,3.27,1.81,1.79,3.0,1.0,36.8,110.0,157.6,101.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,5.0,18.0,1.0,6.0,1.86,0.54,2.0,10.0,0.0,1.1,1.65,0.55,19.4,19001920.0,2.0,1.74,3.9,2.16,3.77,4.0,2.0,57.8,174.4,234.1,170.0,448.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,7.0,31.0,2.0,12.0,2.34,1.04,2.0,15.0,1.0,1.58,3.3,1.41,29.8,29860643.0,56479.0,0.097129010622877,10.0,0.538,0.234,0.228
0,1,29,1,4.1,19,0.45,1.41,0.96,0.69,62,0,1,12.2,39.8,2023-09-30,75,3,0,0,0,0,7,0,5808416,1,4,0,78.0,9,-596518,160937,757455,8.7,False,0,1,3,1.333116888999939,81,Bournemouth,Arsenal,0,4,21959,2023,614712,0.0,0,0,1,1.333116888999939,1.487373948097229,0.1869977712631225,Arsenal,5,2,7,7.4,MID,1.0,0.65,1.96,1.31,2.67,3.0,1.0,34.2,114.0,150.7,78.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,5.0,23.0,1.0,6.0,1.34,0.95,2.0,9.0,0.0,0.58,0.92,0.28,20.2,19189641.0,2.0,1.84,4.67,2.83,4.0,5.0,2.0,59.2,175.6,244.2,173.0,448.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,7.0,7.0,34.0,2.0,12.0,2.93,1.53,2.0,15.0,0.0,1.41,2.91,1.13,34.7,31429357.0,-638453.0,-0.6495243861009242,8.0,0.162,0.209,0.628
1,0,20,0,43.3,19,0.16,0.16,0.0,1.36,84,2,0,8.2,33.0,2023-10-21,90,7,0,0,0,0,9,0,4680006,1,2,2,6.0,5,-470223,59119,529342,8.5,False,0,0,0,0.0,90,Chelsea,Arsenal,2,2,21978,2023,618329,0.4654230177402496,1,3,0,0.0,0.5038906931877136,0.0882023647427558,Arsenal,5,3,9,3.9,MID,1.0,0.72,2.54,1.82,2.1,2.0,2.0,27.5,94.8,60.4,120.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,22.0,2.0,6.0,2.16,0.64,0.0,3.0,1.0,1.4,1.64,0.22,15.7,12255285.0,2.0,1.1,3.37,2.27,3.36,3.0,2.0,46.4,153.8,154.8,156.0,345.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,5.0,32.0,2.0,9.0,2.68,0.95,2.0,9.0,1.0,1.91,2.41,0.46,27.6,24998057.0,-1128410.0,-0.7990724958833295,5.0,0.313,0.269,0.418
1,0,16,1,14.9,19,0.06,0.06,0.0,0.03,91,0,0,3.6,2.8,2023-10-28,72,17,0,0,0,0,10,0,5178459,1,0,5,18.0,6,440171,540989,100818,8.6,True,0,0,0,0.0,76,Arsenal,Sheffield United,5,0,21986,2023,619904,0.0822388231754303,0,1,0,0.0,0.0822388231754303,0.0,Arsenal,2,5,10,4.7,MID,1.0,0.61,1.57,0.96,2.05,2.0,1.0,20.4,72.8,47.4,84.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,14.0,1.0,3.0,1.33,0.47,1.0,3.0,1.0,1.33,1.99,0.28,11.3,10488422.0,2.0,1.02,2.84,1.82,3.76,4.0,2.0,41.1,151.8,129.9,130.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,4.0,33.0,2.0,6.0,2.16,1.16,2.0,7.0,1.0,1.4,2.33,0.5,25.3,23325681.0,498453.0,0.685830787136943,6.0,0.855,0.104,0.041
0,0,13,0,27.5,19,0.25,0.27,0.02,1.09,107,1,0,4.8,12.2,2023-11-04,90,15,0,0,0,0,11,0,5127799,1,0,1,8.0,2,-35976,123254,159230,8.6,False,0,0,1,0.018458355218172,90,Newcastle United,Arsenal,1,0,22001,2023,621788,0.0,0,0,0,0.018458355218172,0.2224880158901214,0.2040296494960785,Arsenal,5,4,11,4.3,MID,1.0,0.22,0.22,0.0,1.39,2.0,0.0,11.8,35.8,58.2,24.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,11.0,0.0,0.0,0.0,0.55,1.0,4.0,0.0,0.0,0.59,0.09,8.6,9858465.0,2.0,0.94,2.76,1.82,3.49,4.0,2.0,39.3,130.6,118.6,144.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,9.0,33.0,2.0,6.0,2.16,1.19,1.0,7.0,1.0,1.4,2.22,0.31,24.3,22113750.0,-50660.0,-0.1273558856430806,2.0,0.345,0.274,0.381
