assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,0,7,0,0.2,238,0.0,0.0,0.0,3.21,41,3,0,1.8,17.6,2023-09-16,90,2,0,0,0,0,5,0,36827,1,1,3,0.0,1,-656,1794,2450,3.9,False,0,0,0,0.0,90,Aston Villa,Crystal Palace,3,1,21938,2023,610480,0.0,0,0,0,0.0,0.0367868281900882,0.0367868281900882,Crystal Palace,2,4,5,0.2,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.1545711592836946,1.0,0.498,0.264,0.238
0,0,3,0,0.0,238,0.0,0.0,0.0,0.23,65,0,0,0.1,1.0,2023-09-30,2,14,0,0,0,0,7,0,46279,0,1,0,0.0,1,1447,4697,3250,3.9,False,0,0,0,0.0,1,Manchester United,Crystal Palace,0,1,21957,2023,614656,0.0,0,0,0,0.0,0.0,0.0,Crystal Palace,2,4,7,0.2,DEF,0.0,0.0,0.0,0.0,3.21,3.0,0.0,1.8,17.6,0.2,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9452.0,0.1820812885365546,1.0,0.61,0.225,0.165
0,0,4,0,0.1,238,0.0,0.0,0.0,0.18,74,0,0,0.3,3.0,2023-10-07,15,16,0,0,0,0,8,0,48557,0,0,0,0.0,1,1795,5029,3234,3.9,True,0,0,0,0.0,12,Crystal Palace,Nottingham Forest,0,0,21968,2023,616623,0.0,0,0,0,0.0,0.0,0.0,Crystal Palace,2,2,8,0.7,DEF,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.1,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.72,1.5,0.0,0.95,9.3,0.1,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2278.0,0.2172334503207067,1.0,0.431,0.306,0.263
0,0,3,0,0.0,238,0.0,0.0,0.0,0.36,102,0,0,0.0,0.2,2023-11-04,4,6,0,0,0,0,11,0,57319,0,2,0,0.0,1,720,3159,2439,3.9,False,0,0,0,0.0,2,Burnley,Crystal Palace,0,2,21996,2023,621577,0.0,0,0,0,0.0,0.0,0.0,Crystal Palace,2,2,11,0.8,DEF,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.3,3.0,0.1,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,2.0,0.05,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,1.21,1.0,0.0,0.73,7.2,0.1,0.0,35.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8762.0,0.1286173633440514,1.0,0.344,0.291,0.364
0,0,12,0,2.8,238,0.03,0.03,0.0,1.26,140,1,0,2.9,24.0,2023-12-03,90,19,0,0,0,0,14,0,58112,1,1,1,2.0,2,-253,1478,1731,3.9,False,0,0,0,0.0,90,West Ham,Crystal Palace,1,1,22034,2023,627376,0.0,0,0,0,0.0,0.0,0.0,Crystal Palace,2,3,14,0.8,DEF,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.15,1.6,0.05,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.13,1.4,0.03,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.55,5.45,0.08,0.0,27.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793.0,-0.0788407603614833,2.0,0.477,0.272,0.251
0,0,22,0,11.6,238,0.02,0.02,0.0,1.74,143,2,0,3.0,16.4,2023-12-06,90,3,0,0,0,0,15,0,62819,1,2,0,2.0,1,3739,5033,1294,3.9,True,0,0,0,0.0,90,Crystal Palace,Bournemouth,0,2,22043,2023,628029,0.0640058666467666,0,1,0,0.0,0.1294334381818771,0.1294334381818771,Crystal Palace,2,2,15,0.8,DEF,0.0,0.03,0.03,0.0,1.26,1.0,0.0,2.9,24.0,2.8,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.02,0.02,0.0,0.81,0.5,0.0,1.45,12.1,1.4,1.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.01,0.01,0.0,0.6,0.33,0.0,1.07,9.07,0.97,0.67,36.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,0.33,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.01,0.01,0.0,0.51,0.25,0.0,0.82,7.05,0.72,0.5,27.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.01,0.01,0.0,1.05,0.8,0.0,1.02,9.16,0.62,0.4,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.54,4707.0,0.5909593804330646,1.0,0.422,0.271,0.306
0,0,11,0,0.6,238,0.03,0.03,0.0,1.25,153,2,0,2.4,21.8,2023-12-09,90,11,0,0,0,0,16,0,63028,1,2,1,2.0,0,440,2168,1728,3.9,True,1,0,0,0.0,90,Crystal Palace,Liverpool,1,2,22047,2023,628416,0.0,0,0,0,0.0,0.4845423698425293,0.4845423698425293,Crystal Palace,4,2,16,0.1,DEF,0.0,0.02,0.02,0.0,1.74,2.0,0.0,3.0,16.4,11.6,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.06,0.0,0.0,1.0,0.0,0.0,0.13,0.13,0.8,0.0,0.02,0.02,0.0,1.5,1.5,0.0,2.95,20.2,7.2,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.5,1.5,0.0,0.0,0.0,0.03,0.0,0.0,0.5,0.0,0.0,0.06,0.06,0.8,0.0,0.02,0.02,0.0,1.12,1.0,0.0,1.97,13.53,4.8,1.33,61.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.67,0.33,1.33,0.0,0.0,0.0,0.02,0.0,0.0,0.33,0.0,0.0,0.04,0.04,0.8,0.0,0.01,0.01,0.0,0.88,0.75,0.0,1.55,10.9,3.62,1.0,49.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.25,0.25,1.25,0.0,0.0,0.0,0.02,0.0,0.0,0.25,0.0,0.0,0.03,0.03,0.78,0.0,0.01,0.01,0.0,0.75,0.6,0.0,1.26,8.92,2.9,0.8,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,0.2,1.2,0.0,0.0,0.0,0.01,0.0,0.0,0.2,0.0,0.0,0.03,0.03,0.66,209.0,0.1129363449691991,0.0,0.158,0.211,0.632
0,0,7,0,0.4,238,0.01,0.01,0.0,1.61,167,2,0,1.9,16.8,2023-12-16,90,13,0,0,0,0,17,0,62081,1,2,2,2.0,1,-888,1925,2813,3.9,False,0,0,0,0.0,90,Manchester City,Crystal Palace,2,2,22061,2023,630317,0.0,0,0,0,0.0,0.0534957163035869,0.0534957163035869,Crystal Palace,2,5,17,-0.2,DEF,0.0,0.03,0.03,0.0,1.25,2.0,0.0,2.4,21.8,0.6,2.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.1,0.0,0.02,0.02,0.0,1.5,2.0,0.0,2.7,19.1,6.1,2.0,90.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,2.0,0.5,0.5,0.0,0.0,0.0,0.03,0.0,0.0,0.5,0.0,0.0,0.31,0.31,0.45,0.0,0.03,0.03,0.0,1.42,1.67,0.0,2.77,20.73,5.0,2.0,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.67,0.67,1.0,0.0,0.0,0.0,0.02,0.0,0.0,0.33,0.0,0.0,0.2,0.2,0.57,0.0,0.02,0.02,0.0,1.15,1.25,0.0,2.08,15.6,3.75,1.5,68.5,0.0,0.0,0.0,0.0,0.25,0.0,0.75,1.75,0.5,1.0,0.0,0.0,0.0,0.02,0.0,0.0,0.25,0.0,0.0,0.15,0.15,0.63,0.0,0.02,0.02,0.0,0.96,1.0,0.0,1.72,13.08,3.02,1.2,57.8,0.0,0.0,0.0,0.0,0.2,0.0,0.6,1.4,0.4,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.2,0.0,0.0,0.12,0.12,0.64,-947.0,-0.1874208526804558,1.0,0.808,0.119,0.073
0,0,11,0,0.7,238,0.0,0.0,0.0,1.14,172,1,0,1.9,18.0,2023-12-21,90,5,0,0,0,0,18,0,61953,1,1,1,0.0,2,-453,1437,1890,3.9,True,0,0,0,0.0,90,Crystal Palace,Brighton,1,1,22066,2023,632248,0.0,0,0,0,0.0,0.0,0.0,Crystal Palace,2,2,18,1.0,DEF,0.0,0.01,0.01,0.0,1.61,2.0,0.0,1.9,16.8,0.4,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,-0.2,0.0,0.02,0.02,0.0,1.43,2.0,0.0,2.15,19.3,0.5,2.0,90.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,2.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,-0.05,0.0,0.02,0.02,0.0,1.53,2.0,0.0,2.43,18.33,4.2,2.0,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,2.0,1.0,0.67,0.0,0.0,0.0,0.02,0.0,0.0,0.33,0.0,0.0,0.22,0.22,0.23,0.0,0.02,0.02,0.0,1.46,1.75,0.0,2.55,19.75,3.85,2.0,90.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,1.75,1.0,1.0,0.0,0.0,0.0,0.02,0.0,0.0,0.25,0.0,0.0,0.17,0.17,0.38,0.0,0.02,0.02,0.0,1.24,1.4,0.0,2.04,15.84,3.08,1.6,72.8,0.0,0.0,0.0,0.0,0.2,0.0,0.8,1.8,0.8,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.2,0.0,0.0,0.13,0.13,0.46,-128.0,-0.1361587015329125,2.0,0.283,0.283,0.434
0,0,3,0,11.8,238,0.01,0.01,0.0,2.74,186,2,0,2.0,8.2,2023-12-27,90,7,0,0,0,0,19,0,63658,1,1,2,0.0,0,1362,2471,1109,3.9,False,1,0,0,0.0,90,Chelsea,Crystal Palace,2,1,22080,2023,633087,0.0103369122371077,0,1,0,0.0,0.0103369122371077,0.0,Crystal Palace,2,3,19,1.0,DEF,0.0,0.0,0.0,0.0,1.14,1.0,0.0,1.9,18.0,0.7,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.38,1.5,0.0,1.9,17.4,0.55,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.4,0.0,0.01,0.01,0.0,1.33,1.67,0.0,2.07,18.87,0.57,1.33,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.67,1.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.3,0.0,0.02,0.02,0.0,1.44,1.75,0.0,2.3,18.25,3.32,1.5,90.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,1.75,1.0,1.0,0.0,0.0,0.0,0.02,0.0,0.0,0.25,0.0,0.0,0.17,0.17,0.43,0.0,0.02,0.02,0.0,1.4,1.6,0.0,2.42,19.4,3.22,1.6,90.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.6,1.0,1.2,0.0,0.0,0.0,0.01,0.0,0.0,0.2,0.0,0.0,0.13,0.13,0.5,1705.0,0.3804469273743017,0.0,0.571,0.238,0.191
