assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,0,5,1,1.9,154,0.1,0.41,0.31,0.41,4,0,0,3.9,3.8,2023-08-12,77,12,0,0,0,0,1,0,204885,1,1,4,33.0,2,0,0,0,6.0,True,0,154,,,0,4,0.2924142479896545,79,FW,Brighton and Hove Albion,Luton,4,1,22278,2023,603766,0.0,0,0,0,0.2924142479896545,0.4188868999481201,0.1264726370573043,501,Brighton and Hove Albion,Danny Welbeck,Danny Welbeck,2,3,1,2.6,FWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.72,0.174,0.106
0,0,-3,0,15.1,154,0.04,0.21,0.17,0.91,20,0,0,3.7,3.0,2023-08-19,56,20,0,0,0,0,2,0,194842,1,4,1,19.0,1,-29757,11160,40917,6.0,False,0,154,,,0,2,0.1630970686674118,59,FW,Wolverhampton Wanderers,Brighton and Hove Albion,1,4,22286,2023,605079,0.1313348263502121,0,1,0,0.1630970686674118,1.2045639753341677,1.0269883871078491,501,Brighton and Hove Albion,Danny Welbeck,Danny Welbeck,2,2,2,1.5,FWD,1.0,0.1,0.41,0.31,0.41,0.0,0.0,3.9,3.8,1.9,33.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,4.0,0.29,0.0,0.0,0.0,0.0,0.0,0.29,0.42,0.13,2.6,0.33,0.03,0.14,0.1,0.14,0.0,0.0,1.3,1.27,0.63,11.0,25.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,1.33,0.67,0.0,1.33,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.14,0.04,0.87,0.2,0.02,0.08,0.06,0.08,0.0,0.0,0.78,0.76,0.38,6.6,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,0.4,0.0,0.8,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.03,0.52,-10043.0,-0.5714038827121378,1.0,0.237,0.25,0.513
0,0,3,0,24.8,154,0.19,0.23,0.04,2.18,24,2,0,4.0,5.4,2023-08-26,59,19,0,0,0,0,3,0,160732,1,3,1,10.0,1,-40190,8773,48963,5.9,True,0,154,,,0,1,0.0308382343500852,64,AMC,Brighton and Hove Albion,West Ham United,1,3,22301,2023,607015,0.1312898248434066,0,2,0,0.0308382343500852,0.5007263422012329,0.3385982811450958,501,Brighton and Hove Albion,Danny Welbeck,Danny Welbeck,2,3,3,1.3,FWD,0.0,0.04,0.21,0.17,0.91,0.0,0.0,3.7,3.0,15.1,19.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,2.0,0.16,0.13,0.0,0.0,1.0,0.0,0.16,1.2,1.03,1.5,0.33,0.05,0.21,0.16,0.44,0.0,0.0,2.53,2.27,5.67,17.33,44.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.67,1.67,1.0,0.0,2.0,0.15,0.04,0.0,0.0,0.33,0.0,0.15,0.54,0.38,1.37,0.2,0.03,0.12,0.1,0.26,0.0,0.0,1.52,1.36,3.4,10.4,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,0.6,0.0,1.2,0.09,0.03,0.0,0.0,0.2,0.0,0.09,0.32,0.23,0.82,-34110.0,-0.6960994873216018,1.0,0.62,0.2,0.181
0,1,31,1,13.9,154,0.02,0.57,0.55,0.73,45,0,1,7.8,41.8,2023-09-16,63,14,0,0,0,0,5,0,85975,1,3,1,22.0,7,-43993,385,44378,5.8,False,0,154,,,1,2,0.3995201289653778,67,FW,Manchester United,Brighton and Hove Albion,1,3,21940,2023,610456,0.0410680025815963,0,1,1,0.3995201289653778,0.5662736892700195,0.4944762885570526,501,Brighton and Hove Albion,Danny Welbeck,Danny Welbeck,2,4,5,1.7,FWD,0.0,0.19,0.23,0.04,2.18,2.0,0.0,4.0,5.4,24.8,10.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,0.03,0.13,0.0,0.0,2.0,0.0,0.03,0.5,0.34,1.3,0.33,0.11,0.28,0.17,1.17,0.67,0.0,3.87,4.07,13.93,20.67,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.67,2.0,1.33,0.0,2.33,0.16,0.09,0.0,0.0,1.0,0.0,0.16,0.71,0.5,1.8,0.2,0.07,0.17,0.1,0.7,0.4,0.0,2.32,2.44,8.36,12.4,38.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.6,1.2,0.8,0.0,1.4,0.1,0.05,0.0,0.0,0.6,0.0,0.1,0.42,0.3,1.08,-74757.0,-0.9827982932332506,6.0,0.438,0.235,0.327
0,0,5,0,13.3,154,0.01,0.01,0.0,0.52,53,1,0,1.6,2.8,2023-09-24,62,3,0,0,0,0,6,0,107766,1,1,3,0.0,2,16694,22128,5434,5.8,True,0,154,,,0,0,0.0,66,AMC,Brighton and Hove Albion,Bournemouth,3,1,21951,2023,612710,0.0396567843854427,0,1,0,0.0,0.380122035741806,0.380122035741806,501,Brighton and Hove Albion,Danny Welbeck,Danny Welbeck,2,3,6,2.5,FWD,1.0,0.02,0.57,0.55,0.73,0.0,1.0,7.8,41.8,13.9,22.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,7.0,1.0,2.0,0.4,0.04,0.0,0.0,1.0,1.0,0.4,0.57,0.49,1.7,0.33,0.08,0.34,0.25,1.27,0.67,0.33,5.17,16.73,17.93,17.0,59.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.33,1.0,3.0,0.33,1.67,0.2,0.1,0.0,0.0,1.33,0.33,0.2,0.76,0.62,1.5,0.4,0.07,0.28,0.21,0.85,0.4,0.2,3.88,10.8,11.14,16.8,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.2,1.4,2.2,0.2,1.8,0.18,0.06,0.0,0.0,0.8,0.2,0.18,0.54,0.4,1.42,21791.0,0.6056889920905595,2.0,0.694,0.18,0.126
0,0,-2,0,2.3,154,0.01,0.01,0.0,1.15,61,3,0,0.6,3.2,2023-09-30,45,2,0,0,0,0,7,0,113364,1,1,6,0.0,0,3687,16095,12408,5.8,False,1,154,,,0,0,0.0,51,AMC,Aston Villa,Brighton and Hove Albion,6,1,21955,2023,614310,0.0,0,0,0,0.0,0.3087050914764404,0.3087050914764404,501,Brighton and Hove Albion,Danny Welbeck,Danny Welbeck,2,4,7,3.0,FWD,0.0,0.01,0.01,0.0,0.52,1.0,0.0,1.6,2.8,13.3,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.04,0.0,0.0,1.0,0.0,0.0,0.38,0.38,2.5,0.33,0.07,0.27,0.2,1.14,1.0,0.33,4.47,16.67,17.33,10.67,61.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.33,1.67,3.33,0.33,1.0,0.14,0.07,0.0,0.0,1.33,0.33,0.14,0.48,0.4,1.83,0.4,0.07,0.29,0.21,0.95,0.6,0.2,4.2,11.36,13.8,16.8,63.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4,2.0,2.6,0.2,1.8,0.18,0.07,0.0,0.0,1.0,0.2,0.18,0.61,0.47,1.92,5598.0,0.1293548047573939,0.0,0.373,0.254,0.373
0,0,2,0,0.0,154,0.0,0.0,0.0,0.32,72,0,0,0.3,1.0,2023-10-08,30,11,0,0,0,0,8,0,103406,0,2,2,2.0,1,-10400,5392,15792,5.8,True,0,154,,,0,0,0.0,27,Sub,Brighton and Hove Albion,Liverpool,2,2,21966,2023,616934,0.0,0,0,0,0.0,0.0,0.0,501,Brighton and Hove Albion,Danny Welbeck,Danny Welbeck,4,3,8,0.5,FWD,0.0,0.01,0.01,0.0,1.15,3.0,0.0,0.6,3.2,2.3,0.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,3.0,0.33,0.01,0.2,0.18,0.8,1.33,0.33,3.33,15.93,9.83,7.33,56.67,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.67,3.33,3.0,0.33,0.67,0.13,0.03,0.0,0.0,0.67,0.33,0.13,0.42,0.39,2.4,0.2,0.05,0.21,0.15,1.1,1.2,0.2,3.54,11.24,13.88,10.2,57.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,2.4,2.4,2.2,0.2,1.0,0.12,0.07,0.0,0.0,1.0,0.2,0.12,0.59,0.51,2.0,-9958.0,-0.4909365558912387,1.0,0.317,0.25,0.432
0,0,3,0,0.3,154,0.0,0.0,0.0,0.28,86,1,0,0.0,0.0,2023-10-21,15,13,0,0,0,0,9,0,100117,1,1,2,0.0,1,-4953,4327,9280,5.8,False,0,154,,,0,0,0.0,15,AMC,Manchester City,Brighton and Hove Albion,2,1,21980,2023,618145,0.0,0,0,0,0.0,0.0,0.0,501,Brighton and Hove Albion,Danny Welbeck,Danny Welbeck,2,5,9,-0.3,FWD,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.3,1.0,0.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.01,0.01,0.0,0.66,1.33,0.0,0.83,2.33,5.2,0.67,45.67,0.0,0.0,0.0,0.0,0.33,0.0,0.67,1.33,3.67,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.33,0.0,0.0,0.23,0.23,2.0,0.2,0.05,0.16,0.12,0.98,1.2,0.2,2.86,10.84,10.86,6.8,51.8,0.0,0.0,0.0,0.0,0.2,0.0,0.8,2.0,2.6,2.2,0.2,0.6,0.09,0.04,0.0,0.0,0.8,0.2,0.09,0.35,0.3,1.8,-3289.0,-0.3640038215624311,1.0,0.675,0.18,0.145
0,0,4,0,0.6,154,0.0,0.0,0.0,0.42,161,1,0,0.3,2.4,2023-12-17,11,1,0,0,0,0,17,0,60210,0,0,2,0.0,1,-1017,83,1100,5.7,False,0,154,,,0,0,0.0,7,Sub,Arsenal,Brighton and Hove Albion,2,0,22056,2023,630788,0.0,0,0,0,0.0,0.047285821288824,0.047285821288824,501,Brighton and Hove Albion,Danny Welbeck,Danny Welbeck,2,5,17,-0.2,FWD,0.0,0.0,0.0,0.0,0.28,1.0,0.0,0.0,0.0,0.3,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.58,1.33,0.0,0.3,1.4,0.87,0.67,30.0,0.0,0.0,0.0,0.0,0.33,0.0,0.67,1.33,3.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.07,0.2,0.01,0.12,0.11,0.6,1.0,0.2,2.06,9.76,5.96,4.8,43.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,1.6,2.8,2.2,0.2,0.4,0.08,0.02,0.0,0.0,0.4,0.2,0.08,0.25,0.24,1.48,-39907.0,-0.8596787827557059,1.0,0.654,0.188,0.157
0,3,29,0,24.3,154,0.05,0.24,0.19,0.33,172,0,1,9.8,41.2,2023-12-21,45,8,0,0,0,0,18,0,61572,0,1,1,32.0,8,1051,1667,616,5.7,False,0,154,,,1,3,0.182808980345726,42,Sub,Crystal Palace,Brighton and Hove Albion,1,1,22066,2023,632269,0.3632277548313141,0,2,1,0.182808980345726,0.4449916183948517,0.3315968513488769,501,Brighton and Hove Albion,Danny Welbeck,Danny Welbeck,2,2,18,1.5,FWD,0.0,0.0,0.0,0.0,0.42,1.0,0.0,0.3,2.4,0.6,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,-0.2,0.0,0.0,0.0,0.0,0.34,0.67,0.0,0.2,1.13,0.3,0.67,18.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.54,1.2,0.0,0.56,1.88,3.3,0.4,32.6,0.0,0.0,0.0,0.0,0.2,0.0,0.6,1.0,3.0,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.2,0.0,0.0,0.15,0.15,1.1,1362.0,0.46035917652212,5.0,0.283,0.283,0.434
