assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,0,21,1,96.2,226,0.58,1.09,0.51,0.49,7,0,0,14.5,13.4,2023-08-12,90,17,0,0,0,0,1,0,1431792,1,1,0,35.0,3,0,0,0,6.5,False,0,0,8,0.5276288986206055,90,Sheffield United,Crystal Palace,0,1,22280,2023,603839,0.8357542753219604,0,7,0,0.5276288986206055,1.364763855934143,0.741253674030304,Crystal Palace,2,2,1,2.8,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.324,0.288,0.388
0,0,14,0,22.9,226,0.15,0.4,0.25,2.0,12,1,0,5.5,9.2,2023-08-21,90,1,0,0,0,0,2,0,1335065,1,1,0,23.0,2,-155238,27372,182610,6.5,True,0,0,4,0.2300045937299728,90,Crystal Palace,Arsenal,0,1,22294,2023,606377,0.0945011302828788,0,1,0,0.2300045937299728,0.270753413438797,0.1228591203689575,Crystal Palace,5,2,2,2.0,MID,1.0,0.58,1.09,0.51,0.49,0.0,0.0,14.5,13.4,96.2,35.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,8.0,0.53,0.84,0.0,7.0,0.0,0.53,1.36,0.74,2.8,1431792.0,1.0,0.58,1.09,0.51,0.49,0.0,0.0,14.5,13.4,96.2,35.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,8.0,0.53,0.84,0.0,7.0,0.0,0.53,1.36,0.74,2.8,1431792.0,-96727.0,-0.7392919393090837,2.0,0.161,0.226,0.613
0,0,7,0,20.8,226,0.07,0.42,0.35,0.97,23,1,0,5.9,17.0,2023-08-26,90,4,0,0,0,0,3,0,1144214,1,1,1,21.0,2,-206379,36822,243201,6.4,False,0,0,4,0.2136099487543106,90,Brentford,Crystal Palace,1,1,22298,2023,606912,0.0607123747467994,0,1,0,0.2136099487543106,0.3676816821098327,0.1540717184543609,Crystal Palace,2,2,3,2.3,MID,1.0,0.73,1.49,0.76,2.49,1.0,0.0,20.0,22.6,119.1,58.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,12.0,0.76,0.93,0.0,8.0,0.0,0.76,1.64,0.86,4.8,2766857.0,1.0,0.73,1.49,0.76,2.49,1.0,0.0,20.0,22.6,119.1,58.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,12.0,0.76,0.93,0.0,8.0,0.0,0.76,1.64,0.86,4.8,2766857.0,-190851.0,-0.7370073172560825,2.0,0.458,0.279,0.263
0,1,33,0,52.8,226,0.13,0.76,0.63,1.34,36,2,1,16.4,62.0,2023-09-03,90,20,0,0,0,0,4,0,985760,1,2,3,49.0,8,-170233,38788,209021,6.4,True,0,1,3,0.6517962217330933,90,Crystal Palace,Wolverhampton Wanderers,3,2,21932,2023,609345,0.1950465738773346,0,4,1,0.6517962217330933,1.4611414670944214,0.893418550491333,Crystal Palace,2,2,4,3.8,MID,1.0,0.8,1.91,1.11,3.46,2.0,0.0,25.9,39.6,139.9,79.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,7.0,0.0,16.0,0.97,0.99,0.0,9.0,0.0,0.97,2.0,1.02,7.1,3911071.0,1.0,0.8,1.91,1.11,3.46,2.0,0.0,25.9,39.6,139.9,79.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,7.0,0.0,16.0,0.97,0.99,0.0,9.0,0.0,0.97,2.0,1.02,7.1,3911071.0,-158454.0,-0.6869524512830446,7.0,0.478,0.276,0.246
0,0,3,0,15.0,226,0.25,0.66,0.41,3.21,41,3,0,6.4,12.6,2023-09-16,90,2,0,0,0,0,5,0,909035,1,1,3,36.0,1,-88336,37499,125835,6.3,False,1,0,4,0.422761857509613,90,Aston Villa,Crystal Palace,3,1,21938,2023,610485,0.0,0,0,0,0.422761857509613,0.422761857509613,0.0367868281900882,Crystal Palace,2,4,5,3.2,MID,0.0,0.35,1.58,1.23,4.31,4.0,1.0,27.8,88.2,96.5,93.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,12.0,1.0,11.0,1.1,0.35,0.0,6.0,1.0,1.1,2.1,1.17,8.1,3465039.0,1.0,0.93,2.67,1.74,4.8,4.0,1.0,42.3,101.6,192.7,128.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,15.0,1.0,19.0,1.62,1.19,0.0,13.0,1.0,1.62,3.46,1.91,10.9,4896831.0,-76725.0,-0.540830445590018,1.0,0.492,0.286,0.222
0,0,9,1,45.0,226,0.34,0.45,0.11,0.59,56,0,0,7.9,15.4,2023-09-23,90,10,0,0,0,0,6,0,890614,1,0,0,19.0,3,-26165,64761,90926,6.3,True,0,0,3,0.1235382631421089,90,Crystal Palace,Fulham,0,0,21948,2023,612129,0.2035676389932632,0,3,0,0.1235382631421089,0.2125386148691177,0.1214886978268623,Crystal Palace,2,2,6,3.5,MID,0.0,0.45,1.84,1.39,5.52,6.0,1.0,28.7,91.6,88.6,106.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,7.0,11.0,1.0,11.0,1.29,0.26,0.0,5.0,1.0,1.29,2.25,1.08,9.3,3039009.0,1.0,1.18,3.33,2.15,8.01,7.0,1.0,48.7,114.2,207.7,164.0,450.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,7.0,16.0,1.0,23.0,2.05,1.19,0.0,13.0,1.0,2.05,3.89,1.95,14.1,5805866.0,-18421.0,-0.1680615594108692,3.0,0.493,0.273,0.234
1,0,23,1,29.7,226,0.28,0.32,0.04,1.46,65,0,0,4.3,12.4,2023-09-30,87,14,0,0,0,0,7,0,750290,1,1,0,1.0,6,-135917,14229,150146,6.2,False,0,0,1,0.0834782570600509,90,Manchester United,Crystal Palace,0,1,21957,2023,614652,0.6342893838882446,0,2,0,0.0834782570600509,0.0834782570600509,0.0,Crystal Palace,2,4,7,2.8,MID,1.0,0.72,1.87,1.15,5.14,5.0,1.0,30.7,90.0,112.8,104.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,6.0,12.0,1.0,10.0,1.2,0.4,0.0,7.0,1.0,1.2,2.1,1.05,10.5,2785409.0,1.0,0.94,2.69,1.75,8.11,7.0,1.0,42.1,116.2,156.5,148.0,450.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,7.0,16.0,1.0,18.0,1.64,0.55,0.0,9.0,1.0,1.64,2.73,1.33,14.8,5264688.0,-140324.0,-0.8268714828897339,6.0,0.614,0.224,0.162
1,0,14,0,11.9,226,0.11,0.11,0.0,0.69,102,0,0,2.7,15.2,2023-11-04,32,6,0,0,0,0,11,0,319106,0,2,0,0.0,4,-15240,9627,24867,6.1,False,0,0,0,0.0,30,Burnley,Crystal Palace,0,2,21996,2023,621578,0.3731467425823211,1,1,0,0.0,0.3731467425823211,0.0,Crystal Palace,2,2,11,1.8,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.62,0.77,0.15,2.05,0.0,0.0,12.2,27.8,74.7,20.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,9.0,0.0,4.0,0.21,0.84,0.0,5.0,0.0,0.21,0.3,0.12,6.3,1640904.0,-431184.0,-0.4418159679944338,4.0,0.332,0.31,0.358
0,0,20,0,25.1,226,0.07,0.92,0.85,1.6,116,3,1,13.0,51.0,2023-11-11,90,9,0,0,0,0,12,0,356244,1,3,2,54.0,6,34859,42857,7998,6.1,True,1,1,2,0.8211107850074768,90,Crystal Palace,Everton,2,3,22010,2023,623297,0.1021200865507125,0,2,0,0.0599419400095939,0.1917645335197448,0.0297025125473737,Crystal Palace,2,2,12,3.3,MID,0.0,0.11,0.11,0.0,0.69,0.0,0.0,2.7,15.2,11.9,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.37,1.0,1.0,0.0,0.0,0.37,0.0,1.8,319106.0,1.0,0.39,0.43,0.04,2.15,0.0,0.0,7.0,27.6,41.6,1.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,10.0,0.0,1.0,0.08,1.01,1.0,3.0,0.0,0.08,0.46,0.0,4.6,1069396.0,37138.0,0.6854586569658834,6.0,0.39,0.29,0.32
0,0,4,0,12.8,226,0.04,0.14,0.1,0.17,125,0,0,4.3,16.0,2023-11-25,48,12,0,0,0,0,13,0,622444,1,1,2,14.0,1,249163,258727,9564,6.2,False,0,0,2,0.0890479013323783,51,Luton,Crystal Palace,2,1,22019,2023,624888,0.037453543394804,0,1,0,0.0890479013323783,0.0830704122781753,0.0579489283263683,Crystal Palace,2,2,13,4.2,MID,0.0,0.18,1.03,0.85,2.29,3.0,1.0,15.7,66.2,37.0,54.0,122.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,10.0,1.0,2.0,0.82,0.48,1.0,3.0,0.0,0.06,0.56,0.03,5.1,675350.0,0.0,0.18,1.03,0.85,2.29,3.0,1.0,15.7,66.2,37.0,54.0,122.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,10.0,1.0,2.0,0.82,0.48,1.0,3.0,0.0,0.06,0.56,0.03,5.1,675350.0,266200.0,0.9287042800541204,1.0,0.273,0.273,0.453
