assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,0,8,0,13.8,503,0.02,0.02,0.0,0.12,22,0,0,2.1,3.2,2023-08-26,16,3,0,0,0,0,3,0,9256,0,2,0,4.0,1,-1791,825,2616,4.9,False,0,0,0,0.0,11,Bournemouth,Tottenham,0,2,22296,2023,606668,0.034908477216959,0,1,0,0.0,0.034908477216959,0.034908477216959,Tottenham,3,2,3,0.3,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.5204882301656495,1.0,0.25,0.253,0.497
0,0,3,0,0.2,503,0.0,0.0,0.0,0.86,90,0,0,0.6,5.4,2023-10-23,8,10,0,0,0,0,9,0,4621,0,0,2,0.0,1,-28,115,143,4.8,True,0,0,0,0.0,6,Tottenham,Fulham,2,0,21984,2023,619286,0.0,0,0,0,0.0,0.0,0.0,Tottenham,2,4,9,0.3,MID,0.0,0.02,0.02,0.0,0.12,0.0,0.0,2.1,3.2,13.8,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.03,0.0,0.0,1.0,0.0,0.0,0.03,0.03,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4635.0,-0.1085271317829457,1.0,0.632,0.211,0.158
0,0,3,0,0.9,503,0.0,0.08,0.08,1.04,120,2,0,1.2,4.4,2023-11-11,15,20,0,0,0,0,12,0,4944,0,1,2,7.0,1,243,362,119,4.8,False,0,0,1,0.0617367886006832,9,Wolverhampton Wanderers,Tottenham,2,1,22014,2023,623013,0.0,0,0,0,0.0617367886006832,0.0617367886006832,0.0,Tottenham,3,2,12,0.3,MID,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.6,5.4,0.2,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.0,0.5051975051975052,1.0,0.309,0.255,0.435
0,3,33,0,37.9,503,0.09,0.16,0.07,1.76,130,2,1,11.2,50.6,2023-11-26,85,2,0,0,0,0,13,0,5147,1,2,1,23.0,10,140,321,181,4.8,True,0,1,2,0.0598099492490291,90,Tottenham,Aston Villa,1,2,22024,2023,625554,0.1497803181409835,0,3,1,0.0598099492490291,0.2697141766548157,0.1793707460165023,Tottenham,3,4,13,3.7,MID,0.0,0.0,0.08,0.08,1.04,2.0,0.0,1.2,4.4,0.9,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.3,0.0,0.01,0.03,0.03,0.67,0.67,0.0,1.3,4.33,4.97,3.67,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,1.0,0.0,0.33,0.02,0.01,0.0,0.0,0.33,0.0,0.02,0.03,0.01,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.0,0.2788844621513944,7.0,0.412,0.249,0.338
0,0,28,0,2.3,503,0.01,0.13,0.12,2.12,137,2,1,4.5,34.0,2023-12-03,78,13,0,0,0,0,14,0,7153,1,3,3,9.0,7,1808,2055,247,4.8,False,0,1,2,0.0750042125582695,82,Manchester City,Tottenham,3,3,22031,2023,627558,0.0,0,0,1,0.0750042125582695,0.0478517226874828,0.0,Tottenham,3,5,14,3.5,MID,0.0,0.09,0.16,0.07,1.76,2.0,1.0,11.2,50.6,37.9,23.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,10.0,1.0,2.0,0.06,0.15,0.0,0.0,3.0,1.0,0.06,0.27,0.18,3.7,0.0,0.03,0.08,0.05,1.22,1.33,0.33,4.33,20.13,13.0,10.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,1.67,4.0,0.33,1.0,0.04,0.05,0.0,0.0,1.0,0.33,0.04,0.11,0.06,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006.0,0.7854039965247611,7.0,0.736,0.158,0.106
0,0,16,0,44.8,503,0.33,0.48,0.15,0.94,148,1,0,8.4,13.0,2023-12-07,66,19,0,0,0,0,15,0,23441,1,2,1,26.0,2,15726,16280,554,4.8,True,0,0,3,0.171330064535141,69,Tottenham,West Ham,1,2,22041,2023,628205,0.2055584639310836,0,3,0,0.171330064535141,0.4108225405216217,0.1034154593944549,Tottenham,2,4,15,5.0,MID,0.0,0.01,0.13,0.12,2.12,2.0,1.0,4.5,34.0,2.3,9.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,7.0,1.0,2.0,0.08,0.0,0.0,0.0,0.0,1.0,0.08,0.05,0.0,3.5,0.0,0.03,0.12,0.09,1.64,2.0,0.67,5.63,29.67,13.7,13.0,59.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,2.0,2.0,6.0,0.67,1.67,0.07,0.05,0.0,0.0,1.0,0.67,0.07,0.13,0.06,2.5,0.0,0.02,0.08,0.05,1.18,1.2,0.4,3.92,19.52,11.02,8.6,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.6,1.6,4.0,0.4,1.0,0.04,0.04,0.0,0.0,0.8,0.4,0.04,0.08,0.04,1.62,16288.0,0.9341808245218012,2.0,0.545,0.227,0.227
0,0,2,0,2.3,503,0.0,0.0,0.0,0.6,159,1,0,0.8,6.0,2023-12-10,17,15,0,0,0,0,16,0,27316,0,1,4,0.0,1,3972,6747,2775,4.8,True,0,0,0,0.0,14,Tottenham,Newcastle United,4,1,22053,2023,629550,0.0,0,0,0,0.0,0.5741974711418152,0.5741974711418152,Tottenham,3,4,16,3.7,MID,0.0,0.33,0.48,0.15,0.94,1.0,0.0,8.4,13.0,44.8,26.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,3.0,0.17,0.21,0.0,0.0,3.0,0.0,0.17,0.41,0.1,5.0,0.0,0.14,0.26,0.11,1.61,1.67,0.67,8.03,32.53,28.33,19.33,76.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.33,1.67,6.33,0.67,2.33,0.1,0.12,0.0,0.0,2.0,0.67,0.1,0.24,0.09,4.07,0.0,0.09,0.17,0.08,1.34,1.4,0.4,5.18,21.48,17.22,13.0,50.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.6,1.8,4.2,0.4,1.6,0.07,0.07,0.0,0.0,1.2,0.4,0.07,0.16,0.06,2.56,3875.0,0.4171392564587272,1.0,0.443,0.25,0.307
0,0,6,0,1.1,503,0.04,0.04,0.0,0.68,178,1,0,1.4,10.6,2023-12-23,17,9,0,0,0,0,18,0,13981,0,1,2,2.0,1,-5637,96,5733,4.8,True,0,0,0,0.0,12,Tottenham,Everton,2,1,22071,2023,632617,0.0,0,0,0,0.0,0.0880324319005012,0.0880324319005012,Tottenham,2,4,18,1.8,MID,0.0,0.0,0.0,0.0,0.6,1.0,0.0,0.8,6.0,2.3,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,3.7,0.0,0.11,0.2,0.09,1.22,1.33,0.33,4.57,17.67,16.47,11.67,53.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,2.0,2.67,3.33,0.33,1.67,0.08,0.07,0.0,0.0,1.0,0.33,0.08,0.34,0.23,4.07,0.0,0.09,0.17,0.08,1.29,1.6,0.4,5.22,21.6,17.64,13.0,52.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.8,2.2,4.2,0.4,1.6,0.07,0.07,0.0,0.0,1.2,0.4,0.07,0.27,0.17,3.24,-13335.0,-0.9670612454966546,1.0,0.539,0.225,0.236
0,0,8,0,27.2,503,0.2,0.2,0.0,0.79,184,1,0,3.6,7.0,2023-12-28,25,5,0,0,0,0,19,0,13956,0,2,4,2.0,1,-603,1021,1624,4.8,False,0,0,0,0.0,20,Brighton,Tottenham,4,2,22078,2023,633179,0.1459274888038635,0,2,0,0.0,0.3030174672603607,0.1570899933576584,Tottenham,3,3,19,2.0,MID,0.0,0.04,0.04,0.0,0.68,1.0,0.0,1.4,10.6,1.1,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,1.8,0.0,0.12,0.17,0.05,0.74,1.0,0.0,3.53,9.87,16.07,9.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.33,2.33,1.33,0.0,1.0,0.06,0.07,0.0,0.0,1.0,0.0,0.06,0.36,0.26,3.5,0.0,0.09,0.16,0.07,1.22,1.4,0.4,5.26,22.84,17.68,12.0,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.8,2.2,4.2,0.4,1.4,0.06,0.07,0.0,0.0,1.2,0.4,0.06,0.28,0.19,3.54,-25.0,-0.227977315689981,1.0,0.377,0.261,0.362
2,3,33,1,26.5,503,0.14,0.14,0.0,1.3,198,0,0,7.5,46.2,2023-12-31,81,3,0,0,0,0,20,0,12598,1,1,3,2.0,11,-1369,445,1814,4.8,True,1,0,0,0.0,90,Tottenham,Bournemouth,3,1,22092,2023,633732,0.1448431760072708,2,2,0,0.0,0.6028587818145752,0.5414764285087585,Tottenham,2,4,20,2.7,MID,0.0,0.2,0.2,0.0,0.79,1.0,0.0,3.6,7.0,27.2,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.15,0.0,0.0,2.0,0.0,0.0,0.3,0.16,2.0,0.0,0.08,0.08,0.0,0.69,1.0,0.0,1.93,7.87,10.2,1.33,19.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,3.33,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.67,0.0,0.0,0.32,0.27,2.5,0.0,0.12,0.17,0.05,1.03,1.2,0.2,3.74,14.12,15.54,7.8,40.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.8,2.8,2.4,0.2,1.0,0.05,0.07,0.0,0.0,1.0,0.2,0.05,0.28,0.18,3.2,-1358.0,-0.6060203629924745,8.0,0.539,0.225,0.236
