assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,0,2,0,6.5,557,0.35,0.69,0.34,0.72,10,1,0,3.1,0.0,2023-08-14,27,14,0,0,0,0,1,0,9219,0,0,1,26.0,1,0,0,0,5.5,False,0,0,4,0.2225962579250335,25,Manchester United,Wolverhampton Wanderers,1,0,22284,2023,604648,0.0,0,0,0,0.2225962579250335,0.3111427426338196,0.088546484708786,Wolverhampton Wanderers,2,4,1,1.6,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.72,0.174,0.106
0,0,19,0,11.8,557,0.5,0.55,0.05,0.33,20,0,1,6.7,34.4,2023-08-19,35,5,0,0,0,0,2,0,10889,0,4,1,21.0,5,-560,876,1436,5.5,True,1,1,1,0.0429967269301414,33,Wolverhampton Wanderers,Brighton and Hove Albion,1,4,22286,2023,605067,0.6011396646499634,0,1,1,0.0429967269301414,0.3209632933139801,0.3209632933139801,Wolverhampton Wanderers,2,2,2,3.0,MID,0.0,0.35,0.69,0.34,0.72,1.0,0.0,3.1,0.0,6.5,26.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.22,0.0,0.0,0.0,0.0,0.0,0.22,0.31,0.09,1.6,0.0,0.12,0.23,0.11,0.24,0.33,0.0,1.03,0.0,2.17,8.67,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,1.33,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.03,0.53,0.0,0.07,0.14,0.07,0.14,0.2,0.0,0.62,0.0,1.3,5.2,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.8,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.02,0.32,1670.0,-0.2422145328719723,5.0,0.237,0.25,0.513
0,0,3,0,2.7,557,0.0,0.0,0.0,0.62,27,0,0,0.3,0.6,2023-08-26,45,9,0,0,0,0,3,0,13293,1,1,0,0.0,1,919,2284,1365,5.5,False,0,0,0,0.0,48,Everton,Wolverhampton Wanderers,0,1,22299,2023,606884,0.0,0,0,0,0.0,0.0671058893203735,0.0671058893203735,Wolverhampton Wanderers,2,2,3,2.3,MID,0.0,0.5,0.55,0.05,0.33,0.0,1.0,6.7,34.4,11.8,21.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,5.0,1.0,1.0,0.04,0.6,0.0,0.0,1.0,1.0,0.04,0.32,0.32,3.0,0.0,0.28,0.41,0.13,0.35,0.33,0.33,3.27,11.47,6.1,15.67,20.67,0.0,0.0,0.0,0.0,0.33,0.0,0.0,1.33,0.67,2.0,0.33,1.67,0.09,0.2,0.0,0.0,0.33,0.33,0.09,0.21,0.14,1.53,0.0,0.17,0.25,0.08,0.21,0.2,0.2,1.96,6.88,3.66,9.4,12.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.4,1.2,0.2,1.0,0.05,0.12,0.0,0.0,0.2,0.2,0.05,0.13,0.08,0.92,2404.0,0.2518498218690052,1.0,0.414,0.289,0.298
0,0,25,0,0.8,557,0.01,0.07,0.06,0.97,36,2,1,5.9,37.2,2023-09-03,30,8,0,0,0,0,4,0,10124,0,2,3,21.0,6,-3193,121,3314,5.5,False,0,1,1,0.0746187716722488,27,Crystal Palace,Wolverhampton Wanderers,3,2,21932,2023,609364,0.0,0,0,1,0.0746187716722488,0.0114748338237404,0.0114748338237404,Wolverhampton Wanderers,2,2,4,2.4,MID,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.3,0.6,2.7,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,2.3,0.0,0.28,0.41,0.13,0.56,0.33,0.33,3.37,11.67,7.0,15.67,35.67,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.67,0.67,2.33,0.33,1.67,0.09,0.2,0.0,0.0,0.33,0.33,0.09,0.23,0.16,2.3,0.0,0.17,0.25,0.08,0.33,0.2,0.2,2.02,7.0,4.2,9.4,21.4,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1.0,0.4,1.4,0.2,1.0,0.05,0.12,0.0,0.0,0.2,0.2,0.05,0.14,0.1,1.38,-3169.0,-0.9295487627365356,6.0,0.495,0.287,0.218
0,0,19,0,1.8,557,0.01,0.12,0.11,1.65,50,1,1,5.4,32.8,2023-09-16,59,11,0,0,0,0,5,0,10711,1,3,1,19.0,6,-76,1170,1246,5.4,True,0,1,1,0.078438326716423,62,Wolverhampton Wanderers,Liverpool,1,3,21935,2023,610060,0.0,0,0,1,0.078438326716423,0.1695892065763473,0.0911508724093437,Wolverhampton Wanderers,4,2,5,3.8,MID,0.0,0.01,0.07,0.06,0.97,2.0,1.0,5.9,37.2,0.8,21.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,1.0,1.0,0.07,0.0,0.0,0.0,0.0,1.0,0.07,0.01,0.01,2.4,0.0,0.17,0.21,0.04,0.64,0.67,0.67,4.3,24.07,5.1,14.0,36.67,0.0,0.0,0.0,0.0,0.33,0.0,0.33,2.33,1.33,4.0,0.67,0.67,0.04,0.2,0.0,0.0,0.33,0.67,0.04,0.13,0.13,2.57,0.0,0.17,0.26,0.09,0.53,0.6,0.4,3.2,14.44,4.36,13.6,27.4,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1.4,1.0,2.6,0.4,1.2,0.07,0.12,0.0,0.0,0.2,0.4,0.07,0.14,0.1,1.86,587.0,-0.0314569536423841,6.0,0.158,0.189,0.653
0,0,2,0,1.5,557,0.01,0.01,0.0,0.53,58,0,0,0.9,7.0,2023-09-23,45,12,0,0,0,0,6,0,32047,1,1,1,0.0,1,18559,20704,2145,5.4,False,0,0,0,0.0,51,Luton,Wolverhampton Wanderers,1,1,21945,2023,612201,0.0,0,0,0,0.0,0.0,0.0,Wolverhampton Wanderers,2,2,6,4.0,MID,0.0,0.01,0.12,0.11,1.65,1.0,1.0,5.4,32.8,1.8,19.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,6.0,1.0,1.0,0.08,0.0,0.0,0.0,0.0,1.0,0.08,0.17,0.09,3.8,0.0,0.01,0.06,0.06,1.08,1.0,0.67,3.87,23.53,1.77,13.33,44.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,2.0,1.33,4.33,0.67,0.67,0.05,0.0,0.0,0.0,0.0,0.67,0.05,0.08,0.06,2.83,0.0,0.17,0.29,0.11,0.86,0.8,0.6,4.28,21.0,4.72,17.4,39.2,0.0,0.0,0.0,0.0,0.2,0.0,0.4,2.0,1.2,3.8,0.6,1.4,0.08,0.12,0.0,0.0,0.2,0.6,0.08,0.18,0.12,2.62,21336.0,0.8122456124994529,1.0,0.291,0.278,0.43
0,2,26,0,0.7,557,0.01,0.45,0.44,0.8,70,1,1,6.2,34.0,2023-09-30,85,13,0,0,0,0,7,0,22471,1,1,2,27.0,8,-8177,2272,10449,5.4,True,1,1,3,0.6739848852157593,89,Wolverhampton Wanderers,Manchester City,2,1,21961,2023,614609,0.0,0,0,1,0.6739848852157593,0.6739848852157593,0.0,Wolverhampton Wanderers,5,2,7,4.0,MID,0.0,0.01,0.01,0.0,0.53,0.0,0.0,0.9,7.0,1.5,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.01,0.07,0.06,1.05,1.0,0.67,4.07,25.67,1.37,13.33,44.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,2.0,1.67,4.33,0.67,0.67,0.05,0.0,0.0,0.0,0.0,0.67,0.05,0.06,0.03,3.4,0.0,0.11,0.15,0.04,0.82,0.6,0.6,3.84,22.4,3.72,12.2,42.8,0.0,0.0,0.0,0.0,0.2,0.0,0.6,2.2,1.2,3.8,0.6,0.6,0.04,0.12,0.0,0.0,0.2,0.6,0.04,0.11,0.1,3.1,-9576.0,-0.6427953777218772,6.0,0.119,0.166,0.716
0,3,31,0,15.3,557,0.1,0.33,0.23,1.01,80,1,1,10.2,46.2,2023-10-08,85,2,0,0,0,0,8,0,56023,1,1,1,40.0,10,29376,38700,9324,5.4,True,0,1,2,0.6729505062103271,90,Wolverhampton Wanderers,Aston Villa,1,1,21974,2023,616986,0.1116926595568656,0,1,1,0.6729505062103271,1.3807075023651123,0.5960643887519836,Wolverhampton Wanderers,3,2,8,6.3,MID,0.0,0.01,0.45,0.44,0.8,1.0,1.0,6.2,34.0,0.7,27.0,85.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,8.0,1.0,3.0,0.67,0.0,0.0,0.0,0.0,1.0,0.67,0.67,0.0,4.0,0.0,0.01,0.19,0.18,0.99,0.67,0.67,4.17,24.6,1.33,15.33,63.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.67,1.33,5.0,0.67,1.33,0.25,0.0,0.0,0.0,0.0,0.67,0.25,0.28,0.03,3.93,0.0,0.01,0.13,0.12,0.91,0.8,0.6,3.74,22.32,1.5,13.4,52.8,0.0,0.0,0.0,0.0,0.2,0.0,0.8,1.6,1.4,4.4,0.6,1.0,0.17,0.0,0.0,0.0,0.0,0.6,0.17,0.18,0.03,3.3,33552.0,0.6116941529235382,7.0,0.271,0.279,0.451
1,0,15,0,37.5,557,0.55,1.05,0.5,0.61,82,1,0,7.7,23.0,2023-10-21,90,3,0,0,0,0,9,0,155124,1,2,1,16.0,4,92111,102479,10368,5.4,False,1,0,3,0.9039989709854126,90,Bournemouth,Wolverhampton Wanderers,1,2,21975,2023,618056,0.5864709615707397,1,3,0,0.9039989709854126,1.5583940744400024,0.1410793960094452,Wolverhampton Wanderers,2,2,9,7.3,MID,0.0,0.1,0.33,0.23,1.01,1.0,1.0,10.2,46.2,15.3,40.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,1.0,2.0,0.67,0.11,0.0,0.0,1.0,1.0,0.67,1.38,0.6,6.3,0.0,0.04,0.26,0.22,0.78,0.67,0.67,5.77,29.07,5.83,22.33,71.67,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,1.33,6.33,0.67,1.67,0.45,0.04,0.0,0.0,0.33,0.67,0.45,0.68,0.2,4.77,0.0,0.03,0.2,0.17,0.99,1.0,0.8,5.72,31.44,4.02,21.4,60.8,0.0,0.0,0.0,0.0,0.2,0.0,0.8,1.6,1.6,6.2,0.8,1.4,0.3,0.02,0.0,0.0,0.2,0.8,0.3,0.45,0.14,4.1,99101.0,0.816246776609037,4.0,0.401,0.281,0.318
0,0,19,0,23.8,557,0.1,0.53,0.43,2.17,100,2,1,9.0,33.0,2023-10-28,90,15,0,0,0,0,10,0,154705,1,2,2,33.0,7,1899,33461,31562,5.4,True,0,1,1,0.2383297979831695,90,Wolverhampton Wanderers,Newcastle United,2,2,21994,2023,620121,0.1595204770565033,0,2,1,0.2383297979831695,0.1595204770565033,0.0,Wolverhampton Wanderers,3,2,10,6.5,MID,0.0,0.55,1.05,0.5,0.61,1.0,0.0,7.7,23.0,37.5,16.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,3.0,0.9,0.59,1.0,1.0,3.0,0.0,0.9,1.56,0.14,7.3,0.0,0.22,0.61,0.39,0.81,1.0,0.67,8.03,34.4,17.83,27.67,86.67,0.0,0.0,0.0,0.0,0.67,0.0,1.0,1.33,1.33,7.33,0.67,2.67,0.75,0.23,0.33,0.33,1.33,0.67,0.75,1.2,0.25,5.87,0.0,0.14,0.39,0.26,0.92,0.8,0.6,6.08,28.6,11.36,20.4,72.8,0.0,0.0,0.0,0.0,0.4,0.0,1.0,1.6,1.2,5.8,0.6,1.8,0.47,0.14,0.2,0.2,0.8,0.6,0.47,0.76,0.17,5.08,-419.0,0.029205050520585,7.0,0.225,0.236,0.539
