assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,0,3,0,0.0,421,0.0,0.0,0.0,0.32,6,0,0,0.0,0.0,2023-08-12,5,2,0,0,0,0,1,0,20255,0,1,5,0.0,1,0,0,0,5.0,True,0,0,0,0.0,1,Newcastle United,Aston Villa,5,1,22281,2023,603919,0.0,0,0,0,0.0,0.0,0.0,Newcastle United,3,4,1,2.1,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.533,0.255,0.212
0,0,2,0,0.4,421,0.0,0.0,0.0,0.56,16,0,0,0.8,7.2,2023-08-19,33,13,0,0,0,0,2,0,18338,0,0,1,0.0,1,-2955,235,3190,5.0,False,0,0,0,0.0,30,Manchester City,Newcastle United,1,0,22291,2023,605578,0.0,0,0,0,0.0,0.0,0.0,Newcastle United,3,5,2,0.5,MID,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,20255.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,20255.0,-1917.0,-0.8627737226277372,1.0,0.566,0.24,0.193
0,0,5,0,14.3,421,0.01,0.17,0.16,0.56,29,2,0,5.1,10.2,2023-08-27,18,11,0,0,0,0,3,0,16460,0,2,1,26.0,1,-2352,303,2655,4.9,True,0,0,2,0.0926944315433502,14,Newcastle United,Liverpool,1,2,22304,2023,607695,0.0360662899911403,0,1,0,0.0926944315433502,0.1287607252597808,0.0360662899911403,Newcastle United,4,4,3,1.0,MID,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.8,7.2,0.4,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,38593.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.8,7.2,0.4,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,38593.0,-1878.0,-0.795131845841785,1.0,0.432,0.246,0.322
1,0,17,0,20.4,421,0.01,0.01,0.0,0.18,33,2,0,4.4,23.4,2023-09-02,32,5,0,0,0,0,4,0,15113,0,1,3,0.0,4,-1610,261,1871,4.9,False,0,0,0,0.0,30,Brighton,Newcastle United,3,1,21931,2023,608895,0.3524409830570221,1,2,0,0.0,0.3524409830570221,0.0403070524334907,Newcastle United,3,3,4,2.3,MID,0.0,0.01,0.17,0.16,1.44,2.0,0.0,5.9,17.4,14.7,26.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,0.0,2.0,0.09,0.04,0.0,1.0,0.0,0.09,0.13,0.04,3.6,55053.0,0.0,0.01,0.17,0.16,1.44,2.0,0.0,5.9,17.4,14.7,26.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,0.0,2.0,0.09,0.04,0.0,1.0,0.0,0.09,0.13,0.04,3.6,55053.0,-1347.0,-0.7551594746716698,4.0,0.396,0.262,0.342
0,0,15,1,18.1,421,0.16,0.16,0.0,0.54,46,0,0,3.5,16.6,2023-09-16,90,4,0,0,0,0,5,0,15042,1,0,1,0.0,3,-636,663,1299,4.9,True,0,0,0,0.0,90,Newcastle United,Brentford,1,0,21943,2023,610653,0.1338002383708953,0,1,0,0.0,0.1462978422641754,0.1462978422641754,Newcastle United,2,4,5,3.2,MID,0.0,0.02,0.18,0.16,1.3,4.0,0.0,10.3,40.8,35.1,26.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,0.0,2.0,0.09,0.39,1.0,3.0,0.0,0.09,0.48,0.08,3.8,49911.0,0.0,0.02,0.18,0.16,1.62,4.0,0.0,10.3,40.8,35.1,26.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,7.0,0.0,2.0,0.09,0.39,1.0,3.0,0.0,0.09,0.48,0.08,5.9,70166.0,-71.0,-0.3241590214067278,3.0,0.613,0.226,0.161
1,0,40,1,6.3,421,0.04,0.41,0.37,0.94,60,0,1,7.2,39.4,2023-09-24,90,17,0,0,0,0,6,0,15957,1,8,0,26.0,11,682,1467,785,4.9,False,0,1,2,0.6675899028778076,90,Sheffield United,Newcastle United,0,8,21954,2023,613096,0.0,0,0,1,0.6675899028778076,2.04526424407959,1.377674221992493,Newcastle United,3,2,6,5.8,MID,1.0,0.18,0.34,0.16,1.28,4.0,0.0,13.0,50.2,52.8,26.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,8.0,0.0,2.0,0.09,0.52,1.0,4.0,0.0,0.09,0.63,0.22,6.5,46615.0,1.0,0.18,0.34,0.16,2.16,4.0,0.0,13.8,57.4,53.2,26.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,11.0,10.0,0.0,2.0,0.09,0.52,1.0,4.0,0.0,0.09,0.63,0.22,9.1,85208.0,915.0,0.302841918294849,11.0,0.136,0.211,0.652
0,0,17,1,15.8,421,0.39,0.48,0.09,0.65,66,0,0,4.7,21.6,2023-09-30,90,6,0,0,0,0,7,0,40629,1,0,2,10.0,3,22000,25249,3249,4.9,True,0,0,2,0.132503941655159,90,Newcastle United,Burnley,2,0,21958,2023,614663,0.3745401799678802,0,1,0,0.132503941655159,0.5070441365242004,0.0,Newcastle United,2,4,7,6.7,MID,2.0,0.21,0.58,0.37,1.66,2.0,1.0,15.1,79.4,44.8,26.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.0,18.0,1.0,2.0,0.67,0.49,1.0,3.0,1.0,0.67,2.54,1.56,11.3,46112.0,2.0,0.22,0.75,0.53,2.78,4.0,1.0,21.0,96.8,59.5,52.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,6.0,20.0,1.0,4.0,0.76,0.52,1.0,4.0,1.0,0.76,2.67,1.6,12.8,80910.0,24672.0,0.7719839988771142,3.0,0.724,0.171,0.105
0,0,4,0,3.8,421,0.01,0.01,0.0,1.22,79,2,0,0.5,0.8,2023-10-08,90,19,0,0,0,0,8,0,74144,1,2,2,0.0,1,32520,44454,11934,4.9,False,1,0,0,0.0,90,West Ham,Newcastle United,2,2,21973,2023,616969,0.0,0,0,0,0.0,1.2280765771865845,1.2280765771865845,Newcastle United,3,3,8,5.5,MID,3.0,0.59,1.05,0.46,2.13,0.0,1.0,15.4,77.6,40.2,36.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,3.0,17.0,1.0,4.0,0.8,0.51,0.0,2.0,1.0,0.8,2.7,1.52,15.7,71628.0,3.0,0.61,1.23,0.62,2.87,4.0,1.0,24.9,111.2,74.9,62.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,7.0,22.0,1.0,6.0,0.89,0.9,1.0,5.0,1.0,0.89,3.18,1.6,19.0,103201.0,33515.0,0.5767184507341988,1.0,0.286,0.255,0.46
0,0,22,1,2.3,421,0.01,0.58,0.57,1.21,87,0,1,6.7,37.8,2023-10-21,90,8,0,0,0,0,9,0,75742,1,0,4,27.0,7,2644,10327,7683,4.9,True,1,1,2,0.5636915564537048,90,Newcastle United,Crystal Palace,4,0,21981,2023,618160,0.0,0,0,1,0.5636915564537048,1.3134303092956543,0.7497386932373047,Newcastle United,2,4,9,4.2,MID,2.0,0.44,0.9,0.46,2.81,2.0,1.0,12.4,61.8,25.9,36.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,10.0,4.0,15.0,1.0,4.0,0.8,0.37,0.0,1.0,1.0,0.8,3.78,2.61,18.0,130730.0,3.0,0.61,1.07,0.46,3.53,4.0,1.0,20.3,101.8,64.4,36.0,392.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,11.0,8.0,22.0,1.0,4.0,0.8,0.86,1.0,4.0,1.0,0.8,4.28,2.79,23.5,160885.0,1598.0,0.1468073292615213,7.0,0.661,0.212,0.127
0,0,10,0,12.5,421,0.03,0.22,0.19,0.98,100,2,0,3.8,12.0,2023-10-28,90,20,0,0,0,0,10,0,101739,1,2,2,13.0,1,24515,33338,8823,4.9,False,1,0,3,0.2014084607362747,90,Wolverhampton Wanderers,Newcastle United,2,2,21994,2023,620132,0.0270953942090272,0,1,0,0.2014084607362747,0.3648070991039276,0.2580693066120147,Newcastle United,3,2,10,3.5,MID,2.0,0.41,1.07,0.66,3.08,2.0,1.0,11.9,60.2,21.9,37.0,270.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,8.0,11.0,1.0,4.0,0.7,0.37,0.0,1.0,1.0,0.7,3.05,1.98,16.4,190515.0,4.0,0.61,1.64,1.03,4.56,2.0,2.0,22.6,116.2,46.3,63.0,450.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,10.0,9.0,25.0,2.0,6.0,1.36,0.51,0.0,2.0,2.0,1.36,5.24,3.5,25.4,221514.0,25997.0,0.5814615402860464,1.0,0.218,0.242,0.54
