assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,0,10,0,0.1,575,0.01,0.01,0.0,4.1,4,4,0,1.4,13.6,2023-08-12,90,5,0,0,0,0,1,0,16518,1,1,4,0.0,0,0,0,0,4.5,False,0,0,0,0.0,90,Brighton,Luton,4,1,22278,2023,603774,0.0,0,0,0,0.0,0.0,0.0,Luton,2,3,1,1.5,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.72,0.174,0.106
0,0,10,0,0.4,575,0.01,0.01,0.0,2.09,26,3,0,2.7,25.0,2023-08-25,90,7,0,0,0,0,3,0,14963,1,0,3,2.0,0,-1176,403,1579,4.5,False,1,0,0,0.0,90,Chelsea,Luton,3,0,22295,2023,606600,0.0,0,0,0,0.0,0.0293297842144966,0.0293297842144966,Luton,2,3,3,-0.5,DEF,0.0,0.01,0.01,0.0,4.1,4.0,0.0,1.4,13.6,0.1,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1555.0,-0.5933400605449042,0.0,0.74,0.174,0.087
0,0,6,0,0.0,575,0.0,0.28,0.28,0.98,44,1,0,1.4,10.4,2023-09-16,90,10,0,0,0,0,5,0,12053,1,0,1,4.0,2,-2127,138,2265,4.4,False,0,0,1,0.356643944978714,90,Fulham,Luton,1,0,21939,2023,610417,0.0,0,0,0,0.356643944978714,0.4258501827716827,0.0692062452435493,Luton,2,3,5,0.2,DEF,0.0,0.01,0.01,0.0,2.09,3.0,0.0,2.7,25.0,0.4,2.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2910.0,-0.885143570536829,2.0,0.572,0.255,0.174
0,1,17,0,11.7,575,0.03,0.03,0.0,0.59,58,1,0,3.0,14.4,2023-09-23,90,20,0,0,0,0,6,0,12288,1,1,1,4.0,3,76,723,647,4.3,True,0,0,0,0.0,90,Luton,Wolverhampton Wanderers,1,1,21945,2023,612180,0.0439271032810211,0,1,0,0.0,0.1557177305221557,0.1117906272411346,Luton,2,2,6,1.2,DEF,0.0,0.0,0.28,0.28,0.98,1.0,0.0,1.4,10.4,0.0,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.36,0.0,0.0,0.0,0.0,0.0,0.36,0.43,0.07,0.2,0.0,0.01,0.1,0.09,2.39,2.67,0.0,1.83,16.33,0.17,2.0,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.33,2.67,0.67,0.0,0.33,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.15,0.03,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.0,0.0554744525547445,2.0,0.291,0.278,0.43
0,0,15,0,0.0,575,0.0,0.47,0.47,2.3,63,1,1,8.0,41.0,2023-09-30,55,9,0,0,0,0,7,0,14506,1,2,1,39.0,7,1838,2898,1060,4.3,False,0,1,2,1.0529460906982422,62,Everton,Luton,1,2,21956,2023,614587,0.0,0,0,1,1.0529460906982422,0.0906350165605545,0.0906350165605545,Luton,2,2,7,5.9,DEF,0.0,0.03,0.03,0.0,0.59,1.0,0.0,3.0,14.4,11.7,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.04,0.0,0.0,1.0,0.0,0.0,0.16,0.11,1.2,0.0,0.01,0.11,0.09,1.22,1.67,0.0,2.37,16.6,4.03,3.33,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.33,1.67,1.67,0.0,0.33,0.12,0.01,0.0,0.0,0.33,0.0,0.12,0.2,0.07,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2218.0,0.4643759474482061,7.0,0.604,0.25,0.146
0,0,10,0,1.0,575,0.01,0.09,0.08,1.04,15,2,0,2.5,15.0,2023-10-03,90,6,0,0,0,0,7,0,14506,1,2,1,9.0,1,1838,2898,1060,4.3,True,0,0,2,0.0487220659852027,90,Luton,Burnley,1,2,22289,2023,615871,0.0,0,0,0,0.0487220659852027,0.0187489502131938,0.0187489502131938,Luton,2,2,7,5.9,DEF,0.0,0.0,0.47,0.47,2.3,1.0,1.0,8.0,41.0,0.0,39.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,7.0,1.0,2.0,1.05,0.0,0.0,0.0,0.0,1.0,1.05,0.09,0.09,5.9,0.0,0.01,0.26,0.25,1.29,1.0,0.33,4.13,21.93,3.9,15.67,78.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.33,1.0,0.47,0.01,0.0,0.0,0.33,0.33,0.47,0.22,0.09,2.43,0.0,0.01,0.16,0.15,2.01,2.0,0.2,3.3,20.88,2.44,9.8,83.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.8,2.0,2.4,0.2,0.6,0.28,0.01,0.0,0.0,0.2,0.2,0.28,0.14,0.06,1.66,0.0,0.4643759474482061,1.0,0.326,0.315,0.359
0,0,7,0,0.1,575,0.0,0.0,0.0,1.99,77,1,0,1.4,11.4,2023-10-07,80,18,0,0,0,0,8,0,21986,1,1,0,2.0,1,6836,9315,2479,4.3,True,1,0,0,0.0,85,Luton,Tottenham,0,1,21971,2023,616118,0.0,0,0,0,0.0,0.0849416330456733,0.0849416330456733,Luton,3,2,8,2.5,DEF,0.0,0.01,0.09,0.08,1.04,2.0,0.0,2.5,15.0,1.0,9.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.02,5.9,0.0,0.01,0.2,0.18,1.31,1.33,0.33,4.5,23.47,4.23,17.33,78.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,1.0,3.67,0.33,1.33,0.37,0.01,0.0,0.0,0.33,0.33,0.37,0.09,0.07,4.33,0.0,0.01,0.18,0.17,1.4,1.6,0.2,3.52,21.16,2.62,11.6,83.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.0,1.4,2.6,0.2,1.0,0.29,0.01,0.0,0.0,0.2,0.2,0.29,0.14,0.06,2.54,7480.0,0.5796167542818382,1.0,0.156,0.197,0.646
1,0,22,0,11.0,575,0.03,0.03,0.0,2.97,88,2,0,4.2,30.8,2023-10-21,90,16,0,0,0,0,9,0,23193,1,2,2,0.0,4,1419,3732,2313,4.3,False,0,0,0,0.0,90,Nottingham Forest,Luton,2,2,21982,2023,618079,0.2830888330936432,1,1,0,0.0,0.2830888330936432,0.0,Luton,2,2,9,2.7,DEF,0.0,0.0,0.0,0.0,1.99,1.0,0.0,1.4,11.4,0.1,2.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,2.5,0.0,0.0,0.19,0.18,1.78,1.33,0.33,3.97,22.47,0.37,16.67,75.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.67,0.67,3.0,0.33,1.33,0.37,0.0,0.0,0.0,0.0,0.33,0.37,0.06,0.06,4.77,0.0,0.01,0.17,0.17,1.38,1.2,0.2,3.26,18.44,2.56,11.6,81.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.2,0.8,2.8,0.2,1.0,0.29,0.01,0.0,0.0,0.2,0.2,0.29,0.16,0.08,3.14,1207.0,0.2347394540942928,4.0,0.572,0.255,0.174
0,0,10,0,0.7,575,0.1,0.1,0.0,2.39,92,3,0,1.1,6.4,2023-10-29,90,2,1,0,0,0,10,0,26802,1,1,3,4.0,-1,3300,5328,2028,4.3,False,0,0,0,0.0,90,Aston Villa,Luton,3,1,21987,2023,620460,0.0,0,0,0,0.0,0.0,0.0,Luton,2,4,10,0.7,DEF,0.0,0.03,0.03,0.0,2.97,2.0,0.0,4.2,30.8,11.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.28,1.0,1.0,1.0,0.0,0.0,0.28,0.0,2.7,0.0,0.01,0.04,0.03,2.0,1.67,0.0,2.7,19.07,4.03,3.67,86.67,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.67,1.0,2.0,0.0,0.67,0.02,0.09,0.33,0.33,0.33,0.0,0.02,0.13,0.03,3.7,0.0,0.01,0.12,0.11,1.78,1.4,0.2,3.82,22.52,4.76,10.8,81.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.6,1.0,3.2,0.2,0.8,0.22,0.07,0.2,0.2,0.4,0.2,0.22,0.13,0.06,3.64,3609.0,0.4486133768352365,-1.0,0.755,0.145,0.099
0,0,15,0,10.0,575,0.0,0.0,0.0,3.04,105,1,0,4.7,32.6,2023-11-05,90,11,0,0,0,0,11,0,25634,1,1,1,4.0,2,-1046,1390,2436,4.3,True,0,0,0,0.0,90,Luton,Liverpool,1,1,21999,2023,622351,0.0487819463014602,0,1,0,0.0,0.0487819463014602,0.0,Luton,4,2,11,0.7,DEF,0.0,0.1,0.1,0.0,2.39,3.0,0.0,1.1,6.4,0.7,4.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.04,0.04,0.0,2.45,2.0,0.0,2.23,16.2,3.93,2.0,86.67,0.33,0.0,0.0,0.0,0.33,0.0,1.0,1.33,1.67,1.33,0.0,0.0,0.0,0.09,0.33,0.33,0.33,0.0,0.0,0.12,0.03,1.97,0.0,0.03,0.14,0.11,2.14,1.8,0.2,3.44,20.92,2.56,10.8,81.0,0.2,0.0,0.0,0.0,0.2,0.0,1.0,1.6,1.4,2.4,0.2,0.8,0.22,0.06,0.2,0.2,0.2,0.2,0.22,0.1,0.04,3.54,-1168.0,-0.2733925771040251,2.0,0.079,0.146,0.776
