assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,0,13,0,0.5,313,0.02,0.05,0.03,1.28,9,1,0,2.4,20.0,2023-08-13,90,7,0,0,0,0,1,0,732873,1,1,1,3.0,2,0,0,0,6.0,False,0,313,,,Virgil van Dijk,0,1,0.0189091563224792,90,DC,Chelsea,Liverpool,1,1,22283,2023,604423,0.0,0,0,0,0.0189091563224792,0.0619667135179042,0.0619667135179042,833,Liverpool,Virgil van Dijk,Virgil van Dijk,4,3,1,3.4,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.326,0.278,0.397
0,0,17,0,11.3,313,0.02,0.23,0.21,1.29,14,1,0,5.3,18.6,2023-08-19,90,3,0,0,0,0,2,0,932127,1,1,3,23.0,2,29679,76711,47032,6.0,True,0,313,,,Virgil van Dijk,0,3,0.1204382553696632,90,DC,Liverpool,Bournemouth,3,1,22288,2023,605120,0.1011567190289497,0,1,0,0.1204382553696632,0.1739825457334518,0.1739825457334518,833,Liverpool,Virgil van Dijk,Virgil van Dijk,2,5,2,2.5,DEF,0.0,0.02,0.05,0.03,1.28,1.0,0.0,2.4,20.0,0.5,3.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.06,3.4,0.0,0.01,0.02,0.01,0.43,0.33,0.0,0.8,6.67,0.17,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,0.67,0.0,0.33,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,1.13,0.0,0.0,0.01,0.01,0.26,0.2,0.0,0.48,4.0,0.1,0.6,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.68,199254.0,0.2398438699562803,2.0,0.791,0.136,0.073
0,0,-6,0,0.1,313,0.0,0.0,0.0,3.47,29,1,0,0.0,0.0,2023-08-27,27,15,0,0,0,1,3,0,938353,1,2,1,0.0,-2,-41181,41032,82213,6.0,False,0,313,,,Virgil van Dijk,0,0,0.0,27,DC,Newcastle United,Liverpool,1,2,22304,2023,607700,0.0,0,0,0,0.0,0.0,0.0,833,Liverpool,Virgil van Dijk,Virgil van Dijk,4,4,3,0.7,DEF,0.0,0.02,0.23,0.21,1.29,1.0,0.0,5.3,18.6,11.3,23.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,3.0,0.12,0.1,0.0,0.0,1.0,0.0,0.12,0.17,0.17,2.5,0.0,0.01,0.09,0.08,0.86,0.67,0.0,2.57,12.87,3.93,8.67,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,1.33,1.33,0.0,1.33,0.05,0.03,0.0,0.0,0.33,0.0,0.05,0.08,0.08,1.97,0.0,0.01,0.06,0.05,0.51,0.4,0.0,1.54,7.72,2.36,5.2,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.8,0.0,0.8,0.03,0.02,0.0,0.0,0.2,0.0,0.03,0.05,0.05,1.18,6226.0,-0.3341393159965921,-2.0,0.431,0.253,0.316
1,2,29,0,21.6,313,0.08,0.36,0.28,1.11,57,1,0,8.6,45.2,2023-09-24,90,19,0,0,0,0,6,0,621048,1,1,3,19.0,7,1111,17958,16847,6.0,True,0,313,,,Virgil van Dijk,0,3,0.4131487905979156,90,DC,Liverpool,West Ham United,3,1,21953,2023,612797,1.1123965978622437,1,2,0,0.4131487905979156,0.1827968955039978,0.1827968955039978,833,Liverpool,Virgil van Dijk,Virgil van Dijk,2,5,6,1.7,DEF,0.0,0.0,0.0,0.0,3.47,1.0,0.0,0.0,0.0,0.1,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.01,0.09,0.08,2.01,1.0,0.0,2.57,12.87,3.97,8.67,69.0,0.0,0.0,0.0,0.33,0.0,0.0,1.0,1.33,1.67,0.67,0.0,1.33,0.05,0.03,0.0,0.0,0.33,0.0,0.05,0.08,0.08,2.2,0.0,0.01,0.06,0.05,1.21,0.6,0.0,1.54,7.72,2.38,5.2,41.4,0.0,0.0,0.0,0.2,0.0,0.0,0.6,0.8,1.0,0.4,0.0,0.8,0.03,0.02,0.0,0.0,0.2,0.0,0.03,0.05,0.05,1.32,-317305.0,0.0319207010486999,5.0,0.676,0.189,0.135
1,0,25,0,10.5,313,0.12,0.16,0.04,2.1,68,2,0,8.3,66.8,2023-09-30,90,18,0,0,0,0,7,0,645865,1,1,2,6.0,3,13417,27950,14533,6.0,False,1,313,,,Virgil van Dijk,0,1,0.0619585737586021,90,DC,Tottenham Hotspur,Liverpool,2,1,21962,2023,614980,0.0991349071264267,1,1,0,0.0619585737586021,0.7538663148880005,0.6547313928604126,833,Liverpool,Virgil van Dijk,Virgil van Dijk,4,4,7,3.8,DEF,0.0,0.08,0.36,0.28,1.11,1.0,0.0,8.6,45.2,21.6,19.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,7.0,0.0,3.0,0.41,1.11,1.0,1.0,2.0,0.0,0.41,0.18,0.18,1.7,0.0,0.03,0.2,0.16,1.96,1.0,0.0,4.63,21.27,11.0,14.0,69.0,0.0,0.0,0.0,0.33,0.0,0.0,1.0,1.33,2.33,2.33,0.0,2.0,0.18,0.4,0.33,0.33,1.0,0.0,0.18,0.12,0.12,1.63,0.0,0.02,0.13,0.1,1.43,0.8,0.0,3.26,16.76,6.7,9.0,59.4,0.0,0.0,0.0,0.2,0.0,0.0,0.8,1.0,1.6,1.8,0.0,1.4,0.11,0.24,0.2,0.2,0.6,0.0,0.11,0.08,0.08,1.66,24817.0,0.315820445825389,3.0,0.325,0.236,0.439
0,0,14,0,0.7,313,0.01,0.01,0.0,2.3,72,2,0,2.7,24.4,2023-10-08,90,5,0,0,0,0,8,0,675635,1,2,2,2.0,1,18356,37118,18762,6.0,False,0,313,,,Virgil van Dijk,0,0,0.0,90,DC,Brighton and Hove Albion,Liverpool,2,2,21966,2023,616938,0.0,0,0,0,0.0,0.148463949561119,0.148463949561119,833,Liverpool,Virgil van Dijk,Virgil van Dijk,4,3,8,4.2,DEF,0.0,0.12,0.16,0.04,2.1,2.0,0.0,8.3,66.8,10.5,6.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,0.06,0.1,1.0,1.0,1.0,0.0,0.06,0.75,0.65,3.8,0.0,0.07,0.17,0.11,2.23,1.33,0.0,5.63,37.33,10.73,8.33,69.0,0.0,0.0,0.0,0.33,0.33,0.0,1.0,1.33,2.0,2.67,0.0,1.33,0.16,0.4,0.67,0.67,1.0,0.0,0.16,0.31,0.28,2.07,0.0,0.05,0.16,0.11,1.85,1.2,0.0,4.92,30.12,8.8,10.2,77.4,0.0,0.0,0.0,0.2,0.2,0.0,1.0,1.2,2.0,2.4,0.0,1.6,0.12,0.26,0.4,0.4,0.8,0.0,0.12,0.23,0.21,2.42,29770.0,0.3284896206156049,1.0,0.317,0.25,0.432
0,1,28,1,13.1,313,0.02,0.02,0.0,0.13,85,0,0,4.4,28.4,2023-10-21,90,9,0,0,0,0,9,0,741548,1,0,2,2.0,7,51610,71412,19802,6.0,True,0,313,,,Virgil van Dijk,0,0,0.0,90,DC,Liverpool,Everton,2,0,21979,2023,617752,0.0196907464414834,0,1,0,0.0,0.1030342653393745,0.0833435133099556,833,Liverpool,Virgil van Dijk,Virgil van Dijk,2,5,9,4.2,DEF,0.0,0.01,0.01,0.0,2.3,2.0,0.0,2.7,24.4,0.7,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,4.2,0.0,0.07,0.18,0.11,1.84,1.67,0.0,6.53,45.47,10.93,9.0,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.33,2.33,3.67,0.0,1.33,0.16,0.4,0.67,0.67,1.0,0.0,0.16,0.36,0.33,3.23,0.0,0.05,0.15,0.11,2.05,1.4,0.0,4.98,31.0,8.84,10.0,77.4,0.0,0.0,0.0,0.2,0.2,0.0,1.0,1.4,2.2,2.2,0.0,1.4,0.12,0.26,0.4,0.4,0.8,0.0,0.12,0.25,0.23,2.58,65913.0,0.5658122656609731,6.0,0.71,0.164,0.126
0,2,32,1,12.5,313,0.04,0.04,0.0,0.45,97,0,0,4.8,35.2,2023-10-29,90,16,0,0,0,0,10,0,791105,1,0,3,0.0,8,40923,59459,18536,6.0,True,0,313,,,Virgil van Dijk,0,0,0.0,90,DC,Liverpool,Nottingham Forest,3,0,21991,2023,620597,0.0071496539749205,0,1,0,0.0,1.0184049606323242,1.0184049606323242,833,Liverpool,Virgil van Dijk,Virgil van Dijk,2,5,10,5.8,DEF,1.0,0.02,0.02,0.0,0.13,0.0,0.0,4.4,28.4,13.1,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.1,0.08,4.2,0.33,0.05,0.06,0.01,1.51,1.33,0.0,5.13,39.87,8.1,3.33,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,2.0,3.67,0.0,0.33,0.02,0.04,0.33,0.33,0.67,0.0,0.02,0.34,0.3,4.07,0.2,0.05,0.11,0.06,1.82,1.2,0.0,4.8,32.96,9.2,5.8,77.4,0.0,0.0,0.0,0.2,0.2,0.0,1.0,1.2,2.0,3.2,0.0,0.8,0.1,0.25,0.4,0.4,0.8,0.0,0.1,0.24,0.21,2.92,49557.0,0.5246874799666645,6.0,0.745,0.167,0.087
0,0,16,0,3.7,313,0.03,0.11,0.08,0.81,105,1,0,3.2,20.6,2023-11-05,90,12,0,0,0,0,11,0,861589,1,1,1,8.0,2,57873,72964,15091,6.1,False,0,313,,,Virgil van Dijk,0,1,0.0716754049062728,90,DC,Luton,Liverpool,1,1,21999,2023,622365,0.0,0,0,0,0.0716754049062728,1.3079341650009155,1.3079341650009155,833,Liverpool,Virgil van Dijk,Virgil van Dijk,4,2,11,6.7,DEF,1.0,0.04,0.04,0.0,0.45,0.0,0.0,4.8,35.2,12.5,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,0.0,0.01,0.0,0.0,1.0,0.0,0.0,1.02,1.02,5.8,0.67,0.02,0.02,0.0,0.96,0.67,0.0,3.97,29.33,8.77,1.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,2.33,5.33,0.0,0.0,0.0,0.01,0.0,0.0,0.67,0.0,0.0,0.42,0.42,4.73,0.4,0.05,0.12,0.06,1.22,1.0,0.0,5.76,40.0,11.68,5.8,90.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.8,2.4,5.2,0.0,0.8,0.1,0.25,0.4,0.4,1.0,0.0,0.1,0.44,0.42,3.94,70484.0,0.6572369541763671,2.0,0.079,0.146,0.776
0,0,24,1,1.3,313,0.01,0.08,0.07,1.57,117,0,0,5.2,31.2,2023-11-12,90,4,0,0,0,0,12,0,824499,1,0,3,19.0,6,-35150,24350,59500,6.1,True,0,313,,,Virgil van Dijk,0,1,0.0943635776638984,90,DC,Liverpool,Brentford,3,0,22011,2023,623840,0.0,0,0,0,0.0943635776638984,0.0781601592898368,0.0781601592898368,833,Liverpool,Virgil van Dijk,Virgil van Dijk,2,5,12,4.3,DEF,0.0,0.03,0.11,0.08,0.81,1.0,0.0,3.2,20.6,3.7,8.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.07,0.0,0.0,0.0,0.0,0.0,0.07,1.31,1.31,6.7,0.67,0.03,0.06,0.03,0.46,0.33,0.0,4.13,28.07,9.77,3.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,2.0,5.67,0.0,0.33,0.02,0.01,0.0,0.0,0.67,0.0,0.02,0.81,0.8,5.57,0.4,0.04,0.07,0.02,1.16,1.0,0.0,4.68,35.08,8.1,3.6,90.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.8,2.0,4.2,0.0,0.4,0.03,0.03,0.2,0.2,0.6,0.0,0.03,0.67,0.64,4.94,-37090.0,-0.419200954084675,6.0,0.669,0.187,0.144
