assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5
0,0,4,0,11.7,138,0.01,0.01,0.0,0.18,20,0,0,1.7,3.2,2023-08-19,9,20,0,0,0,0,2,0,4810,0,4,1,2.0,1,-1889,44,1933,5.0,False,0,0,0,0.0,7,Wolverhampton Wanderers,Brighton,1,4,22286,2023,605084,0.0354834869503974,0,1,0,0.0,0.0354834869503974,0.0,Brighton,2,2,2,0.5,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,4,0,14.3,138,0.04,0.04,0.0,1.15,24,1,0,2.5,5.0,2023-08-26,30,19,0,0,0,0,3,0,5205,0,3,1,6.0,1,-142,602,744,4.9,True,0,0,0,0.0,26,Brighton,West Ham,1,3,22301,2023,607020,0.0216564610600471,0,1,0,0.0,0.0773843452334404,0.0773843452334404,Brighton,2,3,3,0.7,MID,0.0,0.01,0.01,0.0,0.18,0.0,0.0,1.7,3.2,11.7,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.04,0.0,0.0,1.0,0.0,0.0,0.04,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,-2,0,1.9,138,0.0,0.0,0.0,0.47,33,1,0,0.2,0.0,2023-09-02,9,15,0,0,0,0,4,0,5052,0,1,3,0.0,0,-385,202,587,4.9,True,1,0,0,0.0,7,Brighton,Newcastle United,3,1,21931,2023,608879,0.0,0,0,0,0.0,0.0,0.0,Brighton,3,3,4,0.0,MID,0.0,0.04,0.04,0.0,1.15,1.0,0.0,2.5,5.0,14.3,6.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.08,0.08,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,7,1,11.6,138,0.01,0.01,0.0,0.73,45,0,0,2.0,6.2,2023-09-16,63,14,0,0,0,0,5,0,4892,1,3,1,2.0,3,-361,206,567,4.9,False,0,0,0,0.0,67,Manchester United,Brighton,1,3,21940,2023,610454,0.0169453416019678,0,1,0,0.0,0.0169453416019678,0.0169453416019678,Brighton,2,4,5,0.8,MID,0.0,0.0,0.0,0.0,0.47,1.0,0.0,0.2,0.0,1.9,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.6,0.67,0.0,1.47,2.73,9.3,2.67,16.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,2.67,1.67,0.67,0.0,0.0,0.0,0.02,0.0,0.0,0.67,0.0,0.0,0.04,0.03,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,13,0,28.3,138,0.12,0.12,0.0,0.15,94,0,0,4.2,5.8,2023-10-29,58,10,0,0,0,0,10,0,4428,1,1,1,8.0,1,-79,118,197,4.9,True,0,0,0,0.0,61,Brighton,Fulham,1,1,21988,2023,620634,0.3312081098556518,0,2,0,0.0,0.4299212694168091,0.0987131744623184,Brighton,2,3,10,0.3,MID,1.0,0.01,0.01,0.0,0.73,0.0,0.0,2.0,6.2,11.6,2.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.02,0.02,0.8,0.33,0.02,0.02,0.0,0.78,0.67,0.0,1.57,3.73,9.27,2.67,34.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,2.33,1.67,1.33,0.0,0.0,0.0,0.01,0.0,0.0,0.67,0.0,0.0,0.03,0.03,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,3,0,4.7,138,0.0,0.0,0.0,0.49,103,1,0,0.7,0.0,2023-11-04,45,9,0,0,0,0,11,0,4573,1,1,1,2.0,1,81,275,194,4.9,False,0,0,0,0.0,50,Everton,Brighton,1,1,21997,2023,621598,0.0,0,0,0,0.0,0.0938501954078674,0.0938501954078674,Brighton,2,2,11,0.7,MID,0.0,0.12,0.12,0.0,0.15,0.0,0.0,4.2,5.8,28.3,8.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.33,0.0,0.0,2.0,0.0,0.0,0.43,0.1,0.3,0.33,0.04,0.04,0.0,0.45,0.33,0.0,2.13,4.0,13.93,3.33,43.33,0.0,0.0,0.0,0.0,0.33,0.0,0.67,1.67,1.67,1.33,0.0,0.0,0.0,0.12,0.0,0.0,1.0,0.0,0.0,0.15,0.04,0.37,0.2,0.04,0.04,0.0,0.54,0.4,0.0,2.12,4.04,13.56,3.6,33.8,0.0,0.0,0.0,0.0,0.2,0.0,0.4,2.4,1.4,1.2,0.0,0.0,0.0,0.08,0.0,0.0,1.0,0.0,0.0,0.11,0.04,0.46
0,0,-1,0,22.8,138,0.18,0.18,0.0,1.01,114,0,0,2.7,4.2,2023-11-12,45,17,0,0,0,0,12,0,4574,1,1,1,0.0,1,-29,164,193,4.9,True,0,0,0,0.0,50,Brighton,Sheffield United,1,1,22008,2023,623875,0.1376890689134597,0,1,0,0.0,0.5652039647102356,0.5652039647102356,Brighton,2,3,12,1.5,MID,0.0,0.0,0.0,0.0,0.49,1.0,0.0,0.7,0.0,4.7,2.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.7,0.33,0.04,0.04,0.0,0.46,0.33,0.0,2.3,4.0,14.87,4.0,55.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,1.0,1.67,0.0,0.0,0.0,0.12,0.0,0.0,1.0,0.0,0.0,0.18,0.07,0.6,0.2,0.03,0.03,0.0,0.6,0.6,0.0,1.92,3.4,12.16,3.6,41.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6,1.8,1.4,1.2,0.0,0.0,0.0,0.07,0.0,0.0,0.8,0.0,0.0,0.12,0.06,0.5
0,0,1,0,3.1,138,0.01,0.01,0.0,0.63,128,1,0,0.9,0.0,2023-11-25,45,16,0,0,0,0,13,0,4733,1,3,2,6.0,1,71,263,192,4.9,False,0,0,0,0.0,53,Nottingham Forest,Brighton,2,3,22022,2023,624950,0.0,0,0,0,0.0,0.0,0.0,Brighton,2,2,13,1.0,MID,0.0,0.18,0.18,0.0,1.01,0.0,0.0,2.7,4.2,22.8,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.14,0.0,0.0,1.0,0.0,0.0,0.57,0.57,1.5,0.0,0.1,0.1,0.0,0.55,0.33,0.0,2.53,3.33,18.6,3.33,49.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.16,0.0,0.0,1.0,0.0,0.0,0.36,0.25,0.83,0.2,0.06,0.06,0.0,0.57,0.4,0.0,1.96,3.24,13.86,2.4,44.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,1.4,1.4,1.2,0.0,0.0,0.0,0.1,0.0,0.0,0.8,0.0,0.0,0.22,0.15,0.66
1,0,12,0,13.8,138,0.04,0.1,0.06,1.11,135,2,0,3.7,18.8,2023-12-03,56,7,0,0,0,0,14,0,4815,1,2,3,4.0,4,42,212,170,4.9,False,0,0,1,0.0853022560477256,63,Chelsea,Brighton,3,2,22029,2023,627258,0.0732962638139724,1,1,0,0.0853022560477256,0.0884559601545333,0.0151596972718834,Brighton,2,3,14,1.8,MID,0.0,0.01,0.01,0.0,0.63,1.0,0.0,0.9,0.0,3.1,6.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06,0.06,0.0,0.71,0.67,0.0,1.43,1.4,10.2,2.67,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,1.33,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.33,0.0,0.0,0.22,0.22,1.07,0.2,0.06,0.06,0.0,0.6,0.4,0.0,2.1,3.24,14.1,3.6,51.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,1.2,1.4,0.0,0.0,0.0,0.1,0.0,0.0,0.8,0.0,0.0,0.22,0.15,0.86
0,0,3,0,17.8,138,0.07,0.11,0.04,0.28,152,1,0,3.2,0.4,2023-12-09,45,6,0,0,0,0,16,0,5171,1,1,1,14.0,1,-35,270,305,4.9,True,0,0,1,0.0613963231444358,48,Brighton,Burnley,1,1,22046,2023,628698,0.1072968319058418,0,1,0,0.0613963231444358,0.5169463157653809,0.3482531905174255,Brighton,2,3,16,1.9,MID,0.0,0.04,0.1,0.06,1.11,2.0,0.0,3.7,18.8,13.8,4.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,1.0,0.09,0.07,1.0,1.0,1.0,0.0,0.09,0.09,0.02,1.8,0.0,0.08,0.1,0.02,0.92,1.0,0.0,2.43,7.67,13.23,3.33,48.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.33,0.03,0.07,0.33,0.33,0.67,0.0,0.03,0.22,0.19,1.43,0.0,0.07,0.08,0.01,0.68,0.8,0.0,2.44,5.76,14.54,4.0,49.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,1.6,1.6,0.0,0.2,0.02,0.11,0.2,0.2,0.8,0.0,0.02,0.24,0.15,1.06
