assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5
0,0,0,0,11.0,672,0.1,0.31,0.21,0.45,25,0,0,1.6,0.0,2023-08-27,17,6,0,0,0,0,3,0,1317,0,3,1,6.0,1,880,1006,126,5.5,False,0,672,,,Nicolò Zaniolo,0,2,0.166565790772438,14,Sub,Burnley,Aston Villa,1,3,22302,2023,607467,0.0593684911727905,0,1,0,0.166565790772438,0.297154426574707,0.1305886209011078,22302,Aston Villa,Nicolò Zaniolo,Nicolo Zaniolo,3,2,3,2.6,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,4,0,10.7,672,0.01,0.01,0.0,0.19,37,0,0,2.3,9.8,2023-09-03,25,11,0,0,0,0,4,0,2716,0,0,3,2.0,1,774,1168,394,5.5,False,0,672,,,Nicolò Zaniolo,0,0,0.0,21,Sub,Liverpool,Aston Villa,3,0,21933,2023,609394,0.024238683283329,0,1,0,0.0,0.024238683283329,0.0,21933,Aston Villa,Nicolò Zaniolo,Nicolo Zaniolo,3,5,4,0.5,MID,0.0,0.1,0.31,0.21,0.45,0.0,0.0,1.6,0.0,11.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,0.17,0.06,0.0,0.0,1.0,0.0,0.17,0.3,0.13,2.6,0.0,0.03,0.1,0.07,0.15,0.0,0.0,0.53,0.0,3.67,2.0,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,0.33,0.0,0.67,0.06,0.02,0.0,0.0,0.33,0.0,0.06,0.1,0.04,0.87,0.0,0.02,0.06,0.04,0.09,0.0,0.0,0.32,0.0,2.2,1.2,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.2,0.0,0.4,0.03,0.01,0.0,0.0,0.2,0.0,0.03,0.06,0.03,0.52
0,0,-3,0,33.1,672,0.27,0.3,0.03,0.37,41,1,0,6.6,5.8,2023-09-16,56,8,0,0,0,0,5,0,3886,1,1,3,27.0,0,418,1030,612,5.5,True,1,672,,,Nicolò Zaniolo,0,1,0.0551605559885501,62,AML,Aston Villa,Crystal Palace,3,1,21938,2023,610471,0.2195102125406265,0,3,0,0.0551605559885501,0.3599617779254913,0.0852910205721855,21938,Aston Villa,Nicolò Zaniolo,Nicolo Zaniolo,2,4,5,0.7,MID,0.0,0.01,0.01,0.0,0.19,0.0,0.0,2.3,9.8,10.7,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.5,0.0,0.04,0.11,0.07,0.21,0.0,0.0,1.3,3.27,7.23,2.67,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,0.67,0.0,0.67,0.06,0.03,0.0,0.0,0.67,0.0,0.06,0.11,0.04,1.03,0.0,0.02,0.06,0.04,0.13,0.0,0.0,0.78,1.96,4.34,1.6,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.4,0.0,0.4,0.03,0.02,0.0,0.0,0.4,0.0,0.03,0.06,0.03,0.62
0,0,4,1,0.9,672,0.02,0.22,0.2,0.99,55,0,0,4.2,8.8,2023-09-24,74,7,0,0,0,0,6,0,4031,1,1,0,32.0,3,-156,507,663,5.5,False,0,672,,,Nicolò Zaniolo,0,2,0.1534928828477859,77,AML,Chelsea,Aston Villa,0,1,21947,2023,612758,0.0,0,0,0,0.1534928828477859,0.0939699187874794,0.0241869520395994,21947,Aston Villa,Nicolò Zaniolo,Nicolo Zaniolo,3,3,6,1.2,MID,0.0,0.27,0.3,0.03,0.37,1.0,0.0,6.6,5.8,33.1,27.0,56.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.06,0.22,0.0,0.0,3.0,0.0,0.06,0.36,0.09,0.7,0.0,0.13,0.21,0.08,0.34,0.33,0.0,3.5,5.2,18.27,11.67,32.67,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.33,2.33,0.67,0.0,1.0,0.07,0.1,0.0,0.0,1.67,0.0,0.07,0.23,0.07,1.27,0.0,0.08,0.12,0.05,0.2,0.2,0.0,2.1,3.12,10.96,7.0,19.6,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.8,1.4,0.4,0.0,0.6,0.04,0.06,0.0,0.0,1.0,0.0,0.04,0.14,0.04,0.76
0,0,-6,0,0.3,672,0.0,0.05,0.05,1.33,61,1,0,2.5,0.2,2023-09-30,56,5,0,0,0,0,7,0,5553,1,1,6,24.0,1,1123,1753,630,5.5,True,0,672,,,Nicolò Zaniolo,0,2,0.0980321541428566,62,AML,Aston Villa,Brighton,6,1,21955,2023,614297,0.0,0,0,0,0.0980321541428566,0.1692795306444168,0.0712473765015602,21955,Aston Villa,Nicolò Zaniolo,Nicolo Zaniolo,2,4,7,1.3,MID,1.0,0.02,0.22,0.2,0.99,0.0,0.0,4.2,8.8,0.9,32.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.09,0.02,1.2,0.33,0.1,0.18,0.08,0.52,0.33,0.0,4.37,8.13,14.9,20.33,51.67,0.0,0.0,0.0,0.0,0.33,0.0,0.67,0.67,2.0,1.33,0.0,1.0,0.07,0.08,0.0,0.0,1.33,0.0,0.07,0.16,0.04,0.8,0.2,0.08,0.17,0.09,0.4,0.2,0.0,2.94,4.88,11.14,13.4,34.4,0.0,0.0,0.0,0.0,0.2,0.0,0.4,1.0,1.4,1.0,0.0,1.0,0.08,0.06,0.0,0.0,1.0,0.0,0.08,0.16,0.05,1.0
0,0,0,0,0.2,672,0.0,0.14,0.14,0.77,80,0,0,0.6,0.0,2023-10-08,28,20,0,0,0,0,8,0,7880,0,1,1,9.0,1,1843,3241,1398,5.5,False,0,672,,,Nicolò Zaniolo,0,1,0.1183751747012138,24,Sub,Wolverhampton Wanderers,Aston Villa,1,1,21974,2023,617003,0.0,0,0,0,0.1183751747012138,0.0,0.0,21974,Aston Villa,Nicolò Zaniolo,Nicolo Zaniolo,3,2,8,1.7,MID,0.0,0.0,0.05,0.05,1.33,1.0,0.0,2.5,0.2,0.3,24.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.17,0.07,1.3,0.33,0.1,0.19,0.09,0.9,0.67,0.0,4.43,4.93,11.43,27.67,62.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,3.0,1.33,0.0,1.67,0.1,0.07,0.0,0.0,1.0,0.0,0.1,0.21,0.06,1.07,0.2,0.08,0.18,0.1,0.67,0.4,0.0,3.44,4.92,11.2,18.2,45.6,0.0,0.0,0.0,0.0,0.2,0.0,0.6,1.2,2.6,1.2,0.0,1.4,0.09,0.06,0.0,0.0,1.0,0.0,0.09,0.19,0.06,1.26
0,0,6,0,2.9,672,0.04,0.06,0.02,0.91,81,1,0,1.1,5.4,2023-10-22,75,19,0,0,0,0,9,0,7134,1,1,4,3.0,2,-907,665,1572,5.5,True,0,672,,,Nicolò Zaniolo,0,1,0.0165926609188318,78,ML,Aston Villa,West Ham,4,1,21976,2023,618973,0.0,0,0,0,0.0165926609188318,0.0689281225204467,0.0523354597389698,21976,Aston Villa,Nicolò Zaniolo,Nicolo Zaniolo,2,4,9,1.3,MID,0.0,0.0,0.14,0.14,0.77,0.0,0.0,0.6,0.0,0.2,9.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,1.7,0.33,0.01,0.14,0.13,1.03,0.33,0.0,2.43,3.0,0.47,21.67,52.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,2.33,1.67,0.0,1.67,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.09,0.03,1.4,0.2,0.06,0.14,0.08,0.73,0.4,0.0,3.24,4.92,9.04,18.8,47.8,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.8,2.6,1.2,0.0,1.2,0.09,0.05,0.0,0.0,0.8,0.0,0.09,0.13,0.04,1.08
0,0,-9,0,11.0,672,0.08,0.68,0.6,0.0,92,0,0,7.7,0.4,2023-10-29,45,12,0,0,0,0,10,0,6804,1,1,3,66.0,0,-515,662,1177,5.5,True,1,672,,,Nicolò Zaniolo,0,6,0.9315837621688844,47,ML,Aston Villa,Luton,3,1,21987,2023,620448,0.0888141840696334,0,1,0,0.9315837621688844,0.9126526713371276,0.0192141607403755,21987,Aston Villa,Nicolò Zaniolo,Nicolo Zaniolo,2,4,10,1.5,MID,0.0,0.04,0.06,0.02,0.91,1.0,0.0,1.1,5.4,2.9,3.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.05,1.3,0.0,0.01,0.08,0.07,1.0,0.67,0.0,1.4,1.87,1.13,12.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,3.67,1.33,0.0,1.33,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.04,1.43,0.2,0.07,0.15,0.09,0.87,0.6,0.0,3.0,4.04,7.48,19.0,57.8,0.0,0.0,0.0,0.0,0.2,0.0,0.8,1.0,2.8,1.4,0.0,1.4,0.09,0.04,0.0,0.0,0.6,0.0,0.09,0.14,0.05,1.24
0,0,-6,0,0.9,672,0.01,0.23,0.22,0.3,108,1,0,2.8,0.0,2023-11-05,45,16,0,0,0,0,11,0,6421,1,0,2,27.0,1,-548,509,1057,5.5,False,0,672,,,Nicolò Zaniolo,0,2,0.3975326418876648,50,ML,Nottingham Forest,Aston Villa,2,0,22002,2023,622091,0.0,0,0,0,0.3975326418876648,0.4942404925823211,0.0967078506946563,22002,Aston Villa,Nicolò Zaniolo,Nicolo Zaniolo,3,2,11,1.0,MID,0.0,0.08,0.68,0.6,0.0,0.0,0.0,7.7,0.4,11.0,66.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,6.0,0.93,0.09,0.0,0.0,1.0,0.0,0.93,0.91,0.02,1.5,0.0,0.04,0.29,0.25,0.56,0.33,0.0,3.13,1.93,4.7,26.0,49.33,0.0,0.0,0.0,0.0,0.33,0.0,0.67,1.0,2.67,1.0,0.0,2.67,0.36,0.03,0.0,0.0,0.33,0.0,0.36,0.33,0.02,1.5,0.2,0.03,0.23,0.2,0.8,0.4,0.0,3.22,2.96,3.06,26.8,55.6,0.0,0.0,0.0,0.0,0.2,0.0,0.8,1.0,2.8,1.4,0.0,2.4,0.26,0.02,0.0,0.0,0.2,0.0,0.26,0.25,0.03,1.4
0,0,-7,0,0.3,672,0.0,0.03,0.03,1.07,132,1,0,0.3,0.0,2023-12-03,45,3,0,0,0,0,14,0,5403,1,2,2,5.0,0,-423,103,526,5.4,False,1,672,,,Nicolò Zaniolo,0,1,0.0265255961567163,55,FW,Bournemouth,Aston Villa,2,2,22025,2023,627168,0.0,0,0,0,0.0265255961567163,0.1085460186004638,0.0820204243063926,22025,Aston Villa,Nicolò Zaniolo,Nicolo Zaniolo,3,2,14,0.2,MID,0.0,0.01,0.23,0.22,0.3,1.0,0.0,2.8,0.0,0.9,27.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.49,0.1,1.0,0.0,0.04,0.32,0.28,0.4,0.67,0.0,3.87,1.93,4.93,32.0,55.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,3.0,1.0,0.0,3.0,0.45,0.03,0.0,0.0,0.33,0.0,0.45,0.49,0.06,1.27,0.0,0.03,0.23,0.21,0.66,0.6,0.0,2.94,1.2,3.06,25.8,49.8,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.8,3.2,1.0,0.0,2.4,0.31,0.02,0.0,0.0,0.2,0.0,0.31,0.33,0.05,1.36
