assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5
0,0,-2,0,10.8,453,0.0,0.0,0.0,0.75,2,2,0,1.7,6.0,2023-08-12,89,1,0,0,0,0,1,0,1930,1,1,2,0.0,1,0,0,0,5.0,False,1,0,0,0.0,90,Arsenal,Nottingham Forest,2,1,22276,2023,603716,0.0158710777759552,0,1,0,0.0,0.0158710777759552,0.0,Nottingham Forest,2,5,1,1.1,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,5,0,0.9,453,0.0,0.0,0.0,0.24,17,1,0,1.0,9.0,2023-08-18,68,17,0,0,0,0,2,0,2314,1,1,2,0.0,2,-164,164,328,5.0,True,0,0,0,0.0,71,Nottingham Forest,Sheffield United,2,1,22285,2023,604779,0.0,0,0,0,0.0,0.0757172033190727,0.0757172033190727,Nottingham Forest,2,2,2,2.0,MID,0.0,0.0,0.0,0.0,0.75,2.0,0.0,1.7,6.0,10.8,0.0,89.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.02,0.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,2,1,0.6,453,0.0,0.01,0.01,1.54,35,0,0,0.3,1.4,2023-09-02,71,7,0,0,0,0,4,0,1863,1,1,0,1.0,3,-467,17,484,5.0,False,0,0,1,0.0174687523394823,77,Chelsea,Nottingham Forest,0,1,21930,2023,608759,0.0,0,0,0,0.0174687523394823,0.3796132504940033,0.3796132504940033,Nottingham Forest,2,3,4,0.0,MID,0.0,0.0,0.0,0.0,0.24,1.0,0.0,1.0,9.0,0.9,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,2.0,0.0,0.0,0.0,0.0,0.5,1.5,0.0,1.35,7.5,5.85,0.0,78.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,2.0,1.5,0.0,0.0,0.0,0.01,0.0,0.0,0.5,0.0,0.0,0.05,0.04,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,3,0,11.9,453,0.01,0.11,0.1,0.19,47,1,0,2.2,5.2,2023-09-18,70,6,0,0,0,0,5,0,2208,1,1,1,5.0,1,65,244,179,5.0,True,1,0,2,0.068180613219738,73,Nottingham Forest,Burnley,1,1,21944,2023,611587,0.0293233785778284,0,1,0,0.068180613219738,0.1311120986938476,0.073876105248928,Nottingham Forest,2,2,5,1.8,MID,1.0,0.0,0.01,0.01,1.54,0.0,0.0,0.3,1.4,0.6,1.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.38,0.38,0.0,0.5,0.0,0.0,0.0,0.89,0.5,0.0,0.65,5.2,0.75,0.5,69.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5,0.0,0.5,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.23,0.23,1.0,0.33,0.0,0.0,0.0,0.84,1.0,0.0,1.0,5.47,4.1,0.33,76.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,1.33,2.0,0.0,0.33,0.01,0.01,0.0,0.0,0.33,0.0,0.01,0.16,0.15,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,7,0,3.6,453,0.01,0.07,0.06,1.33,59,2,0,1.2,4.8,2023-09-23,90,13,0,0,0,0,6,0,2250,1,0,2,4.0,1,-17,123,140,5.0,False,1,0,1,0.0477729067206382,90,Manchester City,Nottingham Forest,2,0,21946,2023,612168,0.0,0,0,0,0.0477729067206382,0.0309164263308048,0.0309164263308048,Nottingham Forest,2,5,6,0.2,MID,0.0,0.01,0.11,0.1,0.19,1.0,0.0,2.2,5.2,11.9,5.0,70.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.07,0.03,0.0,0.0,1.0,0.0,0.07,0.13,0.07,1.8,0.5,0.0,0.06,0.06,0.86,0.5,0.0,1.25,3.3,6.25,3.0,70.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.5,2.0,0.0,1.5,0.04,0.01,0.0,0.0,0.5,0.0,0.04,0.26,0.23,0.9,0.33,0.0,0.04,0.04,0.66,0.67,0.0,1.17,5.2,4.47,2.0,69.67,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.03,0.01,0.0,0.0,0.33,0.0,0.03,0.2,0.18,1.27,0.25,0.0,0.03,0.03,0.68,1.0,0.0,1.3,5.4,6.05,1.5,74.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,1.25,1.75,0.0,0.75,0.02,0.01,0.0,0.0,0.5,0.0,0.02,0.15,0.13,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,18,0,3.3,453,0.01,0.01,0.0,1.7,67,1,0,1.4,10.6,2023-10-01,90,4,0,0,0,0,7,0,2218,1,1,1,0.0,2,-59,114,173,5.0,True,0,0,0,0.0,90,Nottingham Forest,Brentford,1,1,21963,2023,615248,0.0,0,0,0,0.0,0.0,0.0,Nottingham Forest,2,2,7,1.3,MID,0.0,0.01,0.07,0.06,1.33,2.0,0.0,1.2,4.8,3.6,4.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.03,0.2,0.0,0.01,0.09,0.08,0.76,1.5,0.0,1.7,5.0,7.75,4.5,80.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,1.5,1.0,0.0,1.5,0.06,0.01,0.0,0.0,0.5,0.0,0.06,0.08,0.05,1.0,0.33,0.01,0.06,0.06,1.02,1.0,0.0,1.23,3.8,5.37,3.33,77.0,0.0,0.0,0.0,0.0,0.67,0.0,1.0,0.67,1.0,1.67,0.0,1.33,0.04,0.01,0.0,0.0,0.33,0.0,0.04,0.18,0.16,0.67,0.25,0.0,0.05,0.04,0.82,1.0,0.0,1.18,5.1,4.25,2.5,74.75,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.75,1.25,1.75,0.0,1.0,0.03,0.01,0.0,0.0,0.25,0.0,0.03,0.15,0.14,1.0,0.2,0.0,0.04,0.03,0.81,1.2,0.0,1.28,5.28,5.56,2.0,77.6,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.8,1.4,1.6,0.0,0.8,0.03,0.01,0.0,0.0,0.4,0.0,0.03,0.13,0.11,1.02
0,0,14,1,13.3,453,0.01,0.11,0.1,0.81,74,0,0,2.6,5.0,2023-10-07,82,8,0,0,0,0,8,0,2314,1,0,0,8.0,3,2,136,134,5.0,False,0,0,2,0.1073843836784362,86,Crystal Palace,Nottingham Forest,0,0,21968,2023,616631,0.018126843497157,0,1,0,0.1073843836784362,0.419174313545227,0.3371941149234772,Nottingham Forest,2,2,8,2.0,MID,0.0,0.01,0.01,0.0,1.7,1.0,0.0,1.4,10.6,3.3,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.01,0.04,0.03,1.52,1.5,0.0,1.3,7.7,3.45,2.0,90.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,1.5,1.5,0.0,0.5,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.75,0.0,0.01,0.06,0.05,1.07,1.33,0.0,1.6,6.87,6.27,3.0,83.33,0.0,0.0,0.0,0.0,0.67,0.0,1.0,0.67,1.33,1.33,0.0,1.0,0.04,0.01,0.0,0.0,0.33,0.0,0.04,0.05,0.03,1.1,0.25,0.01,0.05,0.04,1.19,1.0,0.0,1.27,5.5,4.85,2.5,80.25,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.75,1.0,1.75,0.0,1.0,0.03,0.01,0.0,0.0,0.25,0.0,0.03,0.14,0.12,0.82,0.2,0.01,0.04,0.03,1.0,1.0,0.0,1.22,6.2,4.06,2.0,77.8,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.8,1.2,1.8,0.0,0.8,0.03,0.01,0.0,0.0,0.2,0.0,0.03,0.12,0.11,1.06
0,0,13,0,15.8,453,0.02,0.02,0.0,1.71,88,2,0,2.6,10.4,2023-10-21,90,12,0,0,0,0,9,0,2320,1,2,2,0.0,2,-42,135,177,5.0,True,0,0,0,0.0,90,Nottingham Forest,Luton,2,2,21982,2023,618066,0.1651497185230255,0,1,0,0.0,0.5579033493995667,0.5579033493995667,Nottingham Forest,2,2,9,2.8,MID,1.0,0.01,0.11,0.1,0.81,0.0,0.0,2.6,5.0,13.3,8.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.11,0.02,0.0,0.0,1.0,0.0,0.11,0.42,0.34,2.0,0.5,0.01,0.06,0.05,1.25,0.5,0.0,2.0,7.8,8.3,4.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.5,0.0,1.0,0.05,0.01,0.0,0.0,0.5,0.0,0.05,0.21,0.17,1.65,0.33,0.01,0.06,0.05,1.28,1.0,0.0,1.73,6.8,6.73,4.0,87.33,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.33,1.0,2.0,0.0,1.0,0.05,0.01,0.0,0.0,0.33,0.0,0.05,0.15,0.12,1.17,0.25,0.01,0.08,0.06,1.01,1.0,0.0,1.85,6.4,8.02,4.25,83.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,1.0,1.75,0.0,1.25,0.06,0.01,0.0,0.0,0.5,0.0,0.06,0.15,0.11,1.32,0.4,0.01,0.06,0.05,1.11,0.8,0.0,1.54,5.4,6.54,3.6,80.6,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.6,0.8,2.0,0.0,1.2,0.05,0.01,0.0,0.0,0.4,0.0,0.05,0.19,0.16,1.06
0,0,5,0,0.6,453,0.0,0.0,0.0,2.93,97,3,0,0.2,1.6,2023-10-29,82,11,0,0,0,0,10,0,2285,1,0,3,0.0,1,-63,75,138,5.0,False,1,0,0,0.0,87,Liverpool,Nottingham Forest,3,0,21991,2023,620616,0.0,0,0,0,0.0,0.0,0.0,Nottingham Forest,2,5,10,1.5,MID,0.0,0.02,0.02,0.0,1.71,2.0,0.0,2.6,10.4,15.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.17,0.0,0.0,1.0,0.0,0.0,0.56,0.56,2.8,0.5,0.02,0.06,0.05,1.26,1.0,0.0,2.6,7.7,14.55,4.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5,0.0,1.0,0.05,0.09,0.0,0.0,1.0,0.0,0.05,0.49,0.45,2.4,0.33,0.01,0.05,0.03,1.41,1.0,0.0,2.2,8.67,10.8,2.67,87.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.33,0.0,0.67,0.04,0.06,0.0,0.0,0.67,0.0,0.04,0.33,0.3,2.03,0.25,0.01,0.05,0.04,1.39,1.25,0.0,1.95,7.7,9.0,3.0,88.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.75,1.25,2.0,0.0,0.75,0.04,0.05,0.0,0.0,0.5,0.0,0.04,0.25,0.23,1.58,0.2,0.01,0.06,0.05,1.15,1.2,0.0,2.0,7.2,9.58,3.4,84.4,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.8,1.2,1.8,0.0,1.0,0.04,0.04,0.0,0.0,0.6,0.0,0.04,0.23,0.2,1.62
0,0,29,1,0.6,453,0.0,0.04,0.04,1.26,108,0,1,5.6,48.8,2023-11-05,90,2,0,0,0,0,11,0,2329,1,0,2,7.0,8,-11,93,104,5.0,True,0,1,1,0.0231653992086648,90,Nottingham Forest,Aston Villa,2,0,22002,2023,622074,0.0,0,0,1,0.0231653992086648,0.1587622165679931,0.1355968117713928,Nottingham Forest,3,2,11,3.7,MID,0.0,0.0,0.0,0.0,2.93,3.0,0.0,0.2,1.6,0.6,0.0,82.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.01,0.01,0.0,2.32,2.5,0.0,1.4,6.0,8.2,0.0,86.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,2.5,1.5,0.0,0.0,0.0,0.08,0.0,0.0,0.5,0.0,0.0,0.28,0.28,2.15,0.33,0.01,0.04,0.03,1.82,1.67,0.0,1.8,5.67,9.9,2.67,84.67,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,1.67,2.0,0.0,0.67,0.04,0.06,0.0,0.0,0.67,0.0,0.04,0.33,0.3,2.1,0.25,0.01,0.03,0.02,1.79,1.5,0.0,1.7,6.9,8.25,2.0,86.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.75,1.5,2.0,0.0,0.5,0.03,0.05,0.0,0.0,0.5,0.0,0.03,0.24,0.22,1.9,0.2,0.01,0.04,0.03,1.7,1.6,0.0,1.6,6.48,7.32,2.4,86.8,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.6,1.6,1.8,0.0,0.6,0.03,0.04,0.0,0.0,0.4,0.0,0.03,0.2,0.19,1.56
