assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5
0,0,10,0,0.5,436,0.0,0.0,0.0,0.83,2,2,0,1.2,7.6,2023-08-12,90,1,0,0,0,0,1,0,35193,1,1,2,4.0,1,0,0,0,4.5,False,0,436,,,Serge Aurier,0,0,0.0,90,DMR,Arsenal,Nottingham Forest,2,1,22276,2023,603714,0.0,0,0,0,0.0,0.0158710777759552,0.0158710777759552,3600,Nottingham Forest,Serge Aurier,Serge Aurier,2,5,1,1.5,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,34,0,33.3,436,0.25,0.26,0.01,0.51,17,1,0,9.5,51.8,2023-08-18,90,17,0,0,0,0,2,0,59014,1,1,2,10.0,10,13358,17832,4474,4.5,True,1,436,,,Serge Aurier,0,1,0.0229811258614063,90,DMR,Nottingham Forest,Sheffield United,2,1,22285,2023,604777,0.566937267780304,2,2,0,0.0229811258614063,0.5813879370689392,0.0144506581127643,3600,Nottingham Forest,Serge Aurier,Serge Aurier,2,2,2,6.0,DEF,0.0,0.0,0.0,0.0,0.83,2.0,0.0,1.2,7.6,0.5,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,1.5,0.0,0.0,0.0,0.0,0.28,0.67,0.0,0.4,2.53,0.17,1.33,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.5,0.0,0.0,0.0,0.0,0.17,0.4,0.0,0.24,1.52,0.1,0.8,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
0,0,6,0,14.6,436,0.01,0.01,0.0,2.91,28,3,0,3.1,16.2,2023-08-26,90,14,0,0,0,0,3,0,168448,1,2,3,0.0,0,85155,106759,21604,4.5,False,1,436,,,Serge Aurier,0,0,0.0,90,DMR,Manchester United,Nottingham Forest,3,2,22300,2023,606966,0.0,0,0,0,0.0,0.6618170738220215,0.6618170738220215,3600,Nottingham Forest,Serge Aurier,Serge Aurier,2,4,3,3.2,DEF,0.0,0.25,0.26,0.01,0.51,1.0,0.0,9.5,51.8,33.3,10.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,10.0,0.0,1.0,0.02,0.57,2.0,2.0,2.0,0.0,0.02,0.58,0.01,6.0,0.0,0.08,0.09,0.0,0.45,1.0,0.0,3.57,19.8,11.27,4.67,60.0,0.0,0.0,0.0,0.0,0.33,0.0,0.67,0.67,1.33,3.67,0.0,0.33,0.01,0.19,0.67,0.67,0.67,0.0,0.01,0.2,0.01,2.5,0.0,0.05,0.05,0.0,0.27,0.6,0.0,2.14,11.88,6.76,2.8,36.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.4,0.8,2.2,0.0,0.2,0.0,0.11,0.4,0.4,0.4,0.0,0.0,0.12,0.01,1.5
0,0,16,1,0.9,436,0.0,0.0,0.0,1.54,35,0,0,1.0,9.4,2023-09-02,71,7,0,0,0,0,4,0,165326,1,1,0,0.0,6,-2451,20683,23134,4.5,False,0,436,,,Serge Aurier,0,0,0.0,77,DMR,Chelsea,Nottingham Forest,0,1,21930,2023,608757,0.0,0,0,0,0.0,0.0,0.0,3600,Nottingham Forest,Serge Aurier,Serge Aurier,2,3,4,4.2,DEF,0.0,0.01,0.01,0.0,2.91,3.0,0.0,3.1,16.2,14.6,0.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,3.2,0.0,0.09,0.09,0.0,1.42,2.0,0.0,4.6,25.2,16.13,4.67,90.0,0.0,0.0,0.0,0.0,0.67,0.0,1.0,1.33,2.33,3.67,0.0,0.33,0.01,0.19,0.67,0.67,0.67,0.0,0.01,0.42,0.23,3.57,0.0,0.05,0.05,0.0,0.85,1.2,0.0,2.76,15.12,9.68,2.8,54.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.8,1.4,2.2,0.0,0.2,0.0,0.11,0.4,0.4,0.4,0.0,0.0,0.25,0.14,2.14
0,0,6,0,1.0,436,0.01,0.01,0.0,0.78,59,2,0,1.0,4.6,2023-09-23,55,13,0,0,0,0,6,0,173493,1,0,2,4.0,0,-39212,1398,40610,4.5,False,0,436,,,Serge Aurier,0,0,0.0,61,DC,Manchester City,Nottingham Forest,2,0,21946,2023,612164,0.0,0,0,0,0.0,0.0,0.0,3600,Nottingham Forest,Serge Aurier,Serge Aurier,2,5,6,0.4,DEF,1.0,0.0,0.0,0.0,1.54,0.0,0.0,1.0,9.4,0.9,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.33,0.09,0.09,0.0,1.65,1.33,0.0,4.53,25.8,16.27,3.33,83.67,0.0,0.0,0.0,0.0,0.67,0.0,1.0,1.33,1.67,5.33,0.0,0.33,0.01,0.19,0.67,0.67,0.67,0.0,0.01,0.41,0.23,4.47,0.2,0.05,0.05,0.0,1.16,1.2,0.0,2.96,17.0,9.86,2.8,68.2,0.0,0.0,0.0,0.0,0.4,0.0,0.8,1.0,1.4,3.4,0.0,0.2,0.0,0.11,0.4,0.4,0.4,0.0,0.0,0.25,0.14,2.98
0,0,13,0,6.9,436,0.02,0.02,0.0,1.7,67,1,0,2.0,11.4,2023-10-01,90,4,0,0,0,0,7,0,172737,1,1,1,2.0,2,-3300,10965,14265,4.5,True,0,436,,,Serge Aurier,0,0,0.0,90,DR,Nottingham Forest,Brentford,1,1,21963,2023,615243,0.0,0,0,0,0.0,0.0830244496464729,0.0830244496464729,3600,Nottingham Forest,Serge Aurier,Serge Aurier,2,2,7,0.7,DEF,0.0,0.01,0.01,0.0,0.78,2.0,0.0,1.0,4.6,1.0,4.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.33,0.01,0.01,0.0,1.74,1.67,0.0,1.7,10.07,5.5,1.33,72.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,1.67,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,2.6,0.2,0.05,0.06,0.0,1.31,1.6,0.0,3.16,17.92,10.06,3.6,79.2,0.0,0.0,0.0,0.0,0.4,0.0,1.0,1.0,1.8,3.4,0.0,0.2,0.0,0.11,0.4,0.4,0.4,0.0,0.0,0.25,0.14,3.06
0,0,10,0,2.6,436,0.04,0.08,0.04,0.37,74,0,0,2.1,10.2,2023-10-07,45,8,0,0,0,0,8,0,175673,1,0,0,8.0,1,1774,13105,11331,4.5,False,0,436,,,Serge Aurier,0,2,0.0288364514708518,49,DR,Crystal Palace,Nottingham Forest,0,0,21968,2023,616626,0.0,0,0,0,0.0288364514708518,0.6548165678977966,0.6259801387786865,3600,Nottingham Forest,Serge Aurier,Serge Aurier,2,2,8,1.0,DEF,0.0,0.02,0.02,0.0,1.7,1.0,0.0,2.0,11.4,6.9,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.7,0.33,0.01,0.01,0.0,1.34,1.0,0.0,1.33,8.47,2.93,2.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,1.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,1.77,0.2,0.06,0.06,0.0,1.49,1.4,0.0,3.32,18.68,11.34,3.2,79.2,0.0,0.0,0.0,0.0,0.4,0.0,1.0,1.0,1.6,3.6,0.0,0.2,0.0,0.11,0.4,0.4,0.4,0.0,0.0,0.27,0.15,2.9
0,0,6,0,14.9,436,0.04,0.08,0.04,1.12,88,1,0,3.2,11.4,2023-10-21,87,12,0,0,0,0,9,0,151743,1,2,2,6.0,2,-23078,2210,25288,4.5,True,0,436,,,Serge Aurier,0,1,0.0788611471652984,90,DR,Nottingham Forest,Luton,2,2,21982,2023,618061,0.0334011279046535,0,1,0,0.0788611471652984,0.1985508501529693,0.1651497185230255,3600,Nottingham Forest,Serge Aurier,Serge Aurier,2,2,9,1.1,DEF,0.0,0.04,0.08,0.04,0.37,0.0,0.0,2.1,10.2,2.6,8.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.65,0.63,1.0,0.0,0.02,0.04,0.01,0.95,1.0,0.0,1.7,8.73,3.5,4.67,63.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,1.0,1.0,0.0,0.67,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.25,0.24,0.7,0.2,0.02,0.02,0.01,1.46,1.2,0.0,1.84,10.36,5.2,2.8,70.2,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.8,1.2,1.8,0.0,0.4,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.28,0.27,1.9
0,0,11,0,1.8,436,0.01,0.01,0.0,2.95,97,3,0,2.6,24.0,2023-10-29,90,11,0,0,0,0,10,0,145443,1,0,3,0.0,1,-7333,2598,9931,4.5,False,0,436,,,Serge Aurier,0,0,0.0,90,DR,Liverpool,Nottingham Forest,3,0,21991,2023,620610,0.0,0,0,0,0.0,0.3092094361782074,0.3092094361782074,3600,Nottingham Forest,Serge Aurier,Serge Aurier,2,5,10,0.8,DEF,0.0,0.04,0.08,0.04,1.12,1.0,0.0,3.2,11.4,14.9,6.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.08,0.03,0.0,0.0,1.0,0.0,0.08,0.2,0.17,1.1,0.0,0.03,0.06,0.03,1.06,0.67,0.0,2.43,11.0,8.13,5.33,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.67,0.0,1.0,0.04,0.01,0.0,0.0,0.33,0.0,0.04,0.31,0.29,0.93,0.2,0.02,0.04,0.02,1.1,0.8,0.0,1.86,9.4,5.26,4.0,69.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,1.0,2.2,0.0,0.6,0.02,0.01,0.0,0.0,0.2,0.0,0.02,0.19,0.17,1.48
0,0,2,0,0.1,436,0.0,0.0,0.0,0.13,108,0,0,0.5,4.4,2023-11-05,19,2,0,0,0,0,11,0,141484,0,0,2,0.0,1,-4583,2878,7461,4.5,True,0,436,,,Serge Aurier,0,0,0.0,15,Sub,Nottingham Forest,Aston Villa,2,0,22002,2023,622081,0.0,0,0,0,0.0,0.0,0.0,3600,Nottingham Forest,Serge Aurier,Serge Aurier,3,2,11,1.3,DEF,0.0,0.01,0.01,0.0,2.95,3.0,0.0,2.6,24.0,1.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,0.8,0.0,0.03,0.06,0.03,1.48,1.33,0.0,2.63,15.2,6.43,4.67,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,1.67,1.33,0.0,1.0,0.04,0.01,0.0,0.0,0.33,0.0,0.04,0.39,0.37,0.97,0.0,0.02,0.04,0.02,1.38,1.4,0.0,2.18,12.32,5.44,4.0,73.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,1.6,1.2,0.0,0.6,0.02,0.01,0.0,0.0,0.2,0.0,0.02,0.25,0.24,0.8
