assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5
0,0,4,0,0.1,393,0.0,0.0,0.0,0.6,63,0,0,0.8,7.6,2023-09-30,34,9,0,0,0,0,7,0,67316,0,2,1,0.0,1,3104,8362,5258,3.9,False,0,0,0,0.0,28,Everton,Luton,1,2,21956,2023,614597,0.0,0,0,0,0.0,0.0,0.0,Luton,2,2,7,0.5,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,11,0,1.8,393,0.03,0.03,0.0,1.04,15,2,0,2.2,19.8,2023-10-03,90,6,0,0,0,0,7,0,67316,1,2,1,0.0,1,3104,8362,5258,3.9,True,0,0,0,0.0,90,Luton,Burnley,1,2,22289,2023,615870,0.0,0,0,0,0.0,0.0999761372804641,0.0999761372804641,Luton,2,2,7,0.5,DEF,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.8,7.6,0.1,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,4,0,0.6,393,0.0,0.03,0.03,0.03,77,0,0,0.7,3.6,2023-10-07,31,18,0,0,0,0,8,0,70817,0,1,0,3.0,1,3717,8546,4829,3.9,True,0,0,1,0.0199975911527872,27,Luton,Tottenham,0,1,21971,2023,616131,0.0,0,0,0,0.0199975911527872,0.0199975911527872,0.0,Luton,3,2,8,0.3,DEF,0.0,0.03,0.03,0.0,1.04,2.0,0.0,2.2,19.8,1.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,12,0,0.3,393,0.0,0.0,0.0,2.97,88,2,0,1.4,11.6,2023-10-21,90,16,0,0,0,0,9,0,76147,1,2,2,2.0,1,4755,8186,3431,3.9,False,0,0,0,0.0,90,Nottingham Forest,Luton,2,2,21982,2023,618078,0.0,0,0,0,0.0,0.0,0.0,Luton,2,2,9,0.5,DEF,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.7,3.6,0.6,3.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.3,0.0,0.01,0.02,0.01,0.56,0.67,0.0,1.23,10.33,0.83,1.0,51.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.67,0.67,1.0,0.0,0.33,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.03,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,5,0,0.3,393,0.0,0.06,0.06,2.39,92,3,0,2.7,20.2,2023-10-29,90,2,0,0,0,0,10,0,91612,1,1,3,6.0,1,13835,17906,4071,3.9,False,0,0,1,0.1347861588001251,90,Aston Villa,Luton,3,1,21987,2023,620459,0.0,0,0,0,0.1347861588001251,0.0,0.0,Luton,2,4,10,0.5,DEF,0.0,0.0,0.0,0.0,2.97,2.0,0.0,1.4,11.6,0.3,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.01,0.02,0.01,1.35,1.33,0.0,1.43,11.67,0.9,1.67,70.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.67,1.0,1.0,0.0,0.33,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.03,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,14,0,0.0,393,0.0,0.0,0.0,3.04,105,1,0,2.4,24.4,2023-11-05,90,11,0,0,0,0,11,0,95506,1,1,1,0.0,2,3994,7861,3867,3.9,True,0,0,0,0.0,90,Luton,Liverpool,1,1,21999,2023,622349,0.0,0,0,0,0.0,0.0,0.0,Luton,4,2,11,0.3,DEF,0.0,0.0,0.06,0.06,2.39,3.0,0.0,2.7,20.2,0.3,6.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.5,0.0,0.0,0.03,0.03,1.8,1.67,0.0,1.6,11.8,0.4,3.67,70.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,1.67,1.0,0.0,0.67,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.0,0.43,0.0,0.01,0.02,0.02,1.41,1.4,0.0,1.56,12.56,0.62,2.2,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.6,1.4,1.0,0.0,0.4,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.02,0.46
0,0,15,0,0.3,393,0.0,0.02,0.02,2.12,118,1,0,2.9,21.2,2023-11-11,90,14,0,0,0,0,12,0,104593,1,0,1,7.0,2,7338,11653,4315,3.9,False,0,0,1,0.0106306243687868,90,Manchester United,Luton,1,0,22012,2023,623245,0.0,0,0,0,0.0106306243687868,0.0,0.0,Luton,2,4,12,0.7,DEF,0.0,0.0,0.0,0.0,3.04,1.0,0.0,2.4,24.4,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.02,0.02,2.8,2.0,0.0,2.17,18.73,0.2,2.67,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,2.0,1.33,0.0,0.33,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.43,0.0,0.01,0.02,0.02,1.89,1.6,0.0,1.88,15.92,0.6,2.2,78.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.4,1.4,1.2,0.0,0.4,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.02,0.42
0,1,26,0,0.7,393,0.0,0.07,0.07,1.68,125,1,1,8.6,64.2,2023-11-25,90,8,0,0,0,0,13,0,118703,1,1,2,21.0,9,12479,17076,4597,3.9,True,0,1,1,0.1062254011631012,90,Luton,Crystal Palace,2,1,22019,2023,624867,0.0,0,0,1,0.1062254011631012,0.599822998046875,0.599822998046875,Luton,2,2,13,3.8,DEF,0.0,0.0,0.02,0.02,2.12,1.0,0.0,2.9,21.2,0.3,7.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.7,0.0,0.0,0.03,0.03,2.52,1.67,0.0,2.67,21.93,0.2,4.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,1.67,1.67,0.0,0.67,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.5,0.0,0.0,0.02,0.02,2.11,1.4,0.0,2.02,16.2,0.3,3.6,78.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.4,1.4,0.0,0.6,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.46
0,0,7,0,0.1,393,0.0,0.0,0.0,1.76,133,2,0,1.5,15.2,2023-12-02,75,4,0,0,0,0,14,0,164772,1,1,3,0.0,1,42638,46556,3918,3.9,False,0,0,0,0.0,78,Brentford,Luton,3,1,22027,2023,626515,0.0,0,0,0,0.0,0.0,0.0,Luton,2,2,14,3.0,DEF,0.0,0.0,0.07,0.07,1.68,1.0,1.0,8.6,64.2,0.7,21.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,9.0,1.0,1.0,0.11,0.0,0.0,0.0,0.0,1.0,0.11,0.6,0.6,3.8,0.0,0.0,0.03,0.03,2.28,1.0,0.33,4.63,36.6,0.33,9.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,1.33,4.33,0.33,0.67,0.04,0.0,0.0,0.0,0.0,0.33,0.04,0.2,0.2,1.6,0.0,0.0,0.03,0.03,2.44,1.6,0.2,3.6,28.32,0.32,7.2,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.8,3.0,0.2,0.6,0.05,0.0,0.0,0.0,0.0,0.2,0.05,0.12,0.12,1.16
0,0,16,0,0.6,393,0.01,0.02,0.01,2.44,146,4,0,3.4,26.6,2023-12-05,90,1,0,0,0,0,15,0,164533,1,4,3,7.0,0,3224,12049,8825,3.9,True,0,0,1,0.0149792814627289,90,Luton,Arsenal,3,4,22039,2023,627904,0.0,0,0,0,0.0149792814627289,0.1096184998750686,0.0946392193436622,Luton,5,2,15,1.5,DEF,0.0,0.0,0.0,0.0,1.76,2.0,0.0,1.5,15.2,0.1,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.03,0.03,1.85,1.33,0.33,4.33,33.53,0.37,9.33,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,2.0,4.0,0.33,0.67,0.04,0.0,0.0,0.0,0.0,0.33,0.04,0.2,0.2,2.5,0.0,0.0,0.03,0.03,2.2,1.6,0.2,3.62,29.04,0.28,6.8,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,2.0,3.0,0.2,0.6,0.05,0.0,0.0,0.0,0.0,0.2,0.05,0.12,0.12,1.66
0,0,5,0,1.4,393,0.01,0.01,0.0,1.6,156,2,0,0.6,0.2,2023-12-10,90,13,0,0,0,0,16,0,188646,1,2,1,4.0,1,20355,25982,5627,3.9,True,0,0,0,0.0,90,Luton,Manchester City,1,2,22050,2023,629327,0.0,0,0,0,0.0,0.0,0.0,Luton,5,2,16,1.1,DEF,0.0,0.01,0.02,0.01,2.44,4.0,0.0,3.4,26.6,0.6,7.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.09,1.5,0.0,0.0,0.03,0.03,1.96,2.33,0.33,4.5,35.33,0.47,9.33,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.67,3.33,0.33,0.67,0.04,0.0,0.0,0.0,0.0,0.33,0.04,0.24,0.23,2.77,0.0,0.0,0.02,0.02,2.21,1.8,0.2,3.76,30.32,0.34,7.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,2.0,2.8,0.2,0.6,0.03,0.0,0.0,0.0,0.0,0.2,0.03,0.14,0.14,1.86
0,0,17,1,0.1,393,0.0,0.04,0.04,1.68,175,0,0,1.2,7.8,2023-12-23,90,15,0,0,0,0,18,0,219407,1,0,1,4.0,5,4968,14139,9171,3.9,True,1,0,1,0.1034697592258453,90,Luton,Newcastle United,1,0,22069,2023,632636,0.0,0,0,0,0.1034697592258453,0.1902467012405395,0.0867769345641136,Luton,3,2,18,2.2,DEF,0.0,0.01,0.01,0.0,1.6,2.0,0.0,0.6,0.2,1.4,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.01,0.01,0.0,1.93,2.67,0.0,1.83,14.0,0.7,3.67,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.33,2.33,0.67,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,1.87,0.0,0.0,0.02,0.02,1.92,2.0,0.2,3.4,25.48,0.62,7.8,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,2.0,2.6,0.2,0.6,0.03,0.0,0.0,0.0,0.0,0.2,0.03,0.14,0.14,2.02
0,0,8,0,3.5,393,0.13,0.22,0.09,2.59,190,2,0,2.4,16.8,2023-12-26,90,17,0,0,0,0,19,0,243657,1,3,2,4.0,1,23159,27123,3964,4.0,False,0,0,1,0.083225630223751,90,Sheffield United,Luton,2,3,22084,2023,632961,0.0,0,0,0,0.083225630223751,0.2030654847621917,0.1198398470878601,Luton,2,2,19,1.6,DEF,1.0,0.0,0.04,0.04,1.68,0.0,0.0,1.2,7.8,0.1,4.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.19,0.09,2.2,0.33,0.01,0.02,0.02,1.91,2.0,0.0,1.73,11.53,0.7,5.0,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,2.0,1.67,2.0,0.0,0.67,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.06,1.6,0.2,0.0,0.03,0.02,1.83,1.8,0.2,3.06,22.8,0.58,7.2,87.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.6,2.0,3.2,0.2,0.6,0.04,0.0,0.0,0.0,0.0,0.2,0.04,0.18,0.16,2.32
0,0,7,0,10.8,393,0.28,0.28,0.0,1.5,195,3,0,3.6,23.4,2023-12-30,90,7,0,0,0,0,20,0,236069,1,3,2,2.0,0,-5052,4458,9510,4.0,True,1,0,0,0.0,90,Luton,Chelsea,2,3,22089,2023,633367,0.1259520351886749,0,1,0,0.0,0.0,0.0,Luton,3,2,20,0.9,DEF,0.0,0.13,0.22,0.09,2.59,2.0,0.0,2.4,16.8,3.5,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.12,1.6,0.33,0.05,0.09,0.04,1.96,1.33,0.0,1.4,8.27,1.67,4.0,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.67,1.33,2.33,0.0,0.67,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.13,0.07,1.63,0.2,0.03,0.06,0.03,2.01,2.0,0.0,1.82,13.32,1.14,3.8,87.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,2.0,2.0,1.6,0.0,0.6,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.06,1.88
0,0,10,0,0.5,393,0.0,0.0,0.0,0.99,205,1,0,1.4,13.4,2024-01-12,90,6,0,0,0,0,21,0,212710,1,1,1,0.0,2,-22354,6737,29091,4.0,False,0,0,0,0.0,90,Burnley,Luton,1,1,22096,2023,634544,0.0,0,0,0,0.0,0.1283271759748459,0.1283271759748459,Luton,2,2,21,0.5,DEF,0.0,0.28,0.28,0.0,1.5,3.0,0.0,3.6,23.4,10.8,2.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.33,0.14,0.18,0.04,1.92,1.67,0.0,2.4,16.0,4.8,3.33,90.0,0.0,0.0,0.0,0.0,0.67,0.0,1.0,2.0,1.67,2.0,0.0,0.67,0.06,0.04,0.0,0.0,0.33,0.0,0.06,0.13,0.07,1.57,0.2,0.09,0.11,0.03,1.96,2.2,0.0,2.24,14.96,3.28,4.2,90.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,2.4,1.8,1.4,0.0,0.6,0.04,0.03,0.0,0.0,0.2,0.0,0.04,0.1,0.06,1.46
0,0,17,0,3.2,393,0.01,0.01,0.0,2.28,229,4,0,2.6,23.0,2024-02-03,90,15,0,0,0,0,23,0,195698,1,4,4,0.0,0,-10187,990,11177,3.9,False,0,0,0,0.0,90,Newcastle United,Luton,4,4,22123,2023,638619,0.0,0,0,0,0.0,0.0762176066637039,0.0762176066637039,Luton,2,4,23,-0.3,DEF,0.0,0.0,0.0,0.0,0.99,1.0,0.0,1.4,13.4,0.5,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.5,0.0,0.14,0.17,0.03,1.69,2.0,0.0,2.47,17.87,4.93,2.0,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,2.33,1.67,1.0,0.0,0.33,0.03,0.04,0.0,0.0,0.33,0.0,0.03,0.11,0.08,1.0,0.2,0.08,0.11,0.03,1.67,1.6,0.0,1.84,12.32,3.26,2.8,90.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,1.8,1.4,1.8,0.0,0.4,0.04,0.03,0.0,0.0,0.2,0.0,0.04,0.1,0.07,1.26
0,0,19,0,33.9,393,0.03,0.03,0.0,2.81,245,2,0,6.1,21.2,2024-02-18,90,14,0,0,0,0,25,0,190001,1,2,1,6.0,1,-2066,8709,10775,3.9,True,0,0,0,0.0,90,Luton,Manchester United,1,2,22139,2023,642537,0.0677535682916641,0,3,0,0.0,0.1950854212045669,0.1273318529129028,Luton,3,2,25,-1.1,DEF,0.0,0.01,0.01,0.0,2.28,4.0,0.0,2.6,23.0,3.2,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,-0.3,0.0,0.1,0.1,0.0,1.59,2.67,0.0,2.53,19.93,4.83,0.67,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,2.67,2.33,0.67,0.0,0.0,0.0,0.04,0.0,0.0,0.33,0.0,0.0,0.07,0.07,0.37,0.2,0.08,0.11,0.03,1.81,2.0,0.0,2.24,16.88,3.62,2.0,90.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,2.2,2.0,1.6,0.0,0.4,0.04,0.03,0.0,0.0,0.2,0.0,0.04,0.12,0.08,0.98
