assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,ownership_change,percenatge_net_transfers
0,0,3,0,0.7,655,0.01,0.01,0.0,0.0,7,0,0,0.3,0.6,2023-08-12,3,8,0,0,0,0,1,0,0,0,1,0,2.0,1,0,0,0,4.5,True,0,0,0,0.0,2,Sheffield United,Crystal Palace,0,1,22280,2023,603829,0.0,0,0,0,0.0,0.0,0.0,Sheffield United,2,2,1,0.5,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,3,0,0.3,655,0.0,0.0,0.0,0.12,17,1,0,0.3,2.2,2023-08-18,16,16,0,0,0,0,2,0,2455,0,1,2,0.0,1,938,1132,194,4.5,False,0,0,0,0.0,14,Nottingham Forest,Sheffield United,2,1,22285,2023,604803,0.0,0,0,0,0.0,0.0,0.0,Sheffield United,2,2,2,0.5,MID,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.3,0.6,0.7,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.3,0.6,0.7,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2455.0,0.7073906485671192
0,0,10,0,0.3,655,0.0,0.0,0.0,0.78,147,1,0,0.8,7.2,2023-12-06,73,11,0,0,0,0,15,0,3546,1,2,0,0.0,2,-1,89,90,4.4,True,0,0,0,0.0,80,Sheffield United,Liverpool,0,2,22040,2023,627967,0.0,0,0,0,0.0,0.0,0.0,Sheffield United,4,2,15,-0.5,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091.0,-0.00558659217877095
0,0,5,1,1.2,655,0.01,0.01,0.0,0.46,158,0,0,0.8,3.0,2023-12-09,72,4,0,0,0,0,16,0,3668,1,0,1,4.0,3,101,211,110,4.4,True,0,0,0,0.0,76,Sheffield United,Brentford,1,0,22052,2023,628760,0.0,0,0,0,0.0,0.0,0.0,Sheffield United,2,2,16,0.5,MID,0.0,0.0,0.0,0.0,0.78,1.0,0.0,0.8,7.2,0.3,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,3546.0,0.0,0.0,0.0,0.0,0.78,1.0,0.0,0.8,7.2,0.3,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,3546.0,122.0,0.3146417445482866
0,0,2,0,0.2,655,0.0,0.0,0.0,0.4,165,1,0,0.3,2.4,2023-12-16,57,7,0,0,0,0,17,0,3785,1,0,2,0.0,1,66,280,214,4.4,False,0,0,0,0.0,60,Chelsea,Sheffield United,2,0,22059,2023,630291,0.0,0,0,0,0.0,0.0,0.0,Sheffield United,2,3,17,0.7,MID,1.0,0.01,0.01,0.0,1.24,1.0,0.0,1.6,10.2,1.5,4.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7214.0,1.0,0.01,0.01,0.0,1.24,1.0,0.0,1.6,10.2,1.5,4.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7214.0,117.0,0.13360323886639677
0,0,9,0,0.3,655,0.0,0.0,0.0,0.44,171,0,0,1.5,10.4,2023-12-22,57,2,0,0,0,0,18,0,3753,1,1,1,4.0,1,-39,127,166,4.4,False,0,0,0,0.0,60,Aston Villa,Sheffield United,1,1,22065,2023,632480,0.0,0,0,0,0.0,0.0,0.0,Sheffield United,2,4,18,0.7,MID,1.0,0.01,0.01,0.0,1.64,2.0,0.0,1.9,12.6,1.7,4.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,10999.0,1.0,0.01,0.01,0.0,1.64,2.0,0.0,1.9,12.6,1.7,4.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,10999.0,-32.0,-0.13310580204778158
0,0,4,0,1.8,655,0.01,0.1,0.09,0.49,190,1,0,1.4,9.0,2023-12-26,45,12,0,0,0,0,19,0,3916,1,3,2,3.0,1,128,249,121,4.4,True,0,0,2,0.0599633641541004,47,Sheffield United,Luton,2,3,22084,2023,632949,0.0,0,0,0,0.0599633641541004,0.041633952409029,0.0,Sheffield United,2,2,19,1.3,MID,1.0,0.01,0.01,0.0,1.3,1.0,0.0,2.6,15.8,1.7,8.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,11206.0,1.0,0.01,0.01,0.0,2.08,2.0,0.0,3.4,23.0,2.0,8.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,14752.0,163.0,0.34594594594594597
0,0,6,0,0.1,655,0.0,0.0,0.0,2.1,196,2,0,0.0,0.2,2023-12-30,79,13,0,0,0,0,20,0,4020,1,0,2,0.0,2,77,326,249,4.4,False,0,0,0,0.0,81,Manchester City,Sheffield United,2,0,22090,2023,633511,0.0,0,0,0,0.0,0.0,0.0,Sheffield United,2,5,20,0.2,MID,0.0,0.01,0.1,0.09,1.33,2.0,0.0,3.2,21.8,2.3,7.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,3.0,0.0,2.0,0.06,0.0,0.0,0.0,0.0,0.06,0.04,0.0,2.7,11454.0,1.0,0.02,0.11,0.09,2.57,3.0,0.0,4.8,32.0,3.8,11.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,6.0,8.0,0.0,2.0,0.06,0.0,0.0,0.0,0.0,0.06,0.04,0.0,2.7,18668.0,104.0,0.13391304347826086
0,0,6,0,24.0,655,0.16,0.31,0.15,1.79,210,2,0,4.2,6.2,2024-01-21,79,19,0,0,0,0,21,0,3866,1,2,2,12.0,1,-195,284,479,4.4,True,1,0,2,0.1283102929592132,82,Sheffield United,West Ham,2,2,22101,2023,636191,0.063607633113861,0,2,0,0.1283102929592132,0.2609516680240631,0.1326413601636886,Sheffield United,2,2,21,0.8,MID,0.0,0.01,0.1,0.09,3.03,3.0,0.0,2.9,19.6,2.2,7.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,4.0,0.0,2.0,0.06,0.0,0.0,0.0,0.0,0.06,0.04,0.0,2.2,11689.0,1.0,0.02,0.11,0.09,3.89,4.0,0.0,4.0,25.0,3.6,11.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,8.0,8.0,0.0,2.0,0.06,0.0,0.0,0.0,0.0,0.06,0.04,0.0,3.4,19142.0,-154.0,-0.25557011795543905
0,0,1,0,1.2,655,0.01,0.09,0.08,0.2,212,1,0,2.9,8.8,2024-01-30,45,8,0,0,0,0,22,0,3837,0,2,3,19.0,1,-84,132,216,4.4,False,0,0,1,0.0498734526336193,40,Crystal Palace,Sheffield United,3,2,22112,2023,637863,0.0,0,0,0,0.0498734526336193,0.0760710909962654,0.0261976327747106,Sheffield United,2,2,22,0.5,MID,0.0,0.17,0.41,0.24,4.38,5.0,0.0,5.6,15.4,25.9,15.0,203.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,6.0,4.0,0.0,4.0,0.19,0.06,0.0,2.0,0.0,0.19,0.3,0.13,2.3,11802.0,0.0,0.17,0.41,0.24,5.22,6.0,0.0,7.4,28.2,26.4,19.0,317.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,9.0,6.0,0.0,4.0,0.19,0.06,0.0,2.0,0.0,0.19,0.3,0.13,3.7,19340.0,-29.0,-0.2413793103448276
