assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,ownership_change,percenatge_net_transfers
0,0,19,0,0.5,150,0.0,0.02,0.02,1.45,4,1,0,5.0,32.2,2023-08-12,90,12,0,0,0,0,1,0,81817,1,1,4,17.0,2,0,0,0,4.0,True,0,0,1,0.0257391259074211,90,Brighton,Luton,4,1,22278,2023,603758,0.0,0,0,0,0.0257391259074211,1.3894027471542358,1.3894027471542358,Brighton,2,3,1,1.5,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,17,0,0.8,150,0.01,0.01,0.0,1.3,33,1,0,3.0,29.6,2023-09-02,90,15,0,0,0,0,4,0,176023,1,1,3,0.0,2,-15972,8130,24102,4.0,True,0,0,0,0.0,90,Brighton,Newcastle United,3,1,21931,2023,608867,0.0,0,0,0,0.0,0.3318912088871002,0.3318912088871002,Brighton,3,3,4,0.5,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,1.45,1.0,0.0,5.0,32.2,0.5,17.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.03,1.39,1.39,1.5,81817.0,94206.0,-0.4955323901712584
0,0,13,0,1.0,150,0.01,0.01,0.0,0.96,45,1,0,3.2,31.2,2023-09-16,90,14,0,0,0,0,5,0,182430,1,3,1,0.0,1,2146,16555,14409,4.0,False,1,0,0,0.0,90,Manchester United,Brighton,1,3,21940,2023,610448,0.0,0,0,0,0.0,0.7236021757125854,0.7236021757125854,Brighton,2,4,5,0.5,DEF,0.0,0.01,0.01,0.0,1.3,1.0,0.0,3.0,29.6,0.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.5,176023.0,0.0,0.01,0.03,0.02,2.75,2.0,0.0,8.0,61.8,1.3,17.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,4.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.03,1.72,1.72,2.0,257840.0,6407.0,0.06930629117685054
0,0,4,0,0.3,150,0.0,0.0,0.0,0.32,72,0,0,0.8,7.8,2023-10-08,27,11,0,0,0,0,8,0,172701,0,2,2,0.0,1,-7173,5095,12268,4.0,True,0,0,0,0.0,24,Brighton,Liverpool,2,2,21966,2023,616932,0.0,0,0,0,0.0,0.2880129516124725,0.2880129516124725,Brighton,4,3,8,-0.2,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,2.26,2.0,0.0,6.2,60.8,1.8,0.0,180.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,1.06,1.0,358453.0,-9729.0,-0.41311985256004147
0,0,3,0,0.0,150,0.0,0.0,0.0,0.0,86,0,0,0.0,0.0,2023-10-21,1,13,0,0,0,0,9,0,173070,0,1,2,0.0,1,-1244,6818,8062,4.0,False,0,0,0,0.0,1,Manchester City,Brighton,2,1,21980,2023,618150,0.0,0,0,0,0.0,0.0,0.0,Brighton,2,5,9,-0.3,DEF,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.8,7.8,0.3,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,-0.2,172701.0,0.0,0.02,0.02,0.0,2.58,2.0,0.0,7.0,68.6,2.1,0.0,207.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,1.34,0.8,531154.0,369.0,-0.08360215053763441
0,1,17,0,6.5,150,0.03,0.03,0.0,0.71,103,1,0,4.0,33.0,2023-11-04,90,9,0,0,0,0,11,0,174948,1,1,1,0.0,3,-2890,4696,7586,4.0,False,0,0,0,0.0,90,Everton,Brighton,1,1,21997,2023,621595,0.0,0,0,0,0.0,0.0244843736290931,0.0244843736290931,Brighton,2,2,11,1.3,DEF,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.8,7.8,0.3,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,-0.5,345771.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.8,7.8,0.3,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,-0.5,345771.0,1878.0,-0.23530369646637356
0,0,13,0,0.5,150,0.01,0.11,0.1,1.32,114,1,0,3.6,28.4,2023-11-12,90,17,0,0,0,0,12,0,186025,1,1,1,7.0,2,9367,14174,4807,4.0,True,0,0,1,0.0593643337488174,90,Brighton,Sheffield United,1,1,22008,2023,623869,0.0,0,0,0,0.0593643337488174,0.7346891164779663,0.7346891164779663,Brighton,2,3,12,2.2,DEF,0.0,0.03,0.03,0.0,0.71,1.0,0.0,4.0,33.0,6.5,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,1.0,348018.0,0.0,0.03,0.03,0.0,1.03,1.0,0.0,4.8,40.8,6.8,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,0.8,520719.0,11077.0,0.4934934934934935
0,0,17,0,0.6,150,0.01,0.07,0.06,1.69,128,2,0,5.1,33.0,2023-11-25,90,16,0,0,0,0,13,0,192616,1,3,2,17.0,1,6038,11599,5561,4.0,False,0,0,1,0.035270482301712,90,Nottingham Forest,Brighton,2,3,22022,2023,624944,0.0,0,0,0,0.035270482301712,0.0249429102987051,0.0249429102987051,Brighton,2,2,13,2.0,DEF,0.0,0.04,0.14,0.1,2.03,2.0,0.0,7.6,61.4,7.0,7.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,5.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,0.06,0.76,0.76,3.5,360973.0,0.0,0.04,0.14,0.1,2.35,2.0,0.0,8.4,69.2,7.3,7.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,7.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,0.06,1.05,1.05,3.0,706744.0,6591.0,0.35186480186480185
0,0,17,0,12.6,150,0.02,0.02,0.0,1.93,135,3,0,3.7,24.6,2023-12-03,90,7,0,0,0,0,14,0,193255,1,2,3,0.0,1,1293,6765,5472,4.0,False,0,0,0,0.0,90,Chelsea,Brighton,3,2,22029,2023,627252,0.0140892714262008,0,1,0,0.0,0.0140892714262008,0.0,Brighton,2,3,14,1.8,DEF,0.0,0.05,0.21,0.16,3.72,4.0,0.0,12.7,94.4,7.6,24.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,6.0,0.0,2.0,0.09,0.0,0.0,0.0,0.0,0.09,0.78,0.78,5.5,553589.0,0.0,0.05,0.21,0.16,3.72,4.0,0.0,12.7,94.4,7.6,24.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,7.0,0.0,2.0,0.09,0.0,0.0,0.0,0.0,0.09,0.78,0.78,5.2,726659.0,639.0,0.10566315273351312
0,0,5,0,2.8,150,0.03,0.17,0.14,1.33,142,1,0,3.1,6.8,2023-12-06,90,4,0,0,0,0,15,0,198695,1,1,2,21.0,1,4796,8963,4167,4.0,True,1,0,2,0.1586097329854965,90,Brighton,Brentford,2,1,22036,2023,627994,0.0,0,0,0,0.1586097329854965,0.73819500207901,0.73819500207901,Brighton,2,3,15,1.2,DEF,0.0,0.04,0.2,0.16,4.94,6.0,0.0,12.4,86.0,13.7,24.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,4.0,0.0,2.0,0.09,0.01,0.0,1.0,0.0,0.09,0.77,0.76,6.0,571896.0,0.0,0.07,0.23,0.16,5.65,7.0,0.0,16.4,119.0,20.2,24.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,7.0,0.0,2.0,0.09,0.01,0.0,1.0,0.0,0.09,0.8,0.78,7.3,746844.0,5440.0,0.3652703731911653
