assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,ownership_change,percenatge_net_transfers
0,0,6,1,32.8,353,0.11,0.38,0.27,0.3,1,0,0,7.4,9.0,2023-08-11,90,6,0,0,0,0,1,0,706434,1,3,0,32.0,3,0,0,0,7.5,False,0,0,3,0.266010969877243,90,Burnley,Manchester City,0,3,22275,2023,603628,0.0906738713383674,0,2,0,0.266010969877243,0.4591448903083801,0.3873654901981354,Manchester City,5,2,1,4.1,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,35,1,91.6,353,0.53,0.86,0.33,0.29,16,0,0,15.7,37.4,2023-08-19,90,15,0,0,0,0,2,0,779132,1,0,1,28.0,9,-10035,77947,87982,7.5,True,0,0,3,0.2726038098335266,90,Manchester City,Newcastle United,1,0,22291,2023,605561,0.7770029306411743,1,7,0,0.2726038098335266,1.093014121055603,0.4320891797542572,Manchester City,3,5,2,6.5,MID,1.0,0.11,0.38,0.27,0.3,0.0,0.0,7.4,9.0,32.8,32.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,3.0,0.27,0.09,0.0,2.0,0.0,0.27,0.46,0.39,4.1,706434.0,1.0,0.11,0.38,0.27,0.3,0.0,0.0,7.4,9.0,32.8,32.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,3.0,0.27,0.09,0.0,2.0,0.0,0.27,0.46,0.39,4.1,706434.0,72698.0,-0.060477674185947
1,0,16,0,21.9,353,0.18,0.2,0.02,0.41,30,0,0,5.5,22.6,2023-08-27,4,17,0,0,0,0,3,0,1332873,0,2,1,10.0,4,477115,531400,54285,7.6,False,0,0,1,0.0365148112177848,1,Sheffield United,Manchester City,1,2,22303,2023,607494,0.2140898257493972,1,2,0,0.0365148112177848,0.3950616419315338,0.2637763619422912,Manchester City,5,2,3,6.8,MID,2.0,0.64,1.24,0.6,0.59,0.0,0.0,23.1,46.4,124.4,60.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,12.0,0.0,6.0,0.54,0.87,1.0,9.0,0.0,0.54,1.55,0.82,10.6,1485566.0,2.0,0.64,1.24,0.6,0.59,0.0,0.0,23.1,46.4,124.4,60.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,12.0,0.0,6.0,0.54,0.87,1.0,9.0,0.0,0.54,1.55,0.82,10.6,1485566.0,553741.0,0.8146273167316902
1,0,21,0,20.8,353,0.02,0.02,0.0,1.45,39,1,0,5.6,23.0,2023-09-02,89,10,0,0,0,0,4,0,1344976,1,1,5,12.0,5,-2433,134325,136758,7.6,True,0,0,0,0.0,90,Manchester City,Fulham,5,1,21927,2023,608715,0.0178671181201934,1,1,0,0.0,0.0695315971970558,0.0695315971970558,Manchester City,2,5,4,6.2,MID,2.0,0.82,1.44,0.62,1.0,0.0,0.0,28.6,69.0,146.3,70.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,16.0,0.0,7.0,0.58,1.08,2.0,11.0,0.0,0.58,1.95,1.08,17.4,2818439.0,2.0,0.82,1.44,0.62,1.0,0.0,0.0,28.6,69.0,146.3,70.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,16.0,0.0,7.0,0.58,1.08,2.0,11.0,0.0,0.58,1.95,1.08,17.4,2818439.0,12103.0,-0.008975110943880656
0,0,11,0,27.7,353,0.16,0.31,0.15,0.92,49,1,0,6.9,6.6,2023-09-16,66,19,0,0,0,0,5,0,1305109,1,3,1,35.0,2,-63243,88039,151282,7.6,False,0,0,5,0.1567997634410858,69,West Ham,Manchester City,1,3,21937,2023,610359,0.0929503738880157,0,2,0,0.1567997634410858,1.2590099573135376,1.1172137260437012,Manchester City,5,3,5,4.7,MID,1.0,0.73,1.08,0.35,2.15,1.0,0.0,26.8,83.0,134.3,50.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,18.0,0.0,4.0,0.31,1.01,3.0,10.0,0.0,0.31,1.56,0.77,19.5,3456981.0,2.0,0.84,1.46,0.62,2.45,1.0,0.0,34.2,92.0,167.1,82.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,7.0,21.0,0.0,7.0,0.58,1.1,3.0,12.0,0.0,0.58,2.02,1.15,23.6,4163415.0,-39867.0,-0.2642601359680095
0,3,41,1,21.3,353,0.04,0.14,0.1,0.95,59,0,1,8.8,47.2,2023-09-23,86,16,0,0,0,0,6,0,1260490,1,0,2,19.0,11,-53307,87485,140792,7.6,True,0,1,1,0.069134309887886,90,Manchester City,Nottingham Forest,2,0,21946,2023,612154,0.053697545081377,0,1,1,0.069134309887886,0.6326496601104736,0.6326496601104736,Manchester City,2,5,6,6.5,MID,0.0,0.36,0.53,0.17,2.78,2.0,0.0,18.0,52.2,70.4,57.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,7.0,11.0,0.0,6.0,0.19,0.32,2.0,5.0,0.0,0.19,1.72,1.45,17.7,3982958.0,2.0,1.0,1.77,0.77,3.37,2.0,0.0,41.1,98.6,194.8,117.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,8.0,23.0,0.0,12.0,0.73,1.19,3.0,14.0,0.0,0.73,3.28,2.27,28.3,5468524.0,-44619.0,-0.23351892656728448
0,0,11,0,44.5,353,0.18,0.25,0.07,0.44,70,2,0,7.7,13.0,2023-09-30,90,20,0,0,0,0,7,0,1440426,1,1,2,19.0,2,148713,212484,63771,7.6,False,0,0,1,0.0656590014696121,90,Wolverhampton Wanderers,Manchester City,2,1,21961,2023,614621,0.1055438891053199,0,3,0,0.0656590014696121,0.2715913951396942,0.2059324085712433,Manchester City,5,2,7,6.0,MID,1.0,0.22,0.47,0.25,3.32,2.0,1.0,21.3,76.8,69.8,66.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,8.0,18.0,1.0,6.0,0.23,0.16,1.0,4.0,1.0,0.23,1.96,1.82,17.4,3910575.0,2.0,0.93,1.53,0.6,4.02,2.0,1.0,42.5,136.8,183.3,104.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,31.0,1.0,10.0,0.54,1.16,3.0,13.0,1.0,0.54,3.45,2.52,30.7,6022580.0,179936.0,0.5383178585002987
0,0,15,0,29.1,353,0.23,0.23,0.0,0.41,71,1,0,4.8,14.6,2023-10-08,90,1,0,0,0,0,8,0,1250249,1,0,1,4.0,2,-172604,47897,220501,7.6,False,0,0,0,0.0,90,Arsenal,Manchester City,1,0,21965,2023,617313,0.388746052980423,0,2,0,0.0,0.100006528198719,0.0180283095687627,Manchester City,5,5,8,5.5,MID,1.0,0.38,0.7,0.32,2.31,3.0,1.0,23.4,66.8,93.5,73.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,15.0,1.0,7.0,0.29,0.25,0.0,6.0,1.0,0.29,2.16,1.96,17.2,4006025.0,1.0,0.58,0.92,0.34,4.17,4.0,1.0,34.5,112.4,136.2,95.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,11.0,24.0,1.0,8.0,0.33,0.48,2.0,9.0,1.0,0.33,2.63,2.29,30.2,6683874.0,-190177.0,-0.6430897398639334
0,0,7,0,35.2,353,0.04,0.06,0.02,0.83,86,1,0,5.2,6.8,2023-10-21,90,5,0,0,0,0,9,0,1196690,1,1,2,10.0,2,-71331,38958,110289,7.6,True,0,0,1,0.0800867900252342,90,Manchester City,Brighton,2,1,21980,2023,618129,0.2692447304725647,0,3,0,0.0800867900252342,0.4370588660240173,0.1343299150466919,Manchester City,2,5,9,3.0,MID,1.0,0.45,0.62,0.17,1.8,3.0,1.0,21.3,74.8,94.9,42.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,15.0,1.0,2.0,0.13,0.55,0.0,6.0,1.0,0.13,1.0,0.86,18.0,3951165.0,1.0,0.63,0.95,0.32,4.17,5.0,1.0,33.8,104.4,143.4,89.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,11.0,22.0,1.0,7.0,0.29,0.66,1.0,9.0,1.0,0.29,2.33,2.04,28.9,6601250.0,-53559.0,-0.47793925506040325
0,0,18,1,11.9,353,0.25,1.73,1.48,1.03,98,0,1,12.4,37.0,2023-10-29,90,14,0,0,0,0,10,0,969992,1,3,0,75.0,7,-226432,9263,235695,7.6,False,1,1,4,1.7047890424728394,90,Manchester United,Manchester City,0,3,21992,2023,620742,0.0,0,0,1,1.7047890424728394,2.499219417572021,0.7944303154945374,Manchester City,5,4,10,4.2,MID,0.0,0.45,0.54,0.09,1.68,4.0,0.0,17.7,34.4,108.8,33.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,6.0,0.0,2.0,0.15,0.76,0.0,8.0,0.0,0.15,0.81,0.36,14.5,3887365.0,1.0,0.65,0.99,0.34,3.55,5.0,1.0,33.4,88.2,157.8,87.0,422.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,8.0,19.0,1.0,8.0,0.37,0.91,0.0,11.0,1.0,0.37,2.7,2.11,25.7,6452964.0,-226698.0,-0.9243707084479789
