assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,ownership_change,percenatge_net_transfers
0,0,8,0,26.0,216,0.09,0.09,0.0,1.23,9,1,0,4.9,13.0,2023-08-13,80,11,0,0,0,0,1,0,142685,1,1,1,10.0,2,0,0,0,7.0,True,0,0,0,0.0,88,Chelsea,Liverpool,1,1,22283,2023,604414,0.0742627456784248,0,1,0,0.0,0.841805636882782,0.7675428986549377,Chelsea,4,3,1,2.0,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,13,0,30.5,216,0.23,0.29,0.06,1.8,19,3,0,8.3,15.0,2023-08-20,90,19,0,0,0,0,2,0,181498,1,1,3,37.0,2,7199,25125,17926,7.0,False,0,0,1,0.0468320474028587,90,West Ham,Chelsea,3,1,22293,2023,605919,0.0535190552473068,0,1,0,0.0468320474028587,0.1653511524200439,0.0650000497698783,Chelsea,3,3,2,2.0,MID,0.0,0.09,0.09,0.0,1.23,1.0,0.0,4.9,13.0,26.0,10.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.07,0.0,1.0,0.0,0.0,0.84,0.77,2.0,142685.0,0.0,0.09,0.09,0.0,1.23,1.0,0.0,4.9,13.0,26.0,10.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.07,0.0,1.0,0.0,0.0,0.84,0.77,2.0,142685.0,38813.0,0.1672202736289517
1,3,52,1,26.3,216,0.21,1.0,0.79,0.43,26,0,2,17.8,72.4,2023-08-25,90,12,0,0,0,0,3,0,329237,1,0,3,79.0,19,124152,154897,30745,7.0,True,0,2,5,1.2547560930252075,90,Chelsea,Luton,3,0,22295,2023,606591,0.5586909651756287,0,2,2,1.2547560930252075,1.856784701347351,0.3324751257896423,Chelsea,2,3,3,8.2,MID,0.0,0.32,0.38,0.06,3.03,4.0,0.0,13.2,28.0,56.5,47.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,1.0,0.05,0.13,0.0,2.0,0.0,0.05,1.01,0.83,4.0,324183.0,0.0,0.32,0.38,0.06,3.03,4.0,0.0,13.2,28.0,56.5,47.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,1.0,0.05,0.13,0.0,2.0,0.0,0.05,1.01,0.83,4.0,324183.0,147739.0,0.6687710755109296
0,0,9,0,26.9,216,0.3,0.59,0.29,0.71,35,1,0,7.1,3.2,2023-09-02,90,16,0,0,0,0,4,0,1664262,1,1,0,41.0,2,1207952,1241841,33889,7.2,True,0,0,3,0.2459868639707565,90,Chelsea,Nottingham Forest,0,1,21930,2023,608747,0.2203040719032287,0,2,0,0.2459868639707565,1.6525529623031616,1.1862620115280151,Chelsea,2,3,4,6.2,MID,1.0,0.53,1.38,0.85,3.46,4.0,2.0,31.0,100.4,82.8,126.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,7.0,23.0,2.0,6.0,1.3,0.69,0.0,4.0,2.0,1.3,2.86,1.17,12.2,653420.0,1.0,0.53,1.38,0.85,3.46,4.0,2.0,31.0,100.4,82.8,126.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,7.0,23.0,2.0,6.0,1.3,0.69,0.0,4.0,2.0,1.3,2.86,1.17,12.2,653420.0,1335025.0,0.9468712031542724
0,0,3,1,37.6,216,0.3,0.69,0.39,1.19,42,0,0,7.1,2.8,2023-09-17,90,3,0,0,0,0,5,0,1617576,1,0,0,31.0,2,-24923,194526,219449,7.2,False,1,0,4,0.5319173336029053,90,Bournemouth,Chelsea,0,0,21942,2023,610980,0.1873581558465957,0,3,0,0.5319173336029053,0.6325764060020447,0.1679164320230484,Chelsea,3,2,5,7.7,MID,1.0,0.74,1.88,1.14,2.94,4.0,2.0,33.2,90.6,83.7,157.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,23.0,2.0,9.0,1.55,0.83,0.0,5.0,2.0,1.55,3.67,1.58,16.4,2174997.0,1.0,0.83,1.97,1.14,4.17,5.0,2.0,38.1,103.6,109.7,167.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,25.0,2.0,9.0,1.55,0.91,0.0,6.0,2.0,1.55,4.52,2.35,18.4,2317682.0,-46686.0,-0.060204118606196025
0,0,-1,0,1.2,216,0.0,0.21,0.21,1.04,55,1,0,6.4,9.6,2023-09-24,90,2,0,0,0,0,6,0,1453721,1,1,0,53.0,2,-169394,80406,249800,7.2,True,0,0,1,0.3055874407291412,90,Chelsea,Aston Villa,0,1,21947,2023,612741,0.0,0,0,0,0.3055874407291412,0.9219107031822203,0.6163232326507568,Chelsea,3,3,6,2.0,MID,2.0,0.81,2.28,1.47,2.33,1.0,2.0,32.0,78.4,90.8,151.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,23.0,2.0,12.0,2.03,0.97,0.0,7.0,2.0,2.03,4.14,1.69,22.1,3611075.0,2.0,1.13,2.66,1.53,5.36,5.0,2.0,45.2,106.4,147.3,198.0,440.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,7.0,27.0,2.0,13.0,2.08,1.09,0.0,9.0,2.0,2.08,5.15,2.52,26.1,3935258.0,-163855.0,-0.512994918323713
0,0,-3,0,0.8,216,0.03,0.03,0.0,0.77,64,0,0,0.6,0.0,2023-10-02,25,10,0,0,0,0,7,0,1150729,0,2,0,6.0,0,-303270,39560,342830,7.1,False,1,0,0,0.0,23,Fulham,Chelsea,0,2,21964,2023,615836,0.0,0,0,0,0.0,0.0,0.0,Chelsea,3,3,7,1.3,MID,1.0,0.6,1.49,0.89,2.94,2.0,0.0,20.6,15.6,65.7,125.0,270.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,6.0,0.0,8.0,1.08,0.41,0.0,5.0,0.0,1.08,3.21,1.97,15.9,4735559.0,2.0,1.04,2.78,1.74,5.17,5.0,2.0,46.7,103.0,122.5,241.0,450.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,6.0,27.0,2.0,14.0,2.39,1.02,0.0,8.0,2.0,2.39,5.23,2.37,26.1,5246294.0,-302992.0,-0.7930908235047988
2,3,40,0,19.3,216,0.1,0.49,0.39,0.56,73,1,1,10.5,38.8,2023-10-07,82,6,0,0,0,0,8,0,903528,1,4,1,47.0,16,-263366,41546,304912,7.0,False,0,1,3,0.41245037317276,86,Burnley,Chelsea,1,4,21967,2023,616396,0.0879228264093399,0,1,1,0.41245037317276,1.165305495262146,0.6649323105812073,Chelsea,3,2,8,6.5,MID,1.0,0.33,0.93,0.6,3.0,1.0,0.0,14.1,12.4,39.6,90.0,205.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,4.0,0.0,5.0,0.84,0.19,0.0,3.0,0.0,0.84,1.55,0.78,11.0,4222026.0,2.0,0.84,2.52,1.68,4.14,2.0,2.0,39.0,88.0,92.8,210.0,385.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,3.0,25.0,2.0,13.0,2.34,0.97,0.0,7.0,2.0,2.34,5.06,2.3,25.4,6215525.0,-247201.0,-0.7601671775511029
0,0,6,0,15.5,216,0.09,0.09,0.0,0.66,84,1,0,3.9,9.4,2023-10-21,83,1,0,0,0,0,9,0,922823,1,2,2,14.0,2,5377,116786,111409,7.0,True,0,0,0,0.0,86,Chelsea,Arsenal,2,2,21978,2023,618314,0.110874593257904,0,1,0,0.0,0.1398970782756805,0.029022479429841,Chelsea,5,3,9,5.5,MID,0.0,0.13,0.73,0.6,2.37,2.0,1.0,17.5,48.4,21.3,106.0,197.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,1.0,18.0,1.0,4.0,0.72,0.09,0.0,1.0,1.0,0.72,2.09,1.28,9.8,3507978.0,1.0,0.73,2.01,1.28,4.27,3.0,1.0,31.7,54.4,85.8,178.0,377.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,8.0,1.0,22.0,1.0,11.0,1.5,0.5,0.0,6.0,1.0,1.5,4.37,2.64,23.7,6789816.0,19295.0,0.02356318061307215
0,0,13,0,18.3,216,0.07,0.2,0.13,2.16,95,2,0,5.0,7.4,2023-10-28,90,4,0,0,0,0,10,0,849565,1,2,0,24.0,2,-74794,54932,129726,7.0,True,0,0,2,0.4163988828659057,90,Chelsea,Brentford,0,2,21989,2023,619564,0.039075568318367,0,1,0,0.4163988828659057,0.5694888830184937,0.1140144243836402,Chelsea,2,3,10,6.7,MID,0.0,0.22,0.61,0.39,1.99,2.0,1.0,15.0,48.2,35.6,67.0,190.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,18.0,1.0,3.0,0.41,0.2,0.0,2.0,1.0,0.41,1.31,0.69,13.3,2977080.0,1.0,0.52,1.51,0.99,4.22,3.0,1.0,28.5,60.6,74.4,151.0,370.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,9.0,3.0,22.0,1.0,8.0,1.25,0.39,0.0,5.0,1.0,1.25,2.86,1.48,23.0,6048377.0,-73258.0,-0.4050406697787261
