assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
0,0,6,0,11.6,295,0.01,0.01,0.0,0.14,9,0,0,2.2,6.6,2023-08-13,13,7,0,0,0,0,1,0,19381,0,1,1,4.0,1,0,0,0,5.0,False,0,0,0,0.0,6,Chelsea,Liverpool,1,1,22283,2023,604433,0.0237150695174932,0,1,0,0.0,0.0237150695174932,0.0237150695174932,Liverpool,4,3,1,2.1,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0,0,2,0,1.1,295,0.0,0.0,0.0,0.84,14,0,0,0.2,0.4,2023-08-19,14,3,0,0,0,0,2,0,20553,0,1,3,0.0,1,-2092,1229,3321,5.0,True,0,0,0,0.0,10,Liverpool,Bournemouth,3,1,22288,2023,605131,0.0,0,0,0,0.0,0.0,0.0,Liverpool,2,5,2,1.5,MID,0.0,0.01,0.01,0.0,0.14,0.0,0.0,2.2,6.6,11.6,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.02,0.02,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172.0,-0.45978021978021977
0,0,3,0,1.7,295,0.01,0.01,0.0,0.75,29,0,0,0.4,2.2,2023-08-27,32,15,0,0,0,0,3,0,18628,0,2,1,0.0,1,-2771,815,3586,4.9,False,0,0,0,0.0,28,Newcastle United,Liverpool,1,2,22304,2023,607711,0.0,0,0,0,0.0,0.3159354031085968,0.3159354031085968,Liverpool,4,4,3,1.0,MID,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.2,0.4,1.1,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.49,0.0,0.0,1.2,3.5,6.35,2.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.5,0.0,0.0,0.01,0.01,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1925.0,-0.6296296296296297
0,0,4,0,1.9,295,0.03,0.06,0.03,0.08,37,0,0,0.7,3.0,2023-09-03,26,2,0,0,0,0,4,0,17269,0,0,3,2.0,1,-1895,594,2489,4.9,True,0,0,1,0.0335405468940734,21,Liverpool,Aston Villa,3,0,21933,2023,609380,0.0,0,0,0,0.0335405468940734,0.0,0.0,Liverpool,3,5,4,1.5,MID,0.0,0.01,0.01,0.0,0.75,0.0,0.0,0.4,2.2,1.7,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.3,1.3,1.4,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,1.25,0.0,0.01,0.01,0.0,0.58,0.0,0.0,0.93,3.07,4.8,1.33,19.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.67,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.33,0.0,0.0,0.11,0.11,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1359.0,-0.6146610444372365
1,0,13,0,13.4,295,0.14,0.23,0.09,0.23,50,0,0,2.5,0.4,2023-09-16,34,20,0,0,0,0,5,0,16613,0,3,1,11.0,3,-1312,675,1987,4.8,False,1,0,3,0.0912014916539192,32,Wolverhampton Wanderers,Liverpool,1,3,21935,2023,610084,0.0619165152311325,0,1,0,0.0912014916539192,0.9735780358314514,0.8313321471214294,Liverpool,4,2,5,2.2,MID,0.0,0.03,0.06,0.03,0.08,0.0,0.0,0.7,3.0,1.9,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.5,0.0,0.02,0.03,0.02,0.42,0.0,0.0,0.55,2.6,1.8,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.5,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.16,0.16,1.25,0.0,0.01,0.02,0.01,0.56,0.0,0.0,0.43,1.87,1.57,0.67,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.33,1.0,0.0,0.33,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.11,1.33,0.0,0.01,0.02,0.01,0.45,0.0,0.0,0.88,3.05,4.08,1.5,21.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.25,0.01,0.01,0.0,0.0,0.25,0.0,0.01,0.08,0.08,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-656.0,-0.492862509391435
0,0,2,0,11.9,295,0.02,0.02,0.0,0.64,72,1,0,1.6,1.8,2023-10-08,45,5,0,0,0,0,8,0,17730,1,2,2,2.0,1,-472,1107,1579,4.8,False,0,0,0,0.0,49,Brighton,Liverpool,2,2,21966,2023,616942,0.0367202423512935,0,1,0,0.0,0.0367202423512935,0.0367202423512935,Liverpool,4,3,8,0.8,MID,0.0,0.14,0.23,0.09,0.23,0.0,0.0,2.5,0.4,13.4,11.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,3.0,0.09,0.06,1.0,0.0,1.0,0.0,0.09,0.97,0.83,2.2,0.0,0.08,0.14,0.06,0.16,0.0,0.0,1.6,1.7,7.65,6.5,30.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,2.0,2.0,0.0,2.0,0.06,0.03,0.5,0.0,0.5,0.0,0.06,0.49,0.42,1.85,0.0,0.06,0.1,0.04,0.35,0.0,0.0,1.2,1.87,5.67,4.33,30.67,0.0,0.0,0.0,0.0,0.33,0.0,0.0,1.67,1.67,1.67,0.0,1.33,0.04,0.02,0.33,0.0,0.33,0.0,0.04,0.43,0.38,1.57,0.0,0.05,0.08,0.03,0.48,0.0,0.0,0.95,1.5,4.53,3.25,26.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.5,2.0,1.5,0.0,1.0,0.03,0.02,0.25,0.0,0.25,0.0,0.03,0.32,0.29,1.55,0.0,0.04,0.06,0.02,0.41,0.0,0.0,1.2,2.52,5.94,3.4,23.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.4,1.8,1.4,0.0,0.8,0.02,0.02,0.2,0.0,0.4,0.0,0.02,0.26,0.23,1.66,1117.0,-0.1757259865971705
0,0,10,0,5.1,295,0.04,0.06,0.02,0.03,85,0,0,2.0,6.2,2023-10-21,28,9,0,0,0,0,9,0,17959,0,0,2,9.0,1,-35,1278,1313,4.8,True,0,0,1,0.0172624848783016,26,Liverpool,Everton,2,0,21979,2023,617763,0.0,0,0,0,0.0172624848783016,0.1006060019135475,0.0833435133099556,Liverpool,2,5,9,1.2,MID,0.0,0.02,0.02,0.0,0.64,1.0,0.0,1.6,1.8,11.9,2.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.04,0.0,0.0,1.0,0.0,0.0,0.04,0.04,0.8,0.0,0.08,0.12,0.04,0.44,0.5,0.0,2.05,1.1,12.65,6.5,39.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,2.5,1.5,2.0,0.0,1.5,0.05,0.05,0.5,0.0,1.0,0.0,0.05,0.51,0.43,1.5,0.0,0.06,0.1,0.04,0.32,0.33,0.0,1.6,1.73,9.07,5.0,35.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.67,2.0,1.67,0.0,1.33,0.04,0.03,0.33,0.0,0.67,0.0,0.04,0.34,0.29,1.5,0.0,0.05,0.08,0.03,0.42,0.25,0.0,1.3,1.85,7.22,3.75,34.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,1.75,1.75,1.5,0.0,1.0,0.03,0.02,0.25,0.0,0.5,0.0,0.03,0.33,0.3,1.38,0.0,0.04,0.06,0.02,0.51,0.2,0.0,1.08,1.56,6.0,3.0,30.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1.6,2.0,1.4,0.0,0.8,0.02,0.02,0.2,0.0,0.4,0.0,0.02,0.27,0.24,1.4,229.0,-0.013508297954457738
0,0,3,0,1.2,295,0.01,0.15,0.14,0.32,97,0,0,0.9,0.0,2023-10-29,31,16,0,0,0,0,10,0,17925,0,0,3,9.0,1,-155,1274,1429,4.8,True,0,0,3,0.1443810760974884,27,Liverpool,Nottingham Forest,3,0,21991,2023,620607,0.0,0,0,0,0.1443810760974884,0.1678171753883361,0.0412254966795444,Liverpool,2,5,10,1.5,MID,0.0,0.04,0.06,0.02,0.03,0.0,0.0,2.0,6.2,5.1,9.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.08,1.2,0.0,0.03,0.04,0.01,0.34,0.5,0.0,1.8,4.0,8.5,5.5,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,2.0,1.0,0.0,0.5,0.01,0.02,0.0,0.0,0.5,0.0,0.01,0.07,0.06,1.0,0.0,0.07,0.1,0.04,0.3,0.33,0.0,2.03,2.8,10.13,7.33,35.67,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.67,1.67,1.67,0.0,1.33,0.04,0.03,0.33,0.0,0.67,0.0,0.04,0.37,0.32,1.4,0.0,0.06,0.09,0.03,0.24,0.25,0.0,1.7,2.85,8.07,6.0,33.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,1.25,2.0,1.5,0.0,1.25,0.04,0.02,0.25,0.0,0.5,0.0,0.04,0.28,0.24,1.42,0.0,0.05,0.08,0.03,0.35,0.2,0.0,1.44,2.72,6.8,4.8,33.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1.4,1.8,1.4,0.0,1.0,0.03,0.02,0.2,0.0,0.4,0.0,0.03,0.29,0.25,1.34,-34.0,-0.057343692193858674
1,0,17,0,29.9,295,0.79,0.81,0.02,0.45,105,1,0,5.7,23.4,2023-11-05,24,12,0,0,0,0,11,0,18169,0,1,1,4.0,4,139,1436,1297,4.8,False,0,0,1,0.0188733879476785,22,Luton,Liverpool,1,1,21999,2023,622376,0.6272881627082825,1,2,0,0.0188733879476785,1.4314600229263306,0.8041718602180481,Liverpool,4,2,11,3.0,MID,0.0,0.01,0.15,0.14,0.32,0.0,0.0,0.9,0.0,1.2,9.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.17,0.04,1.5,0.0,0.02,0.1,0.08,0.18,0.0,0.0,1.45,3.1,3.15,9.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,0.0,2.0,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.13,0.06,1.35,0.0,0.02,0.08,0.05,0.33,0.33,0.0,1.5,2.67,6.07,6.67,34.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,2.33,1.0,0.0,1.33,0.05,0.01,0.0,0.0,0.33,0.0,0.05,0.1,0.05,1.17,0.0,0.05,0.12,0.06,0.3,0.25,0.0,1.75,2.1,7.9,7.75,34.5,0.0,0.0,0.0,0.0,0.25,0.0,0.25,1.25,2.0,1.5,0.0,1.75,0.06,0.02,0.25,0.0,0.5,0.0,0.06,0.32,0.25,1.42,0.0,0.05,0.1,0.06,0.26,0.2,0.0,1.54,2.28,6.7,6.6,32.8,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1.0,2.2,1.4,0.0,1.6,0.06,0.02,0.2,0.0,0.4,0.0,0.06,0.26,0.2,1.44,244.0,0.0508598609586535
0,0,2,0,0.4,295,0.0,0.02,0.02,0.07,117,0,0,1.0,2.6,2023-11-12,7,4,0,0,0,0,12,0,18078,0,0,3,7.0,1,-211,867,1078,4.8,True,0,0,1,0.0281603001058101,1,Liverpool,Brentford,3,0,22011,2023,623850,0.0,0,0,0,0.0281603001058101,0.0281603001058101,0.0,Liverpool,2,5,12,2.5,MID,0.0,0.79,0.81,0.02,0.45,1.0,0.0,5.7,23.4,29.9,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.02,0.63,1.0,1.0,2.0,0.0,0.02,1.43,0.8,3.0,0.0,0.4,0.48,0.08,0.38,0.5,0.0,3.3,11.7,15.55,6.5,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,2.5,0.0,2.0,0.08,0.31,0.5,0.5,1.0,0.0,0.08,0.8,0.42,2.25,0.0,0.28,0.34,0.06,0.27,0.33,0.0,2.87,9.87,12.07,7.33,27.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.0,2.0,0.0,1.67,0.06,0.21,0.33,0.33,0.67,0.0,0.06,0.57,0.31,1.9,0.0,0.22,0.26,0.04,0.36,0.5,0.0,2.55,7.85,12.02,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,2.0,1.75,0.0,1.25,0.05,0.17,0.25,0.25,0.75,0.0,0.05,0.43,0.24,1.62,0.0,0.2,0.25,0.05,0.33,0.4,0.0,2.54,6.36,12.3,7.0,32.4,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1.2,1.8,2.0,0.0,1.6,0.05,0.15,0.4,0.2,0.8,0.0,0.05,0.54,0.36,1.74,-91.0,-0.10848329048843187
