assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
0,0,6,0,11.3,715,0.01,0.05,0.04,1.85,50,1,0,2.6,6.0,2023-09-16,76,11,0,0,0,0,5,0,290,1,3,1,9.0,2,159,173,14,5.0,True,0,0,1,0.0911508724093437,79,Wolverhampton Wanderers,Liverpool,1,3,21935,2023,610061,0.044177122414112,0,1,0,0.0911508724093437,0.1353279948234558,0.0,Wolverhampton Wanderers,4,2,5,1.2,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.8502673796791443
0,0,-6,0,2.0,715,0.01,0.01,0.0,3.84,58,1,0,0.6,3.6,2023-09-23,38,12,0,0,0,1,6,0,1996,1,1,1,0.0,-2,1474,1666,192,5.0,False,0,0,0,0.0,38,Luton,Wolverhampton Wanderers,1,1,21945,2023,612200,0.0,0,0,0,0.0,0.0,0.0,Wolverhampton Wanderers,2,2,6,0.5,MID,0.0,0.01,0.05,0.04,1.85,1.0,0.0,2.6,6.0,11.3,9.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,0.09,0.04,0.0,0.0,1.0,0.0,0.09,0.14,0.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1706.0,0.7933261571582346
0,1,21,0,14.2,715,0.05,0.16,0.11,0.95,109,2,1,7.3,40.2,2023-11-04,29,17,0,0,0,0,11,0,764,0,1,2,19.0,7,-44,64,108,4.9,False,0,1,1,0.0728034973144531,27,Sheffield United,Wolverhampton Wanderers,2,1,22003,2023,621486,0.0858871489763259,0,1,1,0.0728034973144531,0.0728034973144531,0.0,Wolverhampton Wanderers,2,2,11,2.1,MID,0.0,0.01,0.01,0.0,3.84,1.0,0.0,0.6,3.6,2.0,0.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.01,0.03,0.02,2.84,1.0,0.0,1.6,4.8,6.65,4.5,57.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.5,0.05,0.02,0.0,0.0,0.5,0.0,0.05,0.07,0.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1232.0,-0.2558139534883721
0,0,10,0,14.4,715,0.04,0.1,0.06,0.5,120,1,0,2.7,9.6,2023-11-11,72,18,0,0,0,0,12,0,1231,1,1,2,3.0,2,389,465,76,4.9,True,0,0,1,0.0378991551697254,78,Wolverhampton Wanderers,Tottenham,2,1,22014,2023,622994,0.0304826237261295,0,1,0,0.0378991551697254,0.1108003258705139,0.0729011744260788,Wolverhampton Wanderers,3,2,12,3.0,MID,0.0,0.05,0.16,0.11,0.95,2.0,1.0,7.3,40.2,14.2,19.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,1.0,1.0,0.07,0.09,0.0,0.0,1.0,1.0,0.07,0.07,0.0,2.1,0.0,0.03,0.08,0.06,2.4,1.5,0.5,3.95,21.9,8.1,9.5,33.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,1.5,2.5,0.5,0.5,0.04,0.04,0.0,0.0,0.5,0.5,0.04,0.04,0.0,1.3,0.0,0.02,0.07,0.05,2.21,1.33,0.33,3.5,16.6,9.17,9.33,47.67,0.0,0.0,0.0,0.33,0.0,0.0,0.67,1.67,1.33,2.33,0.33,0.67,0.05,0.04,0.0,0.0,0.67,0.33,0.05,0.07,0.0,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.0,0.7190388170055453
1,0,22,0,28.7,715,0.15,0.15,0.0,1.79,124,2,0,6.2,25.6,2023-11-27,61,10,0,0,0,0,13,0,1516,1,2,3,8.0,5,221,439,218,4.9,False,0,0,0,0.0,65,Fulham,Wolverhampton Wanderers,3,2,22018,2023,626123,0.3927137851715088,1,2,0,0.0,0.3927137851715088,0.3927137851715088,Wolverhampton Wanderers,2,3,13,4.7,MID,0.0,0.04,0.1,0.06,0.5,1.0,0.0,2.7,9.6,14.4,3.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.04,0.03,0.0,0.0,1.0,0.0,0.04,0.11,0.07,3.0,0.0,0.04,0.13,0.08,0.72,1.5,0.5,5.0,24.9,14.3,11.0,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,2.0,4.5,0.5,1.0,0.06,0.06,0.0,0.0,1.0,0.5,0.06,0.09,0.04,2.55,0.0,0.03,0.09,0.06,1.76,1.33,0.33,3.53,17.8,10.2,7.33,46.33,0.0,0.0,0.0,0.33,0.0,0.0,0.67,1.0,1.67,2.33,0.33,0.67,0.04,0.04,0.0,0.0,0.67,0.33,0.04,0.06,0.02,1.87,0.0,0.03,0.08,0.05,1.78,1.25,0.25,3.3,14.85,10.48,7.75,53.75,0.0,0.0,0.0,0.25,0.0,0.0,0.75,1.5,1.5,2.25,0.25,0.75,0.05,0.04,0.0,0.0,0.75,0.25,0.05,0.08,0.02,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.0,0.3363774733637747
0,0,6,0,1.7,715,0.01,0.01,0.0,1.58,131,2,0,0.5,1.4,2023-12-02,62,1,0,0,0,0,14,0,2527,1,1,2,2.0,2,952,1148,196,4.9,False,0,0,0,0.0,70,Arsenal,Wolverhampton Wanderers,2,1,22026,2023,626645,0.0,0,0,0,0.0,0.3326356709003448,0.3326356709003448,Wolverhampton Wanderers,2,5,14,3.5,MID,0.0,0.15,0.15,0.0,1.79,2.0,0.0,6.2,25.6,28.7,8.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,0.39,1.0,1.0,2.0,0.0,0.0,0.39,0.39,4.7,0.0,0.1,0.12,0.03,1.14,1.5,0.0,4.45,17.6,21.55,5.5,66.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.5,3.5,0.0,0.5,0.02,0.21,0.5,0.5,1.5,0.0,0.02,0.25,0.23,3.85,0.0,0.08,0.14,0.06,1.08,1.67,0.33,5.4,25.13,19.1,10.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,2.33,4.67,0.33,0.67,0.04,0.17,0.33,0.33,1.33,0.33,0.04,0.19,0.16,3.27,0.0,0.06,0.11,0.04,1.77,1.5,0.25,4.2,19.75,14.82,7.5,50.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,1.25,2.0,3.0,0.25,0.5,0.03,0.13,0.25,0.25,1.0,0.25,0.03,0.14,0.12,2.58,0.0,0.05,0.09,0.04,1.79,1.4,0.2,3.88,17.0,14.12,7.8,55.2,0.0,0.0,0.0,0.2,0.0,0.0,0.8,1.6,1.8,2.8,0.2,0.6,0.04,0.11,0.2,0.2,1.0,0.2,0.04,0.14,0.09,2.3,1011.0,0.7083333333333334
0,0,3,0,0.8,715,0.01,0.01,0.0,0.06,149,0,0,0.4,1.4,2023-12-05,11,6,0,0,0,0,15,0,3506,0,0,1,2.0,1,934,1311,377,4.9,True,0,0,0,0.0,7,Wolverhampton Wanderers,Burnley,1,0,22042,2023,627883,0.0,0,0,0,0.0,0.0,0.0,Wolverhampton Wanderers,2,2,15,3.0,MID,0.0,0.01,0.01,0.0,1.58,2.0,0.0,0.5,1.4,1.7,2.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,3.5,0.0,0.08,0.08,0.0,1.68,2.0,0.0,3.35,13.5,15.2,5.0,61.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.5,3.5,0.0,0.0,0.0,0.2,0.5,0.5,1.0,0.0,0.0,0.36,0.36,4.1,0.0,0.07,0.09,0.02,1.29,1.67,0.0,3.13,12.2,14.93,4.33,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,2.33,3.0,0.0,0.33,0.01,0.14,0.33,0.33,1.0,0.0,0.01,0.28,0.27,3.73,0.0,0.06,0.1,0.04,1.2,1.75,0.25,4.18,19.2,14.75,8.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.25,2.25,4.0,0.25,0.5,0.03,0.13,0.25,0.25,1.0,0.25,0.03,0.23,0.2,3.32,0.0,0.05,0.09,0.03,1.73,1.6,0.2,3.46,16.08,12.2,6.4,52.4,0.0,0.0,0.0,0.2,0.0,0.0,0.8,1.2,2.0,2.8,0.2,0.4,0.02,0.1,0.2,0.2,0.8,0.2,0.02,0.18,0.16,2.76,979.0,0.5533175355450237
0,0,2,0,0.8,715,0.0,0.0,0.0,0.48,160,0,0,0.1,0.0,2023-12-09,21,16,0,0,0,0,16,0,2841,0,1,1,0.0,1,-641,128,769,4.9,True,0,0,0,0.0,15,Wolverhampton Wanderers,Nottingham Forest,1,1,22054,2023,628792,0.0,0,0,0,0.0,0.0871248543262481,0.0871248543262481,Wolverhampton Wanderers,2,2,16,2.2,MID,0.0,0.01,0.01,0.0,0.06,0.0,0.0,0.4,1.4,0.8,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.01,0.01,0.0,0.82,1.0,0.0,0.45,1.4,1.25,2.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,3.25,0.0,0.06,0.06,0.0,1.14,1.33,0.0,2.37,9.47,10.4,4.0,44.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,2.0,2.67,0.0,0.0,0.0,0.13,0.33,0.33,0.67,0.0,0.0,0.24,0.24,3.73,0.0,0.05,0.07,0.02,0.98,1.25,0.0,2.45,9.5,11.4,3.75,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,2.0,2.5,0.0,0.25,0.01,0.11,0.25,0.25,0.75,0.0,0.01,0.21,0.2,3.55,0.0,0.05,0.09,0.03,0.98,1.4,0.2,3.42,15.64,11.96,6.8,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,2.0,3.4,0.2,0.4,0.02,0.1,0.2,0.2,0.8,0.2,0.02,0.18,0.16,3.26,-665.0,-0.7146042363433668
0,0,12,0,14.4,715,0.08,0.19,0.11,1.14,170,3,0,4.5,18.8,2023-12-17,90,19,0,0,0,0,17,0,2435,1,0,3,12.0,2,-420,60,480,4.9,False,0,0,3,0.1148629263043403,90,West Ham,Wolverhampton Wanderers,3,0,22064,2023,630904,0.0866883769631385,0,1,0,0.1148629263043403,0.2175965905189514,0.0367210768163204,Wolverhampton Wanderers,2,3,17,2.2,MID,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.1,0.0,0.8,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,2.2,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.25,0.7,0.8,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,2.6,0.0,0.01,0.01,0.0,0.71,0.67,0.0,0.33,0.93,1.1,1.33,31.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,1.33,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,2.9,0.0,0.04,0.04,0.0,0.98,1.0,0.0,1.8,7.1,8.0,3.0,38.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.75,2.25,0.0,0.0,0.0,0.1,0.25,0.25,0.5,0.0,0.0,0.2,0.2,3.35,0.0,0.04,0.05,0.01,0.88,1.0,0.0,1.98,7.6,9.28,3.0,45.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.8,2.2,0.0,0.2,0.01,0.08,0.2,0.2,0.6,0.0,0.01,0.18,0.18,3.28,-406.0,-0.7777777777777778
0,0,20,0,0.8,715,0.01,0.25,0.24,0.84,183,0,1,7.6,41.6,2023-12-27,45,4,0,0,0,0,19,0,1994,0,4,1,34.0,6,-239,35,274,4.9,False,0,1,2,0.4116342961788177,39,Brentford,Wolverhampton Wanderers,1,4,22077,2023,633147,0.0,0,0,1,0.4116342961788177,0.4116342961788177,0.0,Wolverhampton Wanderers,2,2,19,1.5,MID,0.0,0.08,0.19,0.11,1.14,3.0,0.0,4.5,18.8,14.4,12.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,3.0,0.11,0.09,0.0,0.0,1.0,0.0,0.11,0.22,0.04,2.2,0.0,0.04,0.1,0.06,0.81,1.5,0.0,2.3,9.4,7.6,6.0,55.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0,1.5,0.0,1.5,0.06,0.04,0.0,0.0,0.5,0.0,0.06,0.15,0.06,2.2,0.0,0.03,0.07,0.04,0.56,1.0,0.0,1.67,6.73,5.33,4.67,40.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,1.67,1.33,0.0,1.0,0.04,0.03,0.0,0.0,0.33,0.0,0.04,0.1,0.04,2.47,0.0,0.03,0.05,0.03,0.82,1.25,0.0,1.38,5.4,4.43,4.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.75,1.5,0.0,0.75,0.03,0.02,0.0,0.0,0.25,0.0,0.03,0.16,0.11,2.72,0.0,0.05,0.07,0.02,1.01,1.4,0.0,2.34,9.44,9.28,4.8,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,2.0,2.2,0.0,0.6,0.02,0.1,0.2,0.2,0.6,0.0,0.02,0.21,0.17,3.12,-441.0,-0.7734627831715211
