assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
0,0,16,0,1.8,635,0.01,0.01,0.0,0.73,113,1,0,1.1,9.4,2023-11-11,65,3,0,0,0,0,12,0,2424,1,0,2,0.0,2,18,111,93,4.5,False,0,635,,,Lewis Miley,0,0,0.0,72,MC,Bournemouth,Newcastle United,2,0,22005,2023,623489,0.0,0,0,0,0.0,0.0209371000528335,0.0209371000528335,11386,Newcastle United,Lewis Miley,Lewis Miley,3,2,12,1.2,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.08823529411764706
1,1,22,0,16.8,635,0.44,0.49,0.05,0.58,127,1,0,4.5,17.6,2023-11-25,90,7,0,0,0,0,13,0,2693,1,1,4,11.0,6,194,288,94,4.5,True,0,635,,,Lewis Miley,0,1,0.0238684564828872,90,MC,Newcastle United,Chelsea,4,1,22021,2023,624902,0.4409152269363403,1,1,0,0.0238684564828872,0.6296984553337097,0.1887832432985305,11386,Newcastle United,Lewis Miley,Lewis Miley,3,4,13,3.2,MID,0.0,0.01,0.01,0.0,0.73,1.0,0.0,1.1,9.4,1.8,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,1.2,0.0,0.0,0.0,0.0,0.24,0.33,0.0,0.37,3.13,0.6,0.0,21.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.4,0.0,0.0,0.0,0.0,0.15,0.2,0.0,0.22,1.88,0.36,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,269.0,0.5078534031413613
0,0,20,1,7.2,635,0.04,0.25,0.21,0.36,138,0,0,2.7,10.6,2023-12-02,90,14,0,0,0,0,14,0,7592,1,0,1,9.0,3,4581,4964,383,4.5,True,0,635,,,Lewis Miley,0,1,0.1509932726621627,90,MC,Newcastle United,Manchester United,1,0,22032,2023,626938,0.0,0,0,0,0.1509932726621627,0.6207391023635864,0.4697458446025848,11386,Newcastle United,Lewis Miley,Lewis Miley,3,4,14,2.8,MID,0.0,0.44,0.49,0.05,0.58,1.0,0.0,4.5,17.6,16.8,11.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,0.0,1.0,0.02,0.44,1.0,1.0,1.0,0.0,0.02,0.63,0.19,3.2,0.0,0.15,0.17,0.02,0.44,0.67,0.0,1.87,9.0,6.2,3.67,51.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,2.0,2.67,0.0,0.33,0.01,0.15,0.33,0.33,0.33,0.0,0.01,0.22,0.07,1.47,0.0,0.09,0.1,0.01,0.26,0.4,0.0,1.12,5.4,3.72,2.2,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,1.2,1.6,0.0,0.2,0.0,0.09,0.2,0.2,0.2,0.0,0.0,0.13,0.04,0.88,4899.0,0.8567420983729194
0,0,17,0,24.8,635,0.04,0.16,0.12,2.91,144,2,0,4.7,14.6,2023-12-07,89,9,0,0,0,0,15,0,14330,1,0,3,8.0,2,6479,7123,644,4.5,False,0,635,,,Lewis Miley,0,2,0.0935377851128578,90,MC,Everton,Newcastle United,3,0,22037,2023,628191,0.5447735786437988,0,2,0,0.0935377851128578,0.8013743162155151,0.1630629748106002,11386,Newcastle United,Lewis Miley,Lewis Miley,3,2,15,3.7,MID,1.0,0.04,0.25,0.21,0.36,0.0,0.0,2.7,10.6,7.2,9.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.62,0.47,2.8,0.33,0.16,0.25,0.09,0.56,0.67,0.0,2.77,12.53,8.6,6.67,81.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,2.33,3.67,0.0,0.67,0.06,0.15,0.33,0.33,0.33,0.0,0.06,0.42,0.23,2.4,0.2,0.1,0.15,0.05,0.33,0.4,0.0,1.66,7.52,5.16,4.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,1.4,2.2,0.0,0.4,0.03,0.09,0.2,0.2,0.2,0.0,0.03,0.25,0.14,1.44,6738.0,0.8341702072872409
0,0,6,0,6.2,635,0.02,0.02,0.0,3.88,159,4,0,2.2,12.0,2023-12-10,90,18,0,0,0,0,16,0,15990,1,1,4,4.0,2,1783,3296,1513,4.5,False,0,635,,,Lewis Miley,0,0,0.0,90,MC,Tottenham,Newcastle United,4,1,22053,2023,629562,0.0,0,0,0,0.0,0.1941106170415878,0.1941106170415878,11386,Newcastle United,Lewis Miley,Lewis Miley,3,4,16,3.5,MID,0.0,0.04,0.16,0.12,2.91,2.0,0.0,4.7,14.6,24.8,8.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,0.09,0.54,0.0,0.0,2.0,0.0,0.09,0.8,0.16,3.7,0.33,0.17,0.3,0.13,1.28,1.0,0.0,3.97,14.27,16.27,9.33,89.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,2.67,3.67,0.0,1.33,0.09,0.33,0.33,0.33,1.0,0.0,0.09,0.68,0.27,3.23,0.2,0.11,0.18,0.08,0.92,0.8,0.0,2.6,10.44,10.12,5.6,66.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,2.0,2.6,0.0,0.8,0.05,0.2,0.2,0.2,0.6,0.0,0.05,0.41,0.17,2.18,1660.0,0.37076315242254104
0,0,31,0,24.5,635,0.2,0.51,0.31,0.11,168,0,1,10.3,42.4,2023-12-16,54,10,0,0,0,0,17,0,17054,0,0,3,36.0,6,844,3197,2353,4.5,True,0,635,,,Lewis Miley,1,2,0.3831213414669037,55,Sub,Newcastle United,Fulham,3,0,22062,2023,630338,0.1538549363613128,0,2,1,0.3831213414669037,1.603778839111328,1.1671648025512695,11386,Newcastle United,Lewis Miley,Lewis Miley,2,4,17,4.3,MID,0.0,0.02,0.02,0.0,3.88,4.0,0.0,2.2,12.0,6.2,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,3.5,0.33,0.03,0.14,0.11,2.38,2.0,0.0,3.2,12.4,12.73,7.0,89.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,2.67,2.33,0.0,1.0,0.08,0.18,0.0,0.0,0.67,0.0,0.08,0.54,0.28,3.33,0.2,0.11,0.19,0.08,1.69,1.6,0.0,3.04,12.84,11.36,6.4,84.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,2.8,3.0,0.0,0.8,0.05,0.2,0.2,0.2,0.6,0.0,0.05,0.45,0.21,2.88,1064.0,0.15207207207207207
0,0,4,0,1.7,635,0.01,0.11,0.1,1.33,175,1,0,0.8,1.6,2023-12-23,37,12,0,0,0,0,18,0,22503,1,0,1,5.0,1,5191,6542,1351,4.5,False,0,635,,,Lewis Miley,0,1,0.1306393146514892,37,MC,Luton,Newcastle United,1,0,22069,2023,632657,0.0,0,0,0,0.1306393146514892,0.1306393146514892,0.0,11386,Newcastle United,Lewis Miley,Lewis Miley,3,2,18,4.3,MID,0.0,0.2,0.51,0.31,0.11,0.0,1.0,10.3,42.4,24.5,36.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,2.0,0.38,0.15,0.0,0.0,2.0,1.0,0.38,1.6,1.17,4.3,0.0,0.09,0.23,0.14,2.3,2.0,0.33,5.73,23.0,18.5,16.0,77.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,3.33,3.33,0.33,1.33,0.16,0.23,0.0,0.0,1.33,0.33,0.16,0.87,0.51,3.83,0.2,0.15,0.29,0.14,1.57,1.4,0.2,4.88,19.44,15.9,13.6,82.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,3.0,3.8,0.2,1.2,0.13,0.23,0.2,0.2,1.0,0.2,0.13,0.77,0.44,3.5,5449.0,0.6576713543646269
0,0,13,0,15.7,635,0.13,0.49,0.36,3.46,189,3,0,6.5,5.0,2023-12-26,90,16,0,0,0,0,19,0,24331,1,3,1,44.0,2,1788,3659,1871,4.5,True,0,635,,,Lewis Miley,0,5,0.2581698894500732,90,MC,Newcastle United,Nottingham Forest,1,3,22083,2023,632917,0.0695024654269218,0,1,0,0.2581698894500732,0.3276723623275757,0.1440375447273254,11386,Newcastle United,Lewis Miley,Lewis Miley,2,4,19,3.2,MID,0.0,0.01,0.11,0.1,1.33,1.0,0.0,0.8,1.6,1.7,5.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,4.3,0.0,0.08,0.21,0.14,1.77,1.67,0.33,4.43,18.67,10.8,15.0,60.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,2.67,3.0,0.33,1.0,0.17,0.05,0.0,0.0,0.67,0.33,0.17,0.64,0.45,4.03,0.2,0.06,0.21,0.15,1.72,1.4,0.2,4.14,16.24,12.88,12.4,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,2.4,2.8,0.2,1.2,0.15,0.14,0.0,0.0,0.8,0.2,0.15,0.67,0.4,3.72,1828.0,0.3233273056057866
0,0,0,0,0.5,635,0.01,0.08,0.07,3.97,194,1,0,1.1,3.2,2024-01-01,53,11,0,0,0,0,20,0,22085,1,2,4,7.0,0,-2114,2029,4143,4.5,False,1,635,,,Lewis Miley,0,1,0.0765720382332801,59,MC,Liverpool,Newcastle United,4,2,22088,2023,633780,0.0,0,0,0,0.0765720382332801,0.0765720382332801,0.0,11386,Newcastle United,Lewis Miley,Lewis Miley,3,5,20,2.2,MID,0.0,0.13,0.49,0.36,3.46,3.0,0.0,6.5,5.0,15.7,44.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,5.0,0.26,0.07,0.0,0.0,1.0,0.0,0.26,0.33,0.14,3.2,0.0,0.11,0.37,0.26,1.63,1.33,0.33,5.87,16.33,13.97,28.33,60.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,1.67,3.0,0.33,2.67,0.26,0.07,0.0,0.0,1.0,0.33,0.26,0.69,0.44,3.93,0.0,0.08,0.26,0.18,2.34,2.0,0.2,4.9,15.12,14.58,19.4,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,2.4,2.6,0.2,2.0,0.17,0.15,0.0,0.0,1.0,0.2,0.17,0.61,0.33,3.8,-2246.0,-0.3425145819831497
0,0,9,0,19.7,635,0.07,0.07,0.0,2.84,209,3,0,3.4,13.8,2024-01-13,90,13,0,0,0,0,21,0,18358,1,3,2,0.0,2,-3710,2182,5892,4.5,True,0,635,,,Lewis Miley,0,0,0.0,90,MC,Newcastle United,Manchester City,2,3,22100,2023,634953,0.099728338420391,0,1,0,0.0,0.2005124241113662,0.2005124241113662,11386,Newcastle United,Lewis Miley,Lewis Miley,5,4,21,0.8,MID,0.0,0.01,0.08,0.07,3.97,1.0,0.0,1.1,3.2,0.5,7.0,53.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,2.2,0.0,0.05,0.23,0.18,2.92,1.67,0.0,2.8,3.27,5.97,18.67,60.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.67,2.0,1.0,0.0,2.33,0.16,0.02,0.0,0.0,0.33,0.0,0.16,0.18,0.05,3.23,0.0,0.07,0.24,0.17,2.55,1.8,0.2,4.18,12.84,9.72,19.2,64.8,0.0,0.0,0.0,0.0,0.2,0.0,0.8,1.2,2.6,2.2,0.2,1.8,0.17,0.04,0.0,0.0,0.6,0.2,0.17,0.47,0.3,3.5,-3727.0,-0.45949962843695813
