assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,pts_bps,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,pts_bps_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,pts_bps_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,pts_bps_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
0,0,3,0,13.5,509,0.01,0.22,0.21,2.02,8,2,0,5.4,8.4,2023-08-13,90,4,0,0,0,0,1,0,349105,1,2,2,32.0,2,0,0,0,7.0,False,0,509,,,Richarlison de Andrade,0,2,0.2255009561777115,90,FW,Brentford,Tottenham,2,2,22282,2023,604209,0.0176354870200157,0,1,0,0.2255009561777115,0.3054562509059906,0.0799552798271179,22282,Tottenham,Richarlison de Andrade,Richarlison,3,2,1,2.5,MID,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0,0,2,1,12.3,509,0.01,0.01,0.0,1.64,18,0,0,2.3,9.0,2023-08-19,69,14,0,0,0,0,2,0,363326,1,0,2,2.0,3,-14014,28516,42530,7.0,True,0,509,,,Richarlison de Andrade,0,0,0.0,73,FW,Tottenham,Manchester United,2,0,22290,2023,605254,0.0205510519444942,0,1,0,0.0,0.0944145545363426,0.0738635063171386,22290,Tottenham,Richarlison de Andrade,Richarlison,3,4,2,2.0,MID,3,0.0,0.01,0.22,0.21,2.02,2.0,0.0,5.4,8.4,13.5,32.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.23,0.02,0.0,0.0,1.0,0.0,0.23,0.31,0.08,2.5,0.0,0.0,0.07,0.07,0.67,0.67,0.0,1.8,2.8,4.5,10.67,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,0.67,0.67,0.0,0.67,0.08,0.01,0.0,0.0,0.33,0.0,0.08,0.1,0.03,0.83,0.0,0.0,0.04,0.04,0.4,0.4,0.0,1.08,1.68,2.7,6.4,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.4,0.4,0.0,0.4,0.05,0.0,0.0,0.0,0.2,0.0,0.05,0.06,0.02,0.5,14221.0,-0.19725248430594264
0,0,-7,0,1.6,509,0.04,0.3,0.26,0.51,22,0,0,3.9,0.0,2023-08-26,59,3,0,0,0,0,3,0,351831,1,2,0,38.0,0,-21789,51911,73700,7.0,False,1,509,,,Richarlison de Andrade,0,2,0.0908889397978782,65,FW,Bournemouth,Tottenham,0,2,22296,2023,606667,0.0,0,0,0,0.0908889397978782,0.2579009532928467,0.206897422671318,22296,Tottenham,Richarlison de Andrade,Richarlison,3,2,3,1.7,MID,0,1.0,0.01,0.01,0.0,1.64,0.0,0.0,2.3,9.0,12.3,2.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.09,0.07,2.0,0.33,0.01,0.08,0.07,1.22,0.67,0.0,2.57,5.8,8.6,11.33,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,1.33,1.67,0.0,0.67,0.08,0.01,0.0,0.0,0.67,0.0,0.08,0.13,0.05,1.5,0.2,0.0,0.05,0.04,0.73,0.4,0.0,1.54,3.48,5.16,6.8,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,1.0,0.0,0.4,0.05,0.01,0.0,0.0,0.4,0.0,0.05,0.08,0.03,0.9,-11495.0,-0.1734641074428195
0,0,1,0,0.0,509,0.0,0.0,0.0,0.62,34,1,0,0.7,5.0,2023-09-02,18,6,0,0,0,0,4,0,227144,0,5,2,2.0,1,-125972,10721,136693,6.9,False,0,509,,,Richarlison de Andrade,0,0,0.0,13,Sub,Burnley,Tottenham,2,5,21929,2023,608702,0.0,0,0,0,0.0,0.0,0.0,21929,Tottenham,Richarlison de Andrade,Richarlison,3,2,4,2.0,MID,1,0.0,0.04,0.3,0.26,0.51,0.0,0.0,3.9,0.0,1.6,38.0,59.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.09,0.0,0.0,0.0,0.0,0.0,0.09,0.26,0.21,1.7,0.33,0.02,0.18,0.16,1.39,0.67,0.0,3.87,5.8,9.13,24.0,72.67,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.33,1.33,1.67,0.0,1.33,0.11,0.01,0.0,0.0,0.67,0.0,0.11,0.22,0.12,2.07,0.2,0.01,0.11,0.09,0.83,0.4,0.0,2.32,3.48,5.48,14.4,43.6,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.8,0.8,1.0,0.0,0.8,0.06,0.01,0.0,0.0,0.4,0.0,0.06,0.13,0.07,1.24,-124687.0,-0.8545457012224077
1,0,24,0,10.8,509,0.05,0.34,0.29,0.01,48,0,1,9.9,45.0,2023-09-16,10,17,0,0,0,0,5,0,156795,0,1,2,43.0,8,-74697,5261,79958,6.8,True,1,509,,,Richarlison de Andrade,1,2,0.3895602226257324,7,Sub,Tottenham,Sheffield United,2,1,21936,2023,611532,0.101111315190792,1,1,1,0.3895602226257324,0.1527678519487381,0.0,21936,Tottenham,Richarlison de Andrade,Richarlison,2,4,5,3.5,MID,8,0.0,0.0,0.0,0.0,0.62,1.0,0.0,0.7,5.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.33,0.02,0.1,0.09,0.92,0.33,0.0,2.3,4.67,4.63,14.0,48.67,0.0,0.0,0.0,0.0,0.33,0.0,0.67,2.33,1.33,1.33,0.0,0.67,0.03,0.01,0.0,0.0,0.33,0.0,0.03,0.12,0.09,1.9,0.2,0.01,0.11,0.09,0.96,0.6,0.0,2.46,4.48,5.48,14.8,47.2,0.0,0.0,0.0,0.0,0.2,0.0,0.6,1.8,1.2,1.2,0.0,0.8,0.06,0.01,0.0,0.0,0.4,0.0,0.06,0.13,0.07,1.64,-70349.0,-0.8765298818338634
0,0,0,0,0.5,509,0.0,0.18,0.18,0.18,51,0,0,2.0,2.2,2023-09-24,11,1,0,0,0,0,6,0,159162,0,2,2,17.0,1,-903,14406,15309,6.8,False,0,509,,,Richarlison de Andrade,0,3,0.2246175855398178,7,Sub,Arsenal,Tottenham,2,2,21952,2023,612791,0.0,0,0,0,0.2246175855398178,0.2246175855398178,0.0,21952,Tottenham,Richarlison de Andrade,Richarlison,3,5,6,2.0,MID,1,0.0,0.05,0.34,0.29,0.01,0.0,1.0,9.9,45.0,10.8,43.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,8.0,1.0,2.0,0.39,0.1,1.0,1.0,1.0,1.0,0.39,0.15,0.0,3.5,0.0,0.03,0.21,0.18,0.38,0.33,0.33,4.83,16.67,4.13,27.67,29.0,0.0,0.0,0.0,0.0,0.67,0.0,0.33,2.67,1.33,3.0,0.33,1.33,0.16,0.03,0.33,0.33,0.33,0.33,0.16,0.14,0.07,2.4,0.2,0.02,0.17,0.15,0.96,0.6,0.2,4.44,13.48,7.64,23.4,49.2,0.0,0.0,0.0,0.0,0.4,0.0,0.6,2.0,1.6,2.8,0.2,1.2,0.14,0.03,0.2,0.2,0.6,0.2,0.14,0.16,0.07,2.34,2367.0,-0.0303886925795053
1,0,13,0,23.0,509,0.36,1.12,0.76,1.34,68,1,0,10.7,28.4,2023-09-30,90,11,0,0,0,0,7,0,144754,1,1,2,56.0,5,-15645,6775,22420,6.7,True,0,509,,,Richarlison de Andrade,0,5,0.7490500807762146,90,AML,Tottenham,Liverpool,2,1,21962,2023,614970,0.5884338021278381,1,2,0,0.7490500807762146,1.397586226463318,0.0601022988557815,21962,Tottenham,Richarlison de Andrade,Richarlison,4,4,7,4.2,MID,5,0.0,0.0,0.18,0.18,0.18,0.0,0.0,2.0,2.2,0.5,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,0.22,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.0,2.0,0.0,0.02,0.17,0.16,0.27,0.33,0.33,4.2,17.4,3.77,20.67,13.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,2.67,2.0,3.33,0.33,1.67,0.2,0.03,0.33,0.33,0.33,0.33,0.2,0.13,0.0,2.5,0.2,0.02,0.17,0.15,0.59,0.2,0.2,3.76,12.24,5.04,20.4,33.4,0.0,0.0,0.0,0.0,0.4,0.0,0.4,2.0,1.6,2.6,0.2,1.4,0.14,0.02,0.2,0.2,0.4,0.2,0.14,0.15,0.06,2.24,-14408.0,-0.5358794314094879
0,0,-5,0,7.3,509,0.09,0.9,0.81,0.06,77,0,0,4.9,3.8,2023-10-07,45,12,0,0,0,0,8,0,214922,1,1,0,38.0,1,63460,82158,18698,6.7,False,0,509,,,Richarlison de Andrade,0,4,1.018867254257202,50,AML,Luton,Tottenham,0,1,21971,2023,616141,0.0,0,0,0,1.018867254257202,1.1024574041366575,0.100219689309597,21971,Tottenham,Richarlison de Andrade,Richarlison,3,2,8,2.8,MID,1,0.0,0.36,1.12,0.76,1.34,1.0,0.0,10.7,28.4,23.0,56.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,5.0,0.75,0.59,1.0,1.0,2.0,0.0,0.75,1.4,0.06,4.2,0.0,0.14,0.55,0.41,0.51,0.33,0.33,7.53,25.2,11.43,38.67,37.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.33,2.0,4.67,0.33,3.33,0.45,0.23,0.67,0.67,1.0,0.33,0.45,0.59,0.02,3.23,0.0,0.09,0.39,0.3,0.53,0.4,0.2,5.44,16.12,7.18,31.2,37.6,0.0,0.0,0.0,0.0,0.4,0.0,0.4,2.2,1.6,3.0,0.2,2.4,0.29,0.14,0.4,0.4,0.6,0.2,0.29,0.41,0.05,2.68,70168.0,0.6292139287697311
1,0,14,1,12.9,509,0.08,0.27,0.19,0.17,90,0,0,5.3,19.6,2023-10-23,80,10,0,0,0,0,9,0,193449,1,0,2,20.0,6,-18552,8739,27291,6.7,True,0,509,,,Richarlison de Andrade,0,3,0.2291985750198364,83,AML,Tottenham,Fulham,2,0,21984,2023,619284,0.1045923605561256,1,1,0,0.2291985750198364,0.5774869322776794,0.2436960041522979,21984,Tottenham,Richarlison de Andrade,Richarlison,2,4,9,4.0,MID,6,0.0,0.09,0.9,0.81,0.06,0.0,0.0,4.9,3.8,7.3,38.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,1.02,0.0,0.0,0.0,0.0,0.0,1.02,1.1,0.1,2.8,0.0,0.15,0.73,0.58,0.53,0.33,0.0,5.87,11.47,10.27,37.0,48.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,1.33,2.33,0.0,4.0,0.66,0.2,0.33,0.33,0.67,0.0,0.66,0.91,0.05,3.0,0.0,0.1,0.51,0.41,0.44,0.4,0.2,5.64,16.88,8.32,31.2,34.8,0.0,0.0,0.0,0.0,0.2,0.0,0.4,2.0,1.6,3.2,0.2,2.8,0.48,0.14,0.4,0.4,0.6,0.2,0.48,0.58,0.03,2.9,-21473.0,-0.5149042464612823
0,0,4,1,15.9,509,0.07,0.09,0.02,0.45,96,0,0,3.2,8.6,2023-10-27,63,8,0,0,0,0,10,0,171800,1,2,1,7.0,3,-22410,6067,28477,6.7,False,0,509,,,Richarlison de Andrade,0,1,0.023988788947463,66,AML,Crystal Palace,Tottenham,1,2,21990,2023,619488,0.0482210479676723,0,1,0,0.023988788947463,0.0722098350524902,0.0,21990,Tottenham,Richarlison de Andrade,Richarlison,3,2,10,3.3,MID,3,1.0,0.08,0.27,0.19,0.17,0.0,0.0,5.3,19.6,12.9,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,3.0,0.23,0.1,1.0,1.0,1.0,0.0,0.23,0.58,0.24,4.0,0.33,0.18,0.76,0.59,0.52,0.33,0.0,6.97,17.27,14.4,38.0,71.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,1.33,4.0,0.0,4.0,0.67,0.23,0.67,0.67,1.0,0.0,0.67,1.03,0.13,3.67,0.2,0.12,0.56,0.45,0.35,0.2,0.2,6.56,19.8,10.9,34.8,47.2,0.0,0.0,0.0,0.0,0.2,0.0,0.6,1.0,1.6,4.2,0.2,3.4,0.52,0.16,0.6,0.6,0.8,0.2,0.52,0.69,0.08,3.3,-21649.0,-0.6487378415933303
0,0,3,0,0.0,509,0.0,0.0,0.0,0.0,137,0,0,0.0,0.0,2023-12-03,3,13,0,0,0,0,14,0,103140,0,3,3,0.0,1,-5788,71,5859,6.6,False,0,509,,,Richarlison de Andrade,0,0,0.0,1,Sub,Manchester City,Tottenham,3,3,22031,2023,627564,0.0,0,0,0,0.0,0.0,0.0,22031,Tottenham,Richarlison de Andrade,Richarlison,3,5,14,-0.2,MID,1,1.0,0.07,0.09,0.02,0.45,0.0,0.0,3.2,8.6,15.9,7.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,0.02,0.05,0.0,0.0,1.0,0.0,0.02,0.07,0.0,3.3,0.67,0.08,0.42,0.34,0.23,0.0,0.0,4.47,10.67,12.03,21.67,62.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.33,0.0,2.67,0.42,0.05,0.33,0.33,0.67,0.0,0.42,0.58,0.11,3.37,0.4,0.12,0.51,0.39,0.44,0.2,0.0,5.22,12.52,11.92,27.6,57.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,1.4,3.2,0.0,3.2,0.45,0.15,0.4,0.4,0.8,0.0,0.45,0.67,0.08,3.26,-68660.0,-0.976053962900506
0,0,-2,0,0.3,509,0.0,0.27,0.27,1.13,148,1,0,0.5,0.0,2023-12-07,23,19,0,0,0,0,15,0,102639,0,2,1,8.0,1,-746,868,1614,6.6,True,0,509,,,Richarlison de Andrade,0,2,0.3472052812576294,21,Sub,Tottenham,West Ham,1,2,22041,2023,628209,0.0,0,0,0,0.3472052812576294,0.0,0.0,22041,Tottenham,Richarlison de Andrade,Richarlison,2,4,15,0.5,MID,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.67,0.05,0.12,0.07,0.21,0.0,0.0,2.83,9.4,9.6,9.0,48.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.67,2.0,3.33,0.0,1.33,0.08,0.05,0.33,0.33,0.67,0.0,0.08,0.22,0.08,2.37,0.4,0.12,0.48,0.36,0.4,0.2,0.0,4.82,12.08,11.82,24.2,56.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.4,1.6,3.2,0.0,2.6,0.4,0.15,0.4,0.4,0.8,0.0,0.4,0.63,0.08,2.82,-501.0,-0.3005640612409347
0,2,46,1,1.3,509,0.01,0.72,0.71,1.09,159,0,2,13.7,73.2,2023-12-10,72,15,0,0,0,0,16,0,102999,1,1,4,62.0,15,37,1308,1271,6.6,True,0,509,,,Richarlison de Andrade,2,6,1.1562944650650024,76,FW,Tottenham,Newcastle United,4,1,22053,2023,629549,0.0,0,0,2,1.1562944650650024,1.5733540058135986,0.4399022459983825,22053,Tottenham,Richarlison de Andrade,Richarlison,3,4,16,2.9,MID,13,0.0,0.0,0.27,0.27,1.13,1.0,0.0,0.5,0.0,0.3,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.35,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.5,0.33,0.02,0.12,0.1,0.53,0.33,0.0,1.23,2.87,5.4,5.0,29.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.33,1.67,1.67,0.0,1.0,0.12,0.02,0.0,0.0,0.33,0.0,0.12,0.02,0.0,1.2,0.4,0.05,0.31,0.26,0.36,0.2,0.0,2.78,6.4,7.28,14.6,42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.6,1.4,2.4,0.0,2.0,0.32,0.03,0.2,0.2,0.4,0.0,0.32,0.35,0.07,2.08,360.0,0.014346645986816595
0,1,29,1,2.6,509,0.01,0.4,0.39,0.42,169,0,1,7.5,37.6,2023-12-15,71,16,0,0,0,0,17,0,216810,1,2,0,35.0,9,105532,108903,3371,6.6,False,0,509,,,Richarlison de Andrade,1,1,0.5200366377830505,76,FW,Nottingham Forest,Tottenham,0,2,22063,2023,630078,0.0,0,0,1,0.5200366377830505,0.655977189540863,0.1359405517578125,22063,Tottenham,Richarlison de Andrade,Richarlison,3,2,17,5.2,MID,8,1.0,0.01,0.72,0.71,1.09,0.0,2.0,13.7,73.2,1.3,62.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,13.0,2.0,6.0,1.16,0.0,0.0,0.0,0.0,2.0,1.16,1.57,0.44,2.9,0.33,0.0,0.33,0.33,0.74,0.33,0.67,4.73,24.4,0.53,23.33,32.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.0,2.67,5.0,0.67,2.67,0.5,0.0,0.0,0.0,0.0,0.67,0.5,0.52,0.15,1.07,0.6,0.03,0.27,0.24,0.57,0.2,0.4,4.54,20.28,6.08,19.4,48.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.6,2.2,4.8,0.4,2.4,0.35,0.03,0.2,0.2,0.4,0.4,0.35,0.44,0.14,2.1,113811.0,0.9399504782941732
