assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
0,1,28,1,1.9,350,0.01,0.01,0.0,0.29,16,0,0,1.3,10.6,2023-08-19,90,15,0,0,0,0,2,0,545672,1,0,1,0.0,7,-86857,34260,121117,5.5,True,0,0,0,0.0,90,Manchester City,Newcastle United,1,0,22291,2023,605556,0.0,0,0,0,0.0,0.6470957398414612,0.6470957398414612,Manchester City,3,5,2,4.0,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.5590080900004505
0,0,14,0,10.3,350,0.1,0.13,0.03,0.73,30,1,0,3.7,20.4,2023-08-27,90,17,0,0,0,0,3,0,688212,1,2,1,6.0,2,90888,126534,35646,5.5,False,0,0,1,0.0220532529056072,90,Sheffield United,Manchester City,1,2,22303,2023,607486,0.0,0,0,0,0.0220532529056072,1.0386672019958496,1.0166139602661133,Manchester City,5,2,3,4.5,DEF,1.0,0.01,0.01,0.0,0.29,0.0,0.0,1.3,10.6,1.9,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.65,4.0,0.33,0.0,0.0,0.0,0.1,0.0,0.0,0.43,3.53,0.63,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,1.33,0.2,0.0,0.0,0.0,0.06,0.0,0.0,0.26,2.12,0.38,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.8,142540.0,0.5604143544210137
0,0,12,0,1.9,350,0.01,0.01,0.0,1.45,39,1,0,2.4,22.0,2023-09-02,90,10,0,0,0,0,4,0,797895,1,1,5,0.0,2,71223,107340,36117,5.5,True,0,0,0,0.0,90,Manchester City,Fulham,5,1,21927,2023,608708,0.0,0,0,0,0.0,0.3291329741477966,0.3291329741477966,Manchester City,2,5,4,3.8,DEF,0.0,0.1,0.13,0.03,0.73,1.0,0.0,3.7,20.4,10.3,6.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,1.04,1.02,4.5,0.33,0.04,0.05,0.01,0.34,0.33,0.0,1.67,10.33,4.07,2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.67,3.0,0.0,0.33,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.56,0.55,2.83,0.2,0.02,0.03,0.01,0.2,0.2,0.0,1.0,6.2,2.44,1.2,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,1.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.33,1.7,109683.0,0.4964762960329576
0,0,11,0,2.3,350,0.04,0.23,0.19,0.94,49,1,0,5.7,19.0,2023-09-16,90,19,0,0,0,0,5,0,842408,1,3,1,36.0,2,11102,61531,50429,5.5,False,0,0,2,0.3749752342700958,90,West Ham,Manchester City,1,3,21937,2023,610354,0.0,0,0,0,0.3749752342700958,0.5540769696235657,0.5039672255516052,Manchester City,5,3,5,3.0,DEF,0.0,0.01,0.01,0.0,1.45,1.0,0.0,2.4,22.0,1.9,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,3.8,0.33,0.04,0.05,0.01,0.82,0.67,0.0,2.47,17.67,4.7,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.33,3.67,0.0,0.33,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.67,0.66,4.1,0.2,0.02,0.03,0.01,0.49,0.4,0.0,1.48,10.6,2.82,1.2,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.4,2.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,2.46,44513.0,0.09916041443372633
0,0,26,1,2.3,350,0.02,0.02,0.0,1.03,59,0,0,2.5,22.2,2023-09-23,90,16,0,0,0,0,6,0,853743,1,0,2,0.0,6,-2120,41870,43990,5.5,True,0,0,0,0.0,90,Manchester City,Nottingham Forest,2,0,21946,2023,612149,0.0,0,0,0,0.0,0.1228318586945533,0.1228318586945533,Manchester City,2,5,6,4.0,DEF,0.0,0.04,0.23,0.19,0.94,1.0,0.0,5.7,19.0,2.3,36.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0,0.37,0.0,0.0,0.0,0.0,0.0,0.37,0.55,0.5,3.0,0.0,0.05,0.12,0.07,1.04,1.0,0.0,3.93,20.47,4.83,14.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.33,2.0,0.0,1.0,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.64,0.62,3.77,0.2,0.03,0.08,0.04,0.68,0.6,0.0,2.62,14.4,3.28,8.4,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,1.6,2.6,0.0,0.6,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.51,0.5,3.06,11335.0,-0.024691358024691357
0,0,9,0,21.8,350,0.29,0.44,0.15,0.44,70,2,0,7.0,23.2,2023-09-30,90,20,1,0,0,0,7,0,877614,1,1,2,25.0,-1,10098,41872,31774,5.5,False,0,0,3,0.1457349210977554,90,Wolverhampton Wanderers,Manchester City,2,1,21961,2023,614616,0.0150834629312157,0,1,0,0.1457349210977554,0.1984889507293701,0.124774619936943,Manchester City,5,2,7,3.3,DEF,1.0,0.02,0.02,0.0,1.03,0.0,0.0,2.5,22.2,2.3,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,4.0,0.33,0.02,0.09,0.06,1.14,0.67,0.0,3.53,21.07,2.17,12.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,2.67,3.33,0.0,0.67,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.34,0.32,3.6,0.4,0.04,0.08,0.04,0.89,0.6,0.0,3.12,18.84,3.74,8.4,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,2.0,3.8,0.0,0.6,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.54,0.52,3.86,23871.0,0.13711538983787308
0,0,10,0,2.5,350,0.01,0.01,0.0,0.41,71,1,0,1.3,10.4,2023-10-08,90,1,0,0,0,0,8,0,824427,1,0,1,0.0,2,-55029,18525,73554,5.5,False,0,0,0,0.0,90,Arsenal,Manchester City,1,0,21965,2023,617306,0.0,0,0,0,0.0,0.100006528198719,0.100006528198719,Manchester City,5,5,8,2.8,DEF,0.0,0.29,0.44,0.15,0.44,2.0,0.0,7.0,23.2,21.8,25.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-1.0,0.0,3.0,0.15,0.02,0.0,0.0,1.0,0.0,0.15,0.2,0.12,3.3,0.33,0.12,0.23,0.11,0.8,1.0,0.0,5.07,21.47,8.8,20.33,90.0,0.33,0.0,0.0,0.0,0.0,0.0,1.0,1.33,1.67,2.33,0.0,1.67,0.17,0.01,0.0,0.0,0.33,0.0,0.17,0.29,0.25,3.43,0.2,0.09,0.17,0.07,0.92,1.0,0.0,4.26,21.36,7.72,13.4,90.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.4,2.2,2.2,0.0,1.2,0.11,0.0,0.0,0.0,0.2,0.0,0.11,0.45,0.42,3.72,-53187.0,-0.5976281236764083
0,0,3,0,0.4,350,0.0,0.0,0.0,0.0,86,0,0,0.3,3.0,2023-10-21,15,5,0,0,0,0,9,0,824475,0,1,2,0.0,1,-13717,19195,32912,5.5,True,0,0,0,0.0,11,Manchester City,Brighton,2,1,21980,2023,618135,0.0,0,0,0,0.0,0.0,0.0,Manchester City,2,5,9,1.7,DEF,0.0,0.01,0.01,0.0,0.41,1.0,0.0,1.3,10.4,2.5,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.8,0.33,0.11,0.16,0.05,0.63,1.0,0.0,3.6,18.6,8.87,8.33,90.0,0.33,0.0,0.0,0.0,0.0,0.0,1.0,0.33,1.67,2.33,0.0,1.0,0.05,0.01,0.0,0.0,0.33,0.0,0.05,0.14,0.12,3.37,0.2,0.07,0.14,0.07,0.85,1.0,0.0,3.78,19.36,6.16,12.2,90.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.2,2.2,0.0,1.0,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.26,0.24,3.38,48.0,-0.2632467806628668
0,0,24,1,1.6,350,0.01,0.01,0.0,1.03,98,0,0,1.6,12.0,2023-10-29,90,14,0,0,0,0,10,0,778184,1,3,0,2.0,6,-48904,8616,57520,5.5,False,0,0,0,0.0,90,Manchester United,Manchester City,0,3,21992,2023,620737,0.0,0,0,0,0.0,0.8354457020759583,0.8354457020759583,Manchester City,5,4,10,3.5,DEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.4,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.1,0.15,0.05,0.28,1.0,0.0,2.87,12.2,8.23,8.33,65.0,0.33,0.0,0.0,0.0,0.0,0.0,0.67,0.67,1.67,0.67,0.0,1.0,0.05,0.01,0.0,0.0,0.33,0.0,0.05,0.1,0.07,2.6,0.2,0.07,0.14,0.07,0.56,0.8,0.0,3.36,15.56,5.86,12.2,75.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.6,2.0,0.0,1.0,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.2,0.17,2.96,-46291.0,-0.7394459900810452
0,0,15,0,6.3,350,0.07,0.07,0.0,2.96,115,4,0,2.1,14.4,2023-11-12,90,7,0,0,0,0,12,0,761484,1,4,4,0.0,0,-31404,15034,46438,5.5,False,0,0,0,0.0,90,Chelsea,Manchester City,4,4,22009,2023,624158,0.0,0,0,0,0.0,0.9304620027542114,0.9304620027542114,Manchester City,5,3,12,3.0,DEF,1.0,0.01,0.01,0.0,1.03,0.0,0.0,1.6,12.0,1.6,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.84,3.5,0.33,0.01,0.01,0.0,0.48,0.33,0.0,1.07,8.47,1.5,0.67,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,2.67,0.4,0.07,0.1,0.03,0.58,0.6,0.0,2.54,14.16,5.72,5.4,75.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.4,2.8,0.0,0.6,0.03,0.0,0.0,0.0,0.2,0.0,0.03,0.25,0.24,3.06,-16700.0,-0.5108667360749609
