assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,pts_bps,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,pts_bps_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,pts_bps_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,pts_bps_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
0,2,26,0,0.1,437,0.0,0.57,0.57,0.46,2,0,1,6.8,33.2,2023-08-12,19,1,0,0,0,0,1,0,33175,0,1,2,35.0,7,0,0,0,6.5,False,0,437,,,Taiwo Awoniyi,1,1,0.6045634746551514,13,Sub,Arsenal,Nottingham Forest,2,1,22276,2023,603722,0.0,0,0,1,0.6045634746551514,0.6045634746551514,0.0,22276,Nottingham Forest,Taiwo Awoniyi,Taiwo Awoniyi,2,5,1,0.4,FWD,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0,1,29,0,21.8,437,0.02,0.33,0.31,0.51,17,1,1,8.1,38.6,2023-08-18,83,17,0,0,0,0,2,0,114885,1,1,2,21.0,7,49631,57163,7532,6.5,True,0,437,,,Taiwo Awoniyi,1,1,0.4561017155647278,86,FW,Nottingham Forest,Sheffield United,2,1,22285,2023,604782,0.0760499536991119,0,2,1,0.4561017155647278,0.5321516394615173,0.0,22285,Nottingham Forest,Taiwo Awoniyi,Taiwo Awoniyi,2,2,2,7.5,FWD,6,0.0,0.0,0.57,0.57,0.46,0.0,1.0,6.8,33.2,0.1,35.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,1.0,0.6,0.0,0.0,0.0,0.0,1.0,0.6,0.6,0.0,0.4,0.0,0.0,0.19,0.19,0.15,0.0,0.33,2.27,11.07,0.03,11.67,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,1.67,0.33,0.33,0.2,0.0,0.0,0.0,0.0,0.33,0.2,0.2,0.0,0.13,0.0,0.0,0.11,0.11,0.09,0.0,0.2,1.36,6.64,0.02,7.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,1.0,0.2,0.2,0.12,0.0,0.0,0.0,0.0,0.2,0.12,0.12,0.0,0.08,81710.0,0.7671535667362238
0,0,29,0,2.6,437,0.02,0.69,0.67,2.79,28,3,1,6.4,32.8,2023-08-26,80,14,0,0,0,0,3,0,185747,1,2,3,29.0,6,51273,85737,34464,6.5,False,0,437,,,Taiwo Awoniyi,1,3,0.606080174446106,84,FW,Manchester United,Nottingham Forest,3,2,22300,2023,606972,0.0,0,0,1,0.606080174446106,0.5790702104568481,0.0152221051976084,22300,Nottingham Forest,Taiwo Awoniyi,Taiwo Awoniyi,2,4,3,6.2,FWD,6,0.0,0.02,0.33,0.31,0.51,1.0,1.0,8.1,38.6,21.8,21.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,1.0,1.0,0.46,0.08,0.0,0.0,2.0,1.0,0.46,0.53,0.0,7.5,0.0,0.01,0.3,0.29,0.32,0.33,0.67,4.97,23.93,7.3,18.67,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,1.33,3.67,0.67,0.67,0.35,0.03,0.0,0.0,0.67,0.67,0.35,0.38,0.0,2.63,0.0,0.0,0.18,0.18,0.19,0.2,0.4,2.98,14.36,4.38,11.2,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.8,2.2,0.4,0.4,0.21,0.02,0.0,0.0,0.4,0.4,0.21,0.23,0.0,1.58,70862.0,0.4265605111438341
1,0,15,1,23.8,437,0.25,0.53,0.28,1.54,35,0,0,5.7,17.8,2023-09-02,64,7,0,0,0,0,4,0,340888,1,1,0,15.0,5,121565,153617,32052,6.5,False,0,437,,,Taiwo Awoniyi,0,2,0.6314279437065125,70,FW,Chelsea,Nottingham Forest,0,1,21930,2023,608763,0.3796132504940033,1,2,0,0.6314279437065125,0.3796132504940033,0.0,21930,Nottingham Forest,Taiwo Awoniyi,Taiwo Awoniyi,2,3,4,6.2,FWD,5,0.0,0.02,0.69,0.67,2.79,3.0,1.0,6.4,32.8,2.6,29.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,1.0,3.0,0.61,0.0,0.0,0.0,0.0,1.0,0.61,0.58,0.02,6.2,0.0,0.01,0.53,0.52,1.25,1.33,1.0,7.1,34.87,8.17,28.33,60.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,2.33,5.67,1.0,1.67,0.56,0.03,0.0,0.0,0.67,1.0,0.56,0.57,0.01,4.7,0.0,0.01,0.32,0.31,0.75,0.8,0.6,4.26,20.92,4.9,17.0,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,1.4,3.4,0.6,1.0,0.33,0.02,0.0,0.0,0.4,0.6,0.33,0.34,0.0,2.82,155141.0,0.6547404251652134
1,0,16,0,21.5,437,0.04,0.12,0.08,0.28,47,1,0,4.9,18.6,2023-09-18,87,6,0,0,0,0,5,0,615394,1,1,1,9.0,5,240647,283798,43151,6.6,True,0,437,,,Taiwo Awoniyi,0,1,0.1129670590162277,90,FW,Nottingham Forest,Burnley,1,1,21944,2023,611592,0.0703570321202278,1,2,0,0.1129670590162277,0.2126474678516388,0.0293233785778284,21944,Nottingham Forest,Taiwo Awoniyi,Taiwo Awoniyi,2,2,5,5.8,FWD,5,1.0,0.25,0.53,0.28,1.54,0.0,0.0,5.7,17.8,23.8,15.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,2.0,0.63,0.38,1.0,1.0,2.0,0.0,0.63,0.38,0.0,6.2,0.33,0.1,0.52,0.42,1.61,1.33,0.67,6.73,29.73,16.07,21.67,75.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,1.67,5.67,0.67,2.0,0.56,0.15,0.33,0.33,1.33,0.67,0.56,0.5,0.01,6.63,0.2,0.06,0.42,0.37,1.06,0.8,0.6,5.4,24.48,9.66,20.0,49.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.4,4.4,0.6,1.4,0.46,0.09,0.2,0.2,0.8,0.6,0.46,0.42,0.0,4.06,274506.0,0.7360383423714402
0,0,-1,0,10.6,437,0.03,0.52,0.49,0.78,59,2,0,2.3,2.0,2023-09-23,74,13,0,0,0,0,6,0,552857,1,0,2,10.0,1,-52556,44131,96687,6.6,False,1,437,,,Taiwo Awoniyi,0,1,0.2753182053565979,80,FW,Manchester City,Nottingham Forest,2,0,21946,2023,612171,0.049713846296072,0,1,0,0.2753182053565979,0.3250320255756378,0.0,21946,Nottingham Forest,Taiwo Awoniyi,Taiwo Awoniyi,2,5,6,3.2,FWD,1,0.0,0.04,0.12,0.08,0.28,1.0,0.0,4.9,18.6,21.5,9.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,0.11,0.07,1.0,1.0,2.0,0.0,0.11,0.21,0.03,5.8,0.33,0.1,0.45,0.34,1.54,1.33,0.33,5.67,23.07,15.97,17.67,77.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,1.33,5.33,0.33,2.0,0.45,0.15,0.67,0.67,1.33,0.33,0.45,0.39,0.01,6.07,0.2,0.07,0.45,0.38,1.12,1.0,0.6,6.38,28.2,13.96,21.8,66.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,1.6,5.4,0.6,1.6,0.48,0.11,0.4,0.4,1.2,0.6,0.48,0.46,0.01,5.22,-62537.0,-0.37321933275575564
0,0,8,0,22.1,437,0.02,0.02,0.0,0.87,67,1,0,3.3,9.2,2023-10-01,80,4,0,0,0,0,7,0,617874,1,1,1,2.0,2,55443,122282,66839,6.6,True,0,437,,,Taiwo Awoniyi,0,0,0.0,83,FW,Nottingham Forest,Brentford,1,1,21963,2023,615251,0.0998217761516571,0,2,0,0.0,0.1221743747591972,0.105377048254013,21963,Nottingham Forest,Taiwo Awoniyi,Taiwo Awoniyi,2,2,7,2.7,FWD,2,0.0,0.03,0.52,0.49,0.78,2.0,0.0,2.3,2.0,10.6,10.0,74.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.28,0.05,0.0,0.0,1.0,0.0,0.28,0.33,0.0,3.2,0.33,0.11,0.39,0.28,0.87,1.0,0.0,4.3,12.8,18.63,11.33,75.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,1.0,3.67,0.0,1.33,0.34,0.17,0.67,0.67,1.67,0.0,0.34,0.31,0.01,5.07,0.2,0.07,0.44,0.37,1.18,1.4,0.4,5.48,21.96,16.06,16.8,77.6,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.0,1.6,4.6,0.4,1.6,0.42,0.12,0.4,0.4,1.4,0.4,0.42,0.41,0.01,5.78,65017.0,0.29316152093104414
0,0,3,0,0.1,437,0.0,0.0,0.0,0.51,97,1,0,0.1,0.0,2023-10-29,21,11,0,0,0,0,10,0,244009,0,0,3,2.0,1,-88048,314,88362,6.5,False,0,437,,,Taiwo Awoniyi,0,0,0.0,17,Sub,Liverpool,Nottingham Forest,3,0,21991,2023,620621,0.0,0,0,0,0.0,0.0,0.0,21991,Nottingham Forest,Taiwo Awoniyi,Taiwo Awoniyi,2,5,10,0.0,FWD,1,0.0,0.02,0.02,0.0,0.87,1.0,0.0,3.3,9.2,22.1,2.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.1,0.0,0.0,2.0,0.0,0.0,0.12,0.11,2.7,0.0,0.03,0.22,0.19,0.64,1.33,0.0,3.5,9.93,18.07,7.0,80.33,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,1.33,2.67,0.0,0.67,0.13,0.07,0.33,0.33,1.67,0.0,0.13,0.22,0.04,3.9,0.2,0.07,0.38,0.3,1.25,1.4,0.2,4.52,16.08,16.12,13.0,77.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.0,1.4,3.8,0.2,1.4,0.33,0.12,0.4,0.4,1.4,0.2,0.33,0.32,0.03,4.82,-373865.0,-0.9929180387026929
0,0,3,1,3.1,437,0.01,0.01,0.0,1.15,108,0,0,1.0,0.8,2023-11-05,81,2,0,0,0,0,11,0,216933,1,0,2,6.0,2,-28968,3448,32416,6.4,True,0,437,,,Taiwo Awoniyi,0,0,0.0,86,FW,Nottingham Forest,Aston Villa,2,0,22002,2023,622077,0.0,0,0,0,0.0,0.4568498432636261,0.4568498432636261,22002,Nottingham Forest,Taiwo Awoniyi,Taiwo Awoniyi,3,2,11,0.8,FWD,2,0.0,0.0,0.0,0.0,0.51,1.0,0.0,0.1,0.0,0.1,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.18,0.16,0.72,1.33,0.0,1.9,3.73,10.93,4.67,58.33,0.0,0.0,0.0,0.0,0.33,0.0,0.67,0.33,2.0,1.33,0.0,0.33,0.09,0.05,0.0,0.0,1.0,0.0,0.09,0.15,0.04,1.97,0.2,0.07,0.24,0.17,0.8,1.0,0.0,3.26,9.52,15.62,7.6,65.2,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.6,1.4,2.8,0.0,0.8,0.2,0.12,0.4,0.4,1.4,0.0,0.2,0.21,0.03,3.58,-27076.0,-0.8077180459513719
0,0,22,0,5.9,437,0.01,1.33,1.32,1.14,119,2,1,8.2,38.2,2023-11-12,75,19,0,0,0,0,12,0,215037,1,2,3,38.0,6,-3560,8818,12378,6.4,False,0,437,,,Taiwo Awoniyi,1,3,1.0288914442062378,79,FW,West Ham,Nottingham Forest,3,2,22013,2023,623738,0.0,0,0,1,1.0288914442062378,1.0592594146728516,0.4142399728298187,22013,Nottingham Forest,Taiwo Awoniyi,Taiwo Awoniyi,2,3,12,3.0,FWD,6,1.0,0.01,0.01,0.0,1.15,0.0,0.0,1.0,0.8,3.1,6.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.8,0.33,0.01,0.01,0.0,0.84,0.67,0.0,1.47,3.33,8.43,3.33,60.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,2.0,1.67,0.0,0.0,0.0,0.03,0.0,0.0,0.67,0.0,0.0,0.19,0.19,1.17,0.2,0.02,0.13,0.11,0.72,1.0,0.0,2.32,6.12,11.48,5.8,68.6,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.4,1.8,2.2,0.0,0.4,0.08,0.04,0.2,0.2,1.0,0.0,0.08,0.22,0.12,2.5,-1896.0,-0.16795621815436876
