assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,pts_bps
0,0,9,0,15.4,602,0.26,0.28,0.02,1.55,4,1,0,2.2,1.6,2023-08-12,63,5,0,0,0,0,1,0,544103,1,1,4,5.0,1,0,0,0,40,False,1,602,,,Issa Kaboré,0,1,0.0191830582916736,65,DMR,Brighton,Luton,4,1,22278,2023,603776,0.836603045463562,0,1,0,0.0191830582916736,0.8789198994636536,0.0423168651759624,22278,Luton,Issa Kaboré,Issa Kabore,2,3,1,0.5,DEF,1
0,0,7,0,1.2,602,0.0,0.03,0.03,1.52,26,2,0,1.1,3.0,2023-08-25,69,7,0,0,0,0,3,0,555513,1,0,3,7.0,1,-11313,24068,35381,40,False,0,602,,,Issa Kaboré,0,1,0.0411850400269031,72,DR,Chelsea,Luton,3,0,22295,2023,606597,0.0,0,0,0,0.0411850400269031,0.0411850400269031,0.0,22295,Luton,Issa Kaboré,Issa Kabore,2,3,3,0.5,DEF,1
0,0,5,0,4.3,602,0.03,0.03,0.0,0.2,38,1,0,0.9,2.4,2023-09-01,19,19,0,0,0,0,4,0,529397,0,2,1,2.0,1,-28769,19364,48133,40,True,0,602,,,Issa Kaboré,0,0,0.0,17,Sub,Luton,West Ham,1,2,21925,2023,608285,0.0,0,0,0,0.0,0.6162768602371216,0.6162768602371216,21925,Luton,Issa Kaboré,Issa Kabore,2,2,4,0.5,DEF,1
0,0,17,0,47.5,602,0.37,0.4,0.03,0.98,44,1,0,7.7,24.8,2023-09-16,90,10,0,0,0,0,5,0,513034,1,0,1,5.0,2,-20411,18604,39015,40,False,0,602,,,Issa Kaboré,0,1,0.0615186542272567,90,DR,Fulham,Luton,1,0,21939,2023,610415,0.7693142294883728,0,3,0,0.0615186542272567,1.3225735425949097,0.5390226244926453,21939,Luton,Issa Kaboré,Issa Kabore,2,3,5,0.8,DEF,2
1,0,14,0,3.2,602,0.01,0.06,0.05,0.59,58,1,0,1.5,8.2,2023-09-23,84,20,0,0,0,0,6,0,514736,1,1,1,4.0,5,349,28383,28034,40,True,0,602,,,Issa Kaboré,0,1,0.0568599216639995,90,DMR,Luton,Wolverhampton Wanderers,1,1,21945,2023,612181,0.0,0,0,0,0.0568599216639995,0.1386973112821579,0.081837385892868,21945,Luton,Issa Kaboré,Issa Kabore,2,2,6,2.2,DEF,5
0,0,13,0,18.7,602,0.11,0.11,0.0,0.98,15,1,0,2.8,9.0,2023-10-03,61,6,0,0,0,0,7,0,735317,1,2,1,0.0,2,201353,220822,19469,40,True,0,602,,,Issa Kaboré,0,0,0.0,66,DMR,Luton,Burnley,1,2,22289,2023,615872,0.11384317278862,0,1,0,0.0,0.11384317278862,0.0,22289,Luton,Issa Kaboré,Issa Kabore,2,2,2,4.5,DEF,2
0,0,5,0,14.8,602,0.01,0.01,0.0,0.49,88,1,0,2.0,5.6,2023-10-21,35,16,0,0,0,0,9,0,676373,0,2,2,0.0,1,-16466,34260,50726,40,False,0,602,,,Issa Kaboré,0,0,0.0,32,Sub,Nottingham Forest,Luton,2,2,21982,2023,618087,0.0256670545786619,0,1,0,0.0,0.0256670545786619,0.0,21982,Luton,Issa Kaboré,Issa Kabore,2,2,9,0.5,DEF,1
0,0,1,0,1.3,602,0.0,0.0,0.0,2.39,92,3,0,0.3,1.8,2023-10-29,90,2,0,0,0,0,10,0,631711,1,1,3,0.0,0,-44219,22110,66329,40,False,1,602,,,Issa Kaboré,0,0,0.0,90,DR,Aston Villa,Luton,3,1,21987,2023,620457,0.0,0,0,0,0.0,0.0,0.0,21987,Luton,Issa Kaboré,Issa Kabore,2,4,10,0.3,DEF,0
1,3,23,0,10.9,602,0.25,0.34,0.09,3.04,105,1,0,7.3,41.4,2023-11-05,90,11,0,0,0,0,11,0,601640,1,1,1,21.0,8,-30271,5847,36118,40,True,0,602,,,Issa Kaboré,0,2,0.1250994205474853,90,DMR,Luton,Liverpool,1,1,21999,2023,622352,0.5628013014793396,1,1,0,0.1250994205474853,0.687900722026825,0.0,21999,Luton,Issa Kaboré,Issa Kabore,4,2,11,2.0,DEF,5
0,0,4,0,26.5,602,0.15,0.15,0.0,2.01,118,1,0,4.3,12.0,2023-11-11,86,14,0,0,0,0,12,0,606751,1,0,1,4.0,1,3107,20066,16959,40,False,1,602,,,Issa Kaboré,0,0,0.0,89,DMR,Manchester United,Luton,1,0,22012,2023,623247,0.1062215939164161,0,2,0,0.0,0.1062215939164161,0.0,22012,Luton,Issa Kaboré,Issa Kabore,2,4,12,2.0,DEF,1
0,0,11,0,0.7,602,0.0,0.0,0.0,3.47,133,3,0,1.7,16.6,2023-12-02,90,4,0,0,0,0,14,0,559005,1,1,3,0.0,1,-24485,5848,30333,40,False,0,602,,,Issa Kaboré,0,0,0.0,90,DMR,Brentford,Luton,3,1,22027,2023,626517,0.0,0,0,0,0.0,0.0,0.0,22027,Luton,Issa Kaboré,Issa Kabore,2,2,14,2.0,DEF,1
0,0,9,0,1.3,602,0.0,0.0,0.0,2.44,146,4,0,1.8,16.8,2023-12-05,90,1,0,0,0,0,15,0,557243,1,4,3,0.0,0,-3089,8893,11982,40,True,0,602,,,Issa Kaboré,0,0,0.0,90,DMR,Luton,Arsenal,3,4,22039,2023,627905,0.0,0,0,0,0.0,0.031810462474823,0.031810462474823,22039,Luton,Issa Kaboré,Issa Kabore,5,2,15,-0.5,DEF,0
0,0,7,0,11.3,602,0.01,0.01,0.0,0.94,175,0,0,2.3,9.8,2023-12-23,45,15,0,0,0,0,18,0,492192,1,0,1,2.0,1,-15599,2806,18405,40,True,0,602,,,Issa Kaboré,0,0,0.0,49,DMR,Luton,Newcastle United,1,0,22069,2023,632638,0.0194430667906999,0,1,0,0.0,0.0194430667906999,0.0,22069,Luton,Issa Kaboré,Issa Kabore,3,2,18,-0.6,DEF,1
0,0,2,0,1.2,602,0.0,0.0,0.0,0.35,195,2,0,0.3,1.8,2023-12-30,45,7,0,0,0,0,20,0,462097,1,3,2,0.0,0,-26389,1181,27570,40,True,0,602,,,Issa Kaboré,0,0,0.0,50,DMR,Luton,Chelsea,2,3,22089,2023,633368,0.0,0,0,0,0.0,0.0,0.0,22089,Luton,Issa Kaboré,Issa Kabore,3,2,20,-0.3,DEF,0
