goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,1,0.0419550985097885,90,AMR,Manchester United,Burnley,3,2,2025-08-30,28802,2025,735118,0.5822235345840454,1,2,0,0.0419550985097885,0.5822235345840454,0.0
1,0,1,0.0715071782469749,73,AMR,Burnley,Sunderland,2,0,2025-08-23,28791,2025,733266,0.0,0,0,0,0.0715071782469749,0.4133703112602234,0.3418631255626678
2,0,0,0.0,26,Sub,Tottenham,Burnley,3,0,2025-08-16,28782,2025,731840,0.0,0,0,0,0.0,0.0,0.0
3,0,1,0.3384917080402374,5,Sub,RasenBallsport Leipzig,VfB Stuttgart,2,3,2025-05-17,28039,2024,727812,0.011397635564208,0,1,0,0.3384917080402374,0.3384917080402374,0.0
4,0,1,0.0772184506058693,15,Sub,St. Pauli,VfB Stuttgart,0,1,2025-05-03,28029,2024,723947,0.0670393407344818,0,1,0,0.0772184506058693,0.1442577838897705,0.0
5,0,1,0.0941257029771804,9,Sub,VfB Stuttgart,FC Heidenheim,0,1,2025-04-25,28013,2024,722254,0.0,0,0,0,0.0941257029771804,0.1422886699438095,0.0481629706919193
6,0,0,0.0,1,Sub,Union Berlin,VfB Stuttgart,4,4,2025-04-19,28010,2024,720697,0.0,0,0,0,0.0,0.0,0.0
7,0,0,0.0,9,Sub,VfB Stuttgart,Werder Bremen,1,2,2025-04-13,27995,2024,719372,0.0202814266085624,0,1,0,0.0,0.0202814266085624,0.0202814266085624
8,0,0,0.0,5,Sub,Bochum,VfB Stuttgart,0,4,2025-04-05,27992,2024,716724,0.0,0,0,0,0.0,0.0,0.0
9,0,0,0.0,9,Sub,Eintracht Frankfurt,VfB Stuttgart,1,0,2025-03-29,27978,2024,715052,0.0,0,0,0,0.0,0.1248863488435745,0.1248863488435745
10,0,0,0.0,43,Sub,Holstein Kiel,VfB Stuttgart,2,2,2025-03-08,27966,2024,711094,0.0,0,0,0,0.0,0.0695424079895019,0.0695424079895019
11,0,0,0.0,4,Sub,VfB Stuttgart,Bayern Munich,1,3,2025-02-28,27949,2024,709371,0.0,0,0,0,0.0,0.0624410398304462,0.0624410398304462
12,0,0,0.0,16,Sub,Hoffenheim,VfB Stuttgart,1,1,2025-02-23,27943,2024,708837,0.0,0,0,0,0.0,0.0900796353816986,0.0900796353816986
13,0,1,0.0622312873601913,81,ML,VfB Stuttgart,Borussia M.Gladbach,1,2,2025-02-01,27917,2024,703240,0.4784489870071411,0,3,0,0.0622312873601913,0.5406802892684937,0.027822820469737
14,0,1,0.017031867057085,76,AMC,Mainz 05,VfB Stuttgart,2,0,2025-01-25,27909,2024,701335,0.1211229339241981,0,1,0,0.017031867057085,0.017031867057085,0.0
15,0,0,0.0,24,Sub,VfB Stuttgart,Freiburg,4,0,2025-01-18,27896,2024,699970,0.1413385570049286,0,1,0,0.0,0.2272733300924301,0.0859347730875015
16,1,1,0.3018329441547394,66,MR,VfB Stuttgart,RasenBallsport Leipzig,2,1,2025-01-15,27887,2024,699479,0.0327110365033149,0,1,1,0.3018329441547394,0.3345439732074737,0.0
17,0,0,0.0,25,Sub,Augsburg,VfB Stuttgart,0,1,2025-01-12,27882,2024,698772,0.2358045578002929,0,2,0,0.0,0.3391860127449035,0.1033814698457717
18,0,2,0.5117097496986389,84,FW,Hoffenheim,Borussia M.Gladbach,1,2,2024-12-21,27872,2024,695143,0.1964581906795501,0,3,0,0.5117097496986389,1.441608428955078,0.7334404587745667
19,1,1,0.4665561616420746,35,Sub,Borussia Dortmund,Hoffenheim,1,1,2024-12-15,27860,2024,694493,0.0,0,0,1,0.4665561616420746,0.5346773862838745,0.0681212246417999
20,0,2,0.6136667132377625,79,AMC,Hoffenheim,Freiburg,1,1,2024-12-08,27852,2024,693054,0.0460517928004264,0,1,0,0.6136667132377625,0.8654346466064453,0.2057161182165146
21,0,2,0.3808089196681976,81,AML,Mainz 05,Hoffenheim,2,0,2024-12-01,27847,2024,691067,0.0196519345045089,0,1,0,0.3808089196681976,0.4244681894779205,0.0436592958867549
22,1,1,0.1958407908678054,8,Sub,Hoffenheim,RasenBallsport Leipzig,4,3,2024-11-23,27837,2024,688212,0.0707572028040885,1,1,1,0.1958407908678054,0.0707572028040885,0.0
23,0,0,0.0,4,Sub,Hoffenheim,St. Pauli,0,2,2024-11-02,27818,2024,684885,0.0,0,0,0,0.0,0.0,0.0
