assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team
0,0,0,2,0,0.0,591,0.0,0.0,0.0,0.07,7,0,0,0.3,3.0,2024-08-17,5,False,2,0,0,0,0,1,0,39237,0,2,1,0.0,1,0,0,0,45,True,0,0,0,0.0,2,Sub,West Ham,Aston Villa,1,2,26608,2024,666459,0.0,0,0,0,0.0,0.0,0.0,West Ham
1,0,0,3,0,0.0,591,0.0,0.0,0.0,0.03,14,0,0,0.2,2.0,2024-08-24,2,False,7,0,0,0,0,2,0,43788,0,2,0,0.0,1,-2308,1860,4168,45,False,0,0,0,0.0,2,Sub,Crystal Palace,West Ham,0,2,26613,2024,667940,0.0,0,0,0,0.0,0.1230439096689224,0.1230439096689224,West Ham
2,0,0,10,0,0.9,591,0.01,0.11,0.1,0.37,53,1,0,3.2,23.2,2024-09-28,90,False,4,0,0,0,0,6,0,34162,1,1,1,8.0,2,-2387,993,3380,44,False,0,0,2,0.0988482534885406,90,DC,Brentford,West Ham,1,1,26656,2024,677878,0.0,0,0,0,0.0988482534885406,0.0327210910618305,0.0327210910618305,West Ham
3,0,0,18,0,0.3,591,0.0,0.0,0.0,0.65,70,1,0,2.0,19.4,2024-10-05,90,False,10,0,0,0,0,7,0,34677,1,1,4,0.0,2,-172,1736,1908,44,True,0,0,0,0.0,90,DC,West Ham,Ipswich,4,1,26665,2024,679484,0.0,0,0,0,0.0,0.5331121683120728,0.5331121683120728,West Ham
4,0,0,2,0,10.5,591,0.01,0.01,0.0,1.92,79,4,0,4.0,27.0,2024-10-19,90,False,18,0,0,0,0,8,0,34172,1,1,4,2.0,0,-838,911,1749,44,False,0,0,0,0.0,90,DC,Tottenham,West Ham,4,1,26672,2024,680958,0.0071420753374695,0,1,0,0.0,0.1213808879256248,0.1213808879256248,West Ham
5,0,0,3,0,0.4,591,0.0,0.0,0.0,0.63,90,1,0,1.2,9.8,2024-10-27,45,False,14,0,0,0,0,9,0,33301,0,1,2,2.0,1,-1021,434,1455,44,True,0,0,0,0.0,41,Sub,West Ham,Manchester United,2,1,26690,2024,683460,0.0,0,0,0,0.0,0.1001763418316841,0.1001763418316841,West Ham
6,0,0,2,0,1.2,591,0.0,0.0,0.0,2.17,97,3,0,1.4,11.2,2024-11-02,90,False,16,0,0,0,0,10,0,32749,1,0,3,2.0,1,-769,573,1342,44,False,0,0,0,0.0,90,DC,Nottingham Forest,West Ham,3,0,26698,2024,685070,0.0,0,0,0,0.0,0.0,0.0,West Ham
7,0,0,24,1,10.4,591,0.0,0.0,0.0,1.11,109,0,0,2.7,16.4,2024-11-09,90,False,8,0,0,0,0,11,0,32500,1,0,0,0.0,6,-455,716,1171,43,True,0,0,0,0.0,90,DC,West Ham,Everton,0,0,26710,2024,686635,0.0226141773164272,0,1,0,0.0,0.1439620405435562,0.1439620405435562,West Ham
8,0,0,8,0,0.2,591,0.0,0.0,0.0,1.34,119,0,0,1.1,11.2,2024-11-25,56,False,15,0,0,0,0,12,0,33403,1,2,0,0.0,1,499,1535,1036,43,False,0,0,0,0.0,60,DC,Newcastle United,West Ham,0,2,26713,2024,689568,0.0,0,0,0,0.0,0.0738624408841133,0.0738624408841133,West Ham
9,0,0,-3,0,0.4,591,0.0,0.0,0.0,3.6,129,5,0,1.8,18.0,2024-11-30,90,False,1,0,0,0,0,13,0,32269,1,5,2,0.0,0,-1069,475,1544,43,True,0,0,0,0.0,90,DC,West Ham,Arsenal,2,5,26730,2024,690360,0.0,0,0,0,0.0,0.1443782150745391,0.1443782150745391,West Ham
