assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team
0,0,0,-2,0,0.9,106,0.01,0.14,0.13,0.5,8,1,0,1.6,6.8,2024-08-18,73,False,7,0,0,0,0,1,0,6235,1,1,2,8.0,2,0,0,0,55,True,0,0,1,0.0786547511816024,77,FWL,Brentford,Crystal Palace,2,1,26609,2024,666803,0.0,0,0,0,0.0786547511816024,0.0786547511816024,0.0,Brentford
1,0,0,3,0,0.5,106,0.0,0.0,0.0,0.13,16,0,0,0.1,0.0,2024-08-25,17,False,12,0,0,0,0,2,0,6818,0,0,2,0.0,1,-607,374,981,55,False,0,0,0,0.0,15,Sub,Liverpool,Brentford,2,0,26621,2024,668975,0.0,0,0,0,0.0,0.0,0.0,Brentford
2,1,0,16,1,13.3,106,0.0,0.23,0.23,1.04,22,0,0,4.6,5.4,2024-08-31,74,False,17,0,0,0,0,3,0,6776,1,1,3,27.0,6,-571,544,1115,55,True,0,0,2,0.3795889019966125,78,FWL,Brentford,Southampton,3,1,26623,2024,671731,0.0993802845478057,0,1,0,0.3795889019966125,1.9166853427886963,1.4377161264419556,Brentford
3,0,0,8,0,12.0,106,0.02,0.02,0.0,1.49,37,0,0,2.2,8.4,2024-09-14,45,False,13,0,0,0,0,4,0,7320,0,1,2,2.0,1,-364,795,1159,55,False,0,0,0,0.0,45,Sub,Manchester City,Brentford,2,1,26637,2024,673700,0.0295312516391277,0,1,0,0.0,0.0420255623757839,0.0420255623757839,Brentford
4,0,0,3,0,0.3,106,0.0,0.06,0.06,0.51,49,1,0,2.7,7.2,2024-09-21,27,False,18,0,0,0,0,5,0,17286,0,1,3,19.0,1,9209,11999,2790,54,False,0,0,1,0.0468297973275184,23,Sub,Tottenham,Brentford,3,1,26648,2024,675804,0.0,0,0,0,0.0468297973275184,0.0,0.0,Brentford
5,0,0,7,0,1.3,106,0.02,0.02,0.0,0.88,53,1,0,1.4,8.4,2024-09-28,59,False,19,0,0,0,0,6,0,16833,1,1,1,4.0,1,-183,5966,6149,54,True,0,0,0,0.0,61,MR,Brentford,West Ham,1,1,26656,2024,677868,0.0,0,0,0,0.0,0.0,0.0,Brentford
6,0,0,6,0,0.3,106,0.0,0.54,0.54,0.7,63,2,0,5.5,8.6,2024-10-05,76,False,20,0,0,0,0,7,0,14061,1,3,5,46.0,2,-2854,871,3725,54,True,0,0,2,0.5873571038246155,81,FW,Brentford,Wolverhampton Wanderers,5,3,26667,2024,679555,0.0,0,0,0,0.5873571038246155,0.5873571038246155,0.0,Brentford
7,0,0,0,0,3.0,106,0.01,0.1,0.09,1.14,75,2,0,0.6,0.0,2024-10-19,73,False,14,0,0,0,0,8,0,12126,1,1,2,4.0,2,-2044,403,2447,53,False,0,0,1,0.1228113621473312,81,FW,Manchester United,Brentford,2,1,26675,2024,681313,0.0,0,0,0,0.1228113621473312,0.1562994718551635,0.0334881208837032,Brentford
8,0,0,3,0,0.0,106,0.0,0.14,0.14,0.16,83,1,0,1.2,1.0,2024-10-26,13,False,10,0,0,0,0,9,0,11870,0,3,4,11.0,1,-368,1060,1428,53,True,0,0,1,0.1011518612504005,5,Sub,Brentford,Ipswich,4,3,26685,2024,683003,0.0,0,0,0,0.1011518612504005,0.1011518612504005,0.0,Brentford
9,0,0,3,0,4.8,106,0.0,0.0,0.0,0.62,92,2,0,0.9,3.8,2024-11-04,18,False,9,0,0,0,0,10,0,10149,0,1,2,0.0,1,-1736,276,2012,52,False,0,0,0,0.0,16,Sub,Fulham,Brentford,2,1,26693,2024,686133,0.0,0,0,0,0.0,0.0,0.0,Brentford
10,0,0,-3,0,0.3,106,0.0,0.27,0.27,0.44,101,0,0,0.8,0.0,2024-11-09,7,False,3,0,0,0,0,11,0,9200,0,2,3,10.0,0,-1011,289,1300,52,True,1,0,1,0.1519253998994827,5,Sub,Brentford,Bournemouth,3,2,26702,2024,686582,0.0,0,0,0,0.1519253998994827,0.1519253998994827,0.0,Brentford
11,0,0,3,0,0.0,106,0.0,0.0,0.0,0.52,114,0,0,0.6,6.0,2024-11-23,18,False,8,0,0,0,0,12,0,8447,0,0,0,0.0,1,-841,249,1090,51,False,0,0,0,0.0,15,Sub,Everton,Brentford,0,0,26715,2024,688477,0.0,0,0,0,0.0,0.0,0.0,Brentford
12,1,3,85,0,13.1,106,0.35,1.6,1.25,0.88,121,1,3,23.7,128.6,2024-11-30,69,False,11,0,0,0,0,13,0,8086,1,1,4,95.0,23,-444,155,599,51,True,0,3,5,1.3155505657196045,78,AML,Brentford,Leicester,4,1,26722,2024,690059,0.525077760219574,1,1,3,1.3155505657196045,1.8406283855438232,0.0,Brentford
