assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team
0,0,0,3,0,0.6,356,0.0,0.0,0.0,0.0,17,0,0,0.1,0.2,2024-08-24,1,False,10,0,0,0,0,2,0,3895,0,1,4,0.0,1,-393,385,778,50,True,0,0,0,0.0,1,Sub,Manchester City,Ipswich,4,1,26615,2024,668082,0.0,0,0,0,0.0,0.0,0.0,Manchester City
1,1,0,18,0,14.7,356,0.17,0.17,0.0,0.22,30,0,0,4.4,23.2,2024-08-31,18,False,19,0,0,0,0,3,0,3913,0,3,1,6.0,4,-371,472,843,49,False,0,0,0,0.0,16,Sub,West Ham,Manchester City,1,3,26628,2024,672030,0.3301194310188293,1,1,0,0.0,0.3301194310188293,0.0,Manchester City
2,0,0,3,0,0.0,356,0.0,0.0,0.0,0.0,37,0,0,0.1,1.0,2024-09-14,1,False,4,0,0,0,0,4,0,10144,0,1,2,0.0,1,4684,6680,1996,49,True,0,0,0,0.0,1,Sub,Manchester City,Brentford,2,1,26637,2024,673685,0.0,0,0,0,0.0,0.0,0.0,Manchester City
3,0,0,3,0,0.0,356,0.0,0.0,0.0,0.0,69,0,0,0.1,1.0,2024-10-05,1,False,9,0,0,0,0,7,0,8699,0,2,3,0.0,1,-682,802,1484,49,True,0,0,0,0.0,1,Sub,Manchester City,Fulham,3,2,26664,2024,679463,0.0,0,0,0,0.0,0.0,0.0,Manchester City
4,0,0,5,0,0.5,356,0.0,0.04,0.04,0.0,80,0,0,1.0,4.0,2024-10-20,4,False,20,0,0,0,0,8,0,8398,0,2,1,5.0,1,-517,453,970,49,False,0,0,1,0.0823856741189956,2,Sub,Wolverhampton Wanderers,Manchester City,1,2,26681,2024,681900,0.0,0,0,0,0.0823856741189956,0.0823856741189956,0.0,Manchester City
5,1,0,25,1,41.1,356,0.56,0.62,0.06,0.17,89,0,0,8.3,20.6,2024-10-26,85,False,17,0,0,0,0,9,0,10698,1,0,1,21.0,6,2084,2799,715,49,True,0,0,2,0.1172586977481842,87,ML,Manchester City,Southampton,1,0,26683,2024,682939,0.5033081769943237,1,2,0,0.1172586977481842,0.9112305641174316,0.3225246071815491,Manchester City
6,0,0,15,0,65.4,356,0.48,0.48,0.0,2.04,91,2,0,11.3,25.4,2024-11-02,90,False,3,0,0,0,0,10,0,54087,1,1,2,22.0,2,41038,43153,2115,49,False,0,0,0,0.0,90,ML,Bournemouth,Manchester City,2,1,26692,2024,684987,0.343500018119812,0,5,0,0.0,0.343500018119812,0.207515001296997,Manchester City
7,0,0,8,0,14.1,356,0.03,0.03,0.0,2.29,102,2,0,2.3,3.2,2024-11-09,90,False,5,0,0,0,0,11,0,47386,1,1,2,6.0,2,-5278,5845,11123,49,False,0,0,0,0.0,90,ML,Brighton,Manchester City,2,1,26703,2024,686873,0.0186552964150905,0,1,0,0.0,0.2213784903287887,0.2027232050895691,Manchester City
8,0,0,-4,0,3.3,356,0.02,0.02,0.0,2.29,125,1,0,1.3,3.6,2024-12-01,56,False,12,0,0,0,0,13,0,27566,1,0,2,6.0,0,-7876,683,8559,49,False,1,0,0,0.0,60,AML,Liverpool,Manchester City,2,0,26726,2024,690881,0.0,0,0,0,0.0,0.1601980179548263,0.1601980179548263,Manchester City
9,0,0,2,0,0.5,356,0.0,0.0,0.0,0.0,138,0,0,0.0,0.0,2024-12-04,1,False,16,0,0,0,0,14,0,24222,0,0,3,0.0,1,-3719,1619,5338,49,True,0,0,0,0.0,1,Sub,Manchester City,Nottingham Forest,3,0,26739,2024,691397,0.0,0,0,0,0.0,0.0,0.0,Manchester City
10,1,2,32,0,62.5,356,0.43,0.5,0.07,1.34,143,2,0,12.4,46.2,2024-12-07,90,False,7,0,0,0,0,15,0,20047,1,2,2,15.0,7,-4224,775,4999,49,False,0,0,1,0.0893002972006797,90,AML,Crystal Palace,Manchester City,2,2,26747,2024,692213,0.4303639531135559,1,4,0,0.0893002972006797,1.345802664756775,1.1816847324371338,Manchester City
11,0,0,15,0,10.2,356,0.04,0.04,0.0,2.08,156,2,0,1.7,4.6,2024-12-15,90,False,14,0,0,0,0,16,0,20721,1,2,1,2.0,2,195,2748,2553,49,True,0,0,0,0.0,90,DL,Manchester City,Manchester United,1,2,26753,2024,694440,0.0,0,0,0,0.0,0.0789900198578834,0.0789900198578834,Manchester City
