assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team
0,0,0,7,0,1.9,559,0.04,0.04,0.0,0.69,29,1,0,1.5,12.8,2024-08-31,74,False,16,0,0,0,0,3,0,3397,1,1,1,0.0,2,859,1161,302,45,False,0,0,0,0.0,77,DR,Nottingham Forest,Wolverhampton Wanderers,1,1,26627,2024,671859,0.0,0,0,0,0.0,0.1056186482310295,0.1056186482310295,Wolverhampton Wanderers
1,0,0,2,0,12.1,559,0.09,0.1,0.01,0.75,40,1,0,3.2,10.8,2024-09-15,76,False,15,0,0,0,0,4,0,5967,1,2,1,9.0,1,1088,1672,584,45,True,1,0,1,0.0121301747858524,79,DR,Wolverhampton Wanderers,Newcastle United,1,2,26641,2024,674611,0.117656372487545,0,1,0,0.0121301747858524,0.4395934045314789,0.3219370245933532,Wolverhampton Wanderers
2,0,0,-4,0,2.3,559,0.01,0.01,0.0,1.73,41,3,0,1.5,13.0,2024-09-21,90,False,2,0,0,0,0,5,0,7992,1,1,3,0.0,0,1312,1974,662,45,False,1,0,0,0.0,90,DR,Aston Villa,Wolverhampton Wanderers,3,1,26647,2024,675762,0.0,0,0,0,0.0,0.2201247960329055,0.2201247960329055,Wolverhampton Wanderers
3,0,0,3,0,11.3,559,0.01,0.02,0.01,2.54,60,2,0,2.1,7.4,2024-09-28,90,False,12,0,0,0,0,6,0,7652,1,2,1,2.0,1,-784,795,1579,45,True,0,0,1,0.0126953152939677,90,DR,Wolverhampton Wanderers,Liverpool,1,2,26658,2024,678051,0.0199809316545724,0,1,0,0.0126953152939677,0.0199809316545724,0.0,Wolverhampton Wanderers
4,1,0,-5,0,17.3,559,0.12,0.16,0.04,4.25,63,5,0,4.7,23.4,2024-10-05,90,False,4,0,0,0,0,7,0,9847,1,3,5,6.0,2,1399,2204,805,45,False,1,0,1,0.0350774861872196,90,DR,Brentford,Wolverhampton Wanderers,5,3,26667,2024,679561,0.1019555181264877,1,1,0,0.0350774861872196,0.1931853741407394,0.1581078767776489,Wolverhampton Wanderers
5,1,0,12,0,15.8,559,0.09,0.48,0.39,1.62,80,2,0,6.7,34.2,2024-10-20,90,False,13,0,0,0,0,8,0,9703,1,2,1,17.0,3,-655,808,1463,45,True,1,0,1,0.4163709282875061,90,DMR,Wolverhampton Wanderers,Manchester City,1,2,26681,2024,681878,0.3284612894058227,1,1,0,0.4163709282875061,0.7448322176933289,0.0,Wolverhampton Wanderers
6,0,0,8,0,11.6,559,0.01,0.05,0.04,1.31,84,2,0,7.3,40.4,2024-10-26,90,False,5,0,0,0,0,9,0,14756,1,2,2,21.0,1,4285,4991,706,45,False,0,0,1,0.0448208302259445,90,DMR,Brighton,Wolverhampton Wanderers,2,2,26686,2024,683041,0.0609717704355716,0,1,0,0.0448208302259445,0.1450807303190231,0.0392881296575069,Wolverhampton Wanderers
7,0,0,3,0,6.1,559,0.04,0.04,0.0,2.51,100,2,0,2.4,15.8,2024-11-02,90,False,7,0,0,0,0,10,0,19376,1,2,2,2.0,1,3764,6695,2931,45,True,0,0,0,0.0,90,DMR,Wolverhampton Wanderers,Crystal Palace,2,2,26701,2024,685238,0.0,0,0,0,0.0,0.4879328906536102,0.4879328906536102,Wolverhampton Wanderers
8,0,0,25,1,10.9,559,0.05,0.05,0.0,0.66,110,0,0,2.7,15.8,2024-11-09,90,False,17,0,0,0,0,11,0,27276,1,0,2,0.0,6,6810,8835,2025,45,True,0,0,0,0.0,90,DMR,Wolverhampton Wanderers,Southampton,2,0,26711,2024,686665,0.1525103151798248,0,1,0,0.0,0.1525103151798248,0.1525103151798248,Wolverhampton Wanderers
9,0,0,2,0,21.3,559,0.18,0.18,0.0,1.03,115,1,0,3.2,8.4,2024-11-23,90,False,9,0,0,0,0,12,0,27030,1,4,1,2.0,2,-231,4914,5145,45,False,0,0,0,0.0,90,DMR,Fulham,Wolverhampton Wanderers,1,4,26717,2024,688410,0.1629852205514907,0,2,0,0.0,0.1629852205514907,0.0,Wolverhampton Wanderers
10,0,0,2,0,3.4,559,0.01,0.02,0.01,3.29,130,4,0,2.2,18.0,2024-11-30,90,False,3,0,0,0,0,13,0,36272,1,4,2,1.0,-1,8345,10183,1838,45,True,1,0,1,0.006144433747977,90,DR,Wolverhampton Wanderers,Bournemouth,2,4,26731,2024,689960,0.0,0,0,0,0.006144433747977,0.0426206551492214,0.0364762209355831,Wolverhampton Wanderers
11,0,0,8,0,12.0,559,0.01,0.06,0.05,1.01,150,2,0,4.1,27.0,2024-12-09,90,False,19,0,0,0,0,15,0,24513,1,1,2,2.0,1,-1471,1310,2781,45,False,0,0,1,0.0312334410846233,90,DC,West Ham,Wolverhampton Wanderers,2,1,26746,2024,693280,0.0147291161119937,0,1,0,0.0312334410846233,0.9835301041603088,0.9522966742515564,Wolverhampton Wanderers
12,0,0,12,0,7.2,559,0.02,0.02,0.0,1.2,160,2,0,3.4,24.8,2024-12-14,90,False,10,0,0,0,0,16,0,29938,1,2,1,2.0,1,4536,6375,1839,45,True,0,0,0,0.0,90,DC,Wolverhampton Wanderers,Ipswich,1,2,26758,2024,693602,0.0,0,0,0,0.0,0.0731184259057045,0.0731184259057045,Wolverhampton Wanderers
13,1,0,27,1,12.3,559,0.07,0.07,0.0,0.47,167,0,0,3.3,20.4,2024-12-22,88,False,11,0,0,0,0,17,0,27951,1,3,0,0.0,9,-2138,2366,4504,45,False,0,0,0,0.0,90,DMR,Leicester,Wolverhampton Wanderers,0,3,26770,2024,695680,0.0719502046704292,1,1,0,0.0,0.465374231338501,0.3934240341186523,Wolverhampton Wanderers
14,0,0,26,1,16.8,559,0.1,0.11,0.01,0.36,180,0,0,3.6,15.4,2024-12-26,90,False,14,0,0,0,0,18,0,28923,1,0,2,4.0,6,487,3278,2791,45,True,0,0,1,0.0174801591783761,90,DMR,Wolverhampton Wanderers,Manchester United,2,0,26781,2024,696307,0.0618270710110664,0,1,0,0.0174801591783761,0.0618270710110664,0.0618270710110664,Wolverhampton Wanderers
15,0,0,2,0,12.3,559,0.01,0.01,0.0,2.25,189,2,0,2.0,5.8,2024-12-29,90,False,18,0,0,0,0,19,0,30969,1,2,2,2.0,0,1613,3730,2117,45,False,1,0,0,0.0,90,DMR,Tottenham,Wolverhampton Wanderers,2,2,26790,2024,696751,0.0195216629654169,0,1,0,0.0,0.0837933421134948,0.0642716810107231,Wolverhampton Wanderers
