assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,0,0,0,0.5,156,0.06,0.06,0.0,0.0,134,0,0,0.8,1.0,2024-12-04,7,0,0,0,0,0,0,0,False,20,0,0,0,0,14,0,5477,0,0,4,6.0,1,25,87,62,5.4,True,0,156,0,0,0.0,1,Everton,Wolverhampton Wanderers,4,0,26735,2024,691580,0.0,0,0,0,0.0,0.2496350407600402,0.2496350407600402,8384,Everton,3,3,14,0.2,FWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.1677852348993288,,,,
0,0,-3,0,0.2,156,0.0,0.0,0.0,0.15,151,0,0,0.5,5.2,2024-12-14,24,0,0,0,0,0,0,0,False,1,0,0,0,0,16,0,6372,0,0,0,0.0,0,464,649,185,5.4,False,1,156,0,0,0.0,23,Arsenal,Everton,0,0,26755,2024,693751,0.0,0,0,0,0.0,0.0,0.0,8384,Everton,3,5,16,-0.3,FWD,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.8,1.0,0.5,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895.0,0.5563549160671463,0.0,0.762,0.164,0.073
0,0,7,0,21.3,156,0.01,0.01,0.0,0.12,176,0,0,2.9,5.4,2024-12-26,20,0,0,0,0,0,0,0,False,13,0,0,0,0,18,0,6326,0,1,1,2.0,1,179,437,258,5.4,False,0,156,0,0,0.0,19,Manchester City,Everton,1,1,26777,2024,696146,0.1268101185560226,0,2,0,0.0,0.1268101185560226,0.0,8384,Everton,3,4,18,-0.1,FWD,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.5,5.2,0.2,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.03,0.03,0.0,0.08,0.0,0.0,0.65,3.1,0.35,3.0,15.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-46.0,0.2575539568345323,,,,
0,0,-2,0,4.7,156,0.01,0.08,0.07,1.04,184,2,0,1.1,0.0,2024-12-29,74,0,0,0,0,0,0,0,False,16,0,0,0,0,19,0,7240,1,2,0,13.0,2,802,1054,252,5.4,True,0,156,0,3,0.0526293888688087,77,Everton,Nottingham Forest,0,2,26785,2024,696679,0.0,0,0,0,0.0526293888688087,0.0526293888688087,0.0113014196977019,8384,Everton,4,3,19,0.8,FWD,0.0,0.01,0.01,0.0,0.12,0.0,0.0,2.9,5.4,21.3,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.13,0.0,0.0,2.0,0.0,0.0,0.13,0.0,-0.1,0.0,0.0,0.0,0.0,0.14,0.0,0.0,1.7,5.3,10.75,1.0,22.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.06,0.0,0.0,1.0,0.0,0.0,0.06,0.0,-0.2,0.0,0.02,0.02,0.0,0.09,0.0,0.0,1.4,3.87,7.33,2.67,17.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.33,1.67,0.67,0.0,0.0,0.0,0.04,0.0,0.0,0.67,0.0,0.0,0.13,0.08,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914.0,0.6140888208269525,,,,
0,0,4,0,1.6,156,0.01,0.05,0.04,1.06,192,0,0,0.9,0.0,2025-01-04,31,0,0,0,0,0,0,0,False,3,0,0,0,0,20,0,7507,1,0,1,8.0,1,199,796,597,5.4,False,0,156,0,1,0.0518326014280319,31,Bournemouth,Everton,1,0,26792,2024,697156,0.0,0,0,0,0.0518326014280319,0.0518326014280319,0.0,8384,Everton,3,3,20,0.8,FWD,0.0,0.01,0.08,0.07,1.04,2.0,0.0,1.1,0.0,4.7,13.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,3.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.01,0.8,0.0,0.01,0.04,0.04,0.58,1.0,0.0,2.0,2.7,13.0,7.5,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.5,1.5,0.0,1.5,0.03,0.06,0.0,0.0,1.0,0.0,0.03,0.09,0.01,0.35,0.0,0.01,0.03,0.02,0.44,0.67,0.0,1.5,3.53,8.73,5.0,39.33,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.0,0.33,1.0,0.0,1.0,0.02,0.04,0.0,0.0,0.67,0.0,0.02,0.06,0.0,0.13,0.0,0.02,0.04,0.02,0.33,0.5,0.0,1.32,2.9,6.68,5.25,31.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.75,1.25,1.0,0.0,0.75,0.01,0.03,0.0,0.0,0.5,0.0,0.01,0.11,0.07,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.0,0.1428571428571428,1.0,0.543,0.25,0.207
0,0,4,0,0.6,156,0.0,0.0,0.0,0.0,284,0,0,0.4,1.2,2025-03-15,10,0,0,0,0,0,0,0,False,19,0,0,0,0,29,0,5601,0,1,1,2.0,1,-13,42,55,5.3,True,0,156,0,0,0.0,9,Everton,West Ham,1,1,26885,2024,712959,0.0,0,0,0,0.0,0.0,0.0,8384,Everton,2,3,29,0.2,FWD,0.0,0.01,0.05,0.04,1.06,0.0,0.0,0.9,0.0,1.6,8.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.8,0.0,0.01,0.06,0.06,1.05,1.0,0.0,1.0,0.0,3.15,10.5,52.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.5,0.0,2.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.01,0.8,0.0,0.01,0.05,0.04,0.74,0.67,0.0,1.63,1.8,9.2,7.67,41.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,0.67,1.33,0.0,1.33,0.03,0.04,0.0,0.0,0.67,0.0,0.03,0.08,0.0,0.5,0.0,0.01,0.04,0.03,0.59,0.5,0.0,1.35,2.65,6.95,5.75,37.25,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.75,0.5,1.0,0.0,1.0,0.03,0.03,0.0,0.0,0.5,0.0,0.03,0.06,0.0,0.3,0.0,0.02,0.04,0.02,0.47,0.4,0.0,1.24,2.32,5.66,5.8,31.2,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.6,1.2,1.0,0.0,0.8,0.02,0.03,0.0,0.0,0.4,0.0,0.02,0.1,0.05,0.28,-1906.0,-0.134020618556701,1.0,0.451,0.296,0.253
0,0,2,0,0.3,156,0.0,0.0,0.0,0.21,297,0,0,0.2,0.0,2025-04-02,11,0,0,0,0,0,0,0,False,12,0,0,0,0,30,0,5874,0,0,1,2.0,1,227,291,64,5.3,False,0,156,0,0,0.0,7,Liverpool,Everton,1,0,26901,2024,716260,0.0,0,0,0,0.0,0.0,0.0,8384,Everton,3,5,30,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,0.6,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.02,0.02,0.53,0.0,0.0,0.65,0.6,1.1,5.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.5,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.5,0.0,0.01,0.04,0.04,0.7,0.67,0.0,0.8,0.4,2.3,7.67,38.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,0.67,1.33,0.0,1.33,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.6,0.0,0.01,0.04,0.03,0.56,0.5,0.0,1.32,1.65,7.05,6.25,33.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.75,1.25,0.0,1.0,0.03,0.03,0.0,0.0,0.5,0.0,0.03,0.06,0.0,0.43,0.0,0.01,0.03,0.02,0.47,0.4,0.0,1.16,2.36,5.68,5.0,31.8,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.8,0.6,1.0,0.0,0.8,0.02,0.03,0.0,0.0,0.4,0.0,0.02,0.05,0.0,0.28,273.0,0.6394366197183099,1.0,,,
0,0,-1,0,0.4,156,0.0,0.0,0.0,0.53,304,0,0,0.1,1.0,2025-04-05,25,0,0,0,0,0,0,0,False,1,0,0,0,0,31,0,6022,0,1,1,0.0,1,137,216,79,5.3,True,0,156,0,0,0.0,19,Everton,Arsenal,1,1,26905,2024,716494,0.0,0,0,0,0.0,0.0,0.0,8384,Everton,5,3,31,0.5,FWD,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.2,0.0,0.3,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.6,0.45,2.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.02,0.01,0.42,0.0,0.0,0.5,0.4,0.83,4.0,17.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,1.0,1.0,0.0,0.33,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,,0.0,0.0,0.03,0.03,0.58,0.5,0.0,0.65,0.3,1.8,6.25,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.75,1.25,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,,0.0,0.01,0.03,0.02,0.49,0.4,0.0,1.1,1.32,5.7,5.4,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8,1.2,0.0,0.8,0.02,0.03,0.0,0.0,0.4,0.0,0.02,0.05,0.0,,148.0,0.4644067796610169,1.0,,,
0,0,8,1,23.9,156,0.02,0.02,0.0,0.48,318,0,0,3.9,5.4,2025-04-12,63,0,0,0,0,0,0,0,False,16,0,0,0,0,32,0,6136,1,1,0,10.0,2,82,184,102,5.3,False,0,156,0,0,0.0,65,Nottingham Forest,Everton,0,1,26920,2024,718681,0.0479675717651844,0,2,0,0.0,0.2451793253421783,0.1972117573022842,8384,Everton,3,4,32,,,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.1,1.0,0.4,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.15,0.5,0.35,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.23,0.73,0.43,1.33,15.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.01,0.01,0.45,0.0,0.0,0.4,0.55,0.72,3.0,19.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,1.0,1.0,0.0,0.25,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,,0.0,0.0,0.03,0.02,0.57,0.4,0.0,0.54,0.44,1.52,5.0,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.8,1.2,0.0,0.8,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,,114.0,0.2867132867132867,,,,
0,0,4,1,0.3,156,0.0,0.0,0.0,0.23,324,0,0,0.1,1.0,2025-04-19,62,0,0,0,0,0,0,0,False,13,0,0,0,0,33,0,6477,1,2,0,0.0,2,245,410,165,5.3,True,0,156,0,0,0.0,63,Everton,Manchester City,0,2,26925,2024,720402,0.0,0,0,0,0.0,0.0,0.0,8384,Everton,4,3,33,1.0,FWD,1.0,0.02,0.02,0.0,0.48,0.0,0.0,3.9,5.4,23.9,10.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.05,0.0,0.0,2.0,0.0,0.0,0.25,0.2,,0.5,0.01,0.01,0.0,0.5,0.0,0.0,2.0,3.2,12.15,5.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,1.5,0.0,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.12,0.1,,0.33,0.01,0.01,0.0,0.41,0.0,0.0,1.4,2.13,8.2,4.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,0.67,1.33,0.0,0.0,0.0,0.02,0.0,0.0,0.67,0.0,0.0,0.08,0.07,,0.25,0.0,0.0,0.0,0.3,0.0,0.0,1.15,1.9,6.3,3.5,27.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.75,1.25,0.0,0.0,0.0,0.01,0.0,0.0,0.5,0.0,0.0,0.06,0.05,,0.2,0.01,0.01,0.01,0.46,0.0,0.0,1.1,1.52,5.36,4.4,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.8,1.2,0.0,0.2,0.01,0.01,0.0,0.0,0.4,0.0,0.01,0.06,0.04,,341.0,0.4260869565217391,,,,
