assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,0,2,0,1.9,566,0.0,0.08,0.08,1.24,2,2,0,2.7,2.4,2024-08-17,83,False,1,0,0,0,0,1,0,17027,1,0,2,23.0,2,0,0,0,5.5,False,0,0,1,0.2483385056257248,85,Arsenal,Wolverhampton Wanderers,2,0,26604,2024,666319,0.0,0,0,0,0.2483385056257248,0.2483385056257248,0.0,Wolverhampton Wanderers,3,5,1,0.7,FWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
0,0,35,0,11.8,566,0.16,0.74,0.58,1.56,20,6,1,8.1,44.2,2024-08-25,90,False,6,0,0,0,0,2,0,22849,1,6,2,25.0,6,2778,4865,2087,5.5,True,0,1,2,0.5929577350616455,90,Wolverhampton Wanderers,Chelsea,2,6,26619,2024,668742,0.5631452798843384,0,1,1,0.5929577350616455,0.7025642991065979,0.0946553125977516,Wolverhampton Wanderers,3,3,2,4.0,FWD,0.0,0.0,0.08,0.08,1.24,2.0,0.0,2.7,2.4,1.9,23.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5822.0,0.3995972382048331,,,,
0,0,6,0,11.2,566,0.04,0.04,0.0,0.89,29,1,0,1.7,1.4,2024-08-31,85,False,16,0,0,0,0,3,0,85873,1,1,1,4.0,2,52344,69403,17059,5.5,False,0,0,0,0.0,88,Nottingham Forest,Wolverhampton Wanderers,1,1,26627,2024,671868,0.0240380223840475,0,1,0,0.0,0.4493696093559265,0.4253315925598144,Wolverhampton Wanderers,3,4,3,3.3,FWD,0.0,0.16,0.74,0.58,1.56,6.0,1.0,8.1,44.2,11.8,25.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,6.0,1.0,2.0,0.59,0.56,0.0,0.0,1.0,1.0,0.59,0.7,0.09,4.0,0.0,0.08,0.41,0.33,1.4,4.0,0.5,5.4,23.3,6.85,24.0,86.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,0.5,1.5,0.42,0.28,0.0,0.0,0.5,0.5,0.42,0.48,0.05,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63024.0,0.6053989035645717,,,,
1,0,14,0,16.2,566,0.18,0.31,0.13,0.83,40,2,0,5.3,16.0,2024-09-15,85,False,15,0,0,0,0,4,0,87574,1,2,1,21.0,5,2196,26474,24278,5.5,True,0,0,2,0.3098068535327911,88,Wolverhampton Wanderers,Newcastle United,1,2,26641,2024,674620,0.5797659158706665,1,1,0,0.3098068535327911,0.8895727396011353,0.0,Wolverhampton Wanderers,4,3,4,3.3,FWD,0.0,0.04,0.04,0.0,0.89,1.0,0.0,1.7,1.4,11.2,4.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.45,0.43,3.3,0.0,0.1,0.39,0.29,1.23,3.5,0.5,4.9,22.8,11.5,14.5,87.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,1.5,4.0,0.5,1.0,0.3,0.29,0.0,0.0,1.0,0.5,0.3,0.58,0.26,3.65,0.0,0.07,0.29,0.22,1.23,3.0,0.33,4.17,16.0,8.3,17.33,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.33,1.67,3.33,0.33,1.0,0.28,0.2,0.0,0.0,0.67,0.33,0.28,0.47,0.17,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1701.0,0.0432692307692307,,,,
0,0,6,1,0.9,566,0.01,0.06,0.05,0.13,41,0,0,2.8,3.4,2024-09-21,64,False,2,0,0,0,0,5,0,109956,1,1,3,24.0,2,20133,31650,11517,5.5,False,0,0,2,0.0868405178189277,71,Aston Villa,Wolverhampton Wanderers,3,1,26647,2024,675771,0.0,0,0,0,0.0868405178189277,0.117926575243473,0.0576550103724002,Wolverhampton Wanderers,3,4,5,3.8,FWD,0.0,0.18,0.31,0.13,0.83,2.0,0.0,5.3,16.0,16.2,21.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,2.0,0.31,0.58,1.0,1.0,1.0,0.0,0.31,0.89,0.0,3.3,0.0,0.11,0.18,0.06,0.86,1.5,0.0,3.5,8.7,13.7,12.5,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0,3.5,0.0,1.0,0.15,0.3,0.5,0.5,1.0,0.0,0.15,0.67,0.21,3.3,0.0,0.13,0.36,0.24,1.09,3.0,0.33,5.03,20.53,13.07,16.67,86.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.33,4.33,0.33,1.33,0.3,0.39,0.33,0.33,1.0,0.33,0.3,0.68,0.17,3.53,0.0,0.1,0.29,0.2,1.13,2.75,0.25,4.45,16.0,10.28,18.25,85.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.25,1.5,3.75,0.25,1.25,0.29,0.29,0.25,0.25,0.75,0.25,0.29,0.57,0.13,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22382.0,0.466397942873028,,,,
0,0,4,0,14.4,566,0.03,0.07,0.04,2.39,60,2,0,2.0,0.0,2024-09-28,67,False,12,0,0,0,0,6,0,103831,1,2,1,8.0,2,-5860,17397,23257,5.5,True,0,0,1,0.0553801171481609,72,Wolverhampton Wanderers,Liverpool,1,2,26658,2024,678060,0.0,0,0,0,0.0553801171481609,0.0553801171481609,0.0,Wolverhampton Wanderers,5,3,6,2.5,FWD,1.0,0.01,0.06,0.05,0.13,0.0,0.0,2.8,3.4,0.9,24.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,2.0,0.09,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.06,3.8,0.5,0.1,0.18,0.09,0.48,1.0,0.0,4.05,9.7,8.55,22.5,74.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.0,3.5,0.0,2.0,0.2,0.29,0.5,0.5,0.5,0.0,0.2,0.5,0.03,3.55,0.33,0.08,0.14,0.06,0.62,1.0,0.0,3.27,6.93,9.43,16.33,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,1.67,3.0,0.0,1.33,0.13,0.2,0.33,0.33,0.67,0.0,0.13,0.49,0.16,3.47,0.25,0.1,0.29,0.19,0.85,2.25,0.25,4.47,16.25,10.02,18.5,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,1.75,3.75,0.25,1.5,0.25,0.29,0.25,0.25,0.75,0.25,0.25,0.54,0.14,3.6,0.2,0.08,0.25,0.17,0.93,2.2,0.2,4.12,13.48,8.4,19.4,81.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.8,3.4,0.2,1.4,0.25,0.23,0.2,0.2,0.6,0.2,0.25,0.48,0.12,3.02,-6125.0,-0.1441432577360161,,,,
0,0,34,0,1.2,566,0.0,0.16,0.16,4.25,63,5,1,6.2,37.4,2024-10-05,90,False,4,0,0,0,0,7,0,108125,1,3,5,23.0,6,3179,17680,14501,5.5,False,0,1,1,0.111146368086338,90,Brentford,Wolverhampton Wanderers,5,3,26667,2024,679570,0.0,0,0,1,0.111146368086338,0.2712900042533874,0.1601436287164688,Wolverhampton Wanderers,3,3,7,3.8,FWD,0.0,0.03,0.07,0.04,2.39,2.0,0.0,2.0,0.0,14.4,8.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,2.5,0.5,0.02,0.06,0.04,1.26,1.0,0.0,2.4,1.7,7.65,16.0,65.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.0,2.0,0.0,1.5,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.09,0.03,3.15,0.33,0.07,0.15,0.07,1.12,1.33,0.0,3.37,6.47,10.5,17.67,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,1.67,3.0,0.0,1.67,0.15,0.19,0.33,0.33,0.33,0.0,0.15,0.35,0.02,3.2,0.25,0.06,0.12,0.06,1.06,1.25,0.0,2.95,5.2,10.68,14.25,75.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.5,2.75,0.0,1.25,0.11,0.15,0.25,0.25,0.5,0.0,0.11,0.38,0.12,3.22,0.2,0.08,0.24,0.16,1.16,2.2,0.2,3.98,13.0,10.9,16.4,78.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4,1.6,3.4,0.2,1.4,0.21,0.23,0.2,0.2,0.6,0.2,0.21,0.44,0.12,3.38,4294.0,0.0987849973586899,,,,
0,3,31,0,0.3,566,0.0,0.54,0.54,1.12,80,1,1,5.4,37.0,2024-10-20,79,False,13,0,0,0,0,8,0,106118,1,2,1,17.0,9,-2494,10675,13169,5.5,True,0,1,1,0.3284612894058227,82,Wolverhampton Wanderers,Manchester City,1,2,26681,2024,681884,0.0,0,0,1,0.3284612894058227,0.7448322176933289,0.4163709282875061,Wolverhampton Wanderers,4,3,8,4.7,FWD,0.0,0.0,0.16,0.16,4.25,5.0,1.0,6.2,37.4,1.2,23.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,6.0,1.0,1.0,0.11,0.0,0.0,0.0,0.0,1.0,0.11,0.27,0.16,3.8,0.0,0.02,0.12,0.1,3.32,3.5,0.5,4.1,18.7,7.8,15.5,78.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,3.0,4.0,0.5,1.0,0.08,0.0,0.0,0.0,0.0,0.5,0.08,0.16,0.08,3.15,0.33,0.01,0.1,0.08,2.26,2.33,0.33,3.67,13.6,5.5,18.33,73.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.33,0.33,1.33,0.08,0.0,0.0,0.0,0.0,0.33,0.08,0.15,0.07,3.37,0.25,0.06,0.15,0.1,1.9,2.25,0.25,4.07,14.2,8.18,19.0,76.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.5,3.75,0.25,1.5,0.14,0.14,0.25,0.25,0.25,0.25,0.14,0.33,0.05,3.35,0.2,0.05,0.13,0.08,1.7,2.0,0.2,3.6,11.64,8.78,16.0,78.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,2.2,3.4,0.2,1.2,0.11,0.12,0.2,0.2,0.4,0.2,0.11,0.36,0.13,3.34,-2007.0,-0.1045965442039926,,,,
0,0,10,0,10.5,566,0.0,0.24,0.24,1.31,84,2,0,7.7,12.4,2024-10-26,90,False,5,0,0,0,0,9,0,163910,1,2,2,54.0,1,55118,62237,7119,5.5,False,1,0,2,0.0964747443795204,90,Brighton,Wolverhampton Wanderers,2,2,26686,2024,683047,0.0448208302259445,0,1,0,0.0964747443795204,0.1530857384204864,0.0609717704355716,Wolverhampton Wanderers,3,3,9,4.5,FWD,0.0,0.0,0.54,0.54,1.12,1.0,1.0,5.4,37.0,0.3,17.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,9.0,1.0,1.0,0.33,0.0,0.0,0.0,0.0,1.0,0.33,0.74,0.42,4.7,0.0,0.0,0.35,0.35,2.68,3.0,1.0,5.8,37.2,0.75,20.0,84.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,3.0,7.5,1.0,1.0,0.22,0.0,0.0,0.0,0.0,1.0,0.22,0.51,0.29,4.25,0.0,0.01,0.26,0.25,2.59,2.67,0.67,4.53,24.8,5.3,16.0,78.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.33,2.33,5.67,0.67,1.0,0.16,0.0,0.0,0.0,0.0,0.67,0.16,0.36,0.19,3.67,0.25,0.01,0.21,0.2,1.97,2.0,0.5,4.1,19.45,4.2,18.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.5,4.75,0.5,1.25,0.15,0.0,0.0,0.0,0.0,0.5,0.15,0.3,0.16,3.7,0.2,0.04,0.23,0.18,1.74,2.0,0.4,4.34,18.76,6.6,18.6,77.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.2,4.8,0.4,1.4,0.18,0.12,0.2,0.2,0.2,0.4,0.18,0.42,0.13,3.62,57792.0,0.7947113443681874,,,,
0,2,38,0,23.2,566,0.03,0.69,0.66,2.51,100,2,1,10.8,47.2,2024-11-02,90,False,7,0,0,0,0,10,0,197931,1,2,2,38.0,8,33517,52034,18517,5.5,True,0,1,2,0.6719355583190918,90,Wolverhampton Wanderers,Crystal Palace,2,2,26701,2024,685244,0.1046522632241249,0,2,1,0.6719355583190918,1.1655125617980957,0.4409233629703522,Wolverhampton Wanderers,3,3,10,6.0,FWD,0.0,0.0,0.24,0.24,1.31,2.0,0.0,7.7,12.4,10.5,54.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,0.1,0.04,0.0,0.0,1.0,0.0,0.1,0.15,0.06,4.5,0.0,0.0,0.39,0.39,1.22,1.5,0.5,6.55,24.7,5.4,35.5,84.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,2.0,1.5,5.0,0.5,1.5,0.21,0.02,0.0,0.0,0.5,0.5,0.21,0.45,0.24,4.6,0.0,0.0,0.31,0.31,2.23,2.67,0.67,6.43,28.93,4.0,31.33,86.33,0.0,0.0,0.0,0.0,0.33,0.0,1.0,2.33,2.67,5.33,0.67,1.33,0.18,0.01,0.0,0.0,0.33,0.67,0.18,0.39,0.21,4.33,0.0,0.01,0.25,0.24,2.27,2.5,0.5,5.32,21.7,6.6,25.5,81.5,0.0,0.0,0.0,0.0,0.25,0.0,1.0,2.25,2.25,4.5,0.5,1.25,0.15,0.01,0.0,0.0,0.25,0.5,0.15,0.31,0.16,3.88,0.2,0.01,0.21,0.21,1.84,2.0,0.4,4.82,18.04,5.46,25.2,78.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,2.0,2.4,4.0,0.4,1.4,0.14,0.01,0.0,0.0,0.2,0.4,0.14,0.27,0.14,3.86,34021.0,0.4750747686071069,,,,
