assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5
0,0,7,1,2.8,617,0.0,0.75,0.75,0.59,12,0,0,4.9,11.2,2024-08-25,71,False,15,0,0,0,0,2,0,10269,1,1,1,35.0,2,8001,8938,937,6.0,True,0,0,3,0.9944638013839722,75,Bournemouth,Newcastle United,1,1,26620,2024,668710,0.0,0,0,0,0.9944638013839722,0.9944638013839722,0.0,Bournemouth,4,3,2,1.5,FWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,3,0,0.8,617,0.07,0.27,0.2,1.71,24,2,0,0.6,0.0,2024-08-31,64,False,8,0,0,0,0,3,0,35863,1,3,2,7.0,2,21574,29281,7707,6.0,False,0,0,1,0.139943391084671,66,Everton,Bournemouth,2,3,26624,2024,671774,0.0,0,0,0,0.139943391084671,0.139943391084671,0.0,Bournemouth,3,3,3,2.0,FWD,1.0,0.0,0.75,0.75,0.59,0.0,0.0,4.9,11.2,2.8,35.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,0.99,0.0,0.0,0.0,0.0,0.0,0.99,0.99,0.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,12.0,617,0.08,0.99,0.91,0.47,32,0,0,5.0,3.2,2024-09-14,67,False,6,0,1,0,0,4,0,28366,1,1,0,35.0,0,-7617,5629,13246,6.0,True,0,0,3,0.8637921810150146,69,Bournemouth,Chelsea,0,1,26639,2024,674156,0.1013539806008338,0,1,0,0.1026233211159706,0.2039773017168045,0.0,Bournemouth,3,3,4,1.3,FWD,0.0,0.07,0.27,0.2,1.71,2.0,0.0,0.6,0.0,0.8,7.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,1.0,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,2.0,0.5,0.04,0.51,0.48,1.15,1.0,0.0,2.75,5.6,1.8,21.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.5,2.0,0.0,2.0,0.57,0.0,0.0,0.0,0.0,0.0,0.57,0.57,0.0,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,6,0,23.9,617,0.24,0.28,0.04,1.66,46,3,0,3.4,3.0,2024-09-21,75,False,12,0,0,0,0,5,0,27389,1,0,3,7.0,2,-1896,5360,7256,5.9,False,0,0,2,0.0300676524639129,79,Liverpool,Bournemouth,3,0,26645,2024,675707,0.4790083169937134,0,2,0,0.0300676524639129,0.5179522633552551,0.0216928515583276,Bournemouth,3,5,5,1.0,FWD,1.0,0.08,0.99,0.91,0.47,0.0,0.0,5.0,3.2,12.0,35.0,67.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.86,0.1,0.0,0.0,1.0,0.0,0.1,0.2,0.0,1.3,0.5,0.08,0.63,0.56,1.09,1.0,0.0,2.8,1.6,6.4,21.0,65.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.5,0.05,0.0,0.0,0.5,0.0,0.12,0.17,0.0,1.65,0.67,0.05,0.67,0.62,0.92,0.67,0.0,3.5,4.8,5.2,25.67,67.33,0.0,0.33,0.0,0.0,0.0,0.0,1.0,1.67,1.0,1.33,0.0,2.33,0.67,0.03,0.0,0.0,0.33,0.0,0.41,0.45,0.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,34,0,1.2,617,0.0,0.44,0.44,0.58,52,1,1,6.4,34.8,2024-09-30,75,False,17,0,0,0,0,6,0,55529,1,1,3,28.0,9,26459,35700,9241,5.9,True,0,1,2,0.6221068501472473,79,Bournemouth,Southampton,3,1,26661,2024,678932,0.0,0,0,1,0.6221068501472473,0.4372095167636871,0.2858173549175262,Bournemouth,1,3,6,4.2,FWD,0.0,0.24,0.28,0.04,1.66,3.0,0.0,3.4,3.0,23.9,7.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,0.03,0.48,0.0,0.0,2.0,0.0,0.03,0.52,0.02,1.0,0.5,0.16,0.64,0.48,1.06,1.5,0.0,4.2,3.1,17.95,21.0,71.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,1.5,1.0,0.0,2.5,0.45,0.29,0.0,0.0,1.5,0.0,0.07,0.36,0.01,1.15,0.33,0.13,0.51,0.38,1.28,1.67,0.0,3.0,2.07,12.23,16.33,68.67,0.0,0.33,0.0,0.0,0.0,0.0,1.0,1.33,1.67,1.33,0.0,2.0,0.34,0.19,0.0,0.0,1.0,0.0,0.09,0.29,0.01,1.43,0.5,0.1,0.57,0.48,1.11,1.25,0.0,3.48,4.35,9.88,21.0,69.25,0.0,0.25,0.0,0.0,0.0,0.0,1.0,1.25,1.5,1.5,0.0,2.25,0.51,0.15,0.0,0.0,0.75,0.0,0.32,0.46,0.01,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,7,0,10.5,617,0.16,0.28,0.12,0.76,68,1,0,3.2,1.4,2024-10-05,80,False,11,0,0,0,0,7,0,87187,1,0,1,20.0,2,29194,36823,7629,5.9,False,0,0,3,0.1172955110669136,84,Leicester,Bournemouth,1,0,26663,2024,679445,0.0,0,0,0,0.1172955110669136,0.1641608327627182,0.0468653291463851,Bournemouth,3,1,7,3.7,FWD,0.0,0.0,0.44,0.44,0.58,1.0,1.0,6.4,34.8,1.2,28.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,9.0,1.0,2.0,0.62,0.0,0.0,0.0,0.0,1.0,0.62,0.44,0.29,4.2,0.0,0.12,0.36,0.24,1.12,2.0,0.5,4.9,18.9,12.55,17.5,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,3.0,5.5,0.5,2.0,0.33,0.24,0.0,0.0,1.0,0.5,0.33,0.48,0.15,2.6,0.33,0.11,0.57,0.46,0.9,1.33,0.33,4.93,13.67,12.37,23.33,72.33,0.0,0.33,0.0,0.0,0.0,0.0,1.0,0.67,2.0,3.67,0.33,2.33,0.51,0.19,0.0,0.0,1.0,0.33,0.25,0.39,0.1,2.17,0.25,0.1,0.5,0.4,1.1,1.5,0.25,3.85,10.25,9.48,19.25,70.25,0.0,0.25,0.0,0.0,0.0,0.0,1.0,1.25,2.0,3.25,0.25,2.0,0.41,0.15,0.0,0.0,0.75,0.25,0.22,0.32,0.08,2.12,0.4,0.08,0.55,0.47,1.0,1.2,0.2,4.06,10.44,8.14,22.4,70.4,0.0,0.2,0.0,0.0,0.0,0.0,1.0,1.2,1.8,3.0,0.2,2.2,0.53,0.12,0.0,0.0,0.6,0.2,0.38,0.46,0.06,2.0
1,0,17,1,12.2,617,0.04,0.08,0.04,0.68,71,0,0,3.0,1.4,2024-10-19,81,False,1,0,0,0,0,8,0,60367,1,0,2,16.0,5,-25294,3996,29290,5.9,True,0,0,1,0.0281005073338747,86,Bournemouth,Arsenal,2,0,26680,2024,681573,0.0678947493433952,0,1,0,0.0281005073338747,0.0959952622652053,0.0,Bournemouth,5,3,8,4.3,FWD,0.0,0.16,0.28,0.12,0.76,1.0,0.0,3.2,1.4,10.5,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.16,0.05,3.7,0.0,0.08,0.36,0.28,0.67,1.0,0.5,4.8,18.1,5.85,24.0,77.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,2.0,5.5,0.5,2.5,0.37,0.0,0.0,0.0,0.0,0.5,0.37,0.3,0.17,3.95,0.0,0.13,0.33,0.2,1.0,1.67,0.33,4.33,13.07,11.87,18.33,76.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,2.33,4.33,0.33,2.33,0.26,0.16,0.0,0.0,0.67,0.33,0.26,0.37,0.12,2.97,0.25,0.12,0.5,0.38,0.87,1.25,0.25,4.5,10.6,11.9,22.5,74.25,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.5,1.75,3.25,0.25,2.5,0.41,0.15,0.0,0.0,0.75,0.25,0.22,0.33,0.09,2.55,0.2,0.11,0.45,0.34,1.04,1.4,0.2,3.72,8.48,9.68,19.4,72.2,0.0,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.8,3.0,0.2,2.2,0.35,0.12,0.0,0.0,0.6,0.2,0.2,0.29,0.07,2.44
0,3,28,0,0.6,617,0.0,0.04,0.04,0.48,82,1,1,5.7,33.4,2024-10-26,26,False,2,0,0,0,0,9,0,59335,0,1,1,23.0,8,-2224,6573,8797,5.9,False,0,1,1,0.0293816626071929,22,Aston Villa,Bournemouth,1,1,26684,2024,682986,0.0,0,0,1,0.0293816626071929,0.0315578766167163,0.0315578766167163,Bournemouth,3,4,9,6.0,FWD,1.0,0.04,0.08,0.04,0.68,0.0,0.0,3.0,1.4,12.2,16.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,1.0,0.03,0.07,1.0,0.0,1.0,0.0,0.03,0.1,0.0,4.3,0.5,0.1,0.18,0.08,0.72,0.5,0.0,3.1,1.4,11.35,18.0,80.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.5,0.0,2.0,0.07,0.03,0.5,0.0,0.5,0.0,0.07,0.13,0.02,4.0,0.33,0.07,0.27,0.2,0.67,0.67,0.33,4.2,12.53,7.97,21.33,78.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,2.0,5.33,0.33,2.0,0.26,0.02,0.33,0.0,0.33,0.33,0.26,0.23,0.11,4.07,0.25,0.11,0.27,0.16,0.92,1.25,0.25,4.0,10.15,11.95,17.75,77.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,2.25,4.5,0.25,2.0,0.2,0.14,0.25,0.0,0.75,0.25,0.2,0.3,0.09,3.3,0.4,0.1,0.41,0.31,0.83,1.0,0.2,4.2,8.76,11.96,21.2,75.6,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.4,1.8,3.6,0.2,2.2,0.33,0.13,0.2,0.0,0.8,0.2,0.18,0.28,0.07,2.9
0,1,32,1,0.8,617,0.0,0.47,0.47,0.65,91,0,1,7.5,38.6,2024-11-02,77,False,13,0,0,0,0,10,0,58243,1,1,2,36.0,7,-2018,8092,10110,5.9,True,0,1,2,0.7182064652442932,78,Bournemouth,Manchester City,2,1,26692,2024,684973,0.0,0,0,1,0.7182064652442932,0.7182064652442932,0.0,Bournemouth,4,3,10,5.7,FWD,0.0,0.0,0.04,0.04,0.48,1.0,1.0,5.7,33.4,0.6,23.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,1.0,1.0,0.03,0.0,0.0,0.0,0.0,1.0,0.03,0.03,0.03,6.0,0.5,0.02,0.06,0.04,0.58,0.5,0.5,4.35,17.4,6.4,19.5,53.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,6.5,0.5,1.0,0.03,0.03,0.5,0.0,0.5,0.5,0.03,0.06,0.02,5.15,0.33,0.07,0.13,0.07,0.64,0.67,0.33,3.97,12.07,7.77,19.67,62.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,1.33,5.0,0.33,1.67,0.06,0.02,0.33,0.0,0.33,0.33,0.06,0.1,0.03,4.67,0.25,0.05,0.21,0.16,0.62,0.75,0.5,4.58,17.75,6.12,21.75,65.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,1.75,6.0,0.5,1.75,0.2,0.02,0.25,0.0,0.25,0.5,0.2,0.18,0.09,4.55,0.2,0.09,0.22,0.14,0.83,1.2,0.4,4.34,14.8,9.68,18.8,67.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.4,2.0,5.2,0.4,1.8,0.17,0.11,0.2,0.0,0.6,0.4,0.17,0.25,0.08,3.84
0,2,35,0,23.3,617,0.01,0.98,0.97,1.48,101,3,1,9.0,41.4,2024-11-09,90,False,4,0,0,0,0,11,0,126777,1,2,3,25.0,8,64526,70498,5972,5.9,False,0,1,1,0.8381772041320801,90,Brentford,Bournemouth,3,2,26702,2024,686596,0.102626271545887,0,2,1,0.8381772041320801,0.9408034682273864,0.0,Bournemouth,3,3,11,7.7,FWD,1.0,0.0,0.47,0.47,0.65,0.0,1.0,7.5,38.6,0.8,36.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,1.0,2.0,0.72,0.0,0.0,0.0,0.0,1.0,0.72,0.72,0.0,5.7,0.5,0.0,0.26,0.26,0.56,0.5,1.0,6.6,36.0,0.7,29.5,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,7.5,1.0,1.5,0.37,0.0,0.0,0.0,0.0,1.0,0.37,0.37,0.02,5.85,0.67,0.01,0.2,0.18,0.6,0.33,0.67,5.4,24.47,4.53,25.0,61.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,1.67,6.67,0.67,1.33,0.26,0.02,0.33,0.0,0.33,0.67,0.26,0.28,0.01,5.33,0.5,0.05,0.22,0.17,0.64,0.5,0.5,4.85,18.7,6.02,23.75,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,1.5,5.5,0.5,1.75,0.22,0.02,0.25,0.0,0.25,0.5,0.22,0.25,0.02,4.92,0.4,0.04,0.26,0.22,0.63,0.6,0.6,5.16,21.92,5.06,24.6,67.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,1.8,6.2,0.6,1.8,0.3,0.01,0.2,0.0,0.2,0.6,0.3,0.29,0.07,4.78
