assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5
0.0,0.0,11.0,1.0,3.8,19.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.8,4.0,2024-08-16,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,14.0,0.0,0.0,0.0,0.0,1.0,0.0,1427753.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,5.5,False,0.0,19.0,0.0,0.0,0.0,65.0,Manchester United,Fulham,1.0,0.0,26602.0,2024.0,666193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7230.0,Fulham,3.0,3.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,32.0,0.0,7.2,19.0,0.03,0.56,0.53,0.34,15.0,1.0,1.0,7.0,35.8,2024-08-24,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,11.0,0.0,0.0,0.0,0.0,2.0,0.0,1585044.0,1.0,1.0,2.0,27.0,10.0,56351.0,127942.0,71591.0,5.5,True,0.0,19.0,1.0,2.0,0.3913329541683197,73.0,Fulham,Leicester,2.0,1.0,26614.0,2024.0,667953.0,0.0,0.0,0.0,1.0,0.3913329541683197,0.6173585057258606,0.2568650543689728,7230.0,Fulham,2.0,3.0,2.0,,,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.8,4.0,3.8,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1427753.0,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.8,4.0,3.8,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1427753.0
0.0,0.0,14.0,0.0,3.7,19.0,0.01,0.18,0.17,0.36,25.0,1.0,0.0,1.6,1.8,2024-08-31,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,10.0,0.0,0.0,0.0,0.0,3.0,0.0,2626644.0,1.0,1.0,1.0,10.0,2.0,915755.0,1022015.0,106260.0,5.6,False,0.0,19.0,0.0,2.0,0.1489148139953613,74.0,Ipswich,Fulham,1.0,1.0,26625.0,2024.0,671802.0,0.0,0.0,0.0,0.0,0.1489148139953613,0.4970656633377075,0.4035013318061828,7230.0,Fulham,3.0,2.0,3.0,,,1.0,0.03,0.56,0.53,1.84,1.0,1.0,7.8,39.8,11.0,27.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,13.0,1.0,2.0,0.39,0.0,0.0,0.0,1.0,0.39,0.62,0.26,,3012797.0,1.0,0.03,0.56,0.53,1.84,1.0,1.0,7.8,39.8,11.0,27.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,13.0,1.0,2.0,0.39,0.0,0.0,0.0,1.0,0.39,0.62,0.26,,3012797.0
1.0,1.0,23.0,1.0,40.0,19.0,0.66,0.88,0.22,0.42,35.0,0.0,0.0,9.0,31.2,2024-09-14,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,19.0,0.0,0.0,0.0,0.0,4.0,0.0,2592259.0,1.0,1.0,1.0,19.0,7.0,-25829.0,334345.0,360174.0,5.6,True,0.0,19.0,0.0,3.0,0.2645866870880127,74.0,Fulham,West Ham,1.0,1.0,26634.0,2024.0,673740.0,0.7502474188804626,1.0,3.0,0.0,0.2645866870880127,1.226685881614685,0.3433761298656463,7230.0,Fulham,2.0,3.0,4.0,,,1.0,0.04,0.74,0.7,2.2,2.0,1.0,9.4,41.6,14.7,37.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,15.0,1.0,4.0,0.54,0.0,0.0,0.0,1.0,0.54,1.11,0.66,,5639441.0,1.0,0.04,0.74,0.7,2.2,2.0,1.0,9.4,41.6,14.7,37.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,15.0,1.0,4.0,0.54,0.0,0.0,0.0,1.0,0.54,1.11,0.66,,5639441.0
0.0,1.0,27.0,0.0,6.8,19.0,0.02,0.43,0.41,1.24,44.0,1.0,1.0,7.1,37.2,2024-09-21,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,15.0,0.0,0.0,0.0,0.0,5.0,0.0,2822238.0,1.0,1.0,3.0,27.0,8.0,201436.0,283731.0,82295.0,5.7,True,0.0,19.0,1.0,3.0,0.6183419227600098,85.0,Fulham,Newcastle United,3.0,1.0,26646.0,2024.0,675721.0,0.0,0.0,0.0,1.0,0.6183419227600098,1.115419864654541,0.564050018787384,7230.0,Fulham,3.0,3.0,5.0,,,1.0,0.7,1.62,0.92,1.12,2.0,1.0,17.6,68.8,50.9,56.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,19.0,1.0,7.0,0.8,0.75,1.0,3.0,1.0,0.8,2.34,1.0,,6803947.0,2.0,0.7,1.62,0.92,2.62,2.0,1.0,18.4,72.8,54.7,56.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,5.0,22.0,1.0,7.0,0.8,0.75,1.0,3.0,1.0,0.8,2.34,1.0,,8231700.0
0.0,0.0,13.0,1.0,38.0,19.0,0.05,0.2,0.15,0.78,59.0,0.0,0.0,5.9,11.6,2024-09-28,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,16.0,0.0,0.0,0.0,0.0,6.0,0.0,3172668.0,1.0,1.0,0.0,9.0,3.0,324117.0,532057.0,207940.0,5.8,False,0.0,19.0,0.0,2.0,0.1344612389802932,90.0,Nottingham Forest,Fulham,0.0,1.0,26653.0,2024.0,677797.0,0.1342370212078094,0.0,3.0,0.0,0.1344612389802932,0.4099167883396148,0.2715700566768646,7230.0,Fulham,3.0,4.0,6.0,,,1.0,0.69,1.49,0.8,2.02,2.0,1.0,17.7,70.2,50.5,56.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,17.0,1.0,8.0,1.03,0.75,1.0,3.0,1.0,1.03,2.84,1.31,,8041141.0,2.0,0.72,2.05,1.33,3.86,3.0,2.0,25.5,110.0,61.5,83.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,8.0,30.0,2.0,10.0,1.42,0.75,1.0,3.0,2.0,1.42,3.46,1.57,,11053938.0
0.0,0.0,4.0,0.0,3.1,19.0,0.01,0.01,0.0,0.23,69.0,1.0,0.0,0.7,4.0,2024-10-05,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,13.0,0.0,0.0,0.0,0.0,7.0,0.0,2941420.0,0.0,2.0,3.0,0.0,1.0,-218634.0,112379.0,331013.0,5.8,False,0.0,19.0,0.0,0.0,0.0,24.0,Manchester City,Fulham,3.0,2.0,26664.0,2024.0,679480.0,0.0,0.0,0.0,0.0,0.0,0.3371158540248871,0.3371158540248871,7230.0,Fulham,3.0,4.0,7.0,,,2.0,0.73,1.51,0.78,2.44,1.0,1.0,22.0,80.0,84.8,55.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,18.0,1.0,8.0,1.02,0.88,1.0,6.0,1.0,1.02,2.75,1.18,,8587165.0,2.0,0.77,2.25,1.48,3.14,3.0,2.0,30.6,117.6,95.7,92.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,7.0,30.0,2.0,12.0,1.56,0.88,1.0,6.0,2.0,1.56,3.87,1.84,,12798853.0
0.0,0.0,7.0,0.0,2.9,19.0,0.01,0.01,0.0,1.62,72.0,3.0,0.0,1.1,6.0,2024-10-19,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.0,0.0,0.0,0.0,0.0,8.0,0.0,2859195.0,1.0,3.0,1.0,2.0,1.0,-101129.0,104354.0,205483.0,5.7,True,1.0,19.0,0.0,0.0,0.0,84.0,Fulham,Aston Villa,1.0,3.0,26673.0,2024.0,681326.0,0.0,0.0,0.0,0.0,0.0,0.0683858543634414,0.0683858543634414,7230.0,Fulham,3.0,3.0,8.0,,,1.0,0.08,0.64,0.56,2.25,2.0,1.0,13.7,52.8,47.9,36.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,12.0,1.0,5.0,0.75,0.13,0.0,3.0,1.0,0.75,1.86,1.17,,8936326.0,2.0,0.75,1.7,0.95,3.03,3.0,1.0,24.3,85.8,91.6,65.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,8.0,21.0,1.0,10.0,1.17,0.88,1.0,6.0,1.0,1.17,3.59,1.92,,14155229.0
1.0,0.0,21.0,1.0,16.2,19.0,0.02,0.36,0.34,0.34,87.0,0.0,0.0,4.4,19.0,2024-10-26,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,8.0,0.0,0.0,0.0,0.0,9.0,0.0,2735253.0,1.0,1.0,1.0,9.0,6.0,-125982.0,63529.0,189511.0,5.7,False,0.0,19.0,0.0,2.0,0.6087519526481628,80.0,Everton,Fulham,1.0,1.0,26687.0,2024.0,683166.0,0.0707320272922515,1.0,1.0,0.0,0.6087519526481628,0.8142210245132446,0.2054690271615982,7230.0,Fulham,3.0,3.0,9.0,,,1.0,0.07,0.22,0.15,2.63,4.0,0.0,7.7,21.6,44.0,11.0,191.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,4.0,5.0,0.0,2.0,0.13,0.13,0.0,3.0,0.0,0.13,0.82,0.68,,8973283.0,2.0,0.75,1.53,0.78,4.29,5.0,1.0,23.8,90.0,90.8,57.0,346.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,8.0,20.0,1.0,8.0,1.02,0.88,1.0,6.0,1.0,1.02,3.16,1.58,,14387780.0
0.0,0.0,19.0,0.0,57.0,19.0,0.29,0.41,0.12,0.18,92.0,1.0,0.0,10.5,21.8,2024-11-04,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,4.0,0.0,0.0,0.0,0.0,10.0,0.0,2874430.0,1.0,1.0,2.0,26.0,2.0,123592.0,228632.0,105040.0,5.7,True,0.0,19.0,0.0,2.0,0.1174779161810875,84.0,Fulham,Brentford,2.0,1.0,26693.0,2024.0,686113.0,0.1709885746240615,0.0,4.0,0.0,0.1174779161810875,0.2884664833545685,0.0894264802336692,7230.0,Fulham,2.0,3.0,10.0,,,1.0,0.04,0.38,0.34,2.19,4.0,0.0,6.2,29.0,22.2,11.0,182.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,5.0,8.0,0.0,2.0,0.61,0.07,1.0,1.0,0.0,0.61,1.22,0.61,,8535868.0,2.0,0.11,1.01,0.9,4.21,5.0,1.0,19.2,77.8,67.0,47.0,352.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,8.0,19.0,1.0,7.0,1.36,0.2,1.0,4.0,1.0,1.36,2.75,1.45,,14530774.0
0.0,3.0,40.0,1.0,38.7,19.0,0.05,0.23,0.18,1.5,104.0,0.0,1.0,11.5,47.2,2024-11-09,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,7.0,0.0,0.0,0.0,0.0,11.0,0.0,2739554.0,1.0,2.0,0.0,29.0,11.0,-128471.0,71272.0,199743.0,5.7,False,0.0,19.0,1.0,2.0,0.3859024047851562,90.0,Crystal Palace,Fulham,0.0,2.0,26706.0,2024.0,686625.0,0.2035819739103317,0.0,3.0,1.0,0.3859024047851562,1.262590408325195,0.7009022831916809,7230.0,Fulham,3.0,3.0,11.0,,,1.0,0.32,0.78,0.46,2.14,4.0,0.0,16.0,46.8,76.1,37.0,238.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,4.0,9.0,0.0,4.0,0.73,0.24,1.0,5.0,0.0,0.73,1.17,0.36,,8468878.0,2.0,0.38,0.99,0.61,3.15,5.0,0.0,22.6,62.4,117.2,46.0,350.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,7.0,13.0,0.0,6.0,0.86,0.38,1.0,8.0,0.0,0.86,1.92,0.97,,14582966.0
