assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
1,0,15,0,24.6,386,0.14,0.14,0.0,0.48,32,0,0,5.3,22.4,2024-09-14,45,False,3,0,0,0,0,4,0,33467,0,1,0,6.0,3,6221,11622,5401,6.3,False,1,0,0,0.0,43,Bournemouth,Chelsea,0,1,26639,2024,674175,0.5189995765686035,1,2,0,0.0,0.5189995765686035,0.0,Chelsea,3,3,4,1.0,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.36544674851671266
1,0,15,0,30.0,386,0.21,0.21,0.0,0.5,50,0,0,5.5,18.8,2024-09-21,56,False,19,0,0,0,0,5,0,84250,1,3,0,6.0,4,45673,50927,5254,6.3,False,0,0,0,0.0,59,West Ham,Chelsea,0,3,26642,2024,675300,0.3482705950736999,1,2,0,0.0,0.7342430949211121,0.4721298217773437,Chelsea,3,2,5,2.3,MID,0.0,0.14,0.14,0.0,0.48,0.0,0.0,5.3,22.4,24.6,6.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.52,1.0,1.0,2.0,0.0,0.0,0.52,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50783.0,0.8129616774354319
2,1,31,0,15.5,386,0.22,0.3,0.08,0.88,54,2,0,4.7,22.8,2024-09-28,70,False,5,0,0,0,0,6,0,152252,1,2,4,9.0,9,63823,81203,17380,6.3,True,0,0,1,0.1047850474715232,79,Chelsea,Brighton,4,2,26657,2024,677901,0.1375078707933426,1,1,0,0.1047850474715232,0.8381798267364502,0.5958869457244873,Chelsea,3,4,6,4.0,MID,0.0,0.21,0.21,0.0,0.5,0.0,0.0,5.5,18.8,30.0,6.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.35,1.0,1.0,2.0,0.0,0.0,0.73,0.47,2.3,0.0,0.18,0.18,0.0,0.49,0.0,0.0,5.4,20.6,27.3,6.0,50.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,2.0,0.0,3.5,0.0,0.0,0.0,0.43,1.0,1.0,2.0,0.0,0.0,0.63,0.24,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68002.0,0.647403710578903
0,0,18,0,42.5,386,0.26,0.26,0.0,0.59,65,1,0,6.4,11.8,2024-10-06,89,False,16,0,0,0,0,7,0,291466,1,1,1,10.0,2,127667,144886,17219,6.4,True,0,0,0,0.0,90,Chelsea,Nottingham Forest,1,1,26668,2024,680144,0.1996683031320572,0,3,0,0.0,0.2741763889789581,0.0745080783963203,Chelsea,4,4,7,4.5,MID,0.0,0.22,0.3,0.08,0.88,2.0,0.0,4.7,22.8,15.5,9.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,9.0,0.0,1.0,0.1,0.14,2.0,1.0,1.0,0.0,0.1,0.84,0.6,4.0,0.0,0.22,0.26,0.04,0.69,1.0,0.0,5.1,20.8,22.75,7.5,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.0,6.5,0.0,0.5,0.05,0.24,1.5,1.0,1.5,0.0,0.05,0.79,0.53,3.15,0.0,0.19,0.22,0.03,0.62,0.67,0.0,5.17,21.33,23.37,7.0,57.0,0.0,0.0,0.0,0.0,0.33,0.0,0.67,2.0,1.33,5.33,0.0,0.33,0.03,0.33,1.33,1.0,1.67,0.0,0.03,0.7,0.36,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139214.0,0.7875574473335184
0,0,0,0,3.9,386,0.03,0.03,0.0,1.15,74,1,0,1.4,0.0,2024-10-20,45,False,12,0,0,0,0,8,0,264631,1,1,2,10.0,1,-25481,22801,48282,6.4,False,0,0,0,0.0,54,Liverpool,Chelsea,2,1,26679,2024,682207,0.0,0,0,0,0.0,0.0,0.0,Chelsea,3,5,8,3.5,MID,0.0,0.26,0.26,0.0,0.59,1.0,0.0,6.4,11.8,42.5,10.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.2,0.0,0.0,3.0,0.0,0.0,0.27,0.07,4.5,0.0,0.24,0.28,0.04,0.74,1.5,0.0,5.55,17.3,29.0,9.5,79.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.5,5.5,0.0,0.5,0.05,0.17,1.0,0.5,2.0,0.0,0.05,0.56,0.34,4.25,0.0,0.23,0.26,0.03,0.66,1.0,0.0,5.53,17.8,29.33,8.33,71.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.67,5.0,0.0,0.33,0.03,0.23,1.0,0.67,2.0,0.0,0.03,0.62,0.38,3.6,0.0,0.21,0.23,0.02,0.61,0.75,0.0,5.48,18.95,28.15,7.75,65.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,1.75,1.25,4.5,0.0,0.25,0.03,0.3,1.0,0.75,2.0,0.0,0.03,0.59,0.29,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26835.0,-0.3584682694877819
0,0,3,0,0.3,386,0.0,0.0,0.0,0.79,117,1,0,0.1,1.0,2024-11-23,5,False,11,0,0,0,0,12,0,100869,0,2,1,0.0,1,-20054,625,20679,6.3,False,0,0,0,0.0,1,Leicester,Chelsea,1,2,26719,2024,688104,0.0,0,0,0,0.0,0.0767723247408866,0.0767723247408866,Chelsea,3,1,12,0.6,MID,0.0,0.03,0.03,0.0,1.15,1.0,0.0,1.4,0.0,3.9,10.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.15,0.15,0.0,0.87,1.0,0.0,3.9,5.9,23.2,10.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,1.5,0.0,0.0,0.0,0.1,0.0,0.0,1.5,0.0,0.0,0.14,0.04,4.0,0.0,0.17,0.2,0.03,0.87,1.33,0.0,4.17,11.53,20.63,9.67,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,2.33,4.0,0.0,0.33,0.03,0.11,0.67,0.33,1.33,0.0,0.03,0.37,0.22,4.0,0.0,0.18,0.2,0.02,0.78,1.0,0.0,4.5,13.35,22.98,8.75,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.75,1.75,4.0,0.0,0.25,0.03,0.17,0.75,0.5,1.5,0.0,0.03,0.46,0.29,3.58,0.0,0.17,0.19,0.02,0.72,0.8,0.0,4.66,15.16,23.3,8.2,61.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,1.6,1.4,3.8,0.0,0.2,0.02,0.24,0.8,0.6,1.6,0.0,0.02,0.47,0.23,3.06,-163762.0,-0.9413255726624108
0,0,7,1,6.2,386,0.08,0.12,0.04,0.68,123,0,0,1.5,0.0,2024-12-01,70,False,2,0,0,0,0,13,0,94758,1,0,3,11.0,3,-7025,1337,8362,6.2,True,0,0,2,0.1453498005867004,76,Chelsea,Aston Villa,3,0,26724,2024,690683,0.0,0,0,0,0.1453498005867004,0.2256523221731186,0.0803025215864181,Chelsea,3,4,13,1.5,MID,0.0,0.0,0.0,0.0,0.79,1.0,0.0,0.1,1.0,0.3,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.6,0.0,0.02,0.02,0.0,0.97,1.0,0.0,0.75,0.5,2.1,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,2.05,0.0,0.1,0.1,0.0,0.84,1.0,0.0,2.63,4.27,15.57,6.67,46.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,1.33,1.33,0.0,0.0,0.0,0.07,0.0,0.0,1.0,0.0,0.0,0.12,0.05,2.87,0.0,0.13,0.15,0.02,0.85,1.25,0.0,3.15,8.9,15.55,7.25,52.25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.5,2.0,3.25,0.0,0.25,0.03,0.08,0.5,0.25,1.0,0.0,0.03,0.3,0.19,3.15,0.0,0.14,0.16,0.02,0.78,1.0,0.0,3.62,10.88,18.44,7.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.8,1.6,3.4,0.0,0.2,0.02,0.14,0.6,0.4,1.2,0.0,0.02,0.38,0.24,2.98,-6111.0,-0.724301474378802
0,0,23,0,3.4,386,0.03,0.16,0.13,0.0,140,0,1,5.4,33.4,2024-12-04,18,False,17,0,0,0,0,14,0,93060,0,5,1,17.0,6,-2354,3698,6052,6.2,False,0,1,1,0.1191418692469596,13,Southampton,Chelsea,1,5,26741,2024,691475,0.0,0,0,1,0.1191418692469596,0.3156197965145111,0.1964779198169708,Chelsea,3,1,14,3.5,MID,1.0,0.08,0.12,0.04,0.68,0.0,0.0,1.5,0.0,6.2,11.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,2.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.23,0.08,1.5,0.5,0.04,0.06,0.02,0.74,0.5,0.0,0.8,0.5,3.25,5.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,2.0,2.0,0.0,1.0,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.15,0.08,1.05,0.33,0.04,0.05,0.01,0.87,0.67,0.0,1.0,0.33,3.47,7.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,2.0,1.67,0.0,0.67,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.05,1.87,0.25,0.09,0.1,0.01,0.8,0.75,0.0,2.35,3.2,13.22,7.75,52.25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,1.75,1.75,0.0,0.5,0.04,0.05,0.0,0.0,0.75,0.0,0.04,0.14,0.06,2.53,0.2,0.12,0.14,0.02,0.82,1.0,0.0,2.82,7.12,13.68,8.0,55.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,2.2,3.2,0.0,0.6,0.05,0.07,0.4,0.2,0.8,0.0,0.05,0.28,0.17,2.82,-1698.0,-0.24143589743589744
0,1,36,0,27.3,386,0.22,0.61,0.39,2.9,149,3,1,12.2,45.2,2024-12-08,90,False,18,0,0,0,0,15,0,92753,1,4,3,49.0,8,-952,3424,4376,6.2,False,0,1,3,0.2992709875106811,90,Tottenham,Chelsea,3,4,26745,2024,693039,0.0539892092347145,0,2,1,0.2992709875106811,0.5727265477180481,0.2734555602073669,Chelsea,3,3,15,4.5,MID,0.0,0.03,0.16,0.13,0.0,0.0,1.0,5.4,33.4,3.4,17.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,1.0,1.0,0.12,0.0,0.0,0.0,0.0,1.0,0.12,0.32,0.2,3.5,0.5,0.06,0.14,0.08,0.34,0.0,0.5,3.45,16.7,4.8,14.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.5,2.0,4.5,0.5,1.5,0.13,0.0,0.0,0.0,0.0,0.5,0.13,0.27,0.14,2.5,0.33,0.04,0.09,0.06,0.49,0.33,0.33,2.33,11.47,3.3,9.33,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.33,1.67,3.33,0.33,1.0,0.09,0.0,0.0,0.0,0.0,0.33,0.09,0.21,0.12,1.87,0.25,0.04,0.08,0.04,0.66,0.5,0.25,2.1,8.6,3.45,9.5,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,1.75,2.75,0.25,0.75,0.07,0.0,0.0,0.0,0.0,0.25,0.07,0.15,0.09,2.28,0.2,0.08,0.11,0.03,0.64,0.6,0.2,2.96,9.24,11.26,9.6,45.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.8,1.6,2.6,0.2,0.6,0.05,0.04,0.0,0.0,0.6,0.2,0.05,0.18,0.09,2.72,-307.0,-0.12205128205128205
0,0,17,0,49.8,386,0.56,0.59,0.03,1.61,154,1,0,8.0,10.2,2024-12-15,90,False,4,0,0,0,0,16,0,147050,1,1,2,20.0,2,50258,54495,4237,6.2,True,0,0,1,0.0626744031906127,90,Chelsea,Brentford,2,1,26757,2024,694598,0.7296637892723083,0,4,0,0.0626744031906127,0.8054659962654114,0.0758022144436836,Chelsea,3,4,16,4.5,MID,0.0,0.22,0.61,0.39,2.9,3.0,1.0,12.2,45.2,27.3,49.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,8.0,1.0,3.0,0.3,0.05,0.0,0.0,2.0,1.0,0.3,0.57,0.27,4.5,0.0,0.12,0.38,0.26,1.45,1.5,1.0,8.8,39.3,15.35,33.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.5,2.0,7.0,1.0,2.0,0.21,0.03,0.0,0.0,1.0,1.0,0.21,0.44,0.23,4.0,0.33,0.11,0.3,0.19,1.19,1.0,0.67,6.37,26.2,12.3,25.67,59.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,3.0,2.33,5.67,0.67,2.0,0.19,0.02,0.0,0.0,0.67,0.67,0.19,0.37,0.18,3.17,0.25,0.08,0.22,0.14,1.09,1.0,0.5,4.8,19.9,9.3,19.25,45.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.75,2.0,4.5,0.5,1.5,0.14,0.01,0.0,0.0,0.5,0.5,0.14,0.3,0.16,2.52,0.2,0.07,0.18,0.11,1.1,1.0,0.4,4.12,15.92,8.22,17.4,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.4,2.0,3.8,0.4,1.2,0.11,0.01,0.0,0.0,0.4,0.4,0.11,0.24,0.13,2.72,54297.0,0.8557174964244364
