assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
0,0,9,1,10.8,129,0.02,0.05,0.03,0.45,3,0,0,2.3,5.0,2024-08-17,81,False,8,0,0,0,0,1,0,1623770,1,3,0,7.0,2,0,0,0,5.5,False,0,0,1,0.0241545420140028,86,Everton,Brighton,0,3,26605,2024,666347,0.3820148408412933,0,1,0,0.0241545420140028,0.5130051374435425,0.1068357676267623,Brighton,3,3,1,1.7,FWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0,2,36,0,16.4,129,0.12,0.65,0.53,1.43,13,1,1,11.5,45.6,2024-08-24,90,False,14,0,0,0,0,2,0,1655021,1,1,2,53.0,8,-60621,94118,154739,5.5,True,0,1,3,0.4829488694667816,90,Brighton,Manchester United,2,1,26612,2024,667700,0.135356605052948,0,1,1,0.4829488694667816,1.0968745946884155,0.9458089470863342,Brighton,2,3,2,5.0,FWD,1.0,0.02,0.05,0.03,0.45,0.0,0.0,2.3,5.0,10.8,7.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,0.02,0.38,0.0,0.0,1.0,0.0,0.02,0.51,0.11,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31251.0,-0.2435977288161474
0,3,39,0,22.4,129,0.12,0.44,0.32,2.08,21,1,1,10.2,46.8,2024-08-31,90,False,1,0,0,0,0,3,0,2133335,1,1,1,33.0,8,395352,570736,175384,5.6,False,1,1,1,0.4235240817070007,90,Arsenal,Brighton,1,1,26622,2024,671530,0.0120056066662073,0,1,1,0.4235240817070007,0.5498666167259216,0.1263425499200821,Brighton,3,5,3,5.0,FWD,0.0,0.12,0.65,0.53,1.43,1.0,1.0,11.5,45.6,16.4,53.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,8.0,1.0,3.0,0.48,0.14,0.0,0.0,1.0,1.0,0.48,1.1,0.95,5.0,0.5,0.07,0.35,0.28,0.94,0.5,0.5,6.9,25.3,13.6,30.0,85.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,0.5,2.0,0.25,0.26,0.0,0.0,1.0,0.5,0.25,0.8,0.53,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478314.0,0.5298772315445237
0,0,3,0,1.0,129,0.0,0.02,0.02,0.0,42,0,0,0.6,1.4,2024-09-22,19,False,16,0,0,0,0,5,0,2945572,0,2,2,4.0,1,-437896,79128,517024,5.7,True,0,0,1,0.0268027447164058,15,Brighton,Nottingham Forest,2,2,26650,2024,676309,0.0,0,0,0,0.0268027447164058,0.0268027447164058,0.0,Brighton,4,3,5,2.2,FWD,0.0,0.12,0.44,0.32,2.08,1.0,1.0,10.2,46.8,22.4,33.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,8.0,1.0,1.0,0.42,0.01,0.0,0.0,1.0,1.0,0.42,0.55,0.13,5.0,0.0,0.12,0.55,0.43,1.76,1.0,1.0,10.85,46.2,19.4,43.0,90.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,1.5,8.0,1.0,2.0,0.45,0.07,0.0,0.0,1.0,1.0,0.45,0.82,0.54,5.0,0.33,0.09,0.38,0.29,1.32,0.67,0.67,8.0,32.47,16.53,31.0,87.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.67,1.0,6.0,0.67,1.67,0.31,0.18,0.0,0.0,1.0,0.67,0.31,0.72,0.39,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812237.0,-0.7345375005032274
1,3,38,0,15.3,129,0.36,0.89,0.53,0.19,102,0,1,9.1,52.4,2024-11-09,25,False,13,0,0,0,0,11,0,669482,0,1,2,23.0,11,-38362,8991,47353,5.4,True,0,1,2,0.6571820378303528,22,Brighton,Manchester City,2,1,26703,2024,686859,0.5549602508544922,1,1,1,0.6571820378303528,1.2497597932815552,0.0376175194978714,Brighton,4,3,11,2.0,FWD,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.6,1.4,1.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,2.2,0.0,0.06,0.23,0.17,1.04,0.5,0.5,5.4,24.1,11.7,18.5,54.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.5,1.5,4.5,0.5,1.0,0.23,0.01,0.0,0.0,0.5,0.5,0.23,0.29,0.06,3.6,0.0,0.08,0.37,0.29,1.17,0.67,0.67,7.43,31.27,13.27,30.0,66.33,0.0,0.0,0.0,0.0,0.33,0.0,0.67,1.33,1.67,5.67,0.67,1.67,0.31,0.05,0.0,0.0,0.67,0.67,0.31,0.56,0.36,4.07,0.25,0.06,0.29,0.22,0.99,0.5,0.5,6.15,24.7,12.65,24.25,70.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,1.75,1.25,4.75,0.5,1.5,0.24,0.13,0.0,0.0,0.75,0.5,0.24,0.55,0.29,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2276090.0,-0.680853329547068
1,3,50,1,26.8,129,0.59,0.88,0.29,0.73,113,0,1,12.1,55.6,2024-11-23,63,False,3,0,0,0,0,12,0,1027542,1,2,1,39.0,12,341081,360548,19467,5.5,False,0,1,1,0.6192044019699097,69,Bournemouth,Brighton,1,2,26712,2024,688383,0.5374211668968201,1,2,1,0.6192044019699097,1.1723002195358276,0.553095817565918,Brighton,3,3,12,7.7,FWD,0.0,0.36,0.89,0.53,0.19,0.0,1.0,9.1,52.4,15.3,23.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,1.0,2.0,0.66,0.55,1.0,1.0,1.0,1.0,0.66,1.25,0.04,2.0,0.0,0.18,0.46,0.28,0.1,0.0,0.5,4.85,26.9,8.15,13.5,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,6.0,0.5,1.5,0.34,0.28,0.5,0.5,0.5,0.5,0.34,0.64,0.02,2.1,0.0,0.16,0.45,0.29,0.76,0.33,0.67,6.63,33.53,12.9,20.0,44.67,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.33,1.67,6.67,0.67,1.33,0.37,0.19,0.33,0.33,0.67,0.67,0.37,0.61,0.05,3.07,0.0,0.15,0.5,0.35,0.92,0.5,0.75,7.85,36.55,13.78,28.25,56.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,1.25,1.75,7.0,0.75,1.75,0.4,0.18,0.25,0.25,0.75,0.75,0.4,0.73,0.28,3.55,0.2,0.12,0.41,0.29,0.83,0.4,0.6,6.74,30.24,13.18,24.0,61.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6,1.6,1.4,6.0,0.6,1.6,0.32,0.22,0.2,0.2,0.8,0.6,0.32,0.69,0.24,3.18,358060.0,0.8975461494940989
0,0,12,0,12.7,129,0.04,0.14,0.1,0.96,122,1,0,5.0,7.6,2024-11-29,71,False,17,0,0,0,0,13,0,1885069,1,1,1,30.0,2,834179,843750,9571,5.7,True,0,0,3,0.161085844039917,76,Brighton,Southampton,1,1,26723,2024,689622,0.0183061007410287,0,1,0,0.161085844039917,0.2280604839324951,0.0975535288453102,Brighton,1,3,13,6.7,FWD,1.0,0.59,0.88,0.29,0.73,0.0,1.0,12.1,55.6,26.8,39.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,12.0,1.0,1.0,0.62,0.54,1.0,1.0,2.0,1.0,0.62,1.17,0.55,7.7,0.5,0.48,0.88,0.41,0.46,0.0,1.0,10.6,54.0,21.05,31.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,1.5,11.5,1.0,1.5,0.64,0.55,1.0,1.0,1.5,1.0,0.64,1.21,0.3,4.85,0.33,0.32,0.6,0.28,0.31,0.0,0.67,7.27,36.47,14.37,22.0,35.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.67,1.67,8.0,0.67,1.33,0.43,0.36,0.67,0.67,1.0,0.67,0.43,0.82,0.2,3.97,0.25,0.27,0.56,0.29,0.75,0.25,0.75,8.0,39.05,16.38,24.75,49.25,0.0,0.0,0.0,0.0,0.25,0.0,0.5,1.5,1.5,8.0,0.75,1.25,0.43,0.28,0.5,0.5,1.0,0.75,0.43,0.75,0.18,4.22,0.2,0.24,0.58,0.34,0.89,0.4,0.8,8.7,40.36,16.38,30.4,57.4,0.0,0.0,0.0,0.0,0.2,0.0,0.6,1.4,1.6,8.0,0.8,1.6,0.44,0.25,0.4,0.4,1.0,0.8,0.44,0.82,0.33,4.38,857527.0,0.9775676445323623
1,0,20,0,12.7,129,0.02,0.34,0.32,0.63,135,2,0,6.5,22.6,2024-12-05,79,False,9,0,0,0,0,14,0,2050720,1,1,3,30.0,5,181925,237465,55540,5.8,False,0,0,2,0.1713314205408096,82,Fulham,Brighton,3,1,26736,2024,691625,0.0279458928853273,1,1,0,0.1713314205408096,0.1992773115634918,0.0,Brighton,3,3,14,7.5,FWD,0.0,0.04,0.14,0.1,0.96,1.0,0.0,5.0,7.6,12.7,30.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,0.16,0.02,0.0,0.0,1.0,0.0,0.16,0.23,0.1,6.7,0.5,0.32,0.51,0.2,0.84,0.5,0.5,8.55,31.6,19.75,34.5,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0,7.0,0.5,2.0,0.39,0.28,0.5,0.5,1.5,0.5,0.39,0.7,0.33,7.2,0.33,0.33,0.64,0.31,0.63,0.33,0.67,8.73,38.53,18.27,30.67,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,1.33,8.33,0.67,2.0,0.48,0.37,0.67,0.67,1.33,0.67,0.48,0.88,0.23,5.47,0.25,0.25,0.48,0.24,0.47,0.25,0.5,6.7,29.25,13.95,24.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,1.5,6.5,0.5,1.75,0.37,0.28,0.5,0.5,1.0,0.5,0.37,0.67,0.17,4.65,0.2,0.22,0.47,0.25,0.79,0.4,0.6,7.4,32.76,15.64,25.8,53.6,0.0,0.0,0.0,0.0,0.2,0.0,0.6,1.4,1.4,6.8,0.6,1.6,0.38,0.22,0.4,0.4,1.0,0.6,0.38,0.65,0.16,4.72,165651.0,0.6208938414020239
0,0,7,1,11.8,129,0.01,0.28,0.27,0.32,147,0,0,2.5,1.6,2024-12-08,70,False,11,0,0,0,0,15,0,2360485,1,2,2,12.0,2,299940,336505,36565,5.9,False,0,0,2,0.1248700842261314,73,Leicester,Brighton,2,2,26751,2024,692796,0.051995288580656,0,1,0,0.1248700842261314,0.3392669856548309,0.1624016165733337,Brighton,3,1,15,5.2,FWD,0.0,0.02,0.34,0.32,0.63,2.0,0.0,6.5,22.6,12.7,30.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,0.0,2.0,0.17,0.03,1.0,1.0,1.0,0.0,0.17,0.2,0.0,7.5,0.0,0.03,0.24,0.21,0.8,1.5,0.0,5.75,15.1,12.7,30.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.5,0.0,2.5,0.17,0.02,0.5,0.5,1.0,0.0,0.17,0.21,0.05,7.1,0.33,0.22,0.45,0.24,0.77,1.0,0.33,7.87,28.6,17.4,33.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,1.67,6.33,0.33,2.0,0.32,0.19,0.67,0.67,1.33,0.33,0.32,0.53,0.22,7.3,0.25,0.25,0.56,0.31,0.63,0.75,0.5,8.17,34.55,16.88,30.5,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.25,1.75,7.5,0.5,2.0,0.4,0.28,0.75,0.75,1.25,0.5,0.4,0.71,0.17,5.98,0.2,0.2,0.45,0.25,0.5,0.6,0.4,6.66,27.92,13.7,25.2,51.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.4,1.8,6.2,0.4,1.8,0.33,0.23,0.6,0.6,1.0,0.4,0.33,0.58,0.14,5.22,309765.0,0.8039778057737154
0,0,13,0,39.1,129,0.18,0.28,0.1,2.31,153,3,0,6.4,6.6,2024-12-15,90,False,7,0,0,0,0,16,0,2443963,1,3,1,18.0,2,82913,166776,83863,5.9,True,0,0,2,0.1683236360549926,90,Brighton,Crystal Palace,1,3,26756,2024,694197,0.3600338697433471,0,2,0,0.1683236360549926,0.5283575057983398,0.0947898849844932,Brighton,3,3,16,4.6,FWD,1.0,0.01,0.28,0.27,0.32,0.0,0.0,2.5,1.6,11.8,12.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,0.12,0.05,0.0,0.0,1.0,0.0,0.12,0.34,0.16,5.2,0.5,0.02,0.31,0.3,0.48,1.0,0.0,4.5,12.1,12.25,21.0,74.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.5,3.5,0.0,2.0,0.15,0.04,0.5,0.5,1.0,0.0,0.15,0.27,0.08,6.35,0.33,0.02,0.25,0.23,0.64,1.0,0.0,4.67,10.6,12.4,24.0,73.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,2.0,3.0,0.0,2.33,0.15,0.03,0.33,0.33,1.0,0.0,0.15,0.26,0.09,6.47,0.5,0.16,0.41,0.24,0.66,0.75,0.25,6.52,21.85,16.0,27.75,70.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.75,5.25,0.25,2.0,0.27,0.16,0.5,0.5,1.25,0.25,0.27,0.48,0.2,6.78,0.4,0.2,0.51,0.3,0.57,0.6,0.4,7.04,27.96,15.86,26.8,61.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.4,1.8,6.4,0.4,2.0,0.35,0.24,0.6,0.6,1.2,0.4,0.35,0.64,0.17,5.82,83478.0,0.3308064586915843
